Frequency (Hz)	Level (dB)
2.691650	-72.573586
5.383301	-72.617630
8.074951	-72.381561
10.766602	-72.435722
13.458252	-72.087883
16.149902	-72.640228
18.841553	-72.002380
21.533203	-71.773064
24.224854	-71.005791
26.916504	-70.649376
29.608154	-70.781197
32.299805	-70.868729
34.991455	-70.872025
37.683105	-69.035973
40.374756	-69.891647
43.066406	-69.386581
45.758057	-69.392250
48.449707	-70.265190
51.141357	-70.289070
53.833008	-68.650772
56.524658	-69.680901
59.216309	-68.034973
61.907959	-69.165436
64.599609	-69.156174
67.291260	-67.984612
69.982910	-68.530876
72.674561	-68.913338
75.366211	-67.979507
78.057861	-68.099884
80.749512	-68.333450
83.441162	-67.133125
86.132812	-67.677536
88.824463	-68.021736
91.516113	-67.920776
94.207764	-66.852806
96.899414	-68.367775
99.591064	-68.594643
102.282715	-67.619576
104.974365	-66.725456
107.666016	-67.848335
110.357666	-67.537689
113.049316	-67.094215
115.740967	-68.200874
118.432617	-68.235611
121.124268	-67.409119
123.815918	-67.289589
126.507568	-67.136650
129.199219	-67.975746
131.890869	-66.744759
134.582520	-66.395973
137.274170	-67.939598
139.965820	-68.011971
142.657471	-66.955688
145.349121	-65.795433
148.040771	-66.530853
150.732422	-65.795067
153.424072	-67.453621
156.115723	-66.651360
158.807373	-65.882919
161.499023	-65.287132
164.190674	-65.596466
166.882324	-65.723495
169.573975	-67.401917
172.265625	-66.039375
174.957275	-67.063667
177.648926	-66.294678
180.340576	-65.710381
183.032227	-65.250694
185.723877	-66.340034
188.415527	-65.605682
191.107178	-64.781105
193.798828	-64.633575
196.490479	-65.761536
199.182129	-64.957359
201.873779	-65.512978
204.565430	-64.623779
207.257080	-64.911537
209.948730	-64.989716
212.640381	-64.160385
215.332031	-64.204498
218.023682	-64.013878
220.715332	-63.360928
223.406982	-64.688454
226.098633	-63.817703
228.790283	-61.617527
231.481934	-62.670650
234.173584	-62.702503
236.865234	-63.320831
239.556885	-62.267574
242.248535	-61.071125
244.940186	-60.350979
247.631836	-59.996738
250.323486	-59.939121
253.015137	-59.527084
255.706787	-58.387478
258.398438	-58.587646
261.090088	-57.569008
263.781738	-55.974045
266.473389	-56.768139
269.165039	-56.258526
271.856689	-54.327587
274.548340	-54.250828
277.239990	-52.514469
279.931641	-53.368759
282.623291	-51.060959
285.314941	-51.207573
288.006592	-49.941872
290.698242	-48.444607
293.389893	-47.904289
296.081543	-48.963779
298.773193	-49.783760
301.464844	-48.433578
304.156494	-47.937702
306.848145	-48.856758
309.539795	-46.510590
312.231445	-46.597652
314.923096	-46.093189
317.614746	-46.386440
320.306396	-46.770275
322.998047	-46.737263
325.689697	-48.125248
328.381348	-48.805511
331.072998	-48.993244
333.764648	-49.176083
336.456299	-48.570248
339.147949	-49.443275
341.839600	-48.796566
344.531250	-49.998905
347.222900	-49.006462
349.914551	-49.722401
352.606201	-49.836418
355.297852	-50.285999
357.989502	-51.439880
