Frequency (Hz)	Level (dB)
2.691650	-86.217079
5.383301	-85.282097
8.074951	-84.447296
10.766602	-81.614861
13.458252	-78.527336
16.149902	-75.613457
18.841553	-75.405220
21.533203	-74.297523
24.224854	-73.349449
26.916504	-73.085350
29.608154	-72.117706
32.299805	-71.721741
34.991455	-71.777786
37.683105	-73.506714
40.374756	-72.082657
43.066406	-70.799820
45.758057	-71.409843
48.449707	-69.839645
51.141357	-70.285095
53.833008	-71.283455
56.524658	-70.879631
59.216309	-69.859253
61.907959	-70.652992
64.599609	-71.910561
67.291260	-72.346619
69.982910	-71.406929
72.674561	-72.349258
75.366211	-71.634850
78.057861	-72.517059
80.749512	-72.530388
83.441162	-73.554413
86.132812	-72.121017
88.824463	-73.015717
91.516113	-74.356796
94.207764	-73.466705
96.899414	-73.412621
99.591064	-74.646034
102.282715	-74.466675
104.974365	-76.112061
107.666016	-76.141762
110.357666	-76.311020
113.049316	-76.457207
115.740967	-77.742500
118.432617	-77.437584
121.124268	-77.585655
123.815918	-77.069099
126.507568	-78.284836
129.199219	-78.356941
131.890869	-80.796844
134.582520	-80.721176
137.274170	-79.011963
139.965820	-79.663452
142.657471	-80.099358
145.349121	-81.800323
148.040771	-80.999138
150.732422	-82.355499
153.424072	-81.254684
156.115723	-81.744087
158.807373	-82.027321
161.499023	-81.901215
164.190674	-82.958641
166.882324	-82.569077
169.573975	-82.652092
172.265625	-83.750946
174.957275	-83.310295
177.648926	-83.231911
180.340576	-83.463760
183.032227	-82.586624
185.723877	-83.589745
188.415527	-82.599510
191.107178	-83.354179
193.798828	-83.363457
196.490479	-83.495987
199.182129	-83.914803
201.873779	-83.265816
204.565430	-82.753677
207.257080	-83.342216
209.948730	-83.354523
212.640381	-83.963326
215.332031	-83.033562
218.023682	-82.629532
220.715332	-83.270180
223.406982	-84.427505
226.098633	-84.372879
228.790283	-82.667702
231.481934	-82.796173
234.173584	-82.502327
236.865234	-83.036972
239.556885	-82.887108
242.248535	-82.926308
244.940186	-82.231270
247.631836	-82.863594
250.323486	-82.411301
253.015137	-81.844017
255.706787	-82.529480
258.398438	-83.825233
261.090088	-82.248474
263.781738	-82.703232
266.473389	-84.246712
269.165039	-84.027092
271.856689	-83.034691
274.548340	-83.844704
277.239990	-82.677193
279.931641	-83.265205
282.623291	-82.011093
285.314941	-82.753838
288.006592	-82.744217
290.698242	-82.910454
293.389893	-82.637505
296.081543	-82.162064
298.773193	-82.345795
301.464844	-82.323212
304.156494	-82.501373
306.848145	-83.426086
309.539795	-81.844475
312.231445	-80.793869
314.923096	-81.565735
317.614746	-80.769409
320.306396	-81.201271
322.998047	-81.866402
325.689697	-81.456482
328.381348	-81.487160
331.072998	-81.816528
333.764648	-81.146378
336.456299	-80.759399
339.147949	-80.169304
341.839600	-81.611809
344.531250	-80.946503
347.222900	-79.304039
349.914551	-79.899666
352.606201	-79.835091
355.297852	-80.152451
357.989502	-80.134956
360.681152	-80.639755
363.372803	-80.840378
366.064453	-82.070450
368.756104	-78.684143
371.447754	-79.275299
374.139404	-78.240189
376.831055	-79.007500
379.522705	-79.110138
382.214355	-79.590874
384.906006	-77.857483
387.597656	-78.336395
390.289307	-77.791939
392.980957	-78.157898
395.672607	-77.572693
398.364258	-77.942009
