Frequency (Hz)	Level (dB)
1.345825	-75.956940
2.691650	-75.954887
4.037476	-75.951492
5.383301	-75.946724
6.729126	-75.940605
8.074951	-75.933105
9.420776	-75.924240
10.766602	-75.914024
12.112427	-75.902435
13.458252	-75.889465
14.804077	-75.875122
16.149902	-75.859406
17.495728	-75.842323
18.841553	-75.823837
20.187378	-75.803963
21.533203	-75.782715
22.879028	-75.760056
24.224854	-75.735992
25.570679	-75.710526
26.916504	-75.683662
28.262329	-75.655373
29.608154	-75.625656
30.953979	-75.594528
32.299805	-75.561958
33.645630	-75.527924
34.991455	-75.492462
36.337280	-75.455551
37.683105	-75.417152
39.028931	-75.377289
40.374756	-75.335945
41.720581	-75.293098
43.066406	-75.248756
44.412231	-75.202896
45.758057	-75.155518
47.103882	-75.106598
48.449707	-75.056137
49.795532	-75.004120
51.141357	-74.950516
52.487183	-74.895325
53.833008	-74.838539
55.178833	-74.780136
56.524658	-74.720093
57.870483	-74.658417
59.216309	-74.595055
60.562134	-74.530045
61.907959	-74.463326
63.253784	-74.394875
64.599609	-74.324684
65.945435	-74.252747
67.291260	-74.179016
68.637085	-74.103485
69.982910	-74.026123
71.328735	-73.946907
72.674561	-73.865829
74.020386	-73.782837
75.366211	-73.697914
76.712036	-73.611023
78.057861	-73.522163
79.403687	-73.431259
80.749512	-73.338303
82.095337	-73.243263
83.441162	-73.146095
84.786987	-73.046768
86.132812	-72.945229
87.478638	-72.841454
88.824463	-72.735382
90.170288	-72.626991
91.516113	-72.516205
92.861938	-72.403015
94.207764	-72.287346
95.553589	-72.169128
96.899414	-72.048340
98.245239	-71.924889
99.591064	-71.798744
100.936890	-71.669815
102.282715	-71.538063
103.628540	-71.403389
104.974365	-71.265739
106.320190	-71.125031
107.666016	-70.981171
109.011841	-70.834076
110.357666	-70.683678
111.703491	-70.529854
113.049316	-70.372520
114.395142	-70.211563
115.740967	-70.046890
117.086792	-69.878365
118.432617	-69.705887
119.778442	-69.529312
121.124268	-69.348518
122.470093	-69.163361
123.815918	-68.973679
125.161743	-68.779335
126.507568	-68.580170
127.853394	-68.375992
129.199219	-68.166626
130.545044	-67.951897
131.890869	-67.731606
133.236694	-67.505524
134.582520	-67.273453
135.928345	-67.035172
137.274170	-66.790436
138.619995	-66.539001
139.965820	-66.280609
141.311646	-66.014999
142.657471	-65.741913
144.003296	-65.461067
145.349121	-65.172165
146.694946	-64.874939
148.040771	-64.569077
149.386597	-64.254303
150.732422	-63.930328
152.078247	-63.596870
153.424072	-63.253643
154.769897	-62.900402
156.115723	-62.536900
157.461548	-62.162930
158.807373	-61.778290
160.153198	-61.382847
161.499023	-60.976494
162.844849	-60.559177
164.190674	-60.130913
165.536499	-59.691769
166.882324	-59.241909
168.228149	-58.781563
169.573975	-58.311069
170.919800	-57.830853
172.265625	-57.341450
173.611450	-56.843513
174.957275	-56.337799
176.303101	-55.825195
177.648926	-55.306713
178.994751	-54.783478
180.340576	-54.256760
181.686401	-53.727936
183.032227	-53.198532
184.378052	-52.670189
185.723877	-52.144672
187.069702	-51.623886
188.415527	-51.109859
189.761353	-50.604740
191.107178	-50.110821
192.453003	-49.630516
193.798828	-49.166397
195.144653	-48.721165
196.490479	-48.297672
197.836304	-47.898941
199.182129	-47.528164
200.527954	-47.188705
201.873779	-46.884121
203.219604	-46.618164
204.565430	-46.394779
205.911255	-46.218086
207.257080	-46.092331
208.602905	-46.021832
209.948730	-46.010811
211.294556	-46.063122
212.640381	-46.181808
213.986206	-46.368340
215.332031	-46.621384
216.677856	-46.934879
218.023682	-47.295303
219.369507	-47.678295
220.715332	-48.045776
222.061157	-48.346603
223.406982	-48.525196
224.752808	-48.539742
226.098633	-48.382153
227.444458	-48.084869
228.790283	-47.708340
230.136108	-47.320061
231.481934	-46.978966
232.827759	-46.729393
234.173584	-46.601044
235.519409	-46.610355
236.865234	-46.760284
238.211060	-47.036816
239.556885	-47.401840
240.902710	-47.785130
242.248535	-48.085903
243.594360	-48.201515
244.940186	-48.083424
246.286011	-47.774746
247.631836	-47.385761
248.977661	-47.036057
250.323486	-46.816040
251.669312	-46.776882
253.015137	-46.930485
254.360962	-47.244873
255.706787	-47.632900
257.052612	-47.951225
258.398438	-48.048744
259.744263	-47.869572
261.090088	-47.507301
262.435913	-47.134403
263.781738	-46.900742
265.127563	-46.888725
266.473389	-47.105698
267.819214	-47.475235
269.165039	-47.829903
270.510864	-47.963860
271.856689	-47.784439
273.202515	-47.410461
274.548340	-47.066170
275.894165	-46.926838
277.239990	-47.057896
278.585815	-47.401405
279.931641	-47.768223
281.277466	-47.903416
282.623291	-47.696239
283.969116	-47.310883
285.314941	-47.020271
286.660767	-47.001694
288.006592	-47.268379
289.352417	-47.654251
290.698242	-47.861279
292.044067	-47.699490
293.389893	-47.318096
294.735718	-47.037113
296.081543	-47.061462
297.427368	-47.376610
298.773193	-47.737835
300.119019	-47.803558
301.464844	-47.502655
302.810669	-47.141159
304.156494	-47.042393
305.502319	-47.288296
306.848145	-47.667721
308.193970	-47.790657
309.539795	-47.512897
310.885620	-47.151318
312.231445	-47.072918
313.577271	-47.352127
314.923096	-47.710678
316.268921	-47.726902
317.614746	-47.378910
318.960571	-47.091858
320.306396	-47.178516
321.652222	-47.548233
322.998047	-47.758850
324.343872	-47.523186
325.689697	-47.164417
327.035522	-47.129570
328.381348	-47.460041
329.727173	-47.737679
331.072998	-47.561798
332.418823	-47.193581
333.764648	-47.137600
335.110474	-47.465973
336.456299	-47.726578
337.802124	-47.515446
339.147949	-47.166542
340.493774	-47.189445
341.839600	-47.552235
343.185425	-47.702126
344.531250	-47.388348
345.877075	-47.130116
347.222900	-47.321980
348.568726	-47.669128
349.914551	-47.582031
351.260376	-47.216457
352.606201	-47.190960
353.952026	-47.546066
355.297852	-47.669270
356.643677	-47.331772
357.989502	-47.152447
359.335327	-47.439922
360.681152	-47.682343
362.026978	-47.412617
363.372803	-47.155888
364.718628	-47.383709
366.064453	-47.671913
367.410278	-47.443851
368.756104	-47.165203
370.101929	-47.376553
371.447754	-47.664150
372.793579	-47.428146
374.139404	-47.170124
375.485229	-47.413803
376.831055	-47.656910
378.176880	-47.369984
379.522705	-47.183846
380.868530	-47.491138
382.214355	-47.624226
383.560181	-47.281639
384.906006	-47.237991
386.251831	-47.587307
387.597656	-47.529324
388.943481	-47.203098
390.289307	-47.363823
391.635132	-47.637829
392.980957	-47.366287
394.326782	-47.210541
395.672607	-47.539227
397.018433	-47.551155
398.364258	-47.218750
399.710083	-47.366341
401.055908	-47.625549
402.401733	-47.335186
403.747559	-47.243767
405.093384	-47.580997
406.439209	-47.469833
407.785034	-47.206894
409.130859	-47.480682
410.476685	-47.563591
411.822510	-47.233810
413.168335	-47.382614
414.514160	-47.603531
415.859985	-47.288395
417.205811	-47.312485
418.551636	-47.605206
419.897461	-47.342876
421.243286	-47.271984
422.589111	-47.590271
423.934937	-47.382843
425.280762	-47.253284
426.626587	-47.574745
427.972412	-47.403603
429.318237	-47.248348
430.664062	-47.566826
432.009888	-47.404980
433.355713	-47.252960
434.701538	-47.568306
436.047363	-47.388008
437.393188	-47.267643
438.739014	-47.575699
440.084839	-47.354557
441.430664	-47.296883
442.776489	-47.580120
444.122314	-47.309505
445.468140	-47.346451
446.813965	-47.567413
448.159790	-47.264420
449.505615	-47.417797
450.851440	-47.521843
452.197266	-47.239918
453.543091	-47.499020
454.888916	-47.436825
456.234741	-47.261814
457.580566	-47.557026
458.926392	-47.330593
460.272217	-47.345478
461.618042	-47.545429
462.963867	-47.253246
464.309692	-47.468060
465.655518	-47.443623
467.001343	-47.266151
468.347168	-47.549793
469.692993	-47.305504
471.038818	-47.386124
472.384644	-47.500443
473.730469	-47.248550
475.076294	-47.522129
476.422119	-47.342739
477.767944	-47.349041
479.113770	-47.511574
480.459595	-47.248386
481.805420	-47.508690
