Frequency (Hz)	Level (dB)
1.345825	-81.723610
2.691650	-81.551292
4.037476	-82.016075
5.383301	-80.855370
6.729126	-82.275711
8.074951	-80.970627
9.420776	-82.455887
10.766602	-80.924164
12.112427	-82.449158
13.458252	-81.068962
14.804077	-81.957367
16.149902	-81.270287
17.495728	-81.748283
18.841553	-81.414993
20.187378	-81.659691
21.533203	-81.611031
22.879028	-81.733765
24.224854	-81.632256
25.570679	-81.814415
26.916504	-81.846046
28.262329	-81.790756
29.608154	-81.811745
30.953979	-81.880539
32.299805	-81.812134
33.645630	-81.854515
34.991455	-81.896706
36.337280	-81.850311
37.683105	-81.847900
39.028931	-81.879814
40.374756	-81.844116
41.720581	-81.834328
43.066406	-81.874138
44.412231	-81.873711
45.758057	-81.903931
47.103882	-81.863991
48.449707	-81.905884
49.795532	-81.855606
51.141357	-81.810783
52.487183	-81.929787
53.833008	-81.807426
55.178833	-81.864685
56.524658	-81.862450
57.870483	-81.863510
59.216309	-81.832535
60.562134	-81.854980
61.907959	-81.800415
63.253784	-81.828125
64.599609	-81.854904
65.945435	-81.880745
67.291260	-81.803070
68.637085	-81.802277
69.982910	-81.775612
71.328735	-81.849731
72.674561	-81.806992
74.020386	-81.831284
75.366211	-81.859459
76.712036	-81.763634
78.057861	-81.847969
79.403687	-81.821411
80.749512	-81.830215
82.095337	-81.821579
83.441162	-81.785690
84.786987	-81.758476
86.132812	-81.743217
87.478638	-81.794273
88.824463	-81.750237
90.170288	-81.798607
91.516113	-81.741791
92.861938	-81.769478
94.207764	-81.810814
95.553589	-81.800171
96.899414	-81.746346
98.245239	-81.715179
99.591064	-81.753700
100.936890	-81.784370
102.282715	-81.715981
103.628540	-81.744850
104.974365	-81.742973
106.320190	-81.726990
107.666016	-81.722946
109.011841	-81.741646
110.357666	-81.737801
111.703491	-81.721855
113.049316	-81.725029
114.395142	-81.729538
115.740967	-81.692131
117.086792	-81.715462
118.432617	-81.703430
119.778442	-81.629181
121.124268	-81.623352
122.470093	-81.673653
123.815918	-81.618462
125.161743	-81.655357
126.507568	-81.623016
127.853394	-81.676895
129.199219	-81.642273
130.545044	-81.611473
131.890869	-81.638832
133.236694	-81.620247
134.582520	-81.636253
135.928345	-81.561577
137.274170	-81.569824
138.619995	-81.599792
139.965820	-81.582962
141.311646	-81.561935
142.657471	-81.606857
144.003296	-81.548615
145.349121	-81.505798
146.694946	-81.562439
148.040771	-81.537468
149.386597	-81.539970
150.732422	-81.498283
152.078247	-81.505249
153.424072	-81.514214
154.769897	-81.517166
156.115723	-81.476799
157.461548	-81.515686
158.807373	-81.534119
160.153198	-81.496674
161.499023	-81.512436
162.844849	-81.443985
164.190674	-81.421562
165.536499	-81.428482
166.882324	-81.388618
168.228149	-81.441071
169.573975	-81.473221
170.919800	-81.421295
172.265625	-81.416115
173.611450	-81.362152
174.957275	-81.313400
176.303101	-81.358459
177.648926	-81.333656
178.994751	-81.338760
180.340576	-81.320969
181.686401	-81.341431
183.032227	-81.293861
184.378052	-81.305077
185.723877	-81.263214
187.069702	-81.258034
188.415527	-81.295914
189.761353	-81.233147
191.107178	-81.214859
192.453003	-81.229637
193.798828	-81.154083
195.144653	-81.155022
196.490479	-81.172165
197.836304	-81.146385
199.182129	-81.162689
200.527954	-81.127792
201.873779	-81.082954
203.219604	-81.113838
204.565430	-81.086029
205.911255	-81.058022
207.257080	-81.050774
208.602905	-81.023575
209.948730	-81.010445
211.294556	-80.989189
212.640381	-80.938316
213.986206	-80.931061
215.332031	-80.924454
216.677856	-80.914589
218.023682	-80.844551
219.369507	-80.822182
220.715332	-80.825798
222.061157	-80.816109
223.406982	-80.785492
224.752808	-80.762650
226.098633	-80.753113
227.444458	-80.699905
228.790283	-80.648613
230.136108	-80.623772
231.481934	-80.542885
232.827759	-80.511223
234.173584	-80.530777
235.519409	-80.485779
236.865234	-80.463326
238.211060	-80.372314
239.556885	-80.367981
240.902710	-80.319092
242.248535	-80.241982
243.594360	-80.220230
244.940186	-80.136452
246.286011	-80.085373
247.631836	-80.007774
248.977661	-79.929703
250.323486	-79.954437
251.669312	-79.820534
253.015137	-79.685913
254.360962	-79.643646
255.706787	-79.569252
257.052612	-79.446152
258.398438	-79.330856
259.744263	-79.258110
261.090088	-79.044403
262.435913	-78.980759
263.781738	-78.808479
265.127563	-78.696404
266.473389	-78.530457
267.819214	-78.332520
269.165039	-78.173386
270.510864	-77.926521
271.856689	-77.720016
273.202515	-77.488892
274.548340	-77.165985
275.894165	-76.921097
277.239990	-76.595528
278.585815	-76.253029
279.931641	-75.942192
281.277466	-75.505562
282.623291	-75.138100
283.969116	-74.710617
285.314941	-74.202278
286.660767	-73.729256
288.006592	-73.250069
289.352417	-72.684845
