Frequency (Hz)	Level (dB)
1.345825	-84.845894
2.691650	-84.755219
4.037476	-84.693382
5.383301	-84.840294
6.729126	-84.855461
8.074951	-84.732635
9.420776	-84.672249
10.766602	-84.667839
12.112427	-84.728729
13.458252	-84.784599
14.804077	-84.277954
16.149902	-84.539459
17.495728	-84.746895
18.841553	-84.895851
20.187378	-84.567787
21.533203	-84.581192
22.879028	-84.580589
24.224854	-84.467964
25.570679	-84.396629
26.916504	-84.767830
28.262329	-84.536652
29.608154	-84.393845
30.953979	-84.287918
32.299805	-84.623703
33.645630	-84.187363
34.991455	-84.566826
36.337280	-84.365578
37.683105	-84.085670
39.028931	-84.575523
40.374756	-83.773285
41.720581	-83.213417
43.066406	-85.534225
44.412231	-84.003937
45.758057	-84.611778
47.103882	-84.306076
48.449707	-84.814415
49.795532	-83.054962
51.141357	-83.588860
52.487183	-83.855125
53.833008	-84.144165
55.178833	-84.364929
56.524658	-83.303673
57.870483	-84.037277
59.216309	-83.328415
60.562134	-83.344238
61.907959	-83.841400
63.253784	-83.563789
64.599609	-83.545296
65.945435	-83.376640
67.291260	-84.209946
68.637085	-84.107246
69.982910	-83.434982
71.328735	-84.078987
72.674561	-83.753830
74.020386	-83.735947
75.366211	-84.442398
76.712036	-84.020966
78.057861	-84.004189
79.403687	-83.433517
80.749512	-83.328964
82.095337	-82.787125
83.441162	-83.416412
84.786987	-84.104820
86.132812	-82.576546
87.478638	-82.769455
88.824463	-84.308350
90.170288	-83.371048
91.516113	-83.334137
92.861938	-84.183807
94.207764	-81.983597
95.553589	-84.016678
96.899414	-83.607170
98.245239	-82.577713
99.591064	-84.134773
100.936890	-83.890839
102.282715	-83.886711
103.628540	-83.317543
104.974365	-83.821159
106.320190	-82.697357
107.666016	-83.023102
109.011841	-84.125237
110.357666	-82.789627
111.703491	-82.978134
113.049316	-84.015533
114.395142	-83.256752
115.740967	-83.318489
117.086792	-83.464142
118.432617	-83.466263
119.778442	-83.667999
121.124268	-81.651382
122.470093	-82.039665
123.815918	-82.611488
125.161743	-82.873993
126.507568	-83.864471
127.853394	-83.164276
129.199219	-83.284882
130.545044	-83.242195
131.890869	-82.475426
133.236694	-83.033043
134.582520	-83.068283
135.928345	-81.522781
137.274170	-81.862259
138.619995	-82.579567
139.965820	-81.400635
141.311646	-83.508301
142.657471	-83.159485
144.003296	-81.773346
145.349121	-82.461655
146.694946	-81.570854
148.040771	-82.606087
149.386597	-82.150604
150.732422	-80.394867
152.078247	-81.433006
153.424072	-82.689301
154.769897	-81.276077
156.115723	-82.214272
157.461548	-82.040405
158.807373	-82.391068
160.153198	-81.094498
161.499023	-79.620102
162.844849	-81.376152
164.190674	-81.006218
165.536499	-82.349037
166.882324	-80.851006
168.228149	-81.153458
169.573975	-81.468582
170.919800	-82.308990
172.265625	-81.548103
173.611450	-80.960312
174.957275	-80.767403
176.303101	-81.479637
177.648926	-81.194336
178.994751	-82.112656
180.340576	-80.169075
181.686401	-79.914085
183.032227	-81.293411
184.378052	-80.095970
185.723877	-79.876945
187.069702	-79.947258
188.415527	-79.310669
189.761353	-80.778236
191.107178	-81.101906
192.453003	-79.913139
193.798828	-79.594826
195.144653	-77.680832
196.490479	-78.729172
197.836304	-80.354355
199.182129	-79.165024
200.527954	-79.171867
201.873779	-78.303459
203.219604	-80.249886
204.565430	-79.396355
205.911255	-78.027290
207.257080	-78.044083
208.602905	-78.121391
209.948730	-77.278877
211.294556	-78.016243
212.640381	-79.349197
213.986206	-76.257706
215.332031	-78.265862
216.677856	-76.372673
218.023682	-76.307297
219.369507	-76.594933
220.715332	-77.237495
222.061157	-77.544373
223.406982	-74.289101
224.752808	-76.244179
226.098633	-76.337601
227.444458	-74.646927
228.790283	-73.817039
230.136108	-73.907112
231.481934	-72.289597
232.827759	-74.816429
234.173584	-73.476021
235.519409	-73.280830
236.865234	-74.033470
238.211060	-73.588493
239.556885	-72.352211
240.902710	-72.535957
242.248535	-73.329216
243.594360	-70.477615
244.940186	-69.929054
246.286011	-70.057854
247.631836	-69.596420
248.977661	-70.495224
250.323486	-70.536339
251.669312	-70.285362
253.015137	-69.858177
254.360962	-68.226906
255.706787	-67.643799
257.052612	-69.327415
258.398438	-68.763771
259.744263	-67.921234
261.090088	-66.082199
262.435913	-68.571579
263.781738	-64.100624
265.127563	-67.395401
266.473389	-66.431458
267.819214	-65.870750
269.165039	-66.689339
270.510864	-65.031227
271.856689	-63.358921
273.202515	-63.745461
274.548340	-63.073471
275.894165	-61.752949
277.239990	-62.682896
278.585815	-60.974354
279.931641	-63.273499
281.277466	-63.155556
282.623291	-60.674648
283.969116	-59.069004
285.314941	-60.906483
286.660767	-60.122814
288.006592	-59.340736
289.352417	-57.375835
290.698242	-57.370872
292.044067	-59.402248
293.389893	-56.434521
294.735718	-59.157249
296.081543	-58.467655
297.427368	-57.664444
298.773193	-60.901546
300.119019	-58.251236
301.464844	-57.343098
302.810669	-59.209560
304.156494	-56.510502
305.502319	-56.845104
306.848145	-58.530357
308.193970	-56.983292
309.539795	-54.436775
310.885620	-57.707844
312.231445	-55.236935
313.577271	-56.050804
314.923096	-55.304188
316.268921	-54.745571
317.614746	-55.542339
318.960571	-54.929825
320.306396	-57.104248
321.652222	-55.887207
322.998047	-56.689701
324.343872	-56.667755
325.689697	-57.097095
327.035522	-58.673965
328.381348	-57.332691
329.727173	-57.430794
331.072998	-59.380253
332.418823	-56.811646
333.764648	-58.959568
335.110474	-58.371910
336.456299	-57.973846
337.802124	-57.903938
339.147949	-59.757458
340.493774	-57.654213
341.839600	-58.529163
343.185425	-59.055149
344.531250	-60.157631
345.877075	-59.101490
347.222900	-58.368942
348.568726	-58.775558
349.914551	-59.484100
351.260376	-58.120842
352.606201	-59.481197
353.952026	-59.217209
355.297852	-60.733112
356.643677	-59.894241
357.989502	-60.900974
359.335327	-59.949326
360.681152	-62.355534
362.026978	-63.329659
363.372803	-62.997372
364.718628	-60.312145
366.064453	-62.256077
367.410278	-60.390408
368.756104	-59.726738
370.101929	-59.658703
371.447754	-60.599209
372.793579	-61.782658
374.139404	-61.251842
375.485229	-59.368263
376.831055	-60.231136
378.176880	-60.400455
379.522705	-61.119026
380.868530	-60.826565
382.214355	-59.800468
383.560181	-60.493744
384.906006	-59.786240
386.251831	-61.147827
387.597656	-61.139282
388.943481	-59.739197
390.289307	-61.062336
391.635132	-58.422523
392.980957	-59.961266
394.326782	-60.482777
395.672607	-60.181484
397.018433	-60.785622
398.364258	-60.817253
399.710083	-59.287163
401.055908	-59.727352
402.401733	-61.676247
403.747559	-59.348198
405.093384	-59.389774
406.439209	-59.170185
407.785034	-60.600559
409.130859	-60.782501
410.476685	-60.555378
411.822510	-62.004463
413.168335	-59.676712
414.514160	-60.430855
415.859985	-60.514484
417.205811	-59.909344
418.551636	-59.394386
419.897461	-59.008358
421.243286	-60.359749
422.589111	-58.910042
423.934937	-59.836857
425.280762	-58.401646
426.626587	-58.448711
427.972412	-58.685005
429.318237	-59.317814
430.664062	-59.751060
432.009888	-57.558155
433.355713	-57.714676
434.701538	-58.035164
436.047363	-59.058567
437.393188	-58.628311
438.739014	-57.666859
440.084839	-57.978973
441.430664	-57.924541
442.776489	-59.751953
444.122314	-58.323563
445.468140	-61.228462
446.813965	-57.817234
448.159790	-56.903324
449.505615	-56.682373
450.851440	-57.408718
452.197266	-55.575424
453.543091	-57.705605
454.888916	-58.864468
456.234741	-58.882717
457.580566	-58.484661
458.926392	-58.333714
460.272217	-57.847527
461.618042	-57.608318
462.963867	-59.559261
464.309692	-58.535679
465.655518	-56.740776
467.001343	-57.902660
468.347168	-57.844749
469.692993	-56.952759
471.038818	-56.523098
472.384644	-57.157436
473.730469	-55.697632
475.076294	-57.553135
476.422119	-56.788818
477.767944	-56.712715
479.113770	-55.008949
480.459595	-56.538815
481.805420	-57.288605
483.151245	-54.968395
484.497070	-55.490292
485.842896	-56.716511
487.188721	-57.333214
488.534546	-54.849857
489.880371	-55.002838
491.226196	-54.273499
492.572021	-53.043003
493.917847	-53.143780
495.263672	-55.445251
496.609497	-54.561638
497.955322	-57.124317
499.301147	-52.858944
500.646973	-53.998093
501.992798	-54.679607
503.338623	-55.449944
504.684448	-55.560627
506.030273	-52.257633
507.376099	-52.542698
508.721924	-53.439312
510.067749	-52.044338
511.413574	-55.334904
512.759399	-53.182652
514.105225	-51.627491
515.451050	-52.523712
516.796875	-52.494629
518.142700	-50.886490
519.488525	-50.138611
520.834351	-50.172859
522.180176	-50.753532
523.526001	-52.552158
524.871826	-50.788567
526.217651	-50.456322
527.563477	-50.186802
528.909302	-52.839592
530.255127	-51.269707
531.600952	-50.909737
532.946777	-50.870461
534.292603	-51.448105
535.638428	-50.295395
536.984253	-49.534794
538.330078	-52.154766
539.675903	-50.095249
541.021729	-48.833809
542.367554	-50.354382
543.713379	-49.991409
545.059204	-49.388500
546.405029	-51.503304
547.750854	-50.202137
549.096680	-48.472740
550.442505	-49.723820
551.788330	-51.503250
553.134155	-51.895817
554.479980	-49.719826
555.825806	-50.263939
557.171631	-49.604923
558.517456	-49.388771
559.863281	-49.279804
561.209106	-49.693817
562.554932	-50.944317
563.900757	-51.644974
565.246582	-50.835907
566.592407	-48.003704
567.938232	-48.971794
569.284058	-49.994789
570.629883	-49.699310
571.975708	-48.919174
573.321533	-50.118237
574.667358	-48.453121
576.013184	-50.450397
577.359009	-48.997406
578.704834	-48.611801
580.050659	-48.844116
581.396484	-46.958614
582.742310	-49.263699
584.088135	-50.944519
585.433960	-50.183567
