Frequency (Hz)	Level (dB)
1.345825	-47.883411
2.691650	-48.071175
4.037476	-46.141029
5.383301	-46.734509
6.729126	-47.170979
8.074951	-46.775936
9.420776	-48.294743
10.766602	-45.747379
12.112427	-46.216900
13.458252	-47.840607
14.804077	-47.457367
16.149902	-47.160614
17.495728	-47.400009
18.841553	-48.296661
20.187378	-47.914879
21.533203	-45.150177
22.879028	-48.635788
24.224854	-48.111607
25.570679	-46.601231
26.916504	-46.947773
28.262329	-45.411652
29.608154	-49.427738
30.953979	-48.210144
32.299805	-47.096626
33.645630	-48.596333
34.991455	-48.291950
36.337280	-46.812088
37.683105	-45.800827
39.028931	-47.060585
40.374756	-48.448906
41.720581	-48.531399
43.066406	-47.649380
44.412231	-47.263306
45.758057	-46.228668
47.103882	-47.206028
48.449707	-49.935452
49.795532	-47.106159
51.141357	-47.279213
52.487183	-45.988022
53.833008	-48.725887
55.178833	-46.439232
56.524658	-46.709435
57.870483	-47.144974
59.216309	-48.506290
60.562134	-48.532734
61.907959	-47.445255
63.253784	-46.756008
64.599609	-45.703602
65.945435	-44.882858
67.291260	-48.114349
68.637085	-47.173347
69.982910	-48.218826
71.328735	-47.941475
72.674561	-46.031696
74.020386	-47.250687
75.366211	-48.050777
76.712036	-46.422112
78.057861	-47.710293
79.403687	-47.350021
80.749512	-46.902580
82.095337	-47.961082
83.441162	-46.435562
84.786987	-48.014633
86.132812	-46.862186
87.478638	-46.999176
88.824463	-47.223438
90.170288	-46.789768
91.516113	-46.325897
92.861938	-45.980457
94.207764	-46.850666
95.553589	-47.929924
96.899414	-48.176601
98.245239	-47.440861
99.591064	-45.433949
100.936890	-46.620277
102.282715	-46.289223
103.628540	-46.697201
104.974365	-46.911026
106.320190	-46.456223
107.666016	-45.354660
109.011841	-46.950020
110.357666	-47.758068
111.703491	-46.731670
113.049316	-48.244640
114.395142	-45.970165
115.740967	-45.980885
117.086792	-46.827053
118.432617	-47.435955
119.778442	-48.728600
121.124268	-46.598560
122.470093	-46.083672
123.815918	-47.525497
125.161743	-46.688148
126.507568	-46.250111
127.853394	-47.376495
129.199219	-46.199528
130.545044	-47.616722
131.890869	-46.900707
133.236694	-47.622234
134.582520	-49.100750
135.928345	-46.760483
137.274170	-48.590317
138.619995	-48.565735
139.965820	-45.926857
141.311646	-45.992023
142.657471	-46.940533
144.003296	-47.050121
145.349121	-46.811874
146.694946	-46.004642
148.040771	-47.390038
149.386597	-47.284420
150.732422	-44.981186
152.078247	-46.854374
153.424072	-46.802689
154.769897	-48.559307
156.115723	-48.347721
157.461548	-47.789402
158.807373	-48.729206
160.153198	-45.457310
161.499023	-47.239246
162.844849	-45.993404
164.190674	-47.939400
165.536499	-47.671040
166.882324	-46.253864
168.228149	-47.104462
169.573975	-48.063862
170.919800	-47.313877
172.265625	-47.473248
173.611450	-47.881859
174.957275	-45.981514
176.303101	-46.257397
177.648926	-46.630474
178.994751	-47.564735
180.340576	-47.367691
181.686401	-46.621326
183.032227	-47.581356
184.378052	-45.692638
185.723877	-47.765736
187.069702	-47.228367
188.415527	-48.132484
189.761353	-47.355442
191.107178	-48.971188
192.453003	-47.525787
193.798828	-45.083675
195.144653	-44.283920
196.490479	-44.949169
197.836304	-48.251537
199.182129	-48.751934
200.527954	-47.293480
201.873779	-46.218483
203.219604	-49.121830
204.565430	-48.034355
205.911255	-46.859924
207.257080	-46.597740
208.602905	-46.975403
209.948730	-46.325459
211.294556	-47.046440
212.640381	-48.265430
213.986206	-46.139347
215.332031	-48.876640
216.677856	-47.988682
218.023682	-46.237564
219.369507	-46.672153
220.715332	-48.494083
222.061157	-47.245617
223.406982	-46.463844
224.752808	-48.076889
226.098633	-46.130138
227.444458	-45.377445
228.790283	-46.156448
230.136108	-46.669197
231.481934	-44.534149
232.827759	-48.761696
234.173584	-46.041718
235.519409	-46.548515
236.865234	-47.425011
238.211060	-46.796452
239.556885	-47.085026
240.902710	-48.630268
242.248535	-48.173515
243.594360	-46.325066
244.940186	-46.419682
246.286011	-47.113873
247.631836	-45.874638
248.977661	-48.225178
250.323486	-46.525280
251.669312	-47.237228
253.015137	-47.331802
254.360962	-45.903461
255.706787	-46.675037
257.052612	-48.378742
258.398438	-46.818413
259.744263	-47.526890
261.090088	-46.039425
262.435913	-48.646118
263.781738	-44.493053
265.127563	-49.183987
266.473389	-48.099056
267.819214	-47.630302
269.165039	-48.712727
270.510864	-47.642334
271.856689	-46.106873
273.202515	-47.410835
274.548340	-47.827919
275.894165	-47.174095
277.239990	-46.762150
278.585815	-45.774605
279.931641	-48.822750
281.277466	-49.927753
282.623291	-47.236179
283.969116	-45.683414
285.314941	-47.560787
286.660767	-47.353737
288.006592	-47.557865
289.352417	-45.683685
290.698242	-46.395721
292.044067	-48.672066
293.389893	-45.673412
294.735718	-47.977318
296.081543	-46.893387
297.427368	-47.193966
298.773193	-51.182301
300.119019	-48.765881
301.464844	-47.275864
