Frequency (Hz)	Level (dB)
0.976562	-89.921867
1.953125	-89.939453
2.929688	-89.733604
3.906250	-90.081047
4.882812	-89.723335
5.859375	-89.269371
6.835938	-88.691887
7.812500	-87.196053
8.789062	-88.958038
9.765625	-88.185799
10.742188	-86.532806
11.718750	-86.931526
12.695312	-85.974602
13.671875	-86.526428
14.648438	-84.431374
15.625000	-82.676842
16.601562	-86.027145
17.578125	-81.487137
18.554688	-84.832588
19.531250	-80.198875
20.507812	-82.796417
21.484375	-81.164658
22.460938	-80.004944
23.437500	-80.296227
24.414062	-79.981186
25.390625	-80.544899
26.367188	-79.953659
27.343750	-81.231361
28.320312	-80.675392
29.296875	-77.704269
30.273438	-78.764381
31.250000	-79.458664
32.226562	-79.916481
33.203125	-79.296417
34.179688	-81.835457
35.156250	-79.832985
36.132812	-78.403366
37.109375	-77.697052
38.085938	-77.314453
39.062500	-77.733986
40.039062	-79.130447
41.015625	-76.821045
41.992188	-79.399162
42.968750	-79.033340
43.945312	-77.767548
44.921875	-80.232956
45.898438	-80.655632
46.875000	-80.603310
47.851562	-78.360947
48.828125	-82.211609
49.804688	-83.497261
50.781250	-80.721802
51.757812	-80.471664
52.734375	-80.626381
53.710938	-82.507080
54.687500	-83.275063
55.664062	-83.527367
56.640625	-81.496231
57.617188	-79.494560
58.593750	-82.311333
59.570312	-82.842789
60.546875	-81.965179
61.523438	-82.101768
62.500000	-84.345428
63.476562	-83.368095
64.453125	-84.670868
65.429688	-83.161827
66.406250	-82.189171
67.382812	-83.265213
68.359375	-81.730766
69.335938	-81.106117
70.312500	-83.694672
71.289062	-82.510895
72.265625	-81.355820
73.242188	-83.195534
74.218750	-84.029198
75.195312	-82.398643
76.171875	-83.990517
77.148438	-83.226151
78.125000	-84.199478
79.101562	-82.721649
80.078125	-84.490005
81.054688	-82.934898
82.031250	-83.748398
83.007812	-84.643295
83.984375	-83.695625
84.960938	-81.169586
85.937500	-82.893341
86.914062	-85.369019
87.890625	-81.964317
88.867188	-80.888824
89.843750	-83.153427
90.820312	-81.326393
91.796875	-84.442482
92.773438	-81.897324
93.750000	-82.998207
94.726562	-82.536369
95.703125	-83.071167
96.679688	-83.240044
97.656250	-84.647278
98.632812	-82.681740
99.609375	-83.950325
100.585938	-83.144058
101.562500	-84.275291
102.539062	-84.124634
103.515625	-83.321877
104.492188	-84.167625
105.468750	-83.459793
106.445312	-83.327881
107.421875	-85.126923
108.398438	-86.014267
109.375000	-82.911583
110.351562	-82.181450
111.328125	-84.454773
112.304688	-85.678246
113.281250	-83.719894
114.257812	-82.557724
115.234375	-84.259422
116.210938	-83.403252
117.187500	-84.714828
118.164062	-82.910370
119.140625	-83.781647
120.117188	-83.897560
121.093750	-86.876740
122.070312	-85.283531
123.046875	-83.516388
124.023438	-84.270874
125.000000	-82.545654
125.976562	-84.228043
126.953125	-83.726387
127.929688	-84.202148
128.906250	-83.237076
129.882812	-87.669647
130.859375	-84.129532
131.835938	-82.663025
132.812500	-85.408844
133.789062	-86.048103
134.765625	-82.685303
135.742188	-82.578781
136.718750	-86.897881
137.695312	-82.914597
138.671875	-83.867210
139.648438	-84.167038
140.625000	-83.979431
141.601562	-83.754028
142.578125	-85.276779
143.554688	-84.525902
144.531250	-84.566963
145.507812	-83.687035
146.484375	-83.869926
147.460938	-82.810966
148.437500	-84.305199
149.414062	-83.545639
150.390625	-84.072899
151.367188	-84.615334
152.343750	-83.939903
153.320312	-82.954132
154.296875	-84.014999
155.273438	-84.909538
156.250000	-84.108589
157.226562	-84.103012
158.203125	-83.832924
159.179688	-82.959068
160.156250	-84.612556
161.132812	-83.271812
162.109375	-83.928673
163.085938	-82.850838
164.062500	-82.283798
165.039062	-82.753296
166.015625	-84.400558
166.992188	-82.416679
167.968750	-82.675430
168.945312	-84.104752
169.921875	-82.909004
170.898438	-83.257233
171.875000	-83.786400
172.851562	-84.845284
173.828125	-82.831741
174.804688	-82.961693
175.781250	-81.535408
176.757812	-84.049736
177.734375	-81.600418
178.710938	-83.901382
179.687500	-84.692276
180.664062	-83.901398
181.640625	-81.795319
182.617188	-81.696754
183.593750	-81.723907
184.570312	-83.033951
185.546875	-83.985031
186.523438	-82.349480
187.500000	-82.590691
188.476562	-84.226166
189.453125	-81.288071
190.429688	-82.745911
191.406250	-82.856857
192.382812	-83.407028
193.359375	-83.211723
194.335938	-82.925056
195.312500	-83.024879
196.289062	-84.478172
197.265625	-81.776276
198.242188	-80.825584
199.218750	-82.231178
200.195312	-82.360268
201.171875	-82.994713
202.148438	-81.386322
203.125000	-81.254517
204.101562	-83.058182
