Frequency (Hz)	Level (dB)
0.976562	-47.020576
1.953125	-48.351143
2.929688	-46.753506
3.906250	-46.535004
4.882812	-46.410301
5.859375	-46.443352
6.835938	-49.088795
7.812500	-44.702751
8.789062	-45.305103
9.765625	-48.372650
10.742188	-46.165474
11.718750	-47.120724
12.695312	-47.366222
13.671875	-46.664371
14.648438	-47.159931
15.625000	-45.791431
16.601562	-47.643799
17.578125	-48.064137
18.554688	-47.158970
19.531250	-47.030396
20.507812	-44.783577
21.484375	-47.758717
22.460938	-47.849545
23.437500	-47.295151
24.414062	-48.114475
25.390625	-47.939747
26.367188	-47.745655
27.343750	-46.333088
28.320312	-47.558372
29.296875	-49.714634
30.273438	-47.354958
31.250000	-49.238216
32.226562	-46.723656
33.203125	-46.002911
34.179688	-46.984821
35.156250	-50.232494
36.132812	-47.496914
37.109375	-46.453079
38.085938	-45.646107
39.062500	-49.120220
40.039062	-45.867607
41.015625	-46.803806
41.992188	-46.631035
42.968750	-48.791859
43.945312	-48.985062
44.921875	-47.617878
45.898438	-47.439823
46.875000	-45.864204
47.851562	-45.067127
48.828125	-46.532288
49.804688	-46.998623
50.781250	-47.284874
51.757812	-46.957439
52.734375	-46.029446
53.710938	-46.639572
54.687500	-47.301723
55.664062	-48.700432
56.640625	-48.861404
57.617188	-47.701328
58.593750	-47.624725
59.570312	-48.917236
60.546875	-46.779984
61.523438	-48.087139
62.500000	-46.658745
63.476562	-46.478615
64.453125	-46.799294
65.429688	-47.592281
66.406250	-46.370983
67.382812	-48.962330
68.359375	-48.138573
69.335938	-47.401638
70.312500	-47.082523
71.289062	-46.978893
72.265625	-45.545139
73.242188	-47.920708
74.218750	-46.712494
75.195312	-47.193466
76.171875	-47.765423
77.148438	-46.667511
78.125000	-46.727596
79.101562	-47.319305
80.078125	-47.593014
81.054688	-45.223671
82.031250	-48.365406
83.007812	-45.553455
83.984375	-47.110889
84.960938	-46.938484
85.937500	-46.943649
86.914062	-48.552521
87.890625	-48.291431
88.867188	-46.052818
89.843750	-45.979958
90.820312	-45.951832
91.796875	-46.849289
92.773438	-47.897984
93.750000	-45.632736
94.726562	-48.678665
95.703125	-48.076752
96.679688	-47.985924
97.656250	-48.537563
98.632812	-46.820518
99.609375	-49.502186
100.585938	-47.425640
101.562500	-45.539425
102.539062	-46.661674
103.515625	-47.421631
104.492188	-48.040840
105.468750	-49.132339
106.445312	-46.401325
107.421875	-48.083168
108.398438	-47.026081
109.375000	-45.071701
110.351562	-46.815472
111.328125	-46.034466
112.304688	-47.441212
113.281250	-47.231834
114.257812	-49.484669
115.234375	-48.931858
116.210938	-46.941444
117.187500	-46.863667
118.164062	-46.828312
119.140625	-47.016529
120.117188	-46.843578
121.093750	-46.248009
122.070312	-47.293335
123.046875	-51.940056
124.023438	-47.785309
125.000000	-47.816833
125.976562	-47.369473
126.953125	-45.952240
127.929688	-45.605198
128.906250	-47.215816
129.882812	-49.504284
130.859375	-48.669701
131.835938	-44.852852
132.812500	-48.273590
133.789062	-46.806175
134.765625	-47.995640
135.742188	-47.259937
136.718750	-47.400078
137.695312	-47.235508
138.671875	-48.760063
139.648438	-47.622066
140.625000	-44.941120
141.601562	-42.471516
142.578125	-44.481144
143.554688	-48.263920
144.531250	-48.262295
145.507812	-47.269035
146.484375	-46.116028
147.460938	-47.720982
148.437500	-47.559486
149.414062	-48.120651
150.390625	-46.218639
151.367188	-45.739075
152.343750	-46.620937
153.320312	-48.678043
154.296875	-49.218620
155.273438	-45.582417
156.250000	-47.439121
157.226562	-47.704105
158.203125	-46.009811
159.179688	-45.740940
160.156250	-47.382862
161.132812	-47.278503
162.109375	-47.198845
163.085938	-49.140953
164.062500	-47.149113
165.039062	-46.136196
166.015625	-46.113464
166.992188	-45.724159
167.968750	-45.900700
168.945312	-50.643269
169.921875	-48.702110
170.898438	-47.903767
171.875000	-47.680534
172.851562	-46.951038
173.828125	-48.048645
174.804688	-48.447529
175.781250	-47.848064
176.757812	-47.552597
177.734375	-46.472683
178.710938	-46.741280
179.687500	-45.735394
180.664062	-47.227901
181.640625	-47.720634
182.617188	-47.625290
183.593750	-46.776150
184.570312	-46.002319
185.546875	-47.146111
186.523438	-48.162952
187.500000	-47.345016
188.476562	-47.541447
189.453125	-45.765465
190.429688	-49.378365
191.406250	-44.956116
192.382812	-49.948097
193.359375	-47.739220
194.335938	-47.619610
195.312500	-49.091911
196.289062	-46.272877
