Frequency (Hz)	Level (dB)
1.345825	-85.249954
2.691650	-85.188950
4.037476	-85.124557
5.383301	-84.976547
6.729126	-84.734795
8.074951	-84.070831
9.420776	-84.180092
10.766602	-83.175888
12.112427	-83.337639
13.458252	-82.130348
14.804077	-81.670547
16.149902	-81.326248
17.495728	-80.616707
18.841553	-80.340660
20.187378	-79.342873
21.533203	-80.050316
22.879028	-78.587479
24.224854	-79.172356
25.570679	-78.805397
26.916504	-79.339355
28.262329	-79.098457
29.608154	-77.841980
30.953979	-77.860489
32.299805	-77.832710
33.645630	-76.604523
34.991455	-77.666748
36.337280	-78.674767
37.683105	-77.835251
39.028931	-76.736389
40.374756	-76.453278
41.720581	-78.731117
43.066406	-78.755302
44.412231	-78.506310
45.758057	-78.583481
47.103882	-78.357742
48.449707	-77.848068
49.795532	-77.251747
51.141357	-79.632355
52.487183	-78.530296
53.833008	-78.668594
55.178833	-79.113976
56.524658	-79.846008
57.870483	-78.552864
59.216309	-80.014984
60.562134	-78.985970
61.907959	-79.563843
63.253784	-80.024475
64.599609	-79.758163
65.945435	-80.156693
67.291260	-79.890900
68.637085	-80.673294
69.982910	-80.897034
71.328735	-80.330124
72.674561	-79.968109
74.020386	-80.626839
75.366211	-81.322510
76.712036	-80.595177
78.057861	-81.765045
79.403687	-80.887093
80.749512	-80.783974
82.095337	-81.144379
83.441162	-80.384117
84.786987	-80.780220
86.132812	-81.353348
87.478638	-81.130753
88.824463	-81.596451
90.170288	-81.667137
91.516113	-81.136238
92.861938	-82.137115
94.207764	-81.081177
95.553589	-81.387505
96.899414	-81.106194
98.245239	-81.833084
99.591064	-82.140686
100.936890	-80.927582
102.282715	-82.036057
103.628540	-81.149269
104.974365	-80.244522
106.320190	-81.929169
107.666016	-81.559288
109.011841	-80.475243
110.357666	-80.767303
111.703491	-81.451241
113.049316	-80.940475
114.395142	-79.326012
115.740967	-81.272156
117.086792	-80.620079
118.432617	-81.021240
119.778442	-80.217316
121.124268	-80.903236
122.470093	-81.081841
123.815918	-80.338753
125.161743	-80.854874
126.507568	-81.290413
127.853394	-80.945000
129.199219	-81.765068
130.545044	-80.907249
131.890869	-80.188766
133.236694	-80.088760
134.582520	-80.385452
135.928345	-80.907669
137.274170	-80.187149
138.619995	-81.001167
139.965820	-80.573395
141.311646	-80.406311
142.657471	-80.760338
144.003296	-80.334717
145.349121	-80.353165
146.694946	-79.995049
148.040771	-80.660645
149.386597	-80.956627
150.732422	-80.784492
152.078247	-80.266289
153.424072	-80.924171
154.769897	-79.505234
156.115723	-79.961212
157.461548	-80.091255
158.807373	-80.572281
160.153198	-80.442398
161.499023	-80.618950
162.844849	-80.501274
164.190674	-79.811607
165.536499	-80.311249
166.882324	-80.016632
168.228149	-80.110558
169.573975	-79.530060
170.919800	-79.277657
172.265625	-79.860176
173.611450	-79.338364
174.957275	-80.115189
176.303101	-79.587761
177.648926	-79.972420
178.994751	-79.720001
180.340576	-79.973045
181.686401	-79.112633
183.032227	-80.239540
184.378052	-79.038406
185.723877	-78.268051
187.069702	-79.234688
188.415527	-78.846855
189.761353	-79.021355
191.107178	-78.925095
192.453003	-78.256989
193.798828	-79.107414
195.144653	-77.281029
196.490479	-77.731796
197.836304	-77.715439
199.182129	-77.244606
200.527954	-77.683556
201.873779	-77.459404
203.219604	-78.299217
204.565430	-77.678429
205.911255	-77.573685
207.257080	-76.908379
208.602905	-77.412651
209.948730	-78.086075
211.294556	-78.125717
212.640381	-76.337997
213.986206	-77.089493
215.332031	-76.011345
216.677856	-76.381897
218.023682	-75.791031
219.369507	-75.037827
220.715332	-76.310699
222.061157	-76.253548
223.406982	-74.918701
224.752808	-74.713905
226.098633	-74.157310
227.444458	-74.427345
228.790283	-74.347534
230.136108	-75.031807
231.481934	-74.445358
232.827759	-73.514061
234.173584	-73.275665
235.519409	-73.901390
236.865234	-74.082649
238.211060	-72.926926
239.556885	-73.400757
240.902710	-72.148804
242.248535	-71.711929
243.594360	-71.115883
244.940186	-70.451118
246.286011	-70.924126
247.631836	-70.087120
248.977661	-70.759033
250.323486	-70.447334
251.669312	-69.624901
253.015137	-68.410103
254.360962	-68.702721
255.706787	-69.031715
257.052612	-68.209908
258.398438	-67.606209
259.744263	-68.379944
261.090088	-67.787148
262.435913	-66.857903
263.781738	-66.829773
265.127563	-66.385788
266.473389	-65.889061
267.819214	-65.725128
269.165039	-64.839600
270.510864	-64.363258
271.856689	-63.417522
273.202515	-63.559460
274.548340	-64.256660
275.894165	-62.542576
277.239990	-64.485703
278.585815	-63.160645
279.931641	-61.194611
281.277466	-61.846142
282.623291	-61.449974
283.969116	-59.772007
285.314941	-59.690311
286.660767	-59.828007
288.006592	-59.694561
289.352417	-59.696705
290.698242	-58.574257
292.044067	-59.194473
293.389893	-57.878689
294.735718	-57.929302
296.081543	-57.614204
297.427368	-57.438202
298.773193	-56.917034
300.119019	-56.941360
301.464844	-55.517967
302.810669	-57.100880
304.156494	-55.121086
305.502319	-55.653069
306.848145	-56.143272
308.193970	-55.546551
309.539795	-55.083775
310.885620	-55.381229
312.231445	-54.416687
313.577271	-55.451588
314.923096	-55.112827
316.268921	-55.054440
317.614746	-55.310902
318.960571	-55.842400
320.306396	-56.847401
321.652222	-57.633732
322.998047	-55.732540
324.343872	-55.621449
325.689697	-55.210712
327.035522	-57.382954
328.381348	-56.113178
329.727173	-57.469803
331.072998	-56.580223
332.418823	-56.525036
333.764648	-56.322620
335.110474	-56.669552
336.456299	-57.277863
337.802124	-57.552101
339.147949	-56.998055
340.493774	-58.200386
341.839600	-57.268101
343.185425	-57.659214
344.531250	-58.769886
345.877075	-59.963120
347.222900	-59.588329
348.568726	-58.734940
349.914551	-58.247993
351.260376	-58.477226
352.606201	-59.270260
353.952026	-59.734432
355.297852	-59.684826
356.643677	-59.981205
357.989502	-59.649063
359.335327	-59.247318
360.681152	-60.591469
362.026978	-59.358059
363.372803	-60.808609
364.718628	-60.843933
366.064453	-60.281773
367.410278	-59.697933
368.756104	-59.275925
370.101929	-60.173149
371.447754	-60.672318
372.793579	-60.170589
374.139404	-60.992771
375.485229	-60.763584
376.831055	-60.955101
378.176880	-61.044514
379.522705	-60.147255
380.868530	-59.916203
382.214355	-59.512241
383.560181	-59.703285
384.906006	-61.133774
386.251831	-60.285851
387.597656	-59.733524
388.943481	-59.713299
390.289307	-60.532200
391.635132	-60.220982
392.980957	-60.266132
394.326782	-60.493866
395.672607	-60.037750
397.018433	-58.642990
398.364258	-59.399086
399.710083	-59.143749
401.055908	-59.728935
402.401733	-59.434483
403.747559	-58.638584
405.093384	-60.431225
406.439209	-59.691566
407.785034	-58.299839
409.130859	-60.052021
410.476685	-59.746376
411.822510	-60.100819
413.168335	-58.956406
414.514160	-58.418606
415.859985	-58.751060
417.205811	-59.024296
418.551636	-58.081638
419.897461	-59.190727
421.243286	-58.430237
422.589111	-58.107040
423.934937	-59.380913
425.280762	-58.918320
426.626587	-59.002983
427.972412	-58.431530
429.318237	-57.712921
430.664062	-58.117096
432.009888	-57.739861
433.355713	-59.203926
434.701538	-58.954582
436.047363	-58.578796
437.393188	-58.015701
438.739014	-58.523460
440.084839	-57.613895
441.430664	-58.198681
442.776489	-57.767555
444.122314	-57.294090
445.468140	-56.548237
446.813965	-57.299480
448.159790	-57.589413
449.505615	-59.073254
450.851440	-57.438927
452.197266	-57.716080
453.543091	-57.503563
454.888916	-56.760376
456.234741	-57.168015
457.580566	-56.632465
458.926392	-56.753674
460.272217	-56.215351
461.618042	-57.089516
462.963867	-57.012798
464.309692	-56.862232
465.655518	-56.005283
467.001343	-55.895699
468.347168	-56.148262
469.692993	-55.992176
471.038818	-55.935822
472.384644	-55.098152
473.730469	-55.676582
475.076294	-56.883137
476.422119	-55.250374
477.767944	-55.685043
479.113770	-55.160202
480.459595	-54.473633
481.805420	-55.357841
483.151245	-55.367817
484.497070	-55.194691
485.842896	-55.883133
487.188721	-55.665127
488.534546	-55.203011
489.880371	-54.508572
491.226196	-55.047169
492.572021	-54.374100
493.917847	-53.642094
495.263672	-53.913025
496.609497	-53.610401
497.955322	-52.893040
499.301147	-53.793694
500.646973	-53.777428
501.992798	-53.215733
503.338623	-53.677155
504.684448	-52.546345
506.030273	-53.206593
507.376099	-53.063950
508.721924	-52.170921
510.067749	-51.494438
511.413574	-52.458084
512.759399	-51.605946
514.105225	-50.566582
515.451050	-51.525471
516.796875	-50.951099
518.142700	-50.300987
519.488525	-52.211189
520.834351	-51.033306
522.180176	-51.276245
523.526001	-51.012989
524.871826	-50.219906
526.217651	-50.678436
527.563477	-49.749622
528.909302	-50.551750
530.255127	-50.702785
531.600952	-50.627583
532.946777	-50.091560
534.292603	-49.163708
535.638428	-48.542618
536.984253	-48.866768
538.330078	-48.980957
539.675903	-49.256233
541.021729	-48.976406
542.367554	-48.640324
543.713379	-49.317623
545.059204	-48.782177
546.405029	-49.629597
547.750854	-49.671322
549.096680	-48.897327
550.442505	-49.136452
551.788330	-49.125427
553.134155	-48.748466
554.479980	-47.759014
555.825806	-47.528934
557.171631	-48.694546
558.517456	-47.779190
559.863281	-47.452454
561.209106	-47.717480
562.554932	-48.172031
563.900757	-47.378284
565.246582	-47.870842
566.592407	-48.113113
567.938232	-47.271114
569.284058	-47.373337
570.629883	-47.653618
571.975708	-48.590733
573.321533	-48.241188
574.667358	-48.384735
576.013184	-47.209969
577.359009	-48.037296
578.704834	-47.570415
580.050659	-47.136799
581.396484	-48.077549
582.742310	-48.476734
584.088135	-47.841446
585.433960	-47.990555
586.779785	-48.214008
588.125610	-48.670315
589.471436	-48.528114
590.817261	-49.131985
592.163086	-49.203037
593.508911	-48.110115
594.854736	-48.194294
596.200562	-47.841930
597.546387	-48.682270
598.892212	-47.524960
600.238037	-47.695194
601.583862	-46.814747
602.929688	-48.201416
604.275513	-48.323093
605.621338	-48.259964
606.967163	-49.276443
608.312988	-48.284229
609.658813	-47.804440
611.004639	-48.884430
612.350464	-48.960552
613.696289	-48.229321
615.042114	-47.677315
616.387939	-48.647690
617.733765	-48.115963
619.079590	-47.921516
620.425415	-48.458027
621.771240	-48.978580
623.117065	-49.329372
624.462891	-48.565426
625.808716	-48.347134
627.154541	-48.847351
628.500366	-48.024979
629.846191	-49.315060
631.192017	-49.682613
632.537842	-47.412380
633.883667	-48.677410
635.229492	-47.967678
636.575317	-48.439419
637.921143	-49.566383
639.266968	-48.976738
640.612793	-47.541389
641.958618	-49.365776
643.304443	-49.108772
644.650269	-48.441330
645.996094	-48.484016
647.341919	-49.241093
648.687744	-49.187096
650.033569	-49.289726
651.379395	-48.191528
652.725220	-48.178806
654.071045	-48.558304
655.416870	-48.820576
656.762695	-48.266964
658.108521	-48.901642
659.454346	-49.272583
660.800171	-49.676929
662.145996	-48.364025
663.491821	-49.156960
664.837646	-48.497421
666.183472	-48.138134
667.529297	-49.035973
668.875122	-49.113758
670.220947	-48.901226
671.566772	-49.178879
672.912598	-49.728302
674.258423	-48.724373
675.604248	-49.704163
676.950073	-49.590435
678.295898	-49.269272
679.641724	-48.206604
680.987549	-48.304783
682.333374	-48.948772
683.679199	-49.307529
685.025024	-48.570843
686.370850	-50.163719
687.716675	-48.188656
689.062500	-49.418674
690.408325	-48.816605
691.754150	-48.474075
693.099976	-49.666080
694.445801	-49.738396
695.791626	-49.901627
697.137451	-48.845303
698.483276	-49.672997
699.829102	-49.449360
701.174927	-48.927216
702.520752	-49.533806
703.866577	-49.937763
705.212402	-49.756321
706.558228	-49.312572
707.904053	-49.622597
709.249878	-49.900280
710.595703	-50.340439
711.941528	-51.071495
713.287354	-49.332169
714.633179	-50.896587
715.979004	-49.679169
717.324829	-50.357449
718.670654	-50.723217
720.016479	-51.778168
721.362305	-49.941002
722.708130	-49.751492
724.053955	-50.542301
725.399780	-49.462276
726.745605	-49.803528
728.091431	-50.636055
729.437256	-50.935413
730.783081	-52.368599
732.128906	-51.855495
733.474731	-49.753368
734.820557	-51.028275
736.166382	-51.018627
737.512207	-50.894939
738.858032	-50.496902
740.203857	-50.920883
741.549683	-50.700542
742.895508	-51.430389
