Frequency (Hz)	Level (dB)
1.345825	-47.298630
2.691650	-46.854725
4.037476	-46.467262
5.383301	-46.756516
6.729126	-46.912754
8.074951	-45.816116
9.420776	-46.748772
10.766602	-46.582378
12.112427	-46.070366
13.458252	-46.994644
14.804077	-46.352985
16.149902	-46.536358
17.495728	-47.544155
18.841553	-47.779617
20.187378	-47.084335
21.533203	-48.371964
22.879028	-47.345379
24.224854	-46.452885
25.570679	-47.007992
26.916504	-47.063511
28.262329	-46.692085
29.608154	-47.265331
30.953979	-46.954807
32.299805	-47.351097
33.645630	-46.663860
34.991455	-46.131069
36.337280	-46.689552
37.683105	-47.139080
39.028931	-46.698738
40.374756	-47.693451
41.720581	-46.500626
43.066406	-46.527481
44.412231	-46.920357
45.758057	-48.064507
47.103882	-48.092564
48.449707	-46.362007
49.795532	-47.959934
51.141357	-47.501884
52.487183	-46.234791
53.833008	-46.476234
55.178833	-46.514038
56.524658	-46.664604
57.870483	-46.772461
59.216309	-46.282440
60.562134	-46.027374
61.907959	-46.006313
63.253784	-47.047218
64.599609	-47.368240
65.945435	-46.518650
67.291260	-47.366428
68.637085	-47.188301
69.982910	-47.292786
71.328735	-46.265179
72.674561	-45.422562
74.020386	-45.949318
75.366211	-46.644539
76.712036	-46.844963
78.057861	-47.454498
79.403687	-46.348755
80.749512	-47.331066
82.095337	-47.487194
83.441162	-46.699505
84.786987	-47.171783
86.132812	-46.541412
87.478638	-46.201271
88.824463	-46.683254
90.170288	-47.265507
91.516113	-46.742867
92.861938	-46.110664
94.207764	-47.808128
95.553589	-48.094910
96.899414	-47.347492
98.245239	-46.752289
99.591064	-47.659451
100.936890	-46.673431
102.282715	-46.567707
103.628540	-47.458256
104.974365	-46.683739
106.320190	-47.046272
107.666016	-47.186615
109.011841	-46.831905
110.357666	-46.252625
111.703491	-46.307991
113.049316	-46.720287
114.395142	-45.626949
115.740967	-45.862812
117.086792	-47.147984
118.432617	-47.626842
119.778442	-46.868710
121.124268	-46.517864
122.470093	-46.067265
123.815918	-48.351185
125.161743	-46.851803
126.507568	-46.428650
127.853394	-47.357666
129.199219	-46.308289
130.545044	-47.337982
131.890869	-47.672321
133.236694	-48.148560
134.582520	-46.455124
135.928345	-47.774349
137.274170	-46.289352
138.619995	-45.966961
139.965820	-46.753437
141.311646	-47.268265
142.657471	-47.395073
144.003296	-46.719501
145.349121	-46.497135
146.694946	-46.274338
148.040771	-47.601234
149.386597	-46.923786
150.732422	-46.459507
152.078247	-46.883820
153.424072	-47.518505
154.769897	-47.064289
156.115723	-47.881538
157.461548	-47.846764
158.807373	-46.538658
160.153198	-47.739880
161.499023	-46.290657
162.844849	-47.424404
164.190674	-46.311405
165.536499	-47.416344
166.882324	-46.444069
168.228149	-46.361938
169.573975	-46.875488
170.919800	-45.896049
172.265625	-47.035294
173.611450	-46.683300
174.957275	-47.176949
176.303101	-47.556530
177.648926	-47.263306
178.994751	-47.913841
180.340576	-47.194878
181.686401	-47.756256
183.032227	-46.682915
184.378052	-47.613422
185.723877	-46.638905
187.069702	-46.353195
188.415527	-46.299641
189.761353	-46.667023
191.107178	-46.330967
192.453003	-46.284111
193.798828	-47.563034
195.144653	-46.328247
196.490479	-47.316662
197.836304	-47.107437
199.182129	-46.700085
200.527954	-46.916721
201.873779	-46.115669
203.219604	-46.970242
204.565430	-47.285072
205.911255	-48.038326
207.257080	-48.102795
208.602905	-47.577297
209.948730	-46.744835
211.294556	-47.725304
212.640381	-46.592346
213.986206	-46.214325
215.332031	-46.824234
216.677856	-47.480682
218.023682	-47.557877
219.369507	-45.747810
220.715332	-46.323242
222.061157	-47.240673
223.406982	-47.785164
224.752808	-46.740822
226.098633	-45.822590
227.444458	-46.850128
228.790283	-46.669323
230.136108	-47.400063
231.481934	-46.982174
232.827759	-47.033970
234.173584	-48.118076
235.519409	-47.823383
236.865234	-46.980148
238.211060	-47.037373
239.556885	-47.342079
240.902710	-46.360046
242.248535	-46.011635
243.594360	-46.459015
244.940186	-46.063610
246.286011	-47.271740
247.631836	-46.185051
248.977661	-47.357483
250.323486	-47.526672
251.669312	-47.056469
253.015137	-46.418087
254.360962	-46.216496
255.706787	-47.537868
257.052612	-47.216522
258.398438	-46.704357
259.744263	-47.665520
261.090088	-47.739498
262.435913	-47.370445
263.781738	-47.289173
265.127563	-47.214638
266.473389	-46.986443
267.819214	-47.054543
269.165039	-47.536495
270.510864	-46.997509
271.856689	-46.257172
273.202515	-47.300735
274.548340	-47.657253
275.894165	-46.058327
277.239990	-48.750988
278.585815	-48.263756
279.931641	-45.890705
281.277466	-47.432396
282.623291	-46.878563
283.969116	-46.187653
285.314941	-46.453712
286.660767	-47.209595
288.006592	-46.724293
289.352417	-47.174835
290.698242	-47.164303
292.044067	-47.575466
293.389893	-47.029865
294.735718	-47.229416
296.081543	-47.076660
297.427368	-47.474449
298.773193	-46.872105
300.119019	-47.551285
301.464844	-46.509777
302.810669	-48.322170
304.156494	-46.018459
305.502319	-46.523651
306.848145	-48.021755
308.193970	-47.115025
309.539795	-46.673397
310.885620	-46.784527
312.231445	-45.895199
313.577271	-46.990971
314.923096	-47.575924
316.268921	-47.208668
317.614746	-46.697254
318.960571	-47.120094
320.306396	-47.696213
321.652222	-48.418690
322.998047	-46.829842
324.343872	-46.556988
325.689697	-45.400410
327.035522	-48.647041
328.381348	-47.176933
329.727173	-47.362934
331.072998	-46.648529
332.418823	-47.043308
333.764648	-46.217285
335.110474	-46.380989
336.456299	-46.800743
337.802124	-46.205101
339.147949	-46.422256
340.493774	-47.805454
341.839600	-46.280270
343.185425	-47.108173
344.531250	-47.740536
345.877075	-47.750999
347.222900	-47.241478
348.568726	-47.180450
349.914551	-46.318127
351.260376	-46.998619
352.606201	-46.998928
353.952026	-47.175083
355.297852	-47.916153
356.643677	-47.770935
357.989502	-47.571777
359.335327	-46.997021
360.681152	-47.967682
362.026978	-46.708771
363.372803	-48.250515
364.718628	-47.929901
366.064453	-47.305138
367.410278	-47.591057
368.756104	-46.704609
370.101929	-47.669483
371.447754	-48.047218
372.793579	-47.291885
374.139404	-47.920559
375.485229	-48.045479
376.831055	-47.761948
378.176880	-47.431622
379.522705	-47.322189
380.868530	-47.099792
382.214355	-47.014584
383.560181	-47.485867
384.906006	-47.884655
386.251831	-47.439678
387.597656	-47.013630
388.943481	-46.735180
390.289307	-47.179871
391.635132	-47.245964
392.980957	-47.648701
394.326782	-47.630959
395.672607	-47.492165
397.018433	-45.978043
398.364258	-46.526310
399.710083	-46.681889
401.055908	-46.507996
402.401733	-46.895596
403.747559	-45.870968
405.093384	-47.145260
406.439209	-47.054619
407.785034	-46.213455
409.130859	-47.131596
410.476685	-46.955784
411.822510	-47.365887
413.168335	-46.575611
414.514160	-46.741638
415.859985	-46.678036
417.205811	-46.566490
418.551636	-45.952488
419.897461	-47.044605
421.243286	-46.868290
422.589111	-46.465309
423.934937	-46.921772
425.280762	-46.839336
426.626587	-46.953526
427.972412	-47.056484
429.318237	-46.409584
430.664062	-46.852489
432.009888	-47.008507
433.355713	-47.840126
434.701538	-47.100647
436.047363	-47.770405
437.393188	-47.133789
438.739014	-47.555229
440.084839	-46.488392
441.430664	-46.717724
442.776489	-47.655380
444.122314	-46.811005
445.468140	-45.646908
446.813965	-46.706573
448.159790	-46.820469
449.505615	-48.521606
450.851440	-47.084366
452.197266	-47.576561
453.543091	-46.875912
454.888916	-46.765621
456.234741	-47.519882
457.580566	-46.996647
458.926392	-46.679569
460.272217	-46.342228
461.618042	-47.390228
462.963867	-47.569523
464.309692	-47.494015
465.655518	-46.629395
467.001343	-46.439869
468.347168	-46.282642
469.692993	-46.340218
471.038818	-47.000145
472.384644	-46.154507
473.730469	-46.883381
475.076294	-47.818729
476.422119	-46.492184
477.767944	-47.121769
479.113770	-46.353619
480.459595	-46.295227
481.805420	-47.639011
483.151245	-47.483147
484.497070	-46.778507
485.842896	-47.622196
487.188721	-48.039448
488.534546	-47.849136
489.880371	-46.749542
491.226196	-47.109776
492.572021	-47.304058
493.917847	-46.330147
495.263672	-47.108856
496.609497	-46.570564
497.955322	-46.506050
499.301147	-47.811131
500.646973	-47.092579
501.992798	-46.002640
503.338623	-47.633167
504.684448	-46.682930
506.030273	-47.371246
507.376099	-46.968349
508.721924	-47.114353
510.067749	-46.185150
511.413574	-46.777851
512.759399	-46.303478
514.105225	-45.680851
515.451050	-46.581581
516.796875	-46.011967
518.142700	-45.999504
519.488525	-48.009338
520.834351	-46.597466
522.180176	-46.655956
523.526001	-47.364304
524.871826	-46.361744
526.217651	-46.879375
527.563477	-46.310337
528.909302	-47.273975
530.255127	-47.160088
531.600952	-47.251686
532.946777	-46.958984
534.292603	-46.244022
535.638428	-46.414051
536.984253	-46.870579
538.330078	-46.316669
539.675903	-46.614754
541.021729	-46.808086
542.367554	-46.304977
543.713379	-46.563454
545.059204	-47.392563
546.405029	-47.710873
547.750854	-48.002590
549.096680	-47.084229
550.442505	-47.157127
551.788330	-46.876575
553.134155	-47.153698
554.479980	-46.880512
555.825806	-46.310688
557.171631	-46.528984
558.517456	-46.103493
559.863281	-46.508884
561.209106	-47.064953
562.554932	-47.169868
563.900757	-46.117718
565.246582	-46.107143
566.592407	-46.888416
567.938232	-46.398846
569.284058	-46.624882
570.629883	-46.752872
571.975708	-48.192745
573.321533	-47.550968
574.667358	-47.240433
576.013184	-46.607201
577.359009	-47.052864
578.704834	-46.757015
580.050659	-46.759163
581.396484	-47.015507
582.742310	-47.238293
584.088135	-47.036167
585.433960	-47.589161
586.779785	-46.915867
588.125610	-47.127697
589.471436	-47.652245
590.817261	-47.970112
592.163086	-47.907558
593.508911	-46.748444
594.854736	-47.121082
596.200562	-47.101883
597.546387	-47.586105
598.892212	-46.045124
600.238037	-46.173992
601.583862	-46.255760
602.929688	-47.128536
604.275513	-47.180988
605.621338	-47.439877
606.967163	-47.477943
608.312988	-46.954189
609.658813	-46.888943
611.004639	-48.297428
612.350464	-47.601509
613.696289	-46.894913
615.042114	-46.775127
616.387939	-46.711597
617.733765	-46.731106
619.079590	-46.738297
620.425415	-46.381180
621.771240	-47.212772
623.117065	-48.276783
624.462891	-47.589554
625.808716	-46.400204
627.154541	-47.694283
628.500366	-46.590115
629.846191	-47.036766
631.192017	-48.045139
632.537842	-45.955128
633.883667	-47.526798
635.229492	-46.491722
636.575317	-46.362320
637.921143	-47.235645
639.266968	-47.664845
640.612793	-46.256405
641.958618	-47.634491
643.304443	-47.229481
644.650269	-46.520535
645.996094	-46.413509
647.341919	-48.224159
648.687744	-47.270920
650.033569	-46.944706
651.379395	-46.344807
652.725220	-46.241684
654.071045	-46.690208
655.416870	-46.888000
656.762695	-46.344814
658.108521	-46.911438
659.454346	-47.128773
660.800171	-47.363857
662.145996	-46.639771
663.491821	-47.078156
664.837646	-46.207397
666.183472	-46.014648
667.529297	-46.622063
668.875122	-46.841503
670.220947	-47.668270
671.566772	-46.307632
672.912598	-46.675713
674.258423	-46.927261
675.604248	-47.099720
676.950073	-46.984985
678.295898	-46.658352
679.641724	-46.204086
680.987549	-46.025764
682.333374	-46.211746
683.679199	-46.435215
685.025024	-46.629814
686.370850	-47.774994
687.716675	-45.570969
689.062500	-46.459400
690.408325	-46.018841
691.754150	-46.046558
693.099976	-47.133781
694.445801	-46.996861
695.791626	-46.645725
697.137451	-46.129547
698.483276	-47.415482
699.829102	-46.306244
