Frequency (Hz)	Level (dB)
0.672913	-51.470169
1.345825	-51.358547
2.018738	-51.177715
2.691650	-50.935089
3.364563	-50.640339
4.037476	-50.304916
4.710388	-49.941475
5.383301	-49.563484
6.056213	-49.184856
6.729126	-48.819672
7.402039	-48.481945
8.074951	-48.185383
8.747864	-47.943012
9.420776	-47.766632
10.093689	-47.665802
10.766602	-47.646259
11.439514	-47.707390
12.112427	-47.838684
12.785339	-48.015770
13.458252	-48.198334
14.131165	-48.334827
14.804077	-48.378704
15.476990	-48.312641
16.149902	-48.163937
16.822815	-47.995781
17.495728	-47.879673
18.168640	-47.866436
18.841553	-47.964890
19.514465	-48.129543
20.187378	-48.267498
20.860291	-48.285503
21.533203	-48.165981
22.206116	-47.994930
22.879028	-47.898567
23.551941	-47.951324
24.224854	-48.118210
24.897766	-48.258373
25.570679	-48.232422
26.243591	-48.061264
26.916504	-47.920971
27.589417	-47.958431
28.262329	-48.140804
28.935242	-48.259998
29.608154	-48.158764
30.281067	-47.965950
30.953979	-47.934826
31.626892	-48.112526
32.299805	-48.253605
32.972717	-48.136642
33.645630	-47.942238
34.318542	-47.977310
34.991455	-48.192669
35.664368	-48.220810
36.337280	-48.003975
37.010193	-47.936943
37.683105	-48.147053
38.356018	-48.234772
39.028931	-48.015812
39.701843	-47.938675
40.374756	-48.166454
41.047668	-48.211781
41.720581	-47.966843
42.393494	-47.986679
43.066406	-48.230095
43.739319	-48.113300
44.412231	-47.919289
45.085144	-48.129208
45.758057	-48.212803
46.430969	-47.946365
47.103882	-48.035633
47.776794	-48.241749
48.449707	-47.990406
49.122620	-47.986839
49.795532	-48.241379
50.468445	-48.008423
51.141357	-47.975765
51.814270	-48.240303
52.487183	-47.988739
53.160095	-47.999382
53.833008	-48.234859
54.505920	-47.938484
55.178833	-48.067814
55.851746	-48.189011
56.524658	-47.895313
57.197571	-48.173618
57.870483	-48.061947
58.543396	-47.938332
59.216309	-48.225632
59.889221	-47.903255
60.562134	-48.108906
61.235046	-48.080151
61.907959	-47.909595
62.580872	-48.204601
63.253784	-47.859333
63.926697	-48.136692
64.599609	-47.958462
65.272522	-47.966995
65.945435	-48.082443
66.618347	-47.825516
67.291260	-48.129295
67.964172	-47.757080
68.637085	-48.077648
69.309998	-47.737206
69.982910	-47.956741
70.655823	-47.719002
71.328735	-47.796608
72.001648	-47.660168
72.674561	-47.605511
73.347473	-47.529026
74.020386	-47.371540
74.693298	-47.301075
75.366211	-47.072655
76.039124	-46.957306
76.712036	-46.688728
77.384949	-46.490475
78.057861	-46.215065
78.730774	-45.918503
79.403687	-45.675640
80.076599	-45.297302
80.749512	-45.130634
81.422424	-44.723675
82.095337	-44.673172
82.768250	-44.325298
83.441162	-44.414143
84.114075	-44.238781
84.786987	-44.452213
85.459900	-44.562012
86.132812	-44.809895
86.805725	-45.221870
87.478638	-45.306152
88.151550	-45.728661
88.824463	-45.497009
89.497375	-45.436684
90.170288	-45.155037
90.843201	-44.725647
91.516113	-44.764294
92.189026	-44.587170
92.861938	-44.867294
93.534851	-45.255013
94.207764	-45.279613
94.880676	-45.542599
95.553589	-45.211170
96.226501	-44.805183
96.899414	-44.857506
97.572327	-44.764935
98.245239	-45.037930
98.918152	-45.514065
99.591064	-45.248642
100.263977	-44.996380
100.936890	-44.943016
101.609802	-44.764725
102.282715	-45.048256
102.955627	-45.510559
103.628540	-45.177788
104.301453	-44.790134
104.974365	-44.947605
105.647278	-45.120941
106.320190	-45.149414
106.993103	-45.219437
107.666016	-45.033596
108.338928	-44.793930
109.011841	-45.063675
109.684753	-45.430725
110.357666	-45.090542
111.030579	-44.706013
111.703491	-45.035069
112.376404	-45.467075
113.049316	-45.098984
113.722229	-44.705666
114.395142	-45.034920
115.068054	-45.428440
115.740967	-45.096207
116.413879	-44.794525
117.086792	-45.031742
117.759705	-45.211895
118.432617	-45.100883
119.105530	-45.124981
119.778442	-45.029774
120.451355	-44.779739
121.124268	-45.071545
121.797180	-45.508202
122.470093	-45.102882
123.143005	-44.765560
123.815918	-44.965004
124.488831	-44.977215
125.161743	-45.140350
125.834656	-45.513195
126.507568	-45.093853
127.180481	-44.766132
127.853394	-44.900486
128.526306	-44.780506
129.199219	-45.103325
129.872131	-45.523014
130.545044	-45.236416
131.217957	-45.260788
131.890869	-44.944878
132.563782	-44.578461
133.236694	-44.788189
133.909607	-44.688286
134.582520	-45.055737
135.255432	-45.390362
135.928345	-45.371819
136.601257	-45.704498
137.274170	-45.272877
137.947083	-45.213486
138.619995	-44.850605
139.292908	-44.542435
139.965820	-44.492153
140.638733	-44.193077
141.311646	-44.403801
141.984558	-44.246201
142.657471	-44.589581
143.330383	-44.602955
144.003296	-44.961422
144.676208	-45.119514
145.349121	-45.406158
146.022034	-45.654991
146.694946	-45.818203
147.367859	-46.093334
148.040771	-46.116726
148.713684	-46.355183
149.386597	-46.252480
150.059509	-46.399967
150.732422	-46.206707
151.405334	-46.222164
152.078247	-45.987869
152.751160	-45.849972
153.424072	-45.631264
154.096985	-45.348606
154.769897	-45.200443
155.442810	-44.820873
156.115723	-44.784901
156.788635	-44.398537
157.461548	-44.490295
158.134460	-44.223587
158.807373	-44.418644
159.480286	-44.411888
160.153198	-44.628777
160.826111	-44.959976
161.499023	-45.054142
162.171936	-45.543755
162.844849	-45.402489
163.517761	-45.532379
164.190674	-45.315376
164.863586	-44.925129
165.536499	-44.916092
166.209412	-44.586758
166.882324	-44.755711
167.555237	-45.010040
168.228149	-45.068645
168.901062	-45.494495
169.573975	-45.324200
170.246887	-45.025780
170.919800	-45.007446
171.592712	-44.711994
172.265625	-44.845764
172.938538	-45.292545
173.611450	-45.224243
174.284363	-45.200237
174.957275	-45.137482
175.630188	-44.750786
176.303101	-44.853565
176.976013	-45.315990
177.648926	-45.242340
178.321838	-45.022110
178.994751	-45.030548
179.667664	-44.929787
180.340576	-44.965023
181.013489	-45.312351
181.686401	-45.257671
182.359314	-44.804119
183.032227	-44.851852
183.705139	-45.339943
184.378052	-45.296783
185.050964	-44.825523
185.723877	-44.854488
186.396790	-45.312901
187.069702	-45.291195
187.742615	-44.834873
188.415527	-44.844296
189.088440	-45.317741
189.761353	-45.321171
190.434265	-44.835983
191.107178	-44.817001
191.780090	-45.268661
192.453003	-45.306049
193.125916	-44.965576
193.798828	-44.925831
194.471741	-45.017323
195.144653	-45.036953
195.817566	-45.266720
196.490479	-45.296246
197.163391	-44.835003
197.836304	-44.761627
198.509216	-45.138557
199.182129	-45.206924
199.855042	-45.246773
200.527954	-45.274269
201.200867	-44.827080
201.873779	-44.720299
202.546692	-44.999519
203.219604	-45.039139
203.892517	-45.351936
204.565430	-45.480858
205.238342	-45.072517
205.911255	-45.000553
206.584167	-44.732372
207.257080	-44.598244
207.929993	-44.908405
208.602905	-44.939171
209.275818	-45.340000
209.948730	-45.528988
210.621643	-45.429405
211.294556	-45.528301
211.967468	-45.054680
212.640381	-44.952045
213.313293	-44.609241
213.986206	-44.416245
214.659119	-44.396641
215.332031	-44.235622
216.004944	-44.477947
216.677856	-44.412857
217.350769	-44.787273
218.023682	-44.833530
218.696594	-45.217609
219.369507	-45.357292
220.042419	-45.660286
220.715332	-45.853741
221.388245	-46.024315
222.061157	-46.220894
222.734070	-46.245632
223.406982	-46.393650
224.079895	-46.288662
224.752808	-46.343391
225.425720	-46.144524
226.098633	-46.075363
226.771545	-45.831715
227.444458	-45.630634
228.117371	-45.400322
228.790283	-45.090046
229.463196	-44.933983
230.136108	-44.571781
230.809021	-44.543415
231.481934	-44.219021
232.154846	-44.349304
232.827759	-44.177589
233.500671	-44.449345
234.173584	-44.546684
234.846497	-44.846767
235.519409	-45.237843
236.192322	-45.319538
236.865234	-45.723610
237.538147	-45.420830
238.211060	-45.372505
238.883972	-45.039833
239.556885	-44.654156
240.229797	-44.726959
240.902710	-44.569908
241.575623	-44.927422
242.248535	-45.289043
242.921448	-45.293449
243.594360	-45.522926
244.267273	-45.106289
244.940186	-44.743683
245.613098	-44.835709
246.286011	-44.769508
246.958923	-45.112747
247.631836	-45.538342
248.304749	-45.178646
248.977661	-44.939980
249.650574	-44.898434
250.323486	-44.766411
250.996399	-45.126774
251.669312	-45.527157
252.342224	-45.086555
253.015137	-44.739616
253.688049	-44.969013
254.360962	-45.153923
255.033875	-45.162258
255.706787	-45.182186
256.379700	-44.965862
257.052612	-44.796719
257.725525	-45.137897
258.398438	-45.423512
259.071350	-44.992352
259.744263	-44.691032
260.417175	-45.121952
261.090088	-45.471317
261.763000	-44.997639
262.435913	-44.690922
263.108826	-45.120926
263.781738	-45.423485
264.454651	-45.004768
265.127563	-44.796566
265.800476	-45.090439
266.473389	-45.181717
267.146301	-45.066597
267.819214	-45.154232
268.492126	-44.997223
269.165039	-44.738461
269.837952	-45.146114
270.510864	-45.527569
271.183777	-44.999928
271.856689	-44.765934
272.529602	-45.004795
273.202515	-44.938335
273.875427	-45.185146
274.548340	-45.539047
275.221252	-44.989033
275.894165	-44.768890
276.567078	-44.916698
277.239990	-44.741161
277.912903	-45.189011
278.585815	-45.522346
279.258728	-45.176292
279.931641	-45.289703
280.604553	-44.854084
281.277466	-44.567951
281.950378	-44.817455
282.623291	-44.650227
283.296204	-45.149204
283.969116	-45.369320
284.642029	-45.386436
285.314941	-45.722603
285.987854	-45.181835
286.660767	-45.236580
287.333679	-44.748837
288.006592	-44.542912
288.679504	-44.446178
289.352417	-44.170753
290.025330	-44.421482
290.698242	-44.208786
291.371155	-44.651230
292.044067	-44.557037
292.716980	-45.040752
293.389893	-45.068146
294.062805	-45.479401
294.735718	-45.596695
295.408630	-45.868099
296.081543	-46.021824
296.754456	-46.133923
297.427368	-46.260757
298.100281	-46.235035
298.773193	-46.273247
299.446106	-46.158924
300.119019	-46.059750
300.791931	-45.919582
301.464844	-45.660114
302.137756	-45.557526
302.810669	-45.153732
303.483582	-45.140278
304.156494	-44.655491
304.829407	-44.758102
305.502319	-44.303452
306.175232	-44.511581
306.848145	-44.237049
307.521057	-44.488262
308.193970	-44.550709
308.866882	-44.718613
309.539795	-45.170048
310.212708	-45.099316
310.885620	-45.640705
311.558533	-45.347023
312.231445	-45.386463
312.904358	-45.222557
313.577271	-44.746174
314.250183	-44.915627
314.923096	-44.620068
315.596008	-44.844017
316.268921	-45.218788
316.941833	-45.090668
317.614746	-45.477444
318.287659	-45.227741
318.960571	-44.832256
319.633484	-45.011349
320.306396	-44.794182
320.979309	-44.931156
321.652222	-45.445724
322.325134	-45.158661
322.998047	-45.004688
323.670959	-45.109997
324.343872	-44.801907
325.016785	-44.938164
325.689697	-45.439472
326.362610	-45.155750
327.035522	-44.829876
327.708435	-45.066601
328.381348	-45.109627
329.054260	-44.981445
329.727173	-45.194530
330.400085	-45.197323
331.072998	-44.835381
331.745911	-44.927719
332.418823	-45.368622
333.091736	-45.202599
333.764648	-44.763206
334.437561	-44.942219
335.110474	-45.397301
335.783386	-45.193623
336.456299	-44.764412
337.129211	-44.930107
337.802124	-45.364742
338.475037	-45.231518
339.147949	-44.840439
339.820862	-44.878811
340.493774	-45.185570
341.166687	-45.270023
341.839600	-45.117455
342.512512	-44.906536
343.185425	-44.824932
343.858337	-45.105820
344.531250	-45.432621
345.204163	-45.196770
345.877075	-44.815197
346.549988	-44.809795
347.222900	-44.988777
347.895813	-45.241348
348.568726	-45.440990
349.241638	-45.174694
349.914551	-44.812984
350.587463	-44.750893
351.260376	-44.819481
351.933289	-45.111961
352.606201	-45.452190
353.279114	-45.408997
353.952026	-45.235073
354.624939	-44.928528
355.297852	-44.640678
355.970764	-44.642422
356.643677	-44.732155
357.316589	-45.019394
357.989502	-45.347401
358.662415	-45.519669
359.335327	-45.625267
360.008240	-45.428337
360.681152	-45.194195
361.354065	-44.869743
362.026978	-44.585945
362.699890	-44.400238
363.372803	-44.260265
364.045715	-44.275173
364.718628	-44.306572
365.391541	-44.481827
366.064453	-44.640041
366.737366	-44.907326
367.410278	-45.127655
368.083191	-45.417824
368.756104	-45.636738
369.429016	-45.891735
370.101929	-46.057098
370.774841	-46.236938
371.447754	-46.312412
372.120667	-46.397259
372.793579	-46.362331
373.466492	-46.349957
374.139404	-46.199306
374.812317	-46.101501
375.485229	-45.847855
376.158142	-45.688602
376.831055	-45.368107
377.503967	-45.182518
378.176880	-44.856976
378.849792	-44.688637
379.522705	-44.440289
380.195618	-44.336491
380.868530	-44.254532
381.541443	-44.258945
382.214355	-44.411774
382.887268	-44.547443
383.560181	-44.913921
384.233093	-45.136005
384.906006	-45.473339
385.578918	-45.603859
386.251831	-45.510830
386.924744	-45.392132
387.597656	-44.969284
388.270569	-44.776207
388.943481	-44.621658
389.616394	-44.620575
390.289307	-44.969528
390.962219	-45.178066
391.635132	-45.437702
392.308044	-45.473583
392.980957	-45.064949
393.653870	-44.865082
394.326782	-44.738667
394.999695	-44.773010
395.672607	-45.225857
396.345520	-45.417545
397.018433	-45.212601
397.691345	-45.043480
398.364258	-44.787350
399.037170	-44.776997
399.710083	-45.247032
400.382996	-45.426495
401.055908	-45.061207
401.728821	-44.862553
402.401733	-44.921715
403.074646	-45.059311
403.747559	-45.279617
404.420471	-45.239960
405.093384	-44.848038
405.766296	-44.798115
406.439209	-45.273758
407.112122	-45.397175
407.785034	-44.883080
408.457947	-44.740360
409.130859	-45.242287
409.803772	-45.419209
410.476685	-44.893578
411.149597	-44.737366
411.822510	-45.248341
412.495422	-45.404133
413.168335	-44.887741
413.841248	-44.789146
414.514160	-45.221546
415.187073	-45.250530
415.859985	-44.976444
416.532898	-45.052788
417.205811	-45.038502
417.878723	-44.858147
418.551636	-45.202290
419.224548	-45.446548
419.897461	-44.891827
420.570374	-44.753128
421.243286	-45.115654
421.916199	-45.053139
422.589111	-45.195366
423.262024	-45.440380
423.934937	-44.883942
424.607849	-44.741158
425.280762	-44.999981
425.953674	-44.860992
426.626587	-45.276604
427.299500	-45.518860
427.972412	-45.080952
428.645325	-45.172382
429.318237	-44.791725
429.991150	-44.575535
430.664062	-44.906345
431.336975	-44.765610
432.009888	-45.266167
432.682800	-45.441704
433.355713	-45.376637
434.028625	-45.651661
434.701538	-45.075043
435.374451	-45.122871
436.047363	-44.666111
436.720276	-44.491962
437.393188	-44.442860
438.066101	-44.197315
438.739014	-44.490227
439.411926	-44.291283
440.084839	-44.762169
440.757751	-44.668362
441.430664	-45.162868
442.103577	-45.184040
442.776489	-45.588795
443.449402	-45.698292
444.122314	-45.950260
444.795227	-46.096767
445.468140	-46.182518
446.141052	-46.302761
446.813965	-46.248795
447.486877	-46.280300
448.159790	-46.138744
448.832703	-46.032646
449.505615	-45.867828
450.178528	-45.602657
450.851440	-45.479706
451.524353	-45.074131
452.197266	-45.047611
452.870178	-44.567444
453.543091	-44.669083
454.216003	-44.226398
454.888916	-44.451126
455.561829	-44.195576
456.234741	-44.482113
456.907654	-44.570065
457.580566	-44.776722
458.253479	-45.253292
458.926392	-45.182827
459.599304	-45.715622
460.272217	-45.362213
460.945129	-45.354355
461.618042	-45.137852
462.290955	-44.655109
462.963867	-44.842216
463.636780	-44.592209
464.309692	-44.884808
464.982605	-45.303040
465.655518	-45.165691
466.328430	-45.504868
467.001343	-45.167904
467.674255	-44.742428
468.347168	-44.943241
469.020081	-44.793636
469.692993	-45.006729
470.365906	-45.532757
471.038818	-45.157261
471.711731	-44.929958
472.384644	-45.024223
473.057556	-44.790241
473.730469	-45.015705
474.403381	-45.515980
475.076294	-45.119896
475.749207	-44.740768
476.422119	-45.030441
477.095032	-45.171989
477.767944	-45.050041
478.440857	-45.163918
479.113770	-45.100624
479.786682	-44.820515
480.459595	-45.011921
481.132507	-45.403881
481.805420	-45.112484
482.478333	-44.711727
483.151245	-45.015202
483.824158	-45.453644
484.497070	-45.109554
485.169983	-44.711639
485.842896	-45.006844
486.515808	-45.403503
487.188721	-45.135410
487.861633	-44.820328
488.534546	-44.962849
489.207458	-45.163059
489.880371	-45.184303
490.553284	-45.171722
491.226196	-44.942005
491.899109	-44.739716
492.572021	-45.120392
493.244934	-45.514923
493.917847	-45.113728
494.590759	-44.789673
495.263672	-44.887787
495.936584	-44.928032
496.609497	-45.214432
497.282410	-45.531368
497.955322	-45.096996
498.628235	-44.792812
499.301147	-44.818176
499.974060	-44.740036
500.646973	-45.138268
501.319885	-45.502007
501.992798	-45.308094
502.665710	-45.301720
503.338623	-44.899536
504.011536	-44.590595
504.684448	-44.713482
505.357361	-44.651764
506.030273	-45.065655
506.703186	-45.349800
507.376099	-45.455334
508.049011	-45.711891
508.721924	-45.321747
509.394836	-45.251030
510.067749	-44.821701
510.740662	-44.568027
511.413574	-44.421978
512.086487	-44.192844
512.759399	-44.334747
513.432312	-44.222733
514.105225	-44.546017
514.778137	-44.563137
515.451050	-44.951962
516.123962	-45.070129
516.796875	-45.428867
517.469788	-45.600975
518.142700	-45.864830
518.815613	-46.036892
519.488525	-46.176308
520.161438	-46.295940
520.834351	-46.314026
521.507263	-46.336517
522.180176	-46.260521
522.853088	-46.154503
523.526001	-46.025917
524.198914	-45.781712
524.871826	-45.647682
525.544739	-45.287575
526.217651	-45.192799
526.890564	-44.777756
527.563477	-44.756023
528.236389	-44.384197
528.909302	-44.449951
529.582214	-44.245415
530.255127	-44.384445
530.928040	-44.467278
531.600952	-44.624031
532.273865	-45.022919
532.946777	-45.094021
533.619690	-45.556881
534.292603	-45.460083
534.965515	-45.474472
535.638428	-45.324791
536.311340	-44.877777
536.984253	-44.872841
537.657166	-44.613983
538.330078	-44.732674
539.002991	-45.073448
539.675903	-45.113201
540.348816	-45.472935
541.021729	-45.354404
541.694641	-44.970875
542.367554	-44.962563
543.040466	-44.751976
543.713379	-44.844147
544.386292	-45.328312
545.059204	-45.275986
545.732117	-45.136837
546.405029	-45.100456
547.077942	-44.781498
547.750854	-44.851269
548.423767	-45.341633
549.096680	-45.285278
549.769592	-44.967533
550.442505	-44.982536
551.115417	-44.991013
551.788330	-45.005970
552.461243	-45.265846
553.134155	-45.236309
553.807068	-44.827900
554.479980	-44.857201
555.152893	-45.335964
555.825806	-45.306946
556.498718	-44.820019
557.171631	-44.841400
557.844543	-45.327129
558.517456	-45.309635
559.190369	-44.826286
559.863281	-44.834015
560.536194	-45.320633
561.209106	-45.324791
561.882019	-44.850410
562.554932	-44.830482
563.227844	-45.233978
563.900757	-45.274063
564.573669	-45.019215
565.246582	-44.971924
565.919495	-44.959846
566.592407	-44.992424
567.265320	-45.310265
567.938232	-45.320778
568.611145	-44.840961
569.284058	-44.780750
569.956970	-45.088215
570.629883	-45.158901
571.302795	-45.301899
571.975708	-45.304855
572.648621	-44.834141
573.321533	-44.746624
573.994446	-44.943970
574.667358	-44.995869
575.340271	-45.374622
576.013184	-45.468491
576.686096	-45.127193
577.359009	-45.047325
578.031921	-44.714268
578.704834	-44.614353
579.377747	-44.854908
580.050659	-44.901737
580.723572	-45.335701
581.396484	-45.487965
582.069397	-45.486111
582.742310	-45.539471
583.415222	-45.103535
584.088135	-44.996120
584.761047	-44.612194
585.433960	-44.452579
586.106873	-44.363003
586.779785	-44.247173
587.452698	-44.430069
588.125610	-44.398838
588.798523	-44.744144
589.471436	-44.799736
590.144348	-45.191082
590.817261	-45.311615
591.490173	-45.655117
592.163086	-45.803829
592.835999	-46.039516
593.508911	-46.172672
594.181824	-46.276443
594.854736	-46.350777
595.527649	-46.328434
596.200562	-46.307838
596.873474	-46.185913
597.546387	-46.048485
598.219299	-45.867290
598.892212	-45.613819
599.565125	-45.423260
600.238037	-45.084534
600.910950	-44.939285
601.583862	-44.577927
602.256775	-44.529499
602.929688	-44.235321
603.602600	-44.319973
604.275513	-44.199524
604.948425	-44.416485
605.621338	-44.564857
606.294250	-44.832386
606.967163	-45.237778
607.640076	-45.345306
608.312988	-45.700706
608.985901	-45.468700
609.658813	-45.355816
610.331726	-45.053696
611.004639	-44.665733
611.677551	-44.696400
612.350464	-44.593277
613.023376	-44.905857
613.696289	-45.287502
614.369202	-45.330322
615.042114	-45.499714
615.715027	-45.131252
616.387939	-44.754097
617.060852	-44.802101
617.733765	-44.790108
618.406677	-45.114170
619.079590	-45.518745
619.752502	-45.219833
620.425415	-44.941200
621.098328	-44.869213
621.771240	-44.787968
622.444153	-45.131954
623.117065	-45.505093
623.789978	-45.116486
624.462891	-44.753498
625.135803	-44.933186
625.808716	-45.158798
626.481628	-45.203136
627.154541	-45.171791
627.827454	-44.942932
628.500366	-44.817863
629.173279	-45.156357
629.846191	-45.402660
630.519104	-44.988789
631.192017	-44.715103
631.864929	-45.127602
632.537842	-45.449402
633.210754	-44.998104
633.883667	-44.714981
634.556580	-45.131794
635.229492	-45.403412
635.902405	-44.992130
636.575317	-44.817387
637.248230	-45.121597
637.921143	-45.173233
638.594055	-45.033333
639.266968	-45.158386
639.939880	-45.038391
640.612793	-44.754223
641.285706	-45.126362
641.958618	-45.507095
642.631531	-44.997620
643.304443	-44.786736
643.977356	-45.042786
644.650269	-44.943607
645.323181	-45.155659
645.996094	-45.521053
646.669006	-44.989105
647.341919	-44.788464
648.014832	-44.957985
648.687744	-44.756062
649.360657	-45.179092
650.033569	-45.504868
650.706482	-45.147018
651.379395	-45.287533
652.052307	-44.875336
652.725220	-44.591450
653.398132	-44.857769
654.071045	-44.668037
654.743958	-45.154156
655.416870	-45.362713
656.089783	-45.355614
656.762695	-45.706039
657.435608	-45.161869
658.108521	-45.237461
658.781433	-44.762650
659.454346	-44.561775
660.127258	-44.482616
660.800171	-44.196892
661.473083	-44.462955
662.145996	-44.234459
662.818909	-44.685936
663.491821	-44.578545
664.164734	-45.063709
664.837646	-45.084774
665.510559	-45.490868
666.183472	-45.609833
666.856384	-45.871609
667.529297	-46.034008
668.202209	-46.134159
668.875122	-46.274296
669.548035	-46.235947
670.220947	-46.288795
670.893860	-46.162395
671.566772	-46.075489
672.239685	-45.924938
672.912598	-45.671963
673.585510	-45.561825
674.258423	-45.156673
674.931335	-45.139332
675.604248	-44.645344
