Frequency (Hz)	Level (dB)
0.672913	-104.977295
1.345825	-105.023651
2.018738	-104.841125
2.691650	-104.867432
3.364563	-104.917381
4.037476	-104.660187
4.710388	-104.641342
5.383301	-103.915100
6.056213	-104.133514
6.729126	-103.956085
7.402039	-104.459358
8.074951	-103.349457
8.747864	-103.387123
9.420776	-101.799110
10.093689	-99.102547
10.766602	-97.625122
11.439514	-95.790627
12.112427	-96.748016
12.785339	-98.203827
13.458252	-98.788597
14.131165	-98.691917
14.804077	-98.388077
15.476990	-98.372292
16.149902	-98.923462
16.822815	-97.481346
17.495728	-92.922409
18.168640	-94.568581
18.841553	-96.382744
19.514465	-97.760979
20.187378	-97.529633
20.860291	-96.968269
21.533203	-96.602509
22.206116	-96.131287
22.879028	-94.696411
23.551941	-94.015083
24.224854	-94.296005
24.897766	-94.858864
25.570679	-95.235786
26.243591	-95.254639
26.916504	-96.097176
27.589417	-96.101860
28.262329	-97.070168
28.935242	-96.165199
29.608154	-96.100395
30.281067	-95.822731
30.953979	-95.701935
31.626892	-95.543968
32.299805	-94.842583
32.972717	-95.315071
33.645630	-96.465576
34.318542	-94.614578
34.991455	-94.953773
35.664368	-94.877815
36.337280	-94.540977
37.010193	-94.496254
37.683105	-95.875717
38.356018	-95.311211
39.028931	-95.012405
39.701843	-96.109222
40.374756	-94.473763
41.047668	-95.468239
41.720581	-96.239853
42.393494	-97.429443
43.066406	-95.101898
43.739319	-96.843216
44.412231	-94.921402
45.085144	-94.458847
45.758057	-94.543350
46.430969	-93.493553
47.103882	-95.794907
47.776794	-92.015404
48.449707	-95.866875
49.122620	-94.369057
49.795532	-94.623436
50.468445	-92.585533
51.141357	-93.226097
51.814270	-92.455589
52.487183	-92.741669
53.160095	-89.983894
53.833008	-91.810890
54.505920	-91.433556
55.178833	-90.080139
55.851746	-90.040985
56.524658	-91.276482
57.197571	-89.924835
57.870483	-84.675423
58.543396	-88.978706
59.216309	-89.207092
59.889221	-88.744583
60.562134	-89.722778
61.235046	-88.377281
61.907959	-87.454094
62.580872	-85.525101
63.253784	-84.203674
63.926697	-86.084267
64.599609	-88.172585
65.272522	-87.024139
65.945435	-87.497711
66.618347	-86.092552
67.291260	-87.598755
67.964172	-87.780602
68.637085	-86.462753
69.309998	-85.903053
69.982910	-85.415771
