Frequency (Hz)	Level (dB)
0.672913	-100.839752
1.345825	-100.689392
2.018738	-100.982246
2.691650	-100.813873
3.364563	-101.053642
4.037476	-100.783592
4.710388	-101.281242
5.383301	-101.180534
6.056213	-101.090347
6.729126	-100.886452
7.402039	-101.209396
8.074951	-101.131691
8.747864	-101.135170
9.420776	-100.633186
10.093689	-99.938431
10.766602	-100.065933
11.439514	-98.483894
12.112427	-99.720444
12.785339	-98.607391
13.458252	-99.194725
14.131165	-97.771156
14.804077	-98.127014
15.476990	-98.435120
16.149902	-98.834290
16.822815	-98.627945
17.495728	-93.530998
18.168640	-96.734329
18.841553	-96.191612
19.514465	-97.923714
20.187378	-98.499771
20.860291	-97.079063
21.533203	-96.139862
22.206116	-96.478600
22.879028	-96.011513
23.551941	-97.209946
24.224854	-97.350609
24.897766	-97.923653
25.570679	-97.657990
26.243591	-96.546028
26.916504	-97.442535
27.589417	-97.632050
28.262329	-97.202667
28.935242	-96.901352
29.608154	-96.981224
30.281067	-96.871895
30.953979	-97.017609
31.626892	-97.090294
32.299805	-96.765663
32.972717	-96.449631
33.645630	-96.147278
34.318542	-95.158119
34.991455	-93.212914
35.664368	-97.769379
36.337280	-97.298203
37.010193	-96.820259
37.683105	-96.023155
38.356018	-97.480347
39.028931	-97.400146
39.701843	-97.379868
40.374756	-96.579651
41.047668	-96.058304
41.720581	-96.347839
42.393494	-95.740524
43.066406	-96.006447
43.739319	-96.801270
44.412231	-95.591957
45.085144	-95.719650
45.758057	-94.836029
46.430969	-95.033051
47.103882	-94.524445
47.776794	-93.266411
48.449707	-95.341904
49.122620	-94.749832
49.795532	-94.361626
50.468445	-94.688126
51.141357	-93.894760
51.814270	-94.219673
52.487183	-92.646477
53.160095	-94.274750
53.833008	-91.510429
54.505920	-92.237556
55.178833	-91.446449
55.851746	-91.160812
56.524658	-90.371529
57.197571	-90.639336
57.870483	-86.341545
58.543396	-89.957169
59.216309	-89.056763
59.889221	-88.446358
60.562134	-89.192474
61.235046	-88.582863
61.907959	-87.197380
62.580872	-85.978531
63.253784	-85.824593
63.926697	-85.736542
64.599609	-85.653427
65.272522	-86.394028
65.945435	-85.950699
66.618347	-86.605705
67.291260	-86.448929
67.964172	-86.796799
68.637085	-85.754066
69.309998	-85.525421
69.982910	-83.955208
70.655823	-83.700607
71.328735	-83.102501
72.001648	-81.258698
72.674561	-79.626465
73.347473	-80.198639
74.020386	-80.463669
74.693298	-79.689041
75.366211	-79.566734
76.039124	-80.164322
76.712036	-79.444862
77.384949	-78.701920
78.057861	-78.951828
78.730774	-79.419113
79.403687	-78.904175
80.076599	-78.299538
80.749512	-77.625168
81.422424	-76.854858
82.095337	-77.896835
82.768250	-76.225029
83.441162	-74.693825
84.114075	-74.112816
84.786987	-73.315544
85.459900	-74.037407
86.132812	-74.217010
86.805725	-73.316650
87.478638	-75.385109
88.151550	-77.184792
88.824463	-77.639214
89.497375	-77.658730
90.170288	-77.546440
90.843201	-79.082611
91.516113	-78.496704
92.189026	-80.349464
92.861938	-79.707550
93.534851	-81.233208
94.207764	-80.705406
94.880676	-81.360039
95.553589	-82.343452
96.226501	-81.012321
96.899414	-82.681755
97.572327	-82.446510
98.245239	-82.748718
98.918152	-81.547043
99.591064	-81.512947
100.263977	-81.282333
100.936890	-81.649849
101.609802	-81.416138
102.282715	-81.396416
102.955627	-80.025917
103.628540	-80.178482
104.301453	-80.341560
104.974365	-79.722038
105.647278	-79.452232
106.320190	-78.895187
106.993103	-79.709084
107.666016	-79.712852
108.338928	-79.253647
109.011841	-80.705093
109.684753	-80.007118
110.357666	-80.247841
111.030579	-80.811394
111.703491	-81.021484
112.376404	-80.818451
113.049316	-80.092781
113.722229	-78.039978
114.395142	-79.606873
115.068054	-81.723839
115.740967	-81.900139
116.413879	-83.063225
117.086792	-82.658554
117.759705	-82.379166
118.432617	-83.481369
119.105530	-83.392365
119.778442	-81.308640
120.451355	-82.825653
121.124268	-83.756920
121.797180	-82.853043
122.470093	-83.665390
123.143005	-84.208214
123.815918	-83.334961
124.488831	-83.904396
125.161743	-84.284950
125.834656	-84.110001
126.507568	-83.688805
127.180481	-84.208115
127.853394	-84.585472
128.526306	-84.679024
129.199219	-84.859230
129.872131	-84.594780
130.545044	-84.421837
131.217957	-84.079971
131.890869	-83.758492
132.563782	-84.522125
133.236694	-84.744644
133.909607	-84.877068
134.582520	-84.392586
135.255432	-84.676231
135.928345	-84.138466
136.601257	-83.457909
137.274170	-83.087158
137.947083	-84.466347
138.619995	-84.921936
139.292908	-84.629478
139.965820	-83.813507
140.638733	-84.876312
141.311646	-83.728928
141.984558	-83.382896
142.657471	-83.495964
143.330383	-84.373924
144.003296	-84.087128
144.676208	-83.920959
145.349121	-84.320549
146.022034	-84.526978
146.694946	-84.815590
147.367859	-84.933784
148.040771	-84.324242
148.713684	-84.523224
149.386597	-84.822487
150.059509	-84.965324
150.732422	-84.830513
151.405334	-85.368340
152.078247	-85.781219
152.751160	-84.184959
153.424072	-84.603683
154.096985	-84.447357
154.769897	-84.298805
155.442810	-84.377434
156.115723	-84.566933
156.788635	-84.352226
157.461548	-85.049583
158.134460	-83.704315
158.807373	-83.996094
159.480286	-83.411819
160.153198	-83.261627
160.826111	-83.303131
161.499023	-85.113686
162.171936	-83.791214
162.844849	-84.617546
163.517761	-84.552048
164.190674	-83.625961
164.863586	-83.792252
165.536499	-84.157318
166.209412	-82.840401
166.882324	-83.151711
167.555237	-83.497719
168.228149	-84.032150
168.901062	-83.671036
169.573975	-83.421829
170.246887	-84.553833
