Frequency (Hz)	Level (dB)
0.672913	-106.426529
1.345825	-106.309486
2.018738	-106.396629
2.691650	-106.407982
3.364563	-106.001640
4.037476	-105.935516
4.710388	-105.830582
5.383301	-105.757088
6.056213	-105.885345
6.729126	-104.790787
7.402039	-105.381386
8.074951	-105.298386
8.747864	-105.343689
9.420776	-104.226189
10.093689	-103.161911
10.766602	-102.796883
11.439514	-100.272064
12.112427	-101.424286
12.785339	-100.576889
13.458252	-99.563683
14.131165	-100.617775
14.804077	-98.821236
15.476990	-99.023811
16.149902	-100.312553
16.822815	-99.437927
17.495728	-93.199364
18.168640	-95.435547
18.841553	-95.558067
19.514465	-97.940392
20.187378	-97.717896
20.860291	-95.614532
21.533203	-96.158958
22.206116	-96.034615
22.879028	-95.217117
23.551941	-96.019348
24.224854	-97.021484
24.897766	-97.659180
25.570679	-99.189659
26.243591	-99.196182
26.916504	-97.998665
27.589417	-95.759926
28.262329	-96.532394
28.935242	-97.492378
29.608154	-94.631111
30.281067	-97.545601
30.953979	-98.907280
31.626892	-95.073303
32.299805	-96.579491
32.972717	-95.840752
33.645630	-95.353333
34.318542	-95.000946
34.991455	-93.122002
35.664368	-94.621048
36.337280	-96.947289
37.010193	-96.283661
37.683105	-96.253860
38.356018	-95.770584
39.028931	-96.353340
39.701843	-94.717865
40.374756	-95.997704
41.047668	-95.304245
41.720581	-94.785286
42.393494	-95.677269
43.066406	-95.881454
43.739319	-96.323380
44.412231	-96.132660
45.085144	-94.721344
45.758057	-94.662163
46.430969	-93.718498
47.103882	-93.794006
47.776794	-91.798393
48.449707	-93.159195
49.122620	-94.221321
49.795532	-93.358040
50.468445	-93.087051
51.141357	-91.280388
51.814270	-92.088272
52.487183	-92.288040
53.160095	-92.781425
53.833008	-92.289612
54.505920	-90.087891
55.178833	-90.153831
55.851746	-90.369759
56.524658	-92.262413
57.197571	-90.487221
57.870483	-85.810272
58.543396	-90.212601
59.216309	-88.775223
59.889221	-88.924736
60.562134	-89.848648
61.235046	-89.972359
61.907959	-87.603477
62.580872	-86.753304
63.253784	-84.781708
63.926697	-85.775894
64.599609	-87.042526
65.272522	-87.677498
65.945435	-88.097099
66.618347	-87.195312
67.291260	-87.412872
67.964172	-87.643349
68.637085	-87.555237
69.309998	-87.336754
69.982910	-84.517845
70.655823	-82.646866
71.328735	-84.113693
72.001648	-84.353371
72.674561	-82.933022
73.347473	-83.571442
74.020386	-81.232285
74.693298	-80.714882
75.366211	-80.807724
76.039124	-80.639648
76.712036	-79.708084
77.384949	-80.533157
78.057861	-79.572083
78.730774	-81.736900
79.403687	-81.218903
80.076599	-80.143539
80.749512	-78.381844
81.422424	-77.053574
82.095337	-77.200783
82.768250	-75.941978
83.441162	-76.705147
84.114075	-74.871353
84.786987	-74.056549
85.459900	-75.466400
86.132812	-74.588081
86.805725	-75.031387
87.478638	-75.894180
88.151550	-76.245132
88.824463	-77.543480
89.497375	-78.427948
90.170288	-79.510223
90.843201	-79.771179
91.516113	-80.573166
92.189026	-80.837906
92.861938	-79.708015
93.534851	-80.875557
94.207764	-82.649918
94.880676	-82.352859
95.553589	-81.518356
96.226501	-80.204048
96.899414	-81.367813
97.572327	-81.437737
98.245239	-80.994843
98.918152	-83.791779
99.591064	-82.328224
100.263977	-82.644211
100.936890	-81.596420
101.609802	-82.665993
102.282715	-80.354027
102.955627	-81.076797
103.628540	-81.704536
104.301453	-78.919983
104.974365	-79.855370
105.647278	-82.310768
106.320190	-81.340088
106.993103	-80.519112
107.666016	-81.218636
108.338928	-81.150833
109.011841	-81.717957
109.684753	-82.607559
110.357666	-80.756569
111.030579	-82.296562
111.703491	-83.005508
112.376404	-83.788551
113.049316	-82.390182
113.722229	-77.250488
114.395142	-80.216507
115.068054	-79.825523
115.740967	-81.500511
116.413879	-83.276917
117.086792	-84.497910
117.759705	-84.474510
118.432617	-85.306976
119.105530	-85.246529
119.778442	-83.570770
120.451355	-87.266716
121.124268	-87.877144
121.797180	-85.616020
122.470093	-84.812637
123.143005	-85.510605
123.815918	-84.622467
124.488831	-85.449905
125.161743	-85.121895
125.834656	-87.245979
126.507568	-88.228241
127.180481	-86.394150
127.853394	-85.129723
128.526306	-87.583969
129.199219	-86.767334
129.872131	-88.319237
130.545044	-85.499634
131.217957	-87.792557
131.890869	-85.683624
132.563782	-86.815994
133.236694	-88.368568
133.909607	-87.284706
134.582520	-86.618607
135.255432	-85.639702
135.928345	-85.807594
136.601257	-85.930229
137.274170	-86.297844
137.947083	-87.152847
138.619995	-87.879753
139.292908	-85.290558
139.965820	-86.547974
140.638733	-85.747635
141.311646	-85.028786
141.984558	-84.286995
142.657471	-86.148361
143.330383	-85.777191
144.003296	-86.663864
144.676208	-85.069534
145.349121	-86.332314
146.022034	-87.049255
146.694946	-85.289352
147.367859	-87.170265
148.040771	-86.622757
148.713684	-87.535019
149.386597	-89.231537
150.059509	-87.738968
150.732422	-88.272240
151.405334	-86.807709
152.078247	-87.206886
152.751160	-86.901489
153.424072	-88.194496
154.096985	-88.278862
154.769897	-86.720001
155.442810	-87.618843
156.115723	-86.071869
156.788635	-86.279770
157.461548	-85.629463
158.134460	-86.617790
158.807373	-86.778435
159.480286	-84.300858
160.153198	-85.698120
160.826111	-86.817612
161.499023	-87.327782
162.171936	-85.907814
162.844849	-85.740822
163.517761	-87.124321
164.190674	-87.760620
164.863586	-86.567871
165.536499	-87.508049
166.209412	-85.426346
166.882324	-85.843048
167.555237	-85.686638
168.228149	-85.556473
168.901062	-87.255196
169.573975	-86.677177
170.246887	-85.772957
170.919800	-86.094246
171.592712	-85.478722
172.265625	-85.417053
172.938538	-84.450577
173.611450	-84.108467
174.284363	-85.851410
174.957275	-85.236626
175.630188	-84.319443
176.303101	-85.647087
176.976013	-85.278267
177.648926	-86.411064
178.321838	-86.194405
178.994751	-86.493881
179.667664	-86.196915
180.340576	-86.770416
181.013489	-87.504578
181.686401	-88.545685
182.359314	-87.304535
183.032227	-87.413040
183.705139	-86.161026
184.378052	-87.036026
185.050964	-86.414696
185.723877	-87.754272
186.396790	-87.899597
187.069702	-86.923996
187.742615	-86.809067
188.415527	-85.286179
189.088440	-86.757324
189.761353	-86.038467
190.434265	-87.802170
191.107178	-85.009819
191.780090	-85.559143
192.453003	-85.557549
193.125916	-86.867500
193.798828	-87.679016
194.471741	-87.097908
195.144653	-85.697144
195.817566	-85.242485
196.490479	-86.889977
197.163391	-86.569855
197.836304	-85.176529
198.509216	-86.425102
199.182129	-88.183144
199.855042	-86.394646
200.527954	-84.782806
201.200867	-85.855843
201.873779	-85.500214
202.546692	-85.068703
203.219604	-86.029091
203.892517	-87.553085
204.565430	-86.668106
205.238342	-85.018890
205.911255	-84.438499
206.584167	-77.786797
207.257080	-82.293434
207.929993	-85.212852
208.602905	-85.233536
209.275818	-86.594406
209.948730	-86.043076
210.621643	-86.793343
211.294556	-84.984215
211.967468	-85.514915
212.640381	-84.466309
213.313293	-85.172462
213.986206	-84.847839
214.659119	-86.017014
215.332031	-83.618111
216.004944	-83.243355
216.677856	-83.861031
217.350769	-85.431206
218.023682	-85.954895
218.696594	-84.798393
219.369507	-84.911003
220.042419	-85.042366
220.715332	-83.576324
221.388245	-86.124702
222.061157	-85.159264
222.734070	-85.691978
223.406982	-84.587166
224.079895	-84.160461
224.752808	-85.528412
225.425720	-84.563858
226.098633	-82.515724
226.771545	-83.576370
227.444458	-86.165817
228.117371	-85.050514
228.790283	-84.242126
229.463196	-86.119041
230.136108	-84.407043
230.809021	-84.434891
231.481934	-83.503151
232.154846	-85.114204
232.827759	-84.493896
233.500671	-83.745209
234.173584	-83.914497
234.846497	-83.569794
235.519409	-84.734322
236.192322	-84.058502
236.865234	-82.239281
237.538147	-84.423714
238.211060	-82.754738
238.883972	-83.379723
239.556885	-82.093697
240.229797	-83.081520
240.902710	-83.949265
