Frequency (Hz)	Level (dB)
0.672913	-103.304916
1.345825	-103.594955
2.018738	-103.341545
2.691650	-103.235443
3.364563	-103.807686
4.037476	-102.536186
4.710388	-102.441437
5.383301	-103.591843
6.056213	-104.330894
6.729126	-102.129097
7.402039	-104.001923
8.074951	-101.974342
8.747864	-101.701752
9.420776	-102.139610
10.093689	-104.287117
10.766602	-96.383865
11.439514	-97.017403
12.112427	-97.701721
12.785339	-100.275322
13.458252	-97.694542
14.131165	-96.844017
14.804077	-95.415123
15.476990	-95.203819
16.149902	-93.343956
16.822815	-96.148819
17.495728	-88.912010
18.168640	-90.908752
18.841553	-97.402962
19.514465	-90.014221
20.187378	-92.104248
20.860291	-93.804092
21.533203	-94.946770
22.206116	-95.162010
22.879028	-92.650536
23.551941	-93.930008
24.224854	-95.149887
24.897766	-88.638268
25.570679	-88.122200
26.243591	-95.142746
26.916504	-88.133224
27.589417	-92.460953
28.262329	-88.597641
28.935242	-92.717323
29.608154	-88.118637
30.281067	-86.542221
30.953979	-97.728142
31.626892	-85.883263
32.299805	-86.148750
32.972717	-89.673393
33.645630	-86.059555
34.318542	-88.153496
34.991455	-88.759552
35.664368	-85.433502
36.337280	-80.776138
37.010193	-80.973251
37.683105	-87.874313
38.356018	-87.339584
39.028931	-88.189308
39.701843	-90.608276
40.374756	-87.186409
41.047668	-86.751503
41.720581	-86.720329
42.393494	-85.713448
43.066406	-82.704659
43.739319	-87.340836
44.412231	-85.579201
45.085144	-85.607742
45.758057	-85.325134
46.430969	-82.221672
47.103882	-85.749245
47.776794	-83.124725
48.449707	-83.016182
49.122620	-80.745209
49.795532	-83.142044
50.468445	-84.433006
51.141357	-84.917183
51.814270	-83.898819
52.487183	-84.910866
53.160095	-81.230820
53.833008	-84.975113
54.505920	-91.878647
55.178833	-83.160759
55.851746	-81.809456
56.524658	-81.784111
57.197571	-84.135712
57.870483	-81.574478
58.543396	-82.209656
59.216309	-81.647377
59.889221	-87.380844
60.562134	-84.059372
61.235046	-84.242615
61.907959	-84.662384
62.580872	-88.009796
63.253784	-84.293068
63.926697	-82.115784
64.599609	-86.811790
65.272522	-83.237617
65.945435	-82.392670
66.618347	-86.478783
67.291260	-81.130554
67.964172	-83.247353
68.637085	-86.551308
69.309998	-90.941422
69.982910	-81.738136
70.655823	-90.064491
71.328735	-80.897697
72.001648	-80.287209
72.674561	-78.096977
73.347473	-79.188026
74.020386	-80.634209
74.693298	-81.411621
75.366211	-82.972801
76.039124	-89.017349
76.712036	-86.824211
77.384949	-81.404427
78.057861	-87.800682
78.730774	-82.860893
79.403687	-78.504684
80.076599	-82.009079
80.749512	-82.558365
81.422424	-83.103691
82.095337	-81.292122
82.768250	-80.729393
83.441162	-79.722252
84.114075	-81.483017
84.786987	-83.772980
85.459900	-76.888412
86.132812	-81.940735
86.805725	-79.511513
87.478638	-78.304008
88.151550	-81.970741
88.824463	-80.939346
89.497375	-78.367371
90.170288	-76.403847
90.843201	-78.582184
91.516113	-82.680450
92.189026	-85.267517
92.861938	-81.034477
93.534851	-85.493538
94.207764	-85.305809
94.880676	-84.759315
95.553589	-88.612778
96.226501	-83.631989
96.899414	-82.936607
97.572327	-84.825829
98.245239	-81.765678
98.918152	-85.734116
99.591064	-87.430031
100.263977	-84.973175
100.936890	-85.119682
101.609802	-80.182404
102.282715	-78.494598
102.955627	-80.562607
103.628540	-81.868668
104.301453	-76.825027
104.974365	-81.101509
105.647278	-82.177299
106.320190	-80.661644
106.993103	-78.065025
107.666016	-82.715263
108.338928	-80.338295
109.011841	-80.843903
109.684753	-80.800751
110.357666	-81.202347
111.030579	-81.759819
111.703491	-79.724098
112.376404	-83.012360
113.049316	-81.159866
113.722229	-83.981003
114.395142	-85.430016
115.068054	-81.761063
115.740967	-80.753372
116.413879	-81.387810
117.086792	-79.475021
117.759705	-83.918427
118.432617	-78.938652
119.105530	-82.831795
119.778442	-85.759155
120.451355	-84.494759
121.124268	-79.973503
121.797180	-84.427757
122.470093	-86.972153
123.143005	-88.061638
123.815918	-81.787216
124.488831	-79.471024
125.161743	-79.331398
125.834656	-78.871773
126.507568	-83.494812
127.180481	-86.417259
127.853394	-91.878746
128.526306	-81.549072
129.199219	-80.615990
129.872131	-83.753273
130.545044	-87.810715
131.217957	-83.132439
131.890869	-80.776588
132.563782	-84.905952
133.236694	-88.969109
133.909607	-83.241684
