Frequency (Hz)	Level (dB)
0.672913	-109.113625
1.345825	-109.681168
2.018738	-109.504929
2.691650	-108.736031
3.364563	-107.281006
4.037476	-108.863266
4.710388	-110.661057
5.383301	-106.599701
6.056213	-110.888710
6.729126	-107.194595
7.402039	-106.886703
8.074951	-106.965385
8.747864	-102.847755
9.420776	-104.479973
10.093689	-99.819275
10.766602	-99.940742
11.439514	-102.808052
12.112427	-99.729713
12.785339	-101.967079
13.458252	-96.517181
14.131165	-98.792664
14.804077	-97.579414
15.476990	-97.321144
16.149902	-90.811752
16.822815	-94.842476
17.495728	-94.916000
18.168640	-87.002289
18.841553	-92.421440
19.514465	-92.842316
20.187378	-91.466522
20.860291	-97.501717
21.533203	-92.745506
22.206116	-96.972694
22.879028	-91.594078
23.551941	-93.463921
24.224854	-86.988556
24.897766	-89.532944
25.570679	-92.656487
26.243591	-93.319946
26.916504	-89.310074
27.589417	-87.767647
28.262329	-88.745804
28.935242	-90.468971
29.608154	-89.884460
30.281067	-92.715851
30.953979	-88.144661
31.626892	-88.526237
32.299805	-92.133675
32.972717	-89.817764
33.645630	-87.105415
34.318542	-87.889671
34.991455	-86.461655
35.664368	-86.000206
36.337280	-85.632294
37.010193	-84.674080
37.683105	-84.649109
38.356018	-87.321190
39.028931	-86.692749
39.701843	-82.992264
40.374756	-81.183571
41.047668	-83.192184
41.720581	-88.672028
42.393494	-89.980629
43.066406	-90.227837
43.739319	-87.344597
44.412231	-84.553085
45.085144	-87.479530
45.758057	-86.303162
46.430969	-83.079544
47.103882	-86.211288
47.776794	-82.353012
48.449707	-84.454018
49.122620	-84.310394
49.795532	-82.438995
50.468445	-86.117096
51.141357	-80.833412
51.814270	-85.286507
52.487183	-82.829666
53.160095	-85.717392
53.833008	-87.854462
54.505920	-84.020416
55.178833	-83.555717
55.851746	-81.173706
56.524658	-82.379120
57.197571	-81.772255
57.870483	-80.269417
58.543396	-81.846375
59.216309	-84.352264
59.889221	-82.722420
60.562134	-85.829079
61.235046	-92.345131
61.907959	-83.629364
62.580872	-88.812630
63.253784	-86.583359
63.926697	-84.549088
64.599609	-86.088196
65.272522	-87.112625
65.945435	-81.619957
66.618347	-87.565491
67.291260	-83.858971
67.964172	-85.449768
68.637085	-83.259430
69.309998	-81.203033
69.982910	-80.478188
70.655823	-78.452332
71.328735	-79.499695
72.001648	-76.220375
72.674561	-80.622887
73.347473	-83.891235
74.020386	-79.372444
74.693298	-82.640518
75.366211	-80.919540
76.039124	-80.070648
76.712036	-81.564384
77.384949	-83.005547
78.057861	-83.247253
78.730774	-79.036476
79.403687	-82.475533
80.076599	-83.833450
80.749512	-83.429276
81.422424	-87.912186
82.095337	-84.741936
82.768250	-83.000008
83.441162	-82.089134
84.114075	-81.098770
84.786987	-81.726700
85.459900	-80.425026
86.132812	-84.839348
86.805725	-82.579338
87.478638	-82.990494
88.151550	-81.259285
88.824463	-78.807083
89.497375	-82.413399
90.170288	-79.602234
90.843201	-76.240173
91.516113	-81.325645
92.189026	-81.756409
92.861938	-80.177200
93.534851	-82.143112
94.207764	-82.587608
94.880676	-81.818054
95.553589	-87.563721
96.226501	-83.822205
96.899414	-82.576134
97.572327	-83.724922
98.245239	-84.110214
98.918152	-86.105782
99.591064	-78.201973
100.263977	-83.628418
100.936890	-84.400322
101.609802	-81.184822
102.282715	-83.153351
102.955627	-81.959267
103.628540	-84.226776
104.301453	-82.639153
104.974365	-79.579842
105.647278	-76.789764
106.320190	-78.284843
106.993103	-80.399696
107.666016	-84.519051
108.338928	-84.182205
109.011841	-84.783501
109.684753	-83.909683
110.357666	-76.716080
111.030579	-80.828735
111.703491	-82.974831
112.376404	-85.870232
113.049316	-86.776009
113.722229	-77.972900
114.395142	-80.298729
115.068054	-79.615860
115.740967	-80.389671
116.413879	-84.434448
117.086792	-83.621025
117.759705	-84.347366
118.432617	-86.092018
119.105530	-84.237335
119.778442	-82.844086
120.451355	-83.176140
121.124268	-83.802948
121.797180	-85.855301
122.470093	-83.846802
123.143005	-82.315163
123.815918	-82.449242
124.488831	-84.651352
125.161743	-80.986816
125.834656	-86.383751
126.507568	-85.375519
127.180481	-83.814163
127.853394	-88.844025
128.526306	-84.854431
129.199219	-83.207573
129.872131	-88.449142
130.545044	-83.382095
131.217957	-80.264763
131.890869	-84.539978
132.563782	-83.183136
133.236694	-83.476753
133.909607	-82.938911
134.582520	-78.828041
135.255432	-82.194321
135.928345	-86.269577
136.601257	-78.280525
137.274170	-79.902061
137.947083	-81.449959
138.619995	-85.245941
139.292908	-84.088524
139.965820	-81.429672
140.638733	-83.626297
141.311646	-80.797043
141.984558	-84.775795
142.657471	-85.801849
143.330383	-80.918098
144.003296	-83.153450
144.676208	-80.102646
145.349121	-87.603722
146.022034	-80.321213
146.694946	-81.664978
147.367859	-80.547134
148.040771	-81.826859
148.713684	-82.626411
149.386597	-80.926270
150.059509	-87.149300
150.732422	-80.474358
151.405334	-82.907349
152.078247	-82.294411
152.751160	-85.364937
153.424072	-83.723068
154.096985	-81.287186
154.769897	-79.956718
155.442810	-84.721260
156.115723	-82.541359
156.788635	-77.930344
157.461548	-83.201767
158.134460	-80.897499
158.807373	-80.836784
159.480286	-79.867210
160.153198	-85.872398
160.826111	-83.303505
161.499023	-80.133911
162.171936	-80.233414
162.844849	-78.827293
163.517761	-84.198807
164.190674	-81.807144
164.863586	-78.572411
165.536499	-79.426117
166.209412	-77.915794
166.882324	-76.872009
167.555237	-79.705338
168.228149	-80.722984
168.901062	-81.513840
169.573975	-80.267906
170.246887	-81.944504
170.919800	-86.335052
171.592712	-79.926476
172.265625	-82.892448
172.938538	-81.985268
173.611450	-81.794525
174.284363	-81.687340
174.957275	-79.573334
175.630188	-77.146049
176.303101	-78.142708
176.976013	-81.972076
177.648926	-79.528419
178.321838	-84.203979
178.994751	-83.074440
179.667664	-83.611427
180.340576	-81.095482
181.013489	-80.568092
181.686401	-80.823463
182.359314	-79.964485
183.032227	-82.843704
183.705139	-81.974098
184.378052	-82.757767
185.050964	-83.431442
185.723877	-82.084579
186.396790	-81.934883
187.069702	-82.726608
187.742615	-78.847290
188.415527	-81.173981
189.088440	-82.628242
189.761353	-82.998413
190.434265	-84.446289
191.107178	-86.893707
191.780090	-82.567062
192.453003	-87.554642
193.125916	-77.100327
193.798828	-82.736511
194.471741	-79.330299
195.144653	-80.510979
195.817566	-80.414070
196.490479	-79.278229
197.163391	-82.552391
197.836304	-77.221695
198.509216	-78.413315
199.182129	-83.671005
199.855042	-79.883255
200.527954	-81.852074
201.200867	-80.543159
201.873779	-80.092094
202.546692	-77.074852
203.219604	-81.987450
203.892517	-79.121635
204.565430	-80.242363
205.238342	-79.425964
205.911255	-76.155670
206.584167	-76.906189
207.257080	-78.523956
207.929993	-76.274971
208.602905	-81.552773
209.275818	-80.260178
209.948730	-78.565948
210.621643	-79.301491
211.294556	-77.874405
211.967468	-76.016197
212.640381	-76.160408
213.313293	-78.247299
213.986206	-79.533752
214.659119	-77.251602
215.332031	-78.136208
216.004944	-74.647171
216.677856	-78.282761
217.350769	-84.275673
218.023682	-81.336861
218.696594	-78.871193
219.369507	-80.366730
220.042419	-75.224388
220.715332	-78.066467
221.388245	-78.807297
222.061157	-81.430534
222.734070	-79.599548
223.406982	-77.350121
224.079895	-76.503746
224.752808	-78.585297
225.425720	-79.116905
226.098633	-86.434204
226.771545	-76.767120
227.444458	-80.530243
228.117371	-81.675995
228.790283	-78.954567
229.463196	-80.678574
230.136108	-81.936836
230.809021	-76.835968
231.481934	-79.696938
232.154846	-75.268272
232.827759	-74.502068
233.500671	-80.482170
234.173584	-78.864159
234.846497	-75.613197
235.519409	-75.058716
236.192322	-76.112251
236.865234	-80.164078
237.538147	-74.743217
238.211060	-72.201141
238.883972	-79.187080
239.556885	-75.429688
240.229797	-78.329109
240.902710	-75.938408
241.575623	-73.906906
242.248535	-77.955467
242.921448	-74.590324
243.594360	-70.921600
244.267273	-73.264458
244.940186	-78.995201
245.613098	-75.153824
246.286011	-75.235863
246.958923	-76.195480
247.631836	-71.616035
248.304749	-76.128281
248.977661	-75.692764
249.650574	-77.628082
250.323486	-74.956543
250.996399	-71.409714
251.669312	-78.872505
252.342224	-71.008858
253.015137	-75.673660
253.688049	-77.378624
254.360962	-75.756653
255.033875	-69.963791
255.706787	-77.213799
256.379700	-75.873947
257.052612	-74.070457
257.725525	-74.774422
258.398438	-70.794357
259.071350	-73.552353
259.744263	-72.367538
260.417175	-70.567673
261.090088	-69.820679
261.763000	-70.824654
262.435913	-67.873238
263.108826	-72.073845
263.781738	-70.337341
264.454651	-70.884987
265.127563	-73.413383
265.800476	-76.962944
266.473389	-73.027458
267.146301	-75.668015
267.819214	-78.569862
268.492126	-69.119049
269.165039	-67.214554
269.837952	-68.688904
270.510864	-71.060127
271.183777	-72.878929
271.856689	-69.437286
272.529602	-74.158005
273.202515	-71.154465
273.875427	-67.421753
274.548340	-70.172264
275.221252	-72.769745
275.894165	-68.410194
276.567078	-70.157051
277.239990	-70.751396
277.912903	-71.071571
278.585815	-71.383232
279.258728	-68.737457
279.931641	-69.203239
280.604553	-73.465630
281.277466	-73.484177
281.950378	-73.853622
282.623291	-72.242905
283.296204	-71.959846
283.969116	-72.112747
284.642029	-71.556473
285.314941	-68.461182
285.987854	-72.021584
286.660767	-69.673050
287.333679	-68.396423
288.006592	-66.976593
288.679504	-73.956879
289.352417	-70.126755
290.025330	-70.806847
290.698242	-73.836357
291.371155	-75.435471
292.044067	-73.237129
292.716980	-73.319794
293.389893	-75.124207
294.062805	-73.097054
294.735718	-72.159256
295.408630	-75.702835
296.081543	-74.301880
296.754456	-74.354950
297.427368	-75.666313
298.100281	-69.859299
298.773193	-71.979462
299.446106	-78.275085
300.119019	-78.568741
300.791931	-72.411781
301.464844	-73.360306
302.137756	-72.152512
302.810669	-76.520409
303.483582	-75.865746
304.156494	-72.987846
304.829407	-73.288795
305.502319	-72.011909
306.175232	-73.596230
306.848145	-75.957664
307.521057	-75.466316
308.193970	-70.891594
308.866882	-72.894318
309.539795	-75.731636
310.212708	-74.526443
310.885620	-76.748596
311.558533	-76.192513
312.231445	-74.412628
312.904358	-74.330994
313.577271	-76.644676
314.250183	-73.735847
314.923096	-74.459999
315.596008	-74.005348
316.268921	-76.056824
316.941833	-81.473434
317.614746	-72.924126
318.287659	-74.484306
318.960571	-75.414131
319.633484	-79.150528
320.306396	-76.290192
320.979309	-79.255981
321.652222	-74.808662
322.325134	-73.622429
322.998047	-77.592453
323.670959	-79.434868
324.343872	-75.398323
325.016785	-75.676437
325.689697	-75.162788
326.362610	-83.373726
327.035522	-76.408104
327.708435	-76.404945
328.381348	-84.040718
329.054260	-75.010864
329.727173	-77.569717
330.400085	-76.848236
331.072998	-79.645393
331.745911	-78.288986
332.418823	-79.506645
333.091736	-82.035904
333.764648	-75.877098
334.437561	-75.434135
335.110474	-76.921288
335.783386	-80.105194
336.456299	-76.350449
337.129211	-76.233681
337.802124	-79.861732
338.475037	-79.928780
339.147949	-81.742424
339.820862	-79.635048
340.493774	-80.162094
341.166687	-78.638176
341.839600	-77.887405
342.512512	-79.879478
343.185425	-84.572685
343.858337	-82.299194
344.531250	-78.751709
345.204163	-78.798355
345.877075	-82.577530
346.549988	-82.426849
347.222900	-80.971260
347.895813	-81.280571
348.568726	-81.826180
349.241638	-80.594742
349.914551	-79.144897
350.587463	-79.205467
351.260376	-80.881737
351.933289	-79.184265
352.606201	-83.553741
353.279114	-85.527397
353.952026	-79.288902
354.624939	-80.900185
355.297852	-79.897995
355.970764	-80.559715
356.643677	-78.567024
357.316589	-80.771500
