Frequency (Hz)	Level (dB)
0.672913	-111.952446
1.345825	-111.910812
2.018738	-112.251511
2.691650	-114.490318
3.364563	-111.114334
4.037476	-109.687111
4.710388	-108.634842
5.383301	-108.439644
6.056213	-112.182739
6.729126	-108.776802
7.402039	-109.662666
8.074951	-107.291351
8.747864	-105.854126
9.420776	-103.982994
10.093689	-106.592041
10.766602	-103.739388
11.439514	-101.807419
12.112427	-103.971634
12.785339	-97.193199
13.458252	-96.203171
14.131165	-92.260406
14.804077	-98.629173
15.476990	-93.977264
16.149902	-90.310715
16.822815	-95.904961
17.495728	-91.234184
18.168640	-86.202225
18.841553	-91.669144
19.514465	-96.682755
20.187378	-90.194557
20.860291	-92.974457
21.533203	-96.799835
22.206116	-89.241661
22.879028	-92.186867
23.551941	-92.244278
24.224854	-99.258400
24.897766	-95.923187
25.570679	-90.883896
26.243591	-95.015884
26.916504	-86.916862
27.589417	-92.106209
28.262329	-85.861664
28.935242	-87.552505
29.608154	-93.852798
30.281067	-90.057159
30.953979	-91.931831
31.626892	-88.764313
32.299805	-87.786880
32.972717	-87.027496
33.645630	-91.603882
34.318542	-89.180641
34.991455	-84.747612
35.664368	-87.073677
36.337280	-86.007523
37.010193	-82.820839
37.683105	-85.806015
38.356018	-90.192154
39.028931	-89.439560
39.701843	-91.402237
40.374756	-83.888702
41.047668	-87.576538
41.720581	-90.254364
42.393494	-84.861206
43.066406	-90.642250
43.739319	-89.056679
44.412231	-88.675339
45.085144	-87.363808
45.758057	-90.716972
46.430969	-85.592537
47.103882	-89.558968
47.776794	-88.029350
48.449707	-86.287987
49.122620	-86.197067
49.795532	-88.457672
50.468445	-86.228210
51.141357	-84.389931
51.814270	-84.663200
52.487183	-84.205040
53.160095	-87.959686
53.833008	-91.201210
54.505920	-85.505096
55.178833	-81.929741
55.851746	-92.387878
56.524658	-85.838531
57.197571	-81.275826
57.870483	-80.284218
58.543396	-82.512726
59.216309	-80.434517
59.889221	-80.847099
60.562134	-87.594040
61.235046	-81.660591
61.907959	-84.989479
62.580872	-83.606407
63.253784	-82.984589
63.926697	-82.423492
64.599609	-84.279274
65.272522	-81.177315
65.945435	-85.573051
66.618347	-84.467529
67.291260	-86.108856
67.964172	-90.854271
68.637085	-84.433281
69.309998	-83.060280
69.982910	-78.319801
70.655823	-80.485092
71.328735	-80.902878
72.001648	-82.400917
72.674561	-82.402122
73.347473	-88.595779
74.020386	-85.148483
74.693298	-81.347488
75.366211	-80.040367
76.039124	-83.446899
76.712036	-87.052460
77.384949	-83.518211
78.057861	-82.598511
78.730774	-78.952934
79.403687	-85.807312
80.076599	-83.980484
80.749512	-85.347740
81.422424	-86.075058
82.095337	-83.463783
82.768250	-86.680748
83.441162	-83.302910
84.114075	-83.362366
84.786987	-85.772736
85.459900	-87.063812
86.132812	-81.630249
86.805725	-80.837616
87.478638	-82.261200
88.151550	-78.699623
88.824463	-77.893013
89.497375	-83.053215
90.170288	-78.752632
90.843201	-82.994179
91.516113	-82.163879
92.189026	-85.538094
92.861938	-84.232918
93.534851	-82.147018
94.207764	-80.139923
94.880676	-84.560455
95.553589	-81.487671
96.226501	-83.559196
96.899414	-83.777969
97.572327	-81.937187
98.245239	-82.468391
98.918152	-85.928558
99.591064	-87.986458
100.263977	-83.836021
100.936890	-85.211845
101.609802	-86.910324
102.282715	-82.678001
102.955627	-82.388535
103.628540	-82.941399
104.301453	-84.807434
104.974365	-82.699188
105.647278	-81.710922
106.320190	-86.755966
106.993103	-80.125648
107.666016	-80.082764
108.338928	-82.894691
109.011841	-83.074631
109.684753	-78.779823
110.357666	-81.802452
111.030579	-82.392365
111.703491	-84.617455
112.376404	-82.279579
113.049316	-83.937195
113.722229	-78.715630
114.395142	-79.000572
115.068054	-83.298615
115.740967	-87.023201
116.413879	-85.187706
117.086792	-87.348808
117.759705	-79.216476
118.432617	-89.814209
119.105530	-83.919395
119.778442	-82.329407
120.451355	-88.185928
121.124268	-83.308968
121.797180	-80.697098
122.470093	-82.792641
123.143005	-82.300079
123.815918	-84.678337
124.488831	-82.781868
125.161743	-84.454109
125.834656	-87.586624
126.507568	-83.575317
127.180481	-84.388580
127.853394	-83.930527
128.526306	-86.989822
129.199219	-84.155212
129.872131	-85.088829
130.545044	-83.422531
131.217957	-84.694473
131.890869	-91.538826
132.563782	-86.961540
133.236694	-83.002464
133.909607	-85.623062
134.582520	-83.534630
135.255432	-87.648132
135.928345	-82.414139
136.601257	-83.353745
137.274170	-82.877571
137.947083	-83.230408
138.619995	-82.961205
139.292908	-80.449783
139.965820	-84.361885
140.638733	-85.409859
141.311646	-82.551895
141.984558	-81.758896
142.657471	-81.430679
143.330383	-79.803452
144.003296	-84.070259
144.676208	-81.132637
145.349121	-87.032944
146.022034	-80.947037
146.694946	-86.123436
147.367859	-84.121460
148.040771	-80.780098
148.713684	-85.850502
149.386597	-82.066345
150.059509	-85.119102
150.732422	-80.014435
151.405334	-83.476044
152.078247	-90.772301
152.751160	-82.615219
153.424072	-84.756706
154.096985	-89.023041
154.769897	-83.573708
155.442810	-80.946991
156.115723	-83.508354
156.788635	-81.184853
157.461548	-85.041809
158.134460	-80.167984
158.807373	-85.400726
159.480286	-85.035202
160.153198	-87.049744
160.826111	-84.840927
161.499023	-86.610466
162.171936	-81.282417
162.844849	-85.319786
163.517761	-90.992142
164.190674	-81.599579
164.863586	-79.476913
165.536499	-81.132797
166.209412	-83.275093
166.882324	-79.756889
167.555237	-82.122375
168.228149	-82.458900
168.901062	-85.488754
169.573975	-81.570618
170.246887	-81.817352
170.919800	-83.589645
171.592712	-81.012947
172.265625	-83.499886
172.938538	-80.766342
173.611450	-83.797607
