Frequency (Hz)	Level (dB)
0.672913	-100.113617
1.345825	-100.134964
2.018738	-100.111320
2.691650	-100.035339
3.364563	-99.858040
4.037476	-99.627907
4.710388	-99.815788
5.383301	-100.045525
6.056213	-99.889809
6.729126	-99.356911
7.402039	-99.321640
8.074951	-99.011696
8.747864	-98.411140
9.420776	-98.306992
10.093689	-97.589027
10.766602	-96.943275
11.439514	-96.378922
12.112427	-94.869820
12.785339	-95.357269
13.458252	-94.477280
14.131165	-94.055649
14.804077	-93.887604
15.476990	-93.686325
16.149902	-93.904121
16.822815	-93.789261
17.495728	-87.068100
18.168640	-89.802734
18.841553	-91.477173
19.514465	-91.845764
20.187378	-91.099579
20.860291	-90.369095
21.533203	-90.130020
22.206116	-89.861824
22.879028	-89.645256
23.551941	-89.030556
24.224854	-91.109627
24.897766	-89.478020
25.570679	-90.856575
26.243591	-88.336258
26.916504	-88.901573
27.589417	-87.926025
28.262329	-88.766891
28.935242	-88.578674
29.608154	-87.412323
30.281067	-88.630661
30.953979	-87.070320
31.626892	-87.322395
32.299805	-86.830894
32.972717	-85.958115
33.645630	-85.941246
34.318542	-85.667603
34.991455	-81.557297
35.664368	-83.506721
36.337280	-84.775650
37.010193	-84.640327
37.683105	-84.781105
38.356018	-84.903503
39.028931	-85.152496
39.701843	-85.859154
40.374756	-85.811523
41.047668	-85.506821
41.720581	-85.962471
42.393494	-84.160721
43.066406	-84.054161
43.739319	-83.370224
44.412231	-84.116699
45.085144	-85.166336
45.758057	-83.542572
46.430969	-84.073517
47.103882	-84.986954
47.776794	-85.240105
48.449707	-83.778831
49.122620	-83.313332
49.795532	-84.166649
50.468445	-84.254143
51.141357	-83.230270
51.814270	-83.884651
52.487183	-82.288788
53.160095	-82.537796
53.833008	-82.149796
54.505920	-82.892853
55.178833	-83.085609
55.851746	-82.242607
56.524658	-82.174126
57.197571	-81.027946
57.870483	-79.142357
58.543396	-81.287842
59.216309	-81.172165
59.889221	-81.853210
60.562134	-82.039925
61.235046	-82.109055
61.907959	-81.041870
62.580872	-81.426231
63.253784	-80.945457
63.926697	-82.240654
64.599609	-82.408417
65.272522	-82.430801
65.945435	-82.666786
66.618347	-82.153404
67.291260	-82.323708
67.964172	-83.248703
