Frequency (Hz)	Level (dB)
0.672913	-100.119804
1.345825	-100.111702
2.018738	-100.071648
2.691650	-100.194397
3.364563	-99.786133
4.037476	-100.065140
4.710388	-99.547104
5.383301	-99.156029
6.056213	-99.436615
6.729126	-99.639030
7.402039	-98.351479
8.074951	-98.363190
8.747864	-98.686562
9.420776	-97.278366
10.093689	-97.872047
10.766602	-95.874115
11.439514	-96.270813
12.112427	-95.036263
12.785339	-93.837357
13.458252	-93.542763
14.131165	-93.215286
14.804077	-92.840805
15.476990	-92.428314
16.149902	-91.400208
16.822815	-94.356926
17.495728	-87.244751
18.168640	-89.548515
18.841553	-89.894859
19.514465	-92.134048
20.187378	-90.517593
20.860291	-88.949417
21.533203	-88.410622
22.206116	-89.167305
22.879028	-89.037216
23.551941	-89.621147
24.224854	-89.576187
24.897766	-88.898819
25.570679	-88.748741
26.243591	-89.044182
26.916504	-89.124680
27.589417	-87.596062
28.262329	-90.189644
28.935242	-88.500946
29.608154	-85.868538
30.281067	-87.365723
30.953979	-86.652298
31.626892	-87.614471
32.299805	-87.354561
32.972717	-84.742264
33.645630	-84.698692
34.318542	-84.692566
34.991455	-82.033142
35.664368	-82.681862
36.337280	-85.992729
37.010193	-85.480141
37.683105	-85.605698
38.356018	-83.931595
39.028931	-84.935852
39.701843	-87.060616
40.374756	-86.638832
41.047668	-86.319656
41.720581	-83.049973
42.393494	-84.035294
43.066406	-82.789619
43.739319	-82.429787
44.412231	-85.020966
45.085144	-83.327324
45.758057	-84.755432
46.430969	-84.068657
47.103882	-83.028549
47.776794	-82.736092
48.449707	-83.692108
49.122620	-81.191765
49.795532	-83.101265
50.468445	-83.622299
51.141357	-82.397812
51.814270	-83.048904
52.487183	-82.444382
53.160095	-81.590279
53.833008	-82.739693
54.505920	-81.276123
55.178833	-82.935722
55.851746	-83.452126
56.524658	-82.316666
57.197571	-81.345474
57.870483	-80.206596
58.543396	-82.075760
59.216309	-81.432465
59.889221	-83.403427
60.562134	-82.511360
61.235046	-81.905487
61.907959	-81.144798
62.580872	-82.552834
63.253784	-81.363197
63.926697	-82.898056
64.599609	-82.541656
65.272522	-81.259842
65.945435	-83.701698
66.618347	-83.896553
67.291260	-82.325813
67.964172	-80.628929
68.637085	-82.464355
69.309998	-81.226357
69.982910	-81.822685
70.655823	-79.949646
71.328735	-81.363014
72.001648	-79.247475
72.674561	-79.167892
73.347473	-80.773834
74.020386	-81.062210
74.693298	-82.370255
75.366211	-81.333107
76.039124	-80.537445
76.712036	-83.142960
77.384949	-81.732651
78.057861	-81.834488
78.730774	-81.562157
79.403687	-81.951134
80.076599	-81.263588
80.749512	-80.855316
81.422424	-82.271187
82.095337	-81.046944
82.768250	-81.108620
83.441162	-80.239243
84.114075	-80.154839
84.786987	-80.472641
85.459900	-81.184853
86.132812	-77.690033
86.805725	-79.912254
87.478638	-80.504128
88.151550	-80.541267
88.824463	-80.069359
89.497375	-80.748329
90.170288	-79.185730
90.843201	-78.925438
91.516113	-79.896240
92.189026	-82.354324
92.861938	-81.752411
93.534851	-82.349815
94.207764	-81.524933
94.880676	-82.736420
95.553589	-81.864960
96.226501	-81.535675
96.899414	-81.663116
97.572327	-80.415749
98.245239	-81.014748
98.918152	-81.153091
99.591064	-82.067085
100.263977	-81.542145
100.936890	-81.587738
101.609802	-80.469872
102.282715	-79.073357
102.955627	-79.705673
103.628540	-79.814621
104.301453	-79.233620
104.974365	-80.875511
105.647278	-79.642647
106.320190	-80.959702
106.993103	-79.487419
107.666016	-79.804420
108.338928	-78.151329
109.011841	-79.008842
109.684753	-81.393509
110.357666	-80.243332
111.030579	-81.213760
111.703491	-79.327942
112.376404	-80.451714
113.049316	-80.438332
113.722229	-77.447945
114.395142	-78.830040
115.068054	-79.520523
115.740967	-78.629486
116.413879	-81.530853
117.086792	-81.716980
117.759705	-81.635979
118.432617	-80.243530
119.105530	-79.540504
119.778442	-79.646233
120.451355	-81.954697
121.124268	-81.246414
121.797180	-80.544785
122.470093	-79.692612
123.143005	-80.209969
123.815918	-79.336227
124.488831	-80.879028
125.161743	-81.424599
125.834656	-81.025208
126.507568	-79.945038
127.180481	-79.672348
127.853394	-80.805542
128.526306	-80.613426
129.199219	-79.967201
129.872131	-80.251167
130.545044	-78.550613
131.217957	-79.333702
131.890869	-78.563667
132.563782	-81.279503
133.236694	-80.198135
133.909607	-80.888321
134.582520	-80.803955
135.255432	-79.992584
135.928345	-77.487801
136.601257	-78.018745
137.274170	-78.712814
137.947083	-79.486771
138.619995	-79.638954
139.292908	-78.855934
139.965820	-78.901886
140.638733	-78.900520
141.311646	-79.750191
141.984558	-78.850288
142.657471	-78.659462
143.330383	-79.367050
144.003296	-78.203888
144.676208	-76.827690
145.349121	-77.454048
146.022034	-77.386368
146.694946	-77.671394
147.367859	-77.485275
148.040771	-77.808632
148.713684	-77.562195
149.386597	-78.305847
150.059509	-78.103653
150.732422	-77.781044
151.405334	-77.818108
152.078247	-76.191414
152.751160	-76.830910
153.424072	-78.170540
154.096985	-77.636009
154.769897	-77.237686
155.442810	-77.777725
156.115723	-77.433228
156.788635	-75.316902
157.461548	-75.355179
158.134460	-76.014763
