Frequency (Hz)	Level (dB)
0.672913	-99.018829
1.345825	-98.996635
2.018738	-99.090950
2.691650	-99.041313
3.364563	-98.653038
4.037476	-98.936920
4.710388	-98.353699
5.383301	-97.932716
6.056213	-98.056938
6.729126	-97.666931
7.402039	-98.207100
8.074951	-97.195808
8.747864	-97.305458
9.420776	-97.193871
10.093689	-95.721519
10.766602	-95.433037
11.439514	-94.830925
12.112427	-93.856247
12.785339	-93.647972
13.458252	-92.913284
14.131165	-93.779213
14.804077	-92.290474
15.476990	-92.825569
16.149902	-92.622635
16.822815	-92.013741
17.495728	-86.751358
18.168640	-88.380219
18.841553	-89.144043
19.514465	-90.433456
20.187378	-90.393433
20.860291	-89.689865
21.533203	-90.417229
22.206116	-90.203537
22.879028	-90.387032
23.551941	-88.323036
24.224854	-91.966522
24.897766	-89.594521
25.570679	-88.840836
26.243591	-89.698318
26.916504	-87.837418
27.589417	-88.801437
28.262329	-88.433281
28.935242	-88.402084
29.608154	-87.164986
30.281067	-88.328308
30.953979	-86.775261
31.626892	-87.396400
32.299805	-88.176254
32.972717	-87.732147
33.645630	-86.650589
34.318542	-86.790810
34.991455	-84.978485
35.664368	-84.914459
36.337280	-86.668259
37.010193	-85.903343
37.683105	-88.287529
38.356018	-86.720764
39.028931	-85.371468
39.701843	-87.284401
40.374756	-86.051003
41.047668	-85.471512
41.720581	-84.758087
42.393494	-84.876816
43.066406	-85.344566
43.739319	-83.663704
44.412231	-83.690224
45.085144	-85.026917
45.758057	-83.990005
46.430969	-85.236382
47.103882	-84.812996
47.776794	-82.719444
48.449707	-84.818344
49.122620	-83.518806
49.795532	-84.356644
50.468445	-82.848976
51.141357	-82.339859
51.814270	-83.742287
52.487183	-84.082458
53.160095	-83.287094
53.833008	-82.278152
54.505920	-84.128777
55.178833	-83.459602
55.851746	-83.418457
56.524658	-83.405525
57.197571	-83.384666
57.870483	-79.360756
58.543396	-82.734901
59.216309	-82.004128
59.889221	-81.257805
60.562134	-82.475990
61.235046	-81.872261
61.907959	-81.691399
62.580872	-80.394531
63.253784	-81.807030
63.926697	-81.089493
64.599609	-82.333649
65.272522	-82.589531
65.945435	-83.291374
66.618347	-82.602303
67.291260	-82.158371
67.964172	-81.602264
68.637085	-81.823685
69.309998	-81.262772
69.982910	-79.587753
70.655823	-80.493225
71.328735	-81.414948
72.001648	-78.699409
72.674561	-80.754570
73.347473	-80.235794
74.020386	-80.274422
74.693298	-80.600616
75.366211	-82.002480
76.039124	-82.536392
76.712036	-81.047234
77.384949	-80.051735
78.057861	-79.817848
78.730774	-79.230751
79.403687	-80.763557
80.076599	-80.794373
80.749512	-79.931526
81.422424	-79.569366
82.095337	-80.253677
82.768250	-79.751343
83.441162	-79.779327
84.114075	-79.561783
84.786987	-80.060463
85.459900	-77.519241
86.132812	-77.350052
86.805725	-78.868912
87.478638	-78.565849
88.151550	-77.863190
88.824463	-78.751694
89.497375	-79.202827
90.170288	-78.724800
90.843201	-80.446594
91.516113	-79.509506
92.189026	-79.791641
92.861938	-80.113876
93.534851	-79.150665
94.207764	-79.138382
94.880676	-79.441452
95.553589	-78.010361
96.226501	-78.355171
96.899414	-77.261894
97.572327	-77.221893
98.245239	-77.229889
98.918152	-78.238892
99.591064	-76.042053
100.263977	-76.363655
100.936890	-76.327347
101.609802	-77.327271
102.282715	-77.028000
102.955627	-74.519989
103.628540	-75.643867
104.301453	-74.577820
104.974365	-73.941452
105.647278	-74.018326
106.320190	-74.236229
106.993103	-73.647018
107.666016	-75.542099
108.338928	-75.474396
109.011841	-73.954559
109.684753	-74.985458
110.357666	-74.304665
111.030579	-73.169952
111.703491	-74.703308
112.376404	-74.500198
113.049316	-73.037872
113.722229	-72.799622
114.395142	-73.962791
115.068054	-73.506874
115.740967	-72.993423
116.413879	-73.483276
117.086792	-72.450989
117.759705	-70.283798
118.432617	-70.694740
119.105530	-71.278236
119.778442	-69.812241
120.451355	-70.878716
121.124268	-68.890076
121.797180	-69.679817
122.470093	-70.153648
123.143005	-69.158318
123.815918	-66.841217
124.488831	-65.908928
125.161743	-67.679794
125.834656	-68.836609
126.507568	-67.809753
127.180481	-67.559029
127.853394	-68.680618
128.526306	-67.303360
129.199219	-66.584297
129.872131	-67.830437
130.545044	-66.161018
131.217957	-66.508507
131.890869	-65.266174
132.563782	-68.210663
133.236694	-66.648872
133.909607	-68.102585
134.582520	-67.329620
135.255432	-67.067680
135.928345	-67.442551
136.601257	-67.168480
137.274170	-68.932938
137.947083	-68.861893
138.619995	-69.130577
139.292908	-67.244614
139.965820	-69.947639
140.638733	-69.515694
141.311646	-69.791969
141.984558	-70.498642
142.657471	-69.973038
143.330383	-71.489044
144.003296	-71.174767
144.676208	-69.322136
145.349121	-71.529869
146.022034	-71.078125
146.694946	-71.574944
147.367859	-74.679283
148.040771	-71.650215
148.713684	-73.336761
149.386597	-72.625595
150.059509	-74.587593
150.732422	-72.879662
151.405334	-74.695297
152.078247	-72.695282
152.751160	-73.027565
153.424072	-75.511848
154.096985	-75.561592
154.769897	-74.240372
155.442810	-74.796509
156.115723	-75.754074
156.788635	-74.600182
157.461548	-74.586349
158.134460	-73.975380
158.807373	-75.101349
159.480286	-75.316422
160.153198	-75.163734
160.826111	-75.150551
161.499023	-75.827469
162.171936	-73.658073
162.844849	-75.652061
163.517761	-77.023460
164.190674	-76.282829
164.863586	-76.108788
165.536499	-75.631401
166.209412	-75.480484
166.882324	-78.241600
167.555237	-77.757690
168.228149	-75.866135
168.901062	-76.565529
169.573975	-78.666512
170.246887	-77.772629
170.919800	-76.702599
171.592712	-75.524086
172.265625	-78.300751
172.938538	-76.654541
173.611450	-79.843750
174.284363	-77.008797
174.957275	-78.164749
175.630188	-77.513519
176.303101	-77.449005
176.976013	-78.296722
177.648926	-78.174278
178.321838	-78.188286
178.994751	-78.221481
179.667664	-77.583015
180.340576	-80.432526
181.013489	-78.577782
181.686401	-78.130119
182.359314	-78.360847
183.032227	-78.400452
183.705139	-76.619835
184.378052	-77.600334
185.050964	-79.498367
185.723877	-79.185020
186.396790	-78.514259
187.069702	-78.800598
187.742615	-76.715202
188.415527	-77.037148
189.088440	-78.501465
189.761353	-78.811516
190.434265	-78.753120
191.107178	-77.239532
191.780090	-76.867340
192.453003	-78.532097
193.125916	-78.390068
193.798828	-79.727150
194.471741	-78.127144
195.144653	-78.655457
195.817566	-78.179382
196.490479	-80.009354
197.163391	-78.872726
197.836304	-78.820671
198.509216	-80.379036
199.182129	-81.065819
199.855042	-78.564903
200.527954	-79.689262
201.200867	-79.687172
201.873779	-78.247200
202.546692	-78.024788
203.219604	-78.244995
203.892517	-79.945007
204.565430	-77.228661
205.238342	-76.581482
205.911255	-78.142303
206.584167	-74.362221
207.257080	-76.138535
207.929993	-77.249100
208.602905	-76.873604
209.275818	-77.480843
209.948730	-75.421501
210.621643	-77.422775
211.294556	-76.433090
211.967468	-79.532906
212.640381	-76.080940
213.313293	-78.479790
