Frequency (Hz)	Level (dB)
0.672913	-123.935974
1.345825	-123.525703
2.018738	-126.183868
2.691650	-122.711205
3.364563	-119.431419
4.037476	-114.079079
4.710388	-115.313347
5.383301	-113.917824
6.056213	-112.040695
6.729126	-109.832802
7.402039	-110.097748
8.074951	-110.817497
8.747864	-109.276260
9.420776	-106.568817
10.093689	-105.978844
10.766602	-106.763519
11.439514	-102.575287
12.112427	-103.803734
12.785339	-103.719421
13.458252	-99.588829
14.131165	-100.595909
14.804077	-105.230774
15.476990	-103.100937
16.149902	-95.672661
16.822815	-101.542145
17.495728	-97.684425
18.168640	-97.994545
18.841553	-97.107040
19.514465	-98.882584
20.187378	-99.684753
20.860291	-98.251534
21.533203	-96.524986
22.206116	-98.943306
22.879028	-97.564499
23.551941	-102.335861
24.224854	-99.761581
24.897766	-98.115013
25.570679	-101.607918
26.243591	-98.516624
26.916504	-97.250992
27.589417	-99.252670
28.262329	-97.028267
28.935242	-96.064034
29.608154	-94.171883
30.281067	-98.083038
30.953979	-100.507156
31.626892	-100.777328
32.299805	-95.891762
32.972717	-95.898994
33.645630	-96.098351
34.318542	-94.232864
34.991455	-96.887337
35.664368	-93.809090
36.337280	-98.962860
37.010193	-102.526741
37.683105	-95.413597
38.356018	-99.528976
39.028931	-98.728172
39.701843	-96.759346
40.374756	-95.618912
41.047668	-99.733063
41.720581	-98.987106
42.393494	-97.831566
43.066406	-99.782799
43.739319	-98.033928
44.412231	-95.943230
45.085144	-97.472824
45.758057	-102.163361
46.430969	-96.532951
47.103882	-93.477394
47.776794	-92.278908
48.449707	-96.450989
49.122620	-98.606773
49.795532	-98.325943
50.468445	-94.223785
51.141357	-99.299744
51.814270	-91.573654
52.487183	-91.264488
53.160095	-93.107376
53.833008	-91.798920
54.505920	-95.249420
55.178833	-91.368019
55.851746	-92.060524
56.524658	-91.905365
57.197571	-89.458946
57.870483	-86.507530
58.543396	-90.038055
59.216309	-91.942772
59.889221	-92.907097
60.562134	-96.867218
61.235046	-94.763283
61.907959	-89.268753
62.580872	-88.625656
63.253784	-86.239708
63.926697	-90.748672
64.599609	-91.042358
65.272522	-95.731346
65.945435	-98.596123
66.618347	-93.462685
67.291260	-86.565666
67.964172	-95.244423
68.637085	-89.483238
69.309998	-90.591080
69.982910	-91.032898
70.655823	-88.411972
71.328735	-89.993912
72.001648	-84.577576
72.674561	-85.983414
73.347473	-86.135254
74.020386	-84.275902
74.693298	-84.736862
75.366211	-80.909157
76.039124	-85.248207
76.712036	-77.677132
77.384949	-80.706062
78.057861	-80.539070
78.730774	-82.206032
79.403687	-80.640030
80.076599	-81.692307
80.749512	-83.401360
81.422424	-79.009209
82.095337	-77.230934
82.768250	-81.346954
83.441162	-78.679344
84.114075	-79.168274
84.786987	-73.047310
85.459900	-79.881828
86.132812	-78.476318
86.805725	-75.179962
87.478638	-78.344009
88.151550	-81.268951
88.824463	-80.926170
89.497375	-82.612221
90.170288	-84.097771
90.843201	-80.911423
91.516113	-81.698441
92.189026	-83.364693
92.861938	-86.510254
93.534851	-82.158867
94.207764	-82.177399
94.880676	-87.438538
95.553589	-88.730736
96.226501	-86.404930
96.899414	-90.349396
97.572327	-84.161613
98.245239	-83.198120
98.918152	-83.309242
99.591064	-85.061859
100.263977	-85.647041
100.936890	-84.433937
101.609802	-83.773109
102.282715	-86.773903
102.955627	-78.931282
103.628540	-83.227310
104.301453	-84.558952
104.974365	-80.046272
105.647278	-82.172409
106.320190	-84.234215
106.993103	-84.669327
107.666016	-80.659531
108.338928	-81.812424
109.011841	-82.382378
109.684753	-82.775360
110.357666	-80.525787
111.030579	-85.225983
111.703491	-84.336197
112.376404	-83.227135
113.049316	-85.894241
113.722229	-80.096092
114.395142	-86.283264
115.068054	-85.096184
115.740967	-83.695808
116.413879	-89.056892
117.086792	-86.689209
117.759705	-88.322365
118.432617	-88.464775
119.105530	-96.678375
119.778442	-88.150772
120.451355	-85.959694
121.124268	-90.768555
121.797180	-92.095215
122.470093	-88.984055
123.143005	-89.260986
123.815918	-91.951553
124.488831	-86.330116
125.161743	-88.110619
125.834656	-90.112541
126.507568	-93.182846
127.180481	-91.350449
127.853394	-93.814766
128.526306	-94.497948
129.199219	-96.791962
129.872131	-93.861969
130.545044	-93.061096
131.217957	-90.965546
131.890869	-89.332619
132.563782	-95.538155
133.236694	-94.037041
133.909607	-91.503517
134.582520	-92.634369
135.255432	-92.453232
135.928345	-89.355682
136.601257	-92.454834
137.274170	-88.010040
137.947083	-90.234665
138.619995	-90.670074
139.292908	-92.307945
139.965820	-91.027519
140.638733	-89.677269
141.311646	-88.318687
141.984558	-85.663879
142.657471	-89.119980
143.330383	-87.368446
144.003296	-89.086426
144.676208	-94.348045
145.349121	-93.807640
146.022034	-93.975044
146.694946	-93.010353
147.367859	-90.928238
148.040771	-91.189316
148.713684	-95.726982
149.386597	-91.174835
150.059509	-96.039757
150.732422	-94.359390
151.405334	-95.943672
152.078247	-97.246712
152.751160	-94.200989
153.424072	-93.623978
154.096985	-91.344521
154.769897	-93.905693
155.442810	-95.733116
156.115723	-94.894997
156.788635	-93.718201
157.461548	-91.909210
158.134460	-90.750320
158.807373	-91.131172
159.480286	-88.338303
160.153198	-90.212303
160.826111	-95.376663
161.499023	-91.164528
162.171936	-88.929031
162.844849	-90.177666
163.517761	-88.761597
164.190674	-91.402107
164.863586	-92.952522
165.536499	-93.242821
166.209412	-90.865654
166.882324	-89.198212
167.555237	-87.401497
168.228149	-90.300858
168.901062	-92.062019
169.573975	-88.476120
170.246887	-87.473610
170.919800	-90.881073
171.592712	-88.592819
172.265625	-87.844131
172.938538	-90.523460
173.611450	-87.570679
174.284363	-89.537926
174.957275	-88.704460
175.630188	-86.689827
176.303101	-88.621254
176.976013	-91.714943
177.648926	-94.632339
178.321838	-92.273827
178.994751	-92.796799
179.667664	-95.983276
180.340576	-93.313545
181.013489	-94.126419
181.686401	-93.679161
182.359314	-93.080475
183.032227	-92.859879
183.705139	-94.140800
184.378052	-92.646507
185.050964	-93.660629
185.723877	-96.016045
186.396790	-94.011696
187.069702	-93.085983
187.742615	-96.077980
188.415527	-99.522636
189.088440	-96.415955
189.761353	-94.265770
190.434265	-95.149094
191.107178	-91.457741
191.780090	-98.043098
192.453003	-97.042038
193.125916	-96.116592
193.798828	-93.454834
194.471741	-93.541328
195.144653	-94.004288
195.817566	-94.709137
196.490479	-93.933464
197.163391	-93.136078
197.836304	-96.138077
198.509216	-94.524559
199.182129	-97.645798
199.855042	-95.994331
200.527954	-97.497353
201.200867	-97.289093
201.873779	-96.816742
202.546692	-94.544662
203.219604	-94.956200
203.892517	-97.034279
204.565430	-93.829536
205.238342	-96.096169
205.911255	-89.897568
206.584167	-80.234039
207.257080	-81.841637
207.929993	-87.400406
208.602905	-89.991432
209.275818	-90.845810
209.948730	-93.269348
210.621643	-93.655663
211.294556	-91.232826
211.967468	-96.621597
212.640381	-100.154068
213.313293	-94.867683
213.986206	-93.293396
214.659119	-95.107239
215.332031	-92.963676
216.004944	-92.817917
216.677856	-98.276802
217.350769	-95.341179
218.023682	-94.820145
218.696594	-97.497963
219.369507	-99.986969
220.042419	-100.929390
220.715332	-97.195107
221.388245	-96.323181
222.061157	-96.726112
222.734070	-97.934052
223.406982	-99.328316
224.079895	-97.615250
224.752808	-100.325783
225.425720	-99.204712
226.098633	-97.605507
226.771545	-95.968781
227.444458	-95.401680
228.117371	-96.447403
228.790283	-99.621483
229.463196	-96.710243
230.136108	-95.272995
230.809021	-95.330559
231.481934	-97.393715
232.154846	-99.286606
232.827759	-97.296318
233.500671	-97.019150
234.173584	-97.932961
234.846497	-98.083870
235.519409	-95.486572
236.192322	-98.375618
236.865234	-96.765663
237.538147	-92.347343
238.211060	-91.934486
238.883972	-93.531174
239.556885	-91.521301
240.229797	-92.537987
240.902710	-98.725792
241.575623	-96.760330
242.248535	-100.001335
242.921448	-95.368698
243.594360	-96.859566
244.267273	-97.541878
244.940186	-95.955910
245.613098	-96.663017
246.286011	-95.732094
246.958923	-94.112534
247.631836	-98.330254
248.304749	-102.395912
248.977661	-99.998581
249.650574	-98.677673
250.323486	-99.046455
250.996399	-97.135689
251.669312	-99.882584
252.342224	-102.320572
253.015137	-98.938705
253.688049	-101.630516
254.360962	-95.936310
255.033875	-94.302368
255.706787	-97.836510
256.379700	-99.651649
257.052612	-93.931763
257.725525	-100.446365
258.398438	-94.189514
259.071350	-101.012894
259.744263	-95.111366
260.417175	-99.077583
261.090088	-94.778915
261.763000	-92.184044
262.435913	-92.080246
263.108826	-94.569427
263.781738	-93.614014
264.454651	-98.498383
265.127563	-101.380020
265.800476	-96.114670
266.473389	-92.705925
267.146301	-92.151070
267.819214	-99.421715
268.492126	-93.230225
269.165039	-90.946518
269.837952	-96.033051
270.510864	-96.614037
271.183777	-94.837334
271.856689	-95.666275
272.529602	-96.980469
273.202515	-92.248962
273.875427	-91.988091
274.548340	-90.699005
275.221252	-93.150917
275.894165	-91.971802
276.567078	-93.192062
277.239990	-90.712036
277.912903	-89.192070
278.585815	-98.838142
279.258728	-91.838646
279.931641	-91.954895
280.604553	-92.142998
281.277466	-93.256027
281.950378	-88.186783
282.623291	-79.516052
283.296204	-76.628059
283.969116	-87.300064
284.642029	-96.099518
285.314941	-98.839355
285.987854	-91.192719
286.660767	-90.620834
287.333679	-94.195061
288.006592	-92.682793
288.679504	-94.232094
289.352417	-93.588882
290.025330	-96.607353
290.698242	-91.802849
291.371155	-92.059761
292.044067	-95.654915
292.716980	-93.086273
293.389893	-94.794754
294.062805	-93.451492
294.735718	-95.728264
295.408630	-90.864296
296.081543	-89.470490
296.754456	-89.579544
297.427368	-92.242035
298.100281	-97.315384
