Frequency (Hz)	Level (dB)
0.672913	-46.688725
1.345825	-47.490646
2.018738	-47.314167
2.691650	-46.885017
3.364563	-47.297928
4.037476	-48.446507
4.710388	-47.258392
5.383301	-45.955170
6.056213	-46.284180
6.729126	-47.155518
7.402039	-47.779995
8.074951	-46.922291
8.747864	-46.987171
9.420776	-47.012390
10.093689	-47.687740
10.766602	-45.333591
11.439514	-47.882553
12.112427	-47.815941
12.785339	-47.080933
13.458252	-46.463306
14.131165	-46.543285
14.804077	-48.247147
15.476990	-47.045506
16.149902	-47.534397
16.822815	-48.177269
17.495728	-49.368187
18.168640	-46.800381
18.841553	-46.454865
19.514465	-46.211712
20.187378	-48.343170
20.860291	-47.469929
21.533203	-47.759323
22.206116	-47.425972
22.879028	-46.341114
23.551941	-46.976383
24.224854	-48.678024
24.897766	-48.217457
25.570679	-47.890308
26.243591	-46.291458
26.916504	-48.194050
27.589417	-46.908787
28.262329	-47.122673
28.935242	-47.379829
29.608154	-47.963161
30.281067	-47.507511
30.953979	-47.738834
31.626892	-47.431171
32.299805	-46.873852
32.972717	-45.520599
33.645630	-47.191460
34.318542	-46.591305
34.991455	-47.022728
35.664368	-47.629551
36.337280	-46.794598
37.010193	-47.859562
37.683105	-46.738747
38.356018	-45.534393
39.028931	-47.059402
39.701843	-46.825932
40.374756	-46.594131
41.047668	-48.515259
41.720581	-46.632473
42.393494	-47.165371
43.066406	-47.349751
43.739319	-47.024193
44.412231	-46.657368
45.085144	-48.162983
45.758057	-46.594959
46.430969	-46.208057
47.103882	-47.322865
47.776794	-45.980431
48.449707	-46.284744
49.122620	-46.853943
49.795532	-46.447357
50.468445	-47.293919
51.141357	-46.000690
51.814270	-46.401798
52.487183	-46.877159
53.160095	-46.760563
53.833008	-45.938328
54.505920	-47.717880
55.178833	-49.324776
55.851746	-47.047215
56.524658	-49.622948
57.197571	-46.294582
57.870483	-45.926918
58.543396	-46.173763
59.216309	-47.059586
59.889221	-47.761528
60.562134	-46.796375
61.235046	-46.587532
61.907959	-46.795925
62.580872	-46.259392
63.253784	-46.139557
63.926697	-47.648525
64.599609	-46.059299
65.272522	-47.445148
65.945435	-47.562408
66.618347	-48.134964
67.291260	-47.935249
67.964172	-48.008297
68.637085	-47.225128
69.309998	-46.882442
69.982910	-46.862652
70.655823	-44.491665
71.328735	-47.475964
72.001648	-47.648228
72.674561	-47.949802
73.347473	-45.999958
74.020386	-46.956692
74.693298	-47.264259
75.366211	-45.602879
76.039124	-46.970444
76.712036	-46.445396
77.384949	-48.200371
78.057861	-47.797234
78.730774	-49.578747
79.403687	-48.115906
80.076599	-46.593678
80.749512	-46.753632
81.422424	-45.988537
82.095337	-47.032677
82.768250	-46.020061
83.441162	-46.456875
84.114075	-46.518730
84.786987	-48.301083
85.459900	-47.954887
86.132812	-47.193371
86.805725	-46.909050
87.478638	-46.140141
88.151550	-45.096458
88.824463	-47.003784
89.497375	-47.366901
90.170288	-47.701393
90.843201	-46.397984
91.516113	-47.761688
92.189026	-46.678188
92.861938	-47.369503
93.534851	-48.298168
94.207764	-48.561153
94.880676	-46.727749
95.553589	-47.631676
96.226501	-46.647556
96.899414	-46.418941
97.572327	-44.384365
98.245239	-45.541134
98.918152	-47.956146
99.591064	-48.941895
100.263977	-47.023193
100.936890	-46.997631
101.609802	-48.242821
102.282715	-47.789158
102.955627	-47.531811
103.628540	-47.767403
104.301453	-46.483311
104.974365	-46.750549
105.647278	-48.150894
106.320190	-48.768131
106.993103	-45.487286
107.666016	-47.916492
108.338928	-47.370609
109.011841	-46.567135
109.684753	-46.580845
110.357666	-46.831322
111.030579	-48.206490
111.703491	-47.163761
112.376404	-47.910439
113.049316	-46.848469
113.722229	-45.938202
114.395142	-46.924629
115.068054	-46.871338
115.740967	-45.218857
116.413879	-47.776733
117.086792	-46.440613
117.759705	-46.289669
118.432617	-47.898903
119.105530	-46.416924
119.778442	-46.779366
120.451355	-47.349995
121.124268	-48.064556
121.797180	-45.901585
122.470093	-45.991135
123.143005	-46.541988
123.815918	-45.724365
124.488831	-48.177212
125.161743	-48.156910
125.834656	-47.386257
126.507568	-48.570053
127.180481	-46.652916
127.853394	-45.533298
128.526306	-47.250854
129.199219	-45.899265
129.872131	-46.631802
130.545044	-46.432652
131.217957	-48.554340
131.890869	-45.665100
132.563782	-47.827877
133.236694	-47.602638
133.909607	-47.552052
134.582520	-47.230408
135.255432	-46.204330
135.928345	-46.578815
136.601257	-47.916473
137.274170	-48.669434
137.947083	-47.813423
138.619995	-46.847656
139.292908	-45.860382
139.965820	-48.393883
140.638733	-48.164589
141.311646	-47.083305
141.984558	-46.786385
142.657471	-47.731430
143.330383	-46.760460
144.003296	-47.667095
144.676208	-45.308434
145.349121	-46.283501
146.022034	-47.813553
146.694946	-45.403488
147.367859	-47.850964
148.040771	-47.899975
148.713684	-47.411179
149.386597	-49.560516
150.059509	-47.128468
150.732422	-46.521801
151.405334	-47.714230
152.078247	-46.069820
152.751160	-47.161934
153.424072	-48.826550
154.096985	-47.645088
154.769897	-45.528328
155.442810	-46.812523
156.115723	-46.240013
156.788635	-46.499886
157.461548	-45.971779
158.134460	-46.074493
158.807373	-47.043282
159.480286	-45.952785
160.153198	-46.899162
160.826111	-46.327679
161.499023	-48.132118
162.171936	-46.639740
162.844849	-48.925217
163.517761	-48.421074
164.190674	-47.987885
164.863586	-47.597317
165.536499	-48.552765
166.209412	-46.989281
166.882324	-47.851776
167.555237	-46.955845
168.228149	-47.509777
168.901062	-47.109230
169.573975	-46.913342
170.246887	-46.529537
170.919800	-47.374916
171.592712	-47.618267
172.265625	-48.631302
172.938538	-47.442146
173.611450	-46.937733
174.284363	-47.515720
174.957275	-47.275593
175.630188	-45.334679
176.303101	-48.037880
176.976013	-46.705585
177.648926	-47.312706
178.321838	-47.924072
178.994751	-47.924648
179.667664	-46.804447
180.340576	-47.621349
181.013489	-47.844612
181.686401	-48.763203
182.359314	-47.172367
183.032227	-48.728115
183.705139	-46.757587
184.378052	-46.131374
185.050964	-46.434883
185.723877	-48.268410
186.396790	-48.021099
187.069702	-47.789997
187.742615	-46.542080
188.415527	-45.449928
189.088440	-46.479473
189.761353	-47.113007
190.434265	-47.843597
191.107178	-46.404388
191.780090	-45.777412
192.453003	-45.886784
193.125916	-47.133690
193.798828	-46.894363
194.471741	-47.432209
195.144653	-46.638817
195.817566	-45.837757
196.490479	-47.468792
197.163391	-46.399014
197.836304	-46.030476
198.509216	-48.000374
199.182129	-48.737011
199.855042	-47.258190
200.527954	-45.897251
201.200867	-47.032375
201.873779	-46.273579
202.546692	-46.751804
203.219604	-46.037529
203.892517	-48.897724
204.565430	-47.582882
205.238342	-46.902603
205.911255	-47.588978
206.584167	-46.640900
207.257080	-49.086632
207.929993	-47.422073
208.602905	-47.777466
209.275818	-48.267368
209.948730	-46.703972
210.621643	-47.885376
211.294556	-46.512569
211.967468	-47.214565
212.640381	-46.391762
213.313293	-46.959778
213.986206	-47.602009
214.659119	-48.049976
215.332031	-45.544731
216.004944	-45.474068
216.677856	-45.955570
217.350769	-47.027622
218.023682	-47.723686
218.696594	-46.947430
219.369507	-45.981495
220.042419	-47.272015
220.715332	-45.511219
221.388245	-47.770271
222.061157	-47.085045
222.734070	-48.446613
223.406982	-47.341583
224.079895	-45.983795
224.752808	-47.341705
225.425720	-46.617962
226.098633	-44.767811
226.771545	-46.882034
227.444458	-48.421223
228.117371	-47.969398
228.790283	-47.921867
229.463196	-47.872356
230.136108	-48.339527
230.809021	-47.391140
231.481934	-47.241970
232.154846	-48.626881
232.827759	-47.101849
233.500671	-47.321762
234.173584	-48.113033
234.846497	-47.297153
235.519409	-47.479107
236.192322	-47.116997
236.865234	-46.035137
237.538147	-47.884007
238.211060	-47.422417
238.883972	-46.865273
239.556885	-45.962635
240.229797	-47.576328
240.902710	-48.419628
241.575623	-46.544209
242.248535	-46.234394
242.921448	-46.265549
243.594360	-48.099426
244.267273	-46.696991
244.940186	-47.606873
245.613098	-46.514366
246.286011	-45.793968
246.958923	-46.062790
247.631836	-46.711342
248.304749	-47.535294
248.977661	-48.043564
249.650574	-46.080959
250.323486	-47.927185
250.996399	-47.879871
251.669312	-48.269981
252.342224	-48.149452
253.015137	-47.178196
253.688049	-47.451607
254.360962	-46.906731
255.033875	-46.296021
255.706787	-47.805820
256.379700	-47.020267
257.052612	-45.928772
257.725525	-47.397236
258.398438	-47.666245
259.071350	-45.573284
259.744263	-45.494621
260.417175	-45.948898
261.090088	-46.411251
261.763000	-48.200123
262.435913	-45.767761
263.108826	-45.803028
263.781738	-46.113483
264.454651	-49.090900
265.127563	-46.799366
265.800476	-47.112778
266.473389	-47.937244
267.146301	-46.855885
267.819214	-46.529945
268.492126	-46.191326
269.165039	-47.279198
269.837952	-46.863644
270.510864	-46.118473
271.183777	-46.712917
271.856689	-46.021954
272.529602	-46.204433
273.202515	-47.627098
273.875427	-47.259037
274.548340	-46.789490
275.221252	-47.429695
275.894165	-47.762005
276.567078	-48.037350
277.239990	-47.369991
277.912903	-47.544189
278.585815	-47.750408
279.258728	-47.001404
279.931641	-46.951454
280.604553	-46.870678
281.277466	-48.607460
281.950378	-49.097607
282.623291	-47.581341
283.296204	-45.816799
283.969116	-47.116539
284.642029	-46.609364
285.314941	-48.100266
285.987854	-47.321484
286.660767	-47.332172
287.333679	-46.824596
288.006592	-46.902706
288.679504	-46.344261
289.352417	-46.395054
290.025330	-46.744041
290.698242	-45.358131
291.371155	-47.189270
292.044067	-48.262623
292.716980	-46.057476
293.389893	-46.604877
294.062805	-46.685932
294.735718	-47.525501
295.408630	-46.714439
296.081543	-48.864304
296.754456	-46.797661
297.427368	-46.998142
298.100281	-47.313400
298.773193	-48.025196
299.446106	-46.942589
300.119019	-46.664436
300.791931	-47.243946
301.464844	-48.198166
302.137756	-46.651985
302.810669	-48.260025
303.483582	-46.860073
304.156494	-46.581982
304.829407	-46.495495
305.502319	-46.052784
306.175232	-47.233948
306.848145	-46.537731
307.521057	-47.021824
308.193970	-45.988293
308.866882	-46.182030
309.539795	-46.957203
310.212708	-45.825672
310.885620	-46.609451
311.558533	-47.944054
312.231445	-46.764561
312.904358	-46.491932
313.577271	-47.371937
314.250183	-45.522007
314.923096	-46.819462
315.596008	-47.395515
316.268921	-48.332787
316.941833	-47.035263
317.614746	-47.880825
318.287659	-47.085510
318.960571	-45.719803
319.633484	-47.933861
320.306396	-47.198162
320.979309	-46.032932
321.652222	-46.131035
322.325134	-48.494957
322.998047	-47.945709
323.670959	-46.263683
324.343872	-48.861221
325.016785	-47.642590
325.689697	-44.945435
326.362610	-47.964378
327.035522	-47.232998
327.708435	-46.900612
328.381348	-46.173901
