Frequency (Hz)	Level (dB)
0.672913	-104.413467
1.345825	-104.299210
2.018738	-104.693237
2.691650	-103.499367
3.364563	-104.340668
4.037476	-102.644241
4.710388	-103.842552
5.383301	-103.489380
6.056213	-99.524605
6.729126	-98.442131
7.402039	-102.910797
8.074951	-98.403198
8.747864	-95.452232
9.420776	-95.970650
10.093689	-98.205109
10.766602	-97.142097
11.439514	-96.723068
12.112427	-91.468681
12.785339	-94.179253
13.458252	-94.094154
14.131165	-91.134918
14.804077	-94.111923
15.476990	-93.061745
16.149902	-94.700005
16.822815	-92.238739
17.495728	-90.897079
18.168640	-88.082596
18.841553	-86.519157
19.514465	-85.716980
20.187378	-89.399948
20.860291	-89.847855
21.533203	-89.553680
22.206116	-90.627136
22.879028	-86.155045
23.551941	-84.659340
24.224854	-81.501541
24.897766	-83.054245
25.570679	-81.915894
26.243591	-81.439919
26.916504	-76.930733
27.589417	-77.517044
28.262329	-78.412331
28.935242	-78.940407
29.608154	-78.277122
30.281067	-80.349731
30.953979	-81.697304
31.626892	-78.269234
32.299805	-77.646667
32.972717	-75.807793
33.645630	-76.133392
34.318542	-75.925171
34.991455	-76.258415
35.664368	-79.677299
36.337280	-78.660576
37.010193	-77.033104
37.683105	-76.321777
38.356018	-76.900742
39.028931	-77.223450
39.701843	-78.177605
40.374756	-76.573395
41.047668	-77.019295
41.720581	-75.180389
42.393494	-80.461769
43.066406	-78.535416
43.739319	-74.811989
44.412231	-76.694969
45.085144	-76.315552
45.758057	-81.213005
46.430969	-82.503609
47.103882	-79.721397
47.776794	-81.107155
48.449707	-83.016228
49.122620	-85.040459
49.795532	-80.556686
50.468445	-82.682846
51.141357	-77.849648
51.814270	-75.624550
52.487183	-76.586700
53.160095	-74.180901
53.833008	-73.370880
54.505920	-76.033890
55.178833	-75.226753
55.851746	-79.334778
56.524658	-77.584961
57.197571	-66.855774
57.870483	-76.830246
58.543396	-78.521751
59.216309	-75.995338
59.889221	-76.045036
60.562134	-75.689766
61.235046	-77.062340
61.907959	-79.069519
62.580872	-79.535294
63.253784	-82.794754
63.926697	-81.963936
64.599609	-81.716522
65.272522	-81.112686
65.945435	-79.356705
66.618347	-78.845474
67.291260	-81.497505
67.964172	-78.730423
68.637085	-79.615227
69.309998	-81.100571
69.982910	-77.159737
70.655823	-84.222992
71.328735	-77.341751
72.001648	-82.894890
72.674561	-75.743553
73.347473	-73.995781
74.020386	-73.852623
74.693298	-74.560303
75.366211	-76.953651
76.039124	-73.968658
76.712036	-72.446785
77.384949	-72.487335
78.057861	-78.114258
78.730774	-73.158684
79.403687	-71.235901
80.076599	-75.537331
80.749512	-79.542953
81.422424	-76.728470
82.095337	-82.941566
82.768250	-82.998360
83.441162	-81.422401
84.114075	-79.367714
84.786987	-80.563507
85.459900	-76.165733
86.132812	-75.779282
86.805725	-77.558113
87.478638	-79.514763
88.151550	-76.731743
88.824463	-77.714722
89.497375	-76.802971
90.170288	-80.775688
90.843201	-72.539459
91.516113	-75.907280
92.189026	-81.612045
92.861938	-77.643204
93.534851	-78.295723
94.207764	-79.113403
94.880676	-76.362831
95.553589	-78.193314
96.226501	-81.311356
96.899414	-80.859177
97.572327	-83.910210
98.245239	-84.021622
98.918152	-79.324554
99.591064	-75.984085
100.263977	-79.183762
100.936890	-79.583794
101.609802	-81.088943
102.282715	-80.716705
102.955627	-78.748413
103.628540	-77.464905
104.301453	-78.907272
104.974365	-75.453827
105.647278	-79.026764
106.320190	-75.615715
106.993103	-77.685455
107.666016	-75.874985
108.338928	-77.641808
109.011841	-80.790611
109.684753	-79.218689
110.357666	-77.973183
111.030579	-71.571083
111.703491	-69.170502
112.376404	-70.734947
113.049316	-70.882103
113.722229	-70.217926
114.395142	-71.111397
115.068054	-68.517746
115.740967	-69.725662
116.413879	-68.817307
117.086792	-73.428711
117.759705	-71.070183
118.432617	-73.596504
119.105530	-73.507217
119.778442	-72.218292
120.451355	-79.795853
121.124268	-82.826828
121.797180	-81.781105
122.470093	-81.993622
123.143005	-81.946381
123.815918	-80.740448
124.488831	-83.383202
125.161743	-87.619949
125.834656	-83.500183
126.507568	-82.126015
127.180481	-85.299835
127.853394	-85.346184
128.526306	-84.059761
129.199219	-81.915810
129.872131	-87.966782
130.545044	-83.127060
131.217957	-82.300323
131.890869	-81.190186
132.563782	-85.723412
133.236694	-83.920364
133.909607	-84.271629
134.582520	-80.948929
135.255432	-82.668449
135.928345	-80.944084
136.601257	-81.189919
137.274170	-80.165146
137.947083	-81.647034
138.619995	-83.085060
139.292908	-84.123795
139.965820	-82.258026
140.638733	-81.727364
141.311646	-78.380516
141.984558	-80.530899
142.657471	-77.545311
143.330383	-78.694733
144.003296	-81.264885
144.676208	-78.411461
145.349121	-78.073402
146.022034	-82.025810
146.694946	-83.093941
147.367859	-82.620010
148.040771	-81.098709
148.713684	-79.692986
149.386597	-81.974953
150.059509	-83.506554
150.732422	-84.056427
151.405334	-82.006645
152.078247	-82.950493
152.751160	-85.878456
153.424072	-84.153664
154.096985	-80.388229
154.769897	-78.638695
155.442810	-81.743340
156.115723	-80.802994
156.788635	-76.445251
157.461548	-80.047569
158.134460	-82.367508
158.807373	-80.085114
159.480286	-83.110451
160.153198	-82.377464
160.826111	-75.320114
161.499023	-87.589767
162.171936	-84.868896
162.844849	-83.250381
163.517761	-83.126854
164.190674	-81.704521
164.863586	-82.019447
165.536499	-78.678520
166.209412	-80.907021
166.882324	-80.032219
167.555237	-78.750824
168.228149	-78.119026
168.901062	-78.773277
169.573975	-82.631668
170.246887	-82.164185
170.919800	-90.492882
171.592712	-78.618240
172.265625	-77.170059
172.938538	-80.147224
173.611450	-75.687149
174.284363	-77.329834
174.957275	-74.891296
175.630188	-76.580742
176.303101	-75.628929
176.976013	-73.994377
177.648926	-78.923958
178.321838	-77.118141
178.994751	-80.140862
179.667664	-80.514893
180.340576	-79.885010
181.013489	-82.068985
181.686401	-79.657967
182.359314	-80.433243
183.032227	-81.058784
183.705139	-81.062935
184.378052	-81.032562
185.050964	-78.786636
185.723877	-79.842445
186.396790	-77.483894
187.069702	-81.883896
187.742615	-81.633453
188.415527	-81.730225
189.088440	-82.649902
189.761353	-85.042412
190.434265	-82.810402
191.107178	-81.459557
191.780090	-80.954781
192.453003	-81.866074
193.125916	-86.437714
193.798828	-84.138817
194.471741	-82.153419
195.144653	-81.142448
195.817566	-80.579445
196.490479	-86.648438
197.163391	-86.932838
197.836304	-86.538307
198.509216	-85.542473
199.182129	-90.085075
199.855042	-86.913216
200.527954	-83.505585
201.200867	-85.754601
201.873779	-83.801750
202.546692	-83.199379
203.219604	-86.266670
203.892517	-85.808472
204.565430	-84.208626
205.238342	-83.773117
205.911255	-84.121994
206.584167	-85.263718
207.257080	-88.690315
207.929993	-87.265846
208.602905	-86.182266
209.275818	-82.125832
209.948730	-85.008202
210.621643	-83.985146
211.294556	-81.284424
211.967468	-85.497101
212.640381	-82.491226
213.313293	-82.203537
213.986206	-84.745155
214.659119	-84.740700
215.332031	-83.666756
216.004944	-85.694534
216.677856	-83.677971
217.350769	-83.340126
218.023682	-86.282730
218.696594	-86.208237
219.369507	-86.459869
220.042419	-89.623978
220.715332	-86.482109
221.388245	-86.286507
222.061157	-86.493713
222.734070	-89.084755
223.406982	-89.715599
224.079895	-86.790794
224.752808	-87.237442
225.425720	-89.468124
226.098633	-86.120430
226.771545	-85.310081
227.444458	-87.391319
228.117371	-84.449089
228.790283	-85.151421
229.463196	-91.411682
230.136108	-91.429123
230.809021	-86.875038
231.481934	-87.113785
232.154846	-89.338142
232.827759	-84.589325
233.500671	-83.202080
234.173584	-88.176247
234.846497	-85.206772
235.519409	-85.489983
236.192322	-87.647728
236.865234	-85.048622
237.538147	-81.834076
