Frequency (Hz)	Level (dB)
0.672913	-104.426338
1.345825	-104.444611
2.018738	-104.519463
2.691650	-103.906921
3.364563	-103.827133
4.037476	-105.209038
4.710388	-101.790108
5.383301	-104.379456
6.056213	-102.109123
6.729126	-101.148735
7.402039	-103.778557
8.074951	-100.071815
8.747864	-100.759766
9.420776	-98.452682
10.093689	-99.232178
10.766602	-97.257408
11.439514	-94.565872
12.112427	-98.981270
12.785339	-96.510605
13.458252	-97.134621
14.131165	-95.665070
14.804077	-94.308746
15.476990	-92.417763
16.149902	-93.183197
16.822815	-97.204605
17.495728	-90.389351
18.168640	-89.164688
18.841553	-87.177437
19.514465	-88.961296
20.187378	-88.189240
20.860291	-88.519005
21.533203	-88.212715
22.206116	-87.433746
22.879028	-84.175293
23.551941	-83.548447
24.224854	-86.563225
24.897766	-86.520920
25.570679	-84.008995
26.243591	-87.316101
26.916504	-86.258263
27.589417	-86.280113
28.262329	-88.281052
28.935242	-87.164536
29.608154	-88.462593
30.281067	-91.082565
30.953979	-87.440224
31.626892	-93.123329
32.299805	-89.645119
32.972717	-86.584595
33.645630	-92.194237
34.318542	-91.815987
34.991455	-93.172585
35.664368	-95.078049
36.337280	-93.923210
37.010193	-89.270126
37.683105	-87.234245
38.356018	-89.961563
39.028931	-86.169456
39.701843	-87.316597
40.374756	-83.601189
41.047668	-85.239594
41.720581	-82.552666
42.393494	-79.169411
43.066406	-77.116272
43.739319	-77.769791
44.412231	-82.950531
45.085144	-81.580513
45.758057	-81.942764
46.430969	-81.323257
47.103882	-81.710030
47.776794	-84.639107
48.449707	-85.505348
49.122620	-81.857185
49.795532	-78.484383
50.468445	-85.891975
51.141357	-79.266815
51.814270	-73.423050
52.487183	-70.383286
53.160095	-69.963745
53.833008	-72.832748
54.505920	-73.436180
55.178833	-75.766068
55.851746	-75.122864
56.524658	-77.373947
57.197571	-65.892616
57.870483	-72.738518
58.543396	-73.141136
59.216309	-73.074364
59.889221	-69.382713
60.562134	-77.695786
61.235046	-76.000259
61.907959	-78.886803
62.580872	-76.714828
63.253784	-78.131393
63.926697	-82.035454
64.599609	-80.055611
65.272522	-81.360863
65.945435	-81.639343
66.618347	-79.001617
67.291260	-76.320267
67.964172	-76.427582
68.637085	-78.515968
69.309998	-78.518608
69.982910	-72.004639
70.655823	-75.564384
71.328735	-76.375214
72.001648	-72.058990
72.674561	-71.803696
73.347473	-75.297485
74.020386	-66.782738
74.693298	-68.778671
75.366211	-68.951340
76.039124	-72.609940
76.712036	-70.650818
77.384949	-65.860275
78.057861	-70.300247
78.730774	-71.306999
79.403687	-72.969376
80.076599	-73.883865
80.749512	-75.614792
81.422424	-74.144020
82.095337	-79.824310
82.768250	-78.142029
83.441162	-80.023598
84.114075	-77.405991
84.786987	-79.791245
85.459900	-74.722153
86.132812	-74.824631
86.805725	-72.455757
87.478638	-75.192375
88.151550	-74.432510
88.824463	-74.580399
89.497375	-74.057014
90.170288	-74.578903
90.843201	-69.407539
91.516113	-71.580658
92.189026	-76.729691
92.861938	-79.069344
93.534851	-74.678551
94.207764	-73.812141
94.880676	-79.243149
95.553589	-80.489792
96.226501	-78.270615
96.899414	-76.331055
97.572327	-81.914597
98.245239	-77.897346
98.918152	-76.760208
99.591064	-75.683174
100.263977	-76.226463
100.936890	-74.322845
101.609802	-75.640175
102.282715	-78.309494
102.955627	-77.049446
103.628540	-79.032631
104.301453	-79.275421
104.974365	-78.078453
105.647278	-76.286522
106.320190	-75.161224
106.993103	-74.195671
107.666016	-72.369240
108.338928	-75.331276
109.011841	-77.984924
109.684753	-77.521324
110.357666	-74.359741
111.030579	-74.083321
111.703491	-71.789986
112.376404	-67.628494
113.049316	-70.751656
113.722229	-70.658890
114.395142	-72.357567
115.068054	-69.065308
115.740967	-70.399200
116.413879	-67.515182
117.086792	-69.680618
117.759705	-73.339546
118.432617	-70.694412
119.105530	-76.618683
119.778442	-71.619789
120.451355	-75.808273
121.124268	-79.267654
121.797180	-77.719757
122.470093	-78.845467
123.143005	-79.927452
123.815918	-84.244888
124.488831	-82.270424
125.161743	-81.544746
125.834656	-81.982368
126.507568	-84.312340
127.180481	-87.464294
127.853394	-87.403481
128.526306	-86.400497
129.199219	-85.785713
129.872131	-82.799347
130.545044	-82.235527
131.217957	-77.624504
131.890869	-74.190033
132.563782	-78.477226
133.236694	-82.224632
133.909607	-80.320747
134.582520	-80.149887
135.255432	-81.847305
135.928345	-82.956039
136.601257	-81.255905
137.274170	-78.909981
137.947083	-82.112282
138.619995	-80.126282
139.292908	-84.235886
139.965820	-81.961540
140.638733	-84.111687
141.311646	-82.379524
141.984558	-84.070717
142.657471	-82.182236
143.330383	-86.989876
144.003296	-82.650238
144.676208	-85.650650
145.349121	-82.859375
146.022034	-79.724228
146.694946	-86.960213
147.367859	-85.275894
148.040771	-85.392456
148.713684	-86.322746
149.386597	-86.392258
150.059509	-83.268227
150.732422	-83.263557
151.405334	-83.970474
152.078247	-81.264664
152.751160	-82.581154
153.424072	-84.658630
154.096985	-83.176720
154.769897	-81.531181
155.442810	-79.403625
156.115723	-82.467819
156.788635	-83.790886
157.461548	-83.070885
158.134460	-84.070076
158.807373	-81.709900
159.480286	-81.086540
160.153198	-82.295181
160.826111	-83.704567
161.499023	-84.336174
162.171936	-81.284195
162.844849	-79.908516
163.517761	-82.977325
164.190674	-82.289032
164.863586	-81.903748
165.536499	-83.001091
166.209412	-81.483009
166.882324	-80.180771
167.555237	-80.582214
168.228149	-82.661812
168.901062	-82.327606
169.573975	-80.390419
170.246887	-79.007515
170.919800	-84.464508
171.592712	-79.619194
172.265625	-82.507545
172.938538	-79.226593
173.611450	-78.634827
174.284363	-76.515518
174.957275	-75.061012
175.630188	-74.505020
176.303101	-75.996696
176.976013	-75.882843
177.648926	-75.472603
178.321838	-81.076393
178.994751	-80.258827
179.667664	-78.538803
180.340576	-82.224480
181.013489	-84.168587
181.686401	-82.157097
182.359314	-85.463249
183.032227	-76.792595
183.705139	-81.530304
184.378052	-80.001495
185.050964	-80.100983
185.723877	-81.236824
186.396790	-80.999817
187.069702	-81.368576
187.742615	-80.662323
188.415527	-77.638527
189.088440	-77.317078
189.761353	-79.975304
190.434265	-83.843216
191.107178	-81.119667
191.780090	-78.010292
192.453003	-80.631516
193.125916	-85.771187
193.798828	-81.119553
194.471741	-77.420578
195.144653	-83.336678
195.817566	-86.481926
196.490479	-83.427216
197.163391	-88.497459
197.836304	-76.841225
198.509216	-83.904411
199.182129	-89.462502
199.855042	-83.856911
200.527954	-86.864693
201.200867	-85.468636
201.873779	-88.076813
202.546692	-84.411484
203.219604	-82.575592
203.892517	-83.804794
204.565430	-84.498161
205.238342	-83.962296
205.911255	-83.728493
206.584167	-92.398392
207.257080	-86.028221
207.929993	-86.975998
208.602905	-84.592323
209.275818	-82.414894
209.948730	-81.049187
210.621643	-83.065895
211.294556	-81.224258
211.967468	-88.925339
212.640381	-82.919243
213.313293	-82.207649
213.986206	-84.967560
214.659119	-84.438179
215.332031	-83.078857
216.004944	-86.292969
216.677856	-90.191170
217.350769	-89.565773
218.023682	-83.490654
218.696594	-87.164986
219.369507	-89.470558
220.042419	-91.615143
220.715332	-89.950066
221.388245	-89.152794
222.061157	-86.250046
222.734070	-90.003860
223.406982	-87.260818
224.079895	-88.450684
224.752808	-89.963310
225.425720	-86.961777
226.098633	-81.887634
226.771545	-84.857819
227.444458	-90.134895
228.117371	-86.640182
228.790283	-86.673973
229.463196	-88.207596
230.136108	-88.576309
230.809021	-89.445068
231.481934	-90.375145
232.154846	-91.226585
232.827759	-85.782059
233.500671	-83.349976
234.173584	-89.419113
234.846497	-87.675735
235.519409	-85.700371
236.192322	-85.764336
236.865234	-82.127075
237.538147	-83.694954
238.211060	-82.213158
238.883972	-85.604561
239.556885	-82.566391
240.229797	-81.781654
240.902710	-87.551239
241.575623	-87.530586
242.248535	-87.665092
242.921448	-87.364189
243.594360	-85.001297
244.267273	-81.920959
244.940186	-86.408218
245.613098	-87.748108
246.286011	-84.582420
246.958923	-84.814278
247.631836	-82.373810
248.304749	-84.500580
248.977661	-81.830177
249.650574	-83.572495
250.323486	-80.927711
250.996399	-80.591888
251.669312	-80.458862
252.342224	-81.601906
253.015137	-83.223656
253.688049	-84.061745
254.360962	-79.986198
255.033875	-82.207085
255.706787	-85.241623
256.379700	-80.761154
257.052612	-81.472168
257.725525	-77.115906
258.398438	-79.052650
259.071350	-79.931267
259.744263	-80.233948
260.417175	-85.254242
261.090088	-84.114128
261.763000	-81.310593
262.435913	-78.167068
263.108826	-85.021736
263.781738	-86.593773
264.454651	-83.573631
265.127563	-82.378281
265.800476	-85.004936
266.473389	-83.619522
267.146301	-86.758896
267.819214	-83.969810
268.492126	-87.148270
269.165039	-86.796280
269.837952	-85.461571
270.510864	-88.880966
271.183777	-87.220863
271.856689	-84.561058
272.529602	-85.986053
273.202515	-85.622322
273.875427	-86.134827
274.548340	-86.984825
275.221252	-86.286934
275.894165	-89.256287
276.567078	-86.521927
277.239990	-85.770355
277.912903	-86.070831
278.585815	-89.661407
279.258728	-92.687309
279.931641	-88.507515
280.604553	-86.261047
281.277466	-86.948792
281.950378	-89.808464
282.623291	-88.087944
283.296204	-88.500854
283.969116	-90.414650
284.642029	-92.888832
285.314941	-90.402214
285.987854	-90.107483
286.660767	-95.235313
287.333679	-87.871918
288.006592	-86.657120
288.679504	-86.734467
289.352417	-86.052818
290.025330	-84.966751
290.698242	-86.744835
291.371155	-84.409409
292.044067	-79.557610
292.716980	-89.185081
293.389893	-81.639397
294.062805	-84.812241
294.735718	-90.531464
295.408630	-84.172401
296.081543	-85.307938
296.754456	-86.566452
297.427368	-85.438347
298.100281	-86.372612
298.773193	-85.192101
299.446106	-90.010582
300.119019	-89.032539
300.791931	-91.130173
301.464844	-91.324097
302.137756	-85.361328
302.810669	-85.344872
303.483582	-87.715195
304.156494	-89.306206
304.829407	-86.789757
305.502319	-89.656960
306.175232	-84.819626
306.848145	-87.180115
307.521057	-86.108871
308.193970	-85.169891
308.866882	-87.030403
309.539795	-87.392761
310.212708	-85.662483
310.885620	-85.330864
311.558533	-87.398842
312.231445	-86.688370
312.904358	-85.285469
313.577271	-89.553505
314.250183	-86.496307
314.923096	-85.254539
315.596008	-86.070099
316.268921	-83.087952
316.941833	-81.249252
317.614746	-87.860481
318.287659	-84.020111
318.960571	-82.896614
319.633484	-84.208275
320.306396	-86.857460
320.979309	-82.079758
321.652222	-82.774597
322.325134	-82.819458
322.998047	-82.298264
323.670959	-82.410927
324.343872	-90.105743
325.016785	-83.230980
325.689697	-86.758087
326.362610	-84.091774
327.035522	-84.201988
327.708435	-86.332077
328.381348	-88.128273
329.054260	-85.130310
329.727173	-85.747078
330.400085	-86.309723
331.072998	-85.113190
331.745911	-84.635170
332.418823	-84.729050
333.091736	-84.867287
333.764648	-87.901733
334.437561	-87.102119
335.110474	-90.012550
335.783386	-88.345299
336.456299	-84.222107
337.129211	-82.399529
337.802124	-86.600182
338.475037	-89.429184
339.147949	-88.897369
339.820862	-88.569069
340.493774	-81.212379
341.166687	-87.247696
341.839600	-74.643150
342.512512	-80.935867
343.185425	-87.527382
343.858337	-88.855080
344.531250	-86.487984
345.204163	-85.883675
345.877075	-85.843239
346.549988	-87.647621
347.222900	-87.161247
347.895813	-89.853363
348.568726	-87.379204
349.241638	-88.502205
349.914551	-85.142876
350.587463	-86.749565
351.260376	-88.125771
351.933289	-89.884941
352.606201	-86.798584
353.279114	-92.159714
353.952026	-89.579651
354.624939	-89.347176
355.297852	-91.523445
355.970764	-90.890312
356.643677	-85.626434
357.316589	-86.268021
357.989502	-85.726044
358.662415	-88.942650
359.335327	-90.369743
360.008240	-89.106873
360.681152	-89.714554
361.354065	-88.487152
362.026978	-89.367584
362.699890	-87.559013
363.372803	-86.610008
364.045715	-87.750618
364.718628	-89.441307
365.391541	-88.786644
366.064453	-88.105659
366.737366	-90.236893
367.410278	-94.797386
368.083191	-88.165642
368.756104	-91.872093
369.429016	-90.182137
370.101929	-92.874298
370.774841	-90.352425
371.447754	-89.100136
372.120667	-94.359131
372.793579	-94.653801
373.466492	-90.649155
374.139404	-97.850662
374.812317	-88.210396
375.485229	-88.109901
376.158142	-88.754601
376.831055	-90.103378
377.503967	-89.641319
378.176880	-86.036545
378.849792	-87.492279
379.522705	-88.488731
380.195618	-89.272980
380.868530	-87.825890
381.541443	-83.807312
382.214355	-85.629898
382.887268	-84.321205
383.560181	-87.280022
384.233093	-88.668839
384.906006	-83.361053
385.578918	-84.252747
386.251831	-86.537560
386.924744	-87.284241
387.597656	-89.305389
388.270569	-89.629883
388.943481	-87.045212
389.616394	-85.901146
390.289307	-87.552872
390.962219	-91.096367
391.635132	-87.526154
392.308044	-87.609581
392.980957	-89.413574
393.653870	-83.840614
394.326782	-93.713005
394.999695	-91.143051
395.672607	-97.022484
396.345520	-94.998680
397.018433	-93.202538
397.691345	-94.867485
398.364258	-92.686340
399.037170	-91.487358
399.710083	-94.923820
400.382996	-97.290497
401.055908	-94.609932
401.728821	-88.673134
402.401733	-91.745041
403.074646	-95.869446
403.747559	-92.926163
404.420471	-91.756706
405.093384	-94.151558
405.766296	-93.935585
406.439209	-93.557220
407.112122	-93.984146
407.785034	-92.665375
408.457947	-82.357681
409.130859	-88.847015
409.803772	-90.800262
410.476685	-92.550667
411.149597	-96.319878
411.822510	-93.423363
412.495422	-93.349335
413.168335	-92.349632
413.841248	-91.983986
414.514160	-91.657959
415.187073	-97.582840
415.859985	-90.651436
416.532898	-85.123833
417.205811	-78.380890
417.878723	-84.534973
418.551636	-89.155434
419.224548	-95.819176
419.897461	-92.606674
420.570374	-90.053520
421.243286	-95.186150
421.916199	-90.708115
422.589111	-90.055023
423.262024	-93.213501
423.934937	-87.799713
424.607849	-90.170776
425.280762	-89.294998
425.953674	-91.956589
426.626587	-90.526268
427.299500	-91.705856
427.972412	-91.609222
428.645325	-90.386421
429.318237	-94.672386
429.991150	-94.615364
430.664062	-92.411942
431.336975	-89.750603
432.009888	-88.242691
432.682800	-90.833351
433.355713	-91.300125
434.028625	-84.559830
434.701538	-88.202576
435.374451	-85.606186
436.047363	-83.793793
436.720276	-87.429520
437.393188	-87.466789
438.066101	-88.815025
438.739014	-84.966736
439.411926	-88.766335
440.084839	-90.676041
440.757751	-90.353294
441.430664	-89.532646
442.103577	-90.219887
442.776489	-90.672249
443.449402	-90.159935
444.122314	-92.451439
444.795227	-93.380753
445.468140	-92.687057
446.141052	-93.548218
446.813965	-90.945145
447.486877	-95.478737
448.159790	-92.171730
448.832703	-94.008278
449.505615	-91.504341
450.178528	-95.388168
450.851440	-92.284004
451.524353	-89.994682
452.197266	-95.171906
452.870178	-93.800148
453.543091	-95.170197
454.216003	-95.122696
454.888916	-95.863548
455.561829	-92.358826
456.234741	-94.061615
456.907654	-95.041916
457.580566	-94.272133
458.253479	-97.771324
458.926392	-96.075272
459.599304	-96.829575
460.272217	-96.576515
460.945129	-93.720940
461.618042	-96.875778
462.290955	-95.007050
462.963867	-96.797302
463.636780	-93.950813
464.309692	-92.546425
464.982605	-93.636185
465.655518	-94.324791
466.328430	-90.821732
467.001343	-89.979225
467.674255	-90.545799
468.347168	-93.122612
469.020081	-91.660164
469.692993	-92.062119
470.365906	-96.009666
471.038818	-93.518639
471.711731	-93.221680
472.384644	-93.668106
473.057556	-93.854057
473.730469	-96.768074
474.403381	-95.315956
475.076294	-90.432045
475.749207	-93.685738
476.422119	-95.199280
477.095032	-94.626213
477.767944	-92.354294
478.440857	-96.663727
479.113770	-96.125725
479.786682	-92.215691
480.459595	-94.954247
481.132507	-91.865250
481.805420	-98.243874
482.478333	-97.691475
483.151245	-95.964119
483.824158	-94.986641
484.497070	-96.232994
485.169983	-94.757072
485.842896	-93.355087
486.515808	-100.603149
487.188721	-93.396042
487.861633	-93.787422
488.534546	-91.108276
489.207458	-93.757385
489.880371	-93.982483
490.553284	-90.579445
491.226196	-96.066452
491.899109	-92.572578
492.572021	-93.722870
493.244934	-96.892799
493.917847	-93.968773
494.590759	-92.335640
495.263672	-94.427055
495.936584	-94.501244
496.609497	-97.435265
497.282410	-93.024399
497.955322	-96.089432
498.628235	-93.711128
499.301147	-95.612701
499.974060	-95.009132
500.646973	-93.111755
501.319885	-95.034340
501.992798	-94.206100
502.665710	-93.438850
503.338623	-92.696724
504.011536	-94.465370
504.684448	-92.184723
505.357361	-93.722031
506.030273	-94.264664
506.703186	-96.378197
507.376099	-92.739555
508.049011	-93.572105
508.721924	-92.576187
509.394836	-96.311272
510.067749	-93.362770
510.740662	-97.049675
511.413574	-96.480553
512.086487	-94.915329
512.759399	-91.606133
513.432312	-91.997269
514.105225	-99.362961
514.778137	-91.328949
515.451050	-91.324509
516.123962	-91.215347
516.796875	-90.261879
517.469788	-91.647842
518.142700	-94.174759
518.815613	-95.011810
519.488525	-94.052933
520.161438	-96.198532
520.834351	-96.516647
521.507263	-96.933670
522.180176	-94.464432
522.853088	-98.362549
523.526001	-95.824730
524.198914	-100.731033
524.871826	-95.069962
525.544739	-95.211685
526.217651	-94.682503
526.890564	-97.962067
527.563477	-95.432877
528.236389	-96.762711
528.909302	-95.724991
529.582214	-103.675735
530.255127	-95.948288
530.928040	-97.206184
531.600952	-93.840935
532.273865	-96.531654
532.946777	-94.629440
533.619690	-101.444756
534.292603	-96.516357
534.965515	-95.406136
535.638428	-96.932899
536.311340	-98.832428
536.984253	-100.849930
537.657166	-96.473473
538.330078	-93.972290
539.002991	-97.192024
539.675903	-97.603996
540.348816	-93.872055
541.021729	-93.440666
541.694641	-95.869080
542.367554	-96.814598
543.040466	-94.074173
543.713379	-96.990601
544.386292	-96.403030
545.059204	-93.273499
545.732117	-91.889000
546.405029	-92.365059
547.077942	-95.801994
547.750854	-96.632439
548.423767	-95.406273
549.096680	-95.958366
549.769592	-102.343285
550.442505	-101.527451
551.115417	-100.254509
551.788330	-98.458420
552.461243	-94.448853
553.134155	-93.282051
553.807068	-94.420647
554.479980	-96.602798
555.152893	-94.163933
555.825806	-93.217400
556.498718	-97.009048
557.171631	-101.611168
557.844543	-97.463371
558.517456	-99.617203
559.190369	-97.318298
559.863281	-97.086029
