Frequency (Hz)	Level (dB)
0.672913	-97.525307
1.345825	-97.517578
2.018738	-97.094299
2.691650	-97.927406
3.364563	-97.310410
4.037476	-97.934708
4.710388	-95.802330
5.383301	-96.633446
6.056213	-96.506744
6.729126	-96.304909
7.402039	-94.597023
8.074951	-97.967049
8.747864	-94.457863
9.420776	-95.604019
10.093689	-90.557976
10.766602	-90.434814
11.439514	-92.145088
12.112427	-86.730568
12.785339	-92.105530
13.458252	-83.553001
14.131165	-87.349922
14.804077	-87.537659
15.476990	-87.524139
16.149902	-82.627281
16.822815	-82.121262
17.495728	-84.182594
18.168640	-80.284691
18.841553	-80.673721
19.514465	-84.158730
20.187378	-81.224754
20.860291	-81.454994
21.533203	-87.014412
22.206116	-81.365356
22.879028	-76.609932
23.551941	-72.337685
24.224854	-81.243584
24.897766	-82.975121
25.570679	-78.826035
26.243591	-73.504784
26.916504	-76.167336
27.589417	-73.405983
28.262329	-72.217094
28.935242	-73.207306
29.608154	-72.120445
30.281067	-79.185913
30.953979	-71.615791
31.626892	-75.801575
32.299805	-71.048805
32.972717	-74.651215
33.645630	-70.648659
34.318542	-84.612053
34.991455	-73.420647
35.664368	-81.325691
36.337280	-77.599518
37.010193	-76.107346
37.683105	-71.664604
38.356018	-72.292480
39.028931	-76.969276
39.701843	-77.499451
40.374756	-72.517296
41.047668	-71.513557
41.720581	-74.417633
42.393494	-78.015862
43.066406	-69.381088
43.739319	-70.194786
44.412231	-74.436340
45.085144	-71.092575
45.758057	-73.123871
46.430969	-77.542770
47.103882	-73.750336
47.776794	-74.143677
48.449707	-71.827286
49.122620	-74.552750
49.795532	-71.530899
50.468445	-72.227066
51.141357	-71.606903
51.814270	-73.725197
52.487183	-73.781357
53.160095	-71.514107
53.833008	-68.648758
54.505920	-75.607903
55.178833	-70.567787
55.851746	-73.924850
56.524658	-75.330566
57.197571	-63.333530
57.870483	-74.330856
58.543396	-69.034813
59.216309	-74.879105
59.889221	-73.930679
60.562134	-73.268211
61.235046	-70.457420
61.907959	-70.931107
62.580872	-79.049438
63.253784	-71.113106
63.926697	-77.199707
64.599609	-75.150963
65.272522	-74.748688
65.945435	-73.432938
66.618347	-73.223289
67.291260	-73.074051
67.964172	-71.049026
68.637085	-71.135216
69.309998	-74.475403
69.982910	-84.814903
70.655823	-78.806931
71.328735	-74.771790
72.001648	-71.647156
72.674561	-68.826767
73.347473	-67.106422
74.020386	-67.658913
74.693298	-72.035278
75.366211	-69.796844
76.039124	-70.952850
76.712036	-71.526840
77.384949	-77.665573
78.057861	-73.505356
78.730774	-75.166267
79.403687	-77.856277
80.076599	-72.690781
80.749512	-71.202797
81.422424	-70.578918
82.095337	-70.903206
82.768250	-77.854378
83.441162	-70.290260
84.114075	-74.082291
84.786987	-73.853325
85.459900	-67.860664
86.132812	-70.799873
86.805725	-71.905014
87.478638	-73.082474
88.151550	-72.232445
88.824463	-69.674423
89.497375	-77.867836
90.170288	-77.034729
90.843201	-70.537621
91.516113	-71.772003
92.189026	-72.072067
92.861938	-74.902634
93.534851	-72.526978
94.207764	-70.449738
94.880676	-76.632851
95.553589	-73.716194
96.226501	-72.357422
96.899414	-73.020973
97.572327	-69.940674
98.245239	-74.473114
98.918152	-71.030540
99.591064	-70.454704
100.263977	-74.083000
100.936890	-71.687027
101.609802	-77.292412
102.282715	-71.422447
102.955627	-73.780060
103.628540	-70.209442
104.301453	-70.918266
104.974365	-73.048828
105.647278	-75.714050
106.320190	-70.892586
106.993103	-67.111603
107.666016	-72.995476
108.338928	-71.329674
109.011841	-73.881454
109.684753	-72.780922
110.357666	-75.361771
111.030579	-68.953018
111.703491	-68.207161
112.376404	-65.032921
113.049316	-66.739136
113.722229	-69.973328
114.395142	-66.670280
115.068054	-67.759346
115.740967	-66.942116
116.413879	-68.781189
117.086792	-74.828270
117.759705	-67.731583
118.432617	-69.147224
