Frequency (Hz)	Level (dB)
0.672913	-98.495636
1.345825	-98.352600
2.018738	-98.388100
2.691650	-98.199539
3.364563	-99.435783
4.037476	-97.603043
4.710388	-97.440941
5.383301	-97.031487
6.056213	-96.998039
6.729126	-97.215248
7.402039	-94.911545
8.074951	-95.256317
8.747864	-94.849693
9.420776	-90.934364
10.093689	-93.282471
10.766602	-91.502792
11.439514	-90.675377
12.112427	-88.346260
12.785339	-88.113579
13.458252	-90.577911
14.131165	-85.008636
14.804077	-86.666512
15.476990	-85.949173
16.149902	-88.309250
16.822815	-82.890846
17.495728	-85.284370
18.168640	-82.514427
18.841553	-85.748947
19.514465	-85.883080
20.187378	-81.293839
20.860291	-80.756821
21.533203	-79.484962
22.206116	-82.973022
22.879028	-80.615692
23.551941	-75.856827
24.224854	-73.722565
24.897766	-76.698425
25.570679	-75.400864
26.243591	-76.112785
26.916504	-73.734497
27.589417	-75.130630
28.262329	-73.088440
28.935242	-73.659889
29.608154	-77.780807
30.281067	-75.419556
30.953979	-72.853043
31.626892	-75.582153
32.299805	-76.263908
32.972717	-74.220444
33.645630	-76.071823
34.318542	-70.540024
34.991455	-74.372581
35.664368	-71.591896
36.337280	-75.095589
37.010193	-74.580795
37.683105	-70.630394
38.356018	-73.842300
39.028931	-73.505127
39.701843	-73.494568
40.374756	-74.384346
41.047668	-74.446236
41.720581	-71.117607
42.393494	-74.235489
43.066406	-74.380333
43.739319	-74.211281
44.412231	-73.449646
45.085144	-75.786987
45.758057	-77.269417
46.430969	-76.312790
47.103882	-74.876175
47.776794	-75.567459
48.449707	-70.761032
49.122620	-71.979340
49.795532	-73.130379
50.468445	-72.096207
51.141357	-78.123230
51.814270	-80.059013
52.487183	-74.329056
53.160095	-71.178047
53.833008	-74.674034
54.505920	-70.734245
55.178833	-69.311783
55.851746	-69.487488
56.524658	-75.787491
57.197571	-68.572380
57.870483	-74.496475
58.543396	-74.136940
59.216309	-71.042511
59.889221	-73.041420
60.562134	-75.182961
61.235046	-74.703026
61.907959	-71.962959
62.580872	-73.588341
63.253784	-74.723167
63.926697	-74.432106
64.599609	-74.859291
65.272522	-76.353554
65.945435	-74.212738
66.618347	-77.420631
67.291260	-73.955246
67.964172	-77.734558
68.637085	-70.196609
69.309998	-72.838303
69.982910	-72.091713
70.655823	-71.316414
71.328735	-74.468300
72.001648	-75.612724
72.674561	-71.649048
73.347473	-74.008369
74.020386	-69.009041
74.693298	-69.756485
75.366211	-71.511551
76.039124	-70.740555
76.712036	-71.819473
77.384949	-70.418968
78.057861	-69.083336
78.730774	-71.534309
79.403687	-69.780769
80.076599	-71.956520
80.749512	-70.969604
81.422424	-75.525467
82.095337	-72.239159
82.768250	-75.427078
83.441162	-72.571381
84.114075	-76.701332
84.786987	-72.428055
85.459900	-73.468277
86.132812	-70.998894
86.805725	-72.164742
87.478638	-71.947495
88.151550	-76.387589
88.824463	-74.469894
89.497375	-74.403397
90.170288	-73.549614
90.843201	-67.862846
91.516113	-73.118942
92.189026	-69.620811
92.861938	-73.479675
93.534851	-72.094589
94.207764	-73.133713
94.880676	-75.113068
95.553589	-71.810463
96.226501	-71.697891
96.899414	-75.578445
97.572327	-73.348793
98.245239	-70.137970
98.918152	-72.466660
99.591064	-69.235924
100.263977	-75.913399
100.936890	-74.766594
101.609802	-73.538246
102.282715	-73.297394
102.955627	-74.418159
103.628540	-73.511154
104.301453	-71.644569
104.974365	-76.653770
105.647278	-73.368889
106.320190	-75.816925
106.993103	-75.301567
107.666016	-74.002365
108.338928	-70.008644
109.011841	-75.280502
109.684753	-72.553413
110.357666	-73.774246
111.030579	-71.146965
111.703491	-74.412865
112.376404	-68.599503
113.049316	-68.706902
113.722229	-67.505943
114.395142	-66.661560
115.068054	-69.995277
115.740967	-69.206017
116.413879	-66.212379
117.086792	-72.031799
117.759705	-71.984299
118.432617	-73.600967
119.105530	-77.741676
119.778442	-70.622147
120.451355	-73.147720
121.124268	-70.940605
121.797180	-71.369766
122.470093	-77.382034
123.143005	-76.654404
123.815918	-75.399811
124.488831	-72.181625
125.161743	-74.994629
125.834656	-77.825157
126.507568	-73.313911
127.180481	-74.900345
127.853394	-73.808228
128.526306	-73.843109
129.199219	-75.902153
129.872131	-70.541901
130.545044	-73.832153
131.217957	-75.093361
131.890869	-71.908348
132.563782	-73.750740
133.236694	-72.726357
133.909607	-80.034630
134.582520	-74.163322
135.255432	-74.080093
135.928345	-71.736847
136.601257	-75.965294
137.274170	-72.796944
137.947083	-71.433350
138.619995	-71.838760
139.292908	-72.658569
139.965820	-71.803780
140.638733	-71.022530
