Frequency (Hz)	Level (dB)
0.672913	-95.824928
1.345825	-95.869270
2.018738	-96.196518
2.691650	-95.965538
3.364563	-96.259544
4.037476	-94.545296
4.710388	-96.614166
5.383301	-96.078514
6.056213	-93.755165
6.729126	-97.162598
7.402039	-92.179581
8.074951	-91.331100
8.747864	-95.384567
9.420776	-92.834427
10.093689	-95.676369
10.766602	-93.535439
11.439514	-92.038063
12.112427	-92.392624
12.785339	-92.335358
13.458252	-89.304741
14.131165	-92.083565
14.804077	-85.860252
15.476990	-89.287682
16.149902	-87.617683
16.822815	-88.188492
17.495728	-86.207108
18.168640	-81.564804
18.841553	-84.850433
19.514465	-84.673737
20.187378	-83.324272
20.860291	-83.610657
21.533203	-87.131653
22.206116	-85.429825
22.879028	-80.331589
23.551941	-78.755470
24.224854	-77.890930
24.897766	-77.978210
25.570679	-77.652115
26.243591	-80.855713
26.916504	-74.733986
27.589417	-74.331131
28.262329	-77.615494
28.935242	-79.187584
29.608154	-81.236679
30.281067	-76.605064
30.953979	-79.066681
31.626892	-76.828850
32.299805	-76.852936
32.972717	-76.625626
33.645630	-78.201492
34.318542	-77.439003
34.991455	-76.651459
35.664368	-80.466583
36.337280	-75.401802
37.010193	-77.112396
37.683105	-73.641220
38.356018	-72.817848
39.028931	-74.163612
39.701843	-75.814362
40.374756	-76.141769
41.047668	-73.583351
41.720581	-73.968651
42.393494	-76.063065
43.066406	-77.032906
43.739319	-70.788429
44.412231	-77.355667
45.085144	-78.848534
45.758057	-75.198418
46.430969	-76.222534
47.103882	-72.885712
47.776794	-81.389259
48.449707	-80.737198
49.122620	-76.473671
49.795532	-77.771896
50.468445	-73.013985
51.141357	-74.495285
51.814270	-75.541649
52.487183	-77.392487
53.160095	-74.160027
53.833008	-73.643990
54.505920	-76.510025
55.178833	-79.518295
55.851746	-77.642532
56.524658	-74.386505
57.197571	-71.490120
57.870483	-76.578827
58.543396	-79.913551
59.216309	-77.096756
59.889221	-75.731339
60.562134	-85.214966
61.235046	-77.200500
61.907959	-82.021248
62.580872	-78.400421
63.253784	-75.138382
63.926697	-74.960655
64.599609	-75.656784
65.272522	-74.688438
65.945435	-73.778526
66.618347	-74.359306
67.291260	-71.713860
67.964172	-77.772064
68.637085	-73.031494
69.309998	-73.080002
69.982910	-71.274399
70.655823	-76.009666
71.328735	-76.675667
72.001648	-78.621002
72.674561	-72.278610
73.347473	-70.445518
74.020386	-70.133438
74.693298	-70.044380
75.366211	-68.411774
76.039124	-69.685112
76.712036	-69.901802
77.384949	-72.217972
78.057861	-69.090652
78.730774	-70.431541
79.403687	-69.748695
80.076599	-68.949394
80.749512	-72.055183
81.422424	-70.790436
82.095337	-70.718773
82.768250	-73.207458
83.441162	-71.255074
84.114075	-69.670883
