Frequency (Hz)	Level (dB)
0.672913	-91.951981
1.345825	-91.905380
2.018738	-91.842804
2.691650	-91.718857
3.364563	-91.830002
4.037476	-91.329758
4.710388	-91.796913
5.383301	-91.151711
6.056213	-91.853188
6.729126	-90.632660
7.402039	-91.020866
8.074951	-90.746971
8.747864	-89.343758
9.420776	-92.365997
10.093689	-88.298035
10.766602	-91.268562
11.439514	-87.231133
12.112427	-87.784027
12.785339	-87.671341
13.458252	-84.334900
14.131165	-86.001793
14.804077	-85.603249
15.476990	-86.238914
16.149902	-84.275642
16.822815	-81.838272
17.495728	-85.196136
18.168640	-81.851524
18.841553	-79.620003
19.514465	-81.537407
20.187378	-80.125496
20.860291	-79.042725
21.533203	-80.141762
22.206116	-79.787498
22.879028	-81.128853
23.551941	-76.840096
24.224854	-77.925652
24.897766	-78.377487
25.570679	-77.735229
26.243591	-72.492874
26.916504	-74.398735
27.589417	-77.312378
28.262329	-74.780022
28.935242	-77.935356
29.608154	-80.716087
30.281067	-76.825508
30.953979	-75.620476
31.626892	-76.709030
32.299805	-75.913002
32.972717	-72.689278
33.645630	-74.074699
34.318542	-73.985359
34.991455	-73.577316
35.664368	-73.062935
36.337280	-73.609329
37.010193	-73.193710
37.683105	-73.429604
38.356018	-73.251259
39.028931	-71.656120
39.701843	-72.002220
40.374756	-74.317780
41.047668	-72.539780
41.720581	-73.135178
42.393494	-74.206161
43.066406	-73.994415
43.739319	-75.109131
44.412231	-73.837128
45.085144	-74.181580
45.758057	-73.691200
46.430969	-71.045845
47.103882	-73.943542
47.776794	-72.553535
48.449707	-73.775772
49.122620	-70.219528
49.795532	-71.152023
50.468445	-72.232323
51.141357	-71.347908
51.814270	-70.451897
52.487183	-69.588562
53.160095	-70.461227
53.833008	-71.412155
54.505920	-71.129143
55.178833	-72.218193
55.851746	-74.219620
56.524658	-72.616035
57.197571	-74.062462
57.870483	-72.097343
58.543396	-70.619164
59.216309	-70.643349
59.889221	-72.679161
60.562134	-72.998901
61.235046	-73.599480
61.907959	-78.289452
62.580872	-71.244141
63.253784	-72.281174
63.926697	-71.926308
64.599609	-72.955528
65.272522	-74.445839
65.945435	-73.911972
66.618347	-71.907829
67.291260	-72.629349
67.964172	-74.193008
68.637085	-73.794067
69.309998	-72.932709
69.982910	-73.470833
70.655823	-70.814331
71.328735	-70.597946
72.001648	-69.354630
72.674561	-71.970818
73.347473	-72.889832
74.020386	-69.117912
74.693298	-69.599609
75.366211	-69.951523
76.039124	-69.555786
76.712036	-68.376266
77.384949	-69.527290
78.057861	-70.349060
78.730774	-69.258278
79.403687	-68.222557
80.076599	-73.876305
80.749512	-74.804375
81.422424	-73.029854
82.095337	-73.504089
82.768250	-74.503586
83.441162	-73.944412
84.114075	-71.254738
84.786987	-71.797043
85.459900	-73.804047
86.132812	-70.612251
86.805725	-70.234474
87.478638	-73.373924
88.151550	-69.691559
88.824463	-70.602943
89.497375	-72.967316
90.170288	-70.117249
90.843201	-68.518700
91.516113	-69.549690
92.189026	-71.551147
92.861938	-70.394615
93.534851	-71.643944
94.207764	-70.797081
94.880676	-70.877998
95.553589	-73.828812
96.226501	-68.320274
96.899414	-71.531097
97.572327	-71.743492
98.245239	-70.660187
98.918152	-72.194633
99.591064	-72.294563
100.263977	-70.543861
100.936890	-74.851883
101.609802	-69.665741
102.282715	-70.575386
102.955627	-74.520943
103.628540	-74.904251
104.301453	-71.593979
104.974365	-71.596802
105.647278	-68.448586
106.320190	-72.945732
106.993103	-69.763954
107.666016	-70.719772
108.338928	-73.456543
109.011841	-72.193268
109.684753	-71.149506
110.357666	-71.954170
111.030579	-72.928902
111.703491	-67.882576
112.376404	-68.731873
113.049316	-69.476631
113.722229	-67.851868
114.395142	-65.369850
115.068054	-64.763802
115.740967	-67.037132
116.413879	-66.807831
117.086792	-67.037552
117.759705	-67.041542
118.432617	-73.256699
119.105530	-73.302818
119.778442	-69.747841
120.451355	-71.271942
121.124268	-73.642006
121.797180	-71.538597
122.470093	-70.719032
123.143005	-74.463303
123.815918	-74.910614
124.488831	-70.088318
125.161743	-75.890579
125.834656	-73.517090
126.507568	-75.133064
127.180481	-71.985733
127.853394	-71.717918
128.526306	-71.236496
129.199219	-73.526375
129.872131	-73.449478
130.545044	-72.410843
131.217957	-73.618347
131.890869	-72.815002
132.563782	-70.936981
133.236694	-69.405304
133.909607	-71.953537
134.582520	-72.947144
135.255432	-72.399422
135.928345	-68.932503
136.601257	-70.228622
137.274170	-69.767609
137.947083	-73.155952
138.619995	-72.886406
139.292908	-73.571335
139.965820	-72.016937
140.638733	-72.509247
141.311646	-73.544388
141.984558	-73.406616
142.657471	-71.402679
143.330383	-72.523315
144.003296	-74.249054
144.676208	-73.274040
145.349121	-73.322678
146.022034	-70.926567
146.694946	-74.708160
147.367859	-73.155678
148.040771	-71.809731
148.713684	-72.317703
149.386597	-69.268761
150.059509	-70.322723
150.732422	-73.549644
151.405334	-70.332207
152.078247	-72.016594
152.751160	-74.452118
153.424072	-71.105804
154.096985	-73.908203
154.769897	-71.940041
155.442810	-70.034744
156.115723	-71.924637
156.788635	-71.974236
157.461548	-71.852364
158.134460	-70.781723
158.807373	-68.928078
159.480286	-70.253082
160.153198	-70.358292
160.826111	-70.024590
