Frequency (Hz)	Level (dB)
0.672913	-92.712173
1.345825	-92.780251
2.018738	-92.660286
2.691650	-92.750824
3.364563	-92.651276
4.037476	-91.980858
4.710388	-92.924591
5.383301	-92.253098
6.056213	-91.838379
6.729126	-91.222107
7.402039	-91.469948
8.074951	-90.487251
8.747864	-89.414413
9.420776	-90.077309
10.093689	-87.969864
10.766602	-89.125816
11.439514	-89.236183
12.112427	-88.538742
12.785339	-85.964859
13.458252	-86.098076
14.131165	-85.252213
14.804077	-85.518150
15.476990	-85.216156
16.149902	-83.120903
16.822815	-81.775429
17.495728	-80.571205
18.168640	-80.159904
18.841553	-83.745682
19.514465	-80.587776
20.187378	-81.153969
20.860291	-80.325172
21.533203	-77.839966
22.206116	-78.872192
22.879028	-79.658821
23.551941	-78.331558
24.224854	-75.853142
24.897766	-76.503014
25.570679	-75.663162
26.243591	-78.487000
26.916504	-74.590286
27.589417	-77.069626
28.262329	-74.623810
28.935242	-76.719643
29.608154	-78.327118
30.281067	-75.757172
30.953979	-76.066025
31.626892	-74.813461
32.299805	-76.377716
32.972717	-72.292168
33.645630	-73.223068
34.318542	-73.713921
34.991455	-75.275612
35.664368	-75.194931
36.337280	-73.111656
37.010193	-71.609818
37.683105	-74.482933
38.356018	-73.454964
39.028931	-72.194824
39.701843	-72.971207
40.374756	-74.250175
41.047668	-74.195244
41.720581	-72.258492
42.393494	-71.843208
43.066406	-70.711014
43.739319	-75.283585
44.412231	-76.504601
45.085144	-73.202278
45.758057	-74.232498
46.430969	-73.961166
47.103882	-74.814842
47.776794	-72.170624
48.449707	-71.032478
49.122620	-73.943970
49.795532	-71.536003
50.468445	-70.789383
51.141357	-72.397850
51.814270	-72.741386
52.487183	-70.862503
53.160095	-72.289146
53.833008	-72.064400
54.505920	-71.902245
55.178833	-70.291275
55.851746	-72.677567
56.524658	-76.044731
57.197571	-66.177757
57.870483	-72.272491
58.543396	-69.562019
59.216309	-70.617859
59.889221	-74.039429
60.562134	-73.328674
61.235046	-72.452301
61.907959	-70.926933
62.580872	-73.951157
63.253784	-74.600937
63.926697	-75.001930
64.599609	-72.154213
65.272522	-73.010170
65.945435	-74.190712
66.618347	-71.537537
67.291260	-72.327217
67.964172	-72.868698
68.637085	-68.509468
69.309998	-71.544273
69.982910	-71.204300
70.655823	-72.020744
71.328735	-73.481361
72.001648	-70.892998
72.674561	-69.528145
73.347473	-70.949509
74.020386	-68.080643
74.693298	-70.772957
75.366211	-69.280807
76.039124	-70.942261
76.712036	-70.306351
77.384949	-70.486610
78.057861	-72.492401
78.730774	-70.398529
79.403687	-71.024513
80.076599	-75.664528
80.749512	-75.022018
81.422424	-73.643829
82.095337	-71.809761
82.768250	-72.502480
83.441162	-73.479332
84.114075	-71.903503
84.786987	-70.278320
85.459900	-73.071594
86.132812	-73.099365
86.805725	-70.240601
87.478638	-70.337563
88.151550	-72.294235
88.824463	-71.235893
89.497375	-72.048286
90.170288	-71.302467
90.843201	-67.955849
91.516113	-68.436882
92.189026	-71.094696
92.861938	-72.184105
93.534851	-71.206741
94.207764	-71.266136
94.880676	-71.678482
95.553589	-73.575630
96.226501	-73.543999
96.899414	-70.775490
97.572327	-71.371498
98.245239	-73.221581
98.918152	-70.100952
99.591064	-73.304939
100.263977	-73.037369
100.936890	-74.079346
101.609802	-70.030228
102.282715	-70.864456
102.955627	-72.311684
103.628540	-74.595451
104.301453	-75.079353
104.974365	-71.092911
105.647278	-68.887024
106.320190	-72.757812
106.993103	-71.082474
107.666016	-71.770119
108.338928	-73.508461
109.011841	-71.007523
109.684753	-71.237526
110.357666	-71.085106
111.030579	-70.717918
111.703491	-70.540276
112.376404	-66.728798
113.049316	-69.613289
113.722229	-70.823509
114.395142	-65.818275
115.068054	-67.465233
115.740967	-67.038284
116.413879	-66.618500
117.086792	-69.367836
117.759705	-68.579269
118.432617	-69.523552
119.105530	-70.729996
119.778442	-69.449867
120.451355	-71.474220
121.124268	-71.550186
121.797180	-74.226746
122.470093	-72.305504
123.143005	-71.119576
123.815918	-72.690025
124.488831	-70.410469
125.161743	-71.644524
125.834656	-71.468292
126.507568	-72.966652
127.180481	-71.241997
127.853394	-75.223274
128.526306	-72.432800
129.199219	-73.034454
129.872131	-73.114609
130.545044	-72.701591
131.217957	-72.321571
131.890869	-73.909912
132.563782	-70.634041
133.236694	-71.804161
133.909607	-73.446297
134.582520	-69.525200
135.255432	-71.388596
135.928345	-72.564926
136.601257	-71.990273
137.274170	-69.418938
137.947083	-71.234581
138.619995	-70.223312
139.292908	-70.619873
139.965820	-72.568779
140.638733	-71.000648
141.311646	-72.077156
141.984558	-69.929489
142.657471	-70.201691
143.330383	-70.427666
144.003296	-72.768417
144.676208	-70.796928
145.349121	-71.474045
146.022034	-72.425369
146.694946	-73.953751
147.367859	-71.818878
148.040771	-72.307442
148.713684	-74.632050
149.386597	-70.475990
150.059509	-74.847809
150.732422	-71.091217
151.405334	-71.064423
152.078247	-70.134499
152.751160	-72.102676
153.424072	-70.035530
154.096985	-69.924690
154.769897	-74.385071
155.442810	-73.242233
156.115723	-72.370071
156.788635	-71.258972
157.461548	-72.293640
158.134460	-71.321701
158.807373	-69.073418
159.480286	-71.602287
160.153198	-75.189575
160.826111	-71.633507
161.499023	-72.985466
162.171936	-69.821564
162.844849	-71.556679
163.517761	-73.560417
164.190674	-71.407570
164.863586	-71.605782
165.536499	-72.022385
166.209412	-71.356667
166.882324	-70.446266
167.555237	-71.677299
168.228149	-71.933113
168.901062	-74.426834
169.573975	-72.186600
170.246887	-72.818672
170.919800	-73.146286
171.592712	-71.932648
172.265625	-71.642914
172.938538	-71.728676
173.611450	-71.567131
174.284363	-70.263145
174.957275	-67.836380
175.630188	-72.837730
176.303101	-69.782135
176.976013	-73.000961
177.648926	-70.388741
178.321838	-73.629501
178.994751	-70.542236
179.667664	-72.890762
180.340576	-69.181686
181.013489	-69.457916
181.686401	-69.907639
182.359314	-70.822784
183.032227	-70.421608
183.705139	-69.582787
184.378052	-71.897354
185.050964	-70.295647
185.723877	-69.372498
186.396790	-70.604988
187.069702	-68.979385
187.742615	-72.996422
188.415527	-70.379005
189.088440	-69.880463
189.761353	-73.785080
190.434265	-69.182426
191.107178	-71.123901
191.780090	-73.940216
192.453003	-72.965263
193.125916	-72.097542
193.798828	-72.809059
194.471741	-71.069344
195.144653	-71.881538
195.817566	-74.570564
196.490479	-69.775299
197.163391	-69.487106
197.836304	-71.354088
198.509216	-71.261795
199.182129	-71.034958
199.855042	-72.260155
200.527954	-69.777496
201.200867	-69.438210
201.873779	-70.127342
202.546692	-73.577583
203.219604	-72.617538
203.892517	-72.053116
204.565430	-71.395943
205.238342	-69.138016
205.911255	-73.081917
206.584167	-70.870094
207.257080	-68.821671
207.929993	-70.747261
208.602905	-68.665222
209.275818	-70.227127
209.948730	-69.353615
210.621643	-68.664536
211.294556	-70.542526
211.967468	-70.535637
212.640381	-69.370232
213.313293	-69.251030
213.986206	-70.067368
214.659119	-70.100327
215.332031	-68.734222
216.004944	-68.347145
216.677856	-72.608803
217.350769	-67.105896
218.023682	-67.970818
218.696594	-70.609093
219.369507	-68.411682
220.042419	-72.804367
220.715332	-72.231812
221.388245	-68.820732
222.061157	-68.190048
222.734070	-68.517120
223.406982	-68.557472
224.079895	-68.596756
224.752808	-68.289444
225.425720	-66.303055
226.098633	-67.441177
226.771545	-69.592285
227.444458	-68.275543
228.117371	-69.678337
228.790283	-69.983398
229.463196	-69.845245
230.136108	-68.775734
230.809021	-68.313889
231.481934	-68.199120
232.154846	-68.046692
232.827759	-68.986618
233.500671	-65.297935
234.173584	-69.225418
234.846497	-68.871933
235.519409	-66.312309
236.192322	-65.783401
236.865234	-64.501678
237.538147	-64.921730
238.211060	-66.758812
238.883972	-66.380539
239.556885	-66.151665
240.229797	-66.462715
240.902710	-65.701416
241.575623	-64.109306
242.248535	-66.737328
242.921448	-64.285362
243.594360	-67.884804
244.267273	-65.772820
244.940186	-64.773682
245.613098	-66.896927
246.286011	-67.160194
246.958923	-65.294189
247.631836	-63.505501
248.304749	-63.969578
248.977661	-61.659836
249.650574	-63.913635
250.323486	-63.628006
250.996399	-65.326721
251.669312	-63.457790
252.342224	-64.220856
253.015137	-62.879257
253.688049	-67.725479
254.360962	-64.783630
255.033875	-62.491894
255.706787	-62.673847
256.379700	-60.932213
257.052612	-60.123150
257.725525	-61.285973
258.398438	-64.589432
259.071350	-63.664249
259.744263	-62.061157
260.417175	-60.879566
261.090088	-59.865509
261.763000	-61.049076
262.435913	-65.405067
263.108826	-60.343075
263.781738	-61.665409
264.454651	-62.889145
265.127563	-61.873108
265.800476	-62.912018
266.473389	-61.543800
267.146301	-59.216713
267.819214	-61.172508
268.492126	-59.131157
269.165039	-59.606781
269.837952	-60.623611
270.510864	-60.453861
271.183777	-60.834225
271.856689	-65.115776
272.529602	-59.140705
273.202515	-57.520580
273.875427	-60.645199
274.548340	-63.034958
275.221252	-62.061905
275.894165	-63.238022
276.567078	-61.293625
277.239990	-61.645355
277.912903	-59.109039
278.585815	-60.618176
279.258728	-62.419136
279.931641	-60.983479
280.604553	-59.059036
281.277466	-60.325668
281.950378	-61.901791
282.623291	-61.979874
283.296204	-63.094242
283.969116	-62.615990
284.642029	-65.489319
285.314941	-61.844482
285.987854	-65.826782
286.660767	-62.867416
287.333679	-64.375183
288.006592	-64.170097
288.679504	-63.629490
289.352417	-63.133564
290.025330	-64.166901
290.698242	-62.851509
291.371155	-62.420071
292.044067	-62.200394
292.716980	-65.240143
293.389893	-64.096771
294.062805	-64.699081
294.735718	-65.513947
295.408630	-64.807602
296.081543	-66.443924
296.754456	-64.981590
297.427368	-64.698181
298.100281	-65.456253
298.773193	-66.231590
299.446106	-63.982697
300.119019	-65.494255
300.791931	-67.871239
301.464844	-67.182877
302.137756	-65.012688
302.810669	-64.989616
303.483582	-69.562149
304.156494	-70.434425
304.829407	-68.302643
305.502319	-67.661255
306.175232	-65.185234
306.848145	-66.141884
307.521057	-68.479019
308.193970	-67.081802
308.866882	-69.745789
309.539795	-68.923843
310.212708	-65.837395
310.885620	-68.376999
311.558533	-71.621902
312.231445	-68.926758
312.904358	-69.266182
313.577271	-68.456749
314.250183	-66.707962
314.923096	-67.461952
315.596008	-67.521667
316.268921	-66.587242
316.941833	-72.801338
317.614746	-69.583138
318.287659	-69.687431
318.960571	-71.023552
319.633484	-70.237671
320.306396	-68.144287
320.979309	-71.301918
321.652222	-70.035347
322.325134	-68.069778
322.998047	-67.821365
323.670959	-73.084778
324.343872	-68.776985
325.016785	-67.685219
325.689697	-68.723282
326.362610	-71.448692
327.035522	-71.493523
327.708435	-66.237946
328.381348	-68.111481
329.054260	-73.950012
329.727173	-73.509453
330.400085	-68.954575
331.072998	-67.988403
331.745911	-70.974266
332.418823	-71.294319
333.091736	-68.331787
333.764648	-70.099190
334.437561	-72.849838
335.110474	-71.489914
335.783386	-71.306938
336.456299	-72.248283
337.129211	-70.731476
337.802124	-72.659897
338.475037	-70.462776
339.147949	-71.949570
339.820862	-69.799820
340.493774	-70.323318
341.166687	-72.086090
341.839600	-71.948959
342.512512	-72.402977
343.185425	-73.243698
343.858337	-73.730064
344.531250	-76.020638
345.204163	-74.691765
345.877075	-71.445679
346.549988	-72.020081
347.222900	-70.643959
347.895813	-70.107521
348.568726	-72.964523
349.241638	-72.217575
349.914551	-73.865746
350.587463	-70.588699
351.260376	-72.012810
351.933289	-71.361099
352.606201	-71.416435
353.279114	-75.155304
353.952026	-72.571236
354.624939	-75.955833
355.297852	-72.783066
355.970764	-74.089058
356.643677	-71.763626
357.316589	-75.261070
357.989502	-70.575287
358.662415	-70.277855
359.335327	-72.220863
360.008240	-71.931625
360.681152	-73.180931
361.354065	-73.714409
362.026978	-72.224045
362.699890	-74.260513
363.372803	-71.640884
364.045715	-71.485886
364.718628	-72.249146
365.391541	-72.860336
366.064453	-71.052399
366.737366	-73.148636
367.410278	-71.335251
368.083191	-71.830986
368.756104	-72.346123
369.429016	-71.293686
370.101929	-71.817299
370.774841	-71.684700
371.447754	-72.846001
372.120667	-72.273201
372.793579	-71.527428
373.466492	-73.561600
374.139404	-73.449532
374.812317	-71.911308
375.485229	-72.106941
376.158142	-75.270531
376.831055	-71.808929
377.503967	-73.057762
378.176880	-73.425117
378.849792	-73.742294
379.522705	-75.716675
380.195618	-71.814209
380.868530	-72.306084
381.541443	-72.760223
382.214355	-73.234581
382.887268	-73.414551
383.560181	-71.538376
384.233093	-72.691414
384.906006	-72.014809
385.578918	-74.169807
386.251831	-73.847076
386.924744	-73.643555
387.597656	-73.519058
388.270569	-74.154816
388.943481	-73.753639
389.616394	-72.265808
390.289307	-71.633324
390.962219	-74.195213
391.635132	-74.116203
392.308044	-72.628372
392.980957	-72.457787
393.653870	-73.321159
394.326782	-71.471718
394.999695	-73.716072
395.672607	-70.547493
396.345520	-75.902237
397.018433	-74.064301
397.691345	-73.297501
398.364258	-72.486893
399.037170	-71.824089
399.710083	-73.965530
400.382996	-73.040260
401.055908	-73.920700
401.728821	-75.252411
402.401733	-71.552521
403.074646	-71.102890
403.747559	-72.891396
404.420471	-72.911873
405.093384	-74.486778
405.766296	-73.723328
406.439209	-73.268532
407.112122	-76.912102
407.785034	-73.197609
408.457947	-71.669983
409.130859	-72.694725
409.803772	-72.306786
410.476685	-74.729660
411.149597	-73.538361
411.822510	-72.615204
412.495422	-70.721954
413.168335	-73.739548
413.841248	-73.226883
414.514160	-71.916924
415.187073	-75.581566
415.859985	-72.924141
416.532898	-73.492172
417.205811	-72.234634
417.878723	-71.174622
418.551636	-71.763649
419.224548	-74.796844
419.897461	-73.402145
420.570374	-72.791458
421.243286	-72.684280
421.916199	-71.242599
422.589111	-73.488411
423.262024	-73.220596
423.934937	-73.218491
424.607849	-72.702667
425.280762	-72.236984
425.953674	-72.729019
426.626587	-71.924316
427.299500	-73.272636
427.972412	-74.082649
428.645325	-71.045067
429.318237	-73.078171
429.991150	-73.606895
430.664062	-72.910400
431.336975	-71.172081
432.009888	-72.976608
432.682800	-74.486465
433.355713	-70.862236
434.028625	-71.722839
434.701538	-74.224342
435.374451	-72.532387
436.047363	-72.508247
436.720276	-72.468185
437.393188	-71.098343
438.066101	-73.158684
438.739014	-74.004417
439.411926	-73.530220
440.084839	-71.773460
440.757751	-74.133644
441.430664	-74.359688
442.103577	-72.283157
442.776489	-70.942459
443.449402	-72.606308
444.122314	-70.535309
444.795227	-74.585236
445.468140	-71.527061
446.141052	-68.908508
446.813965	-72.235474
447.486877	-72.896767
448.159790	-70.697502
448.832703	-70.224930
449.505615	-71.125092
450.178528	-71.696259
450.851440	-70.511795
451.524353	-70.849709
452.197266	-71.852333
452.870178	-76.151474
453.543091	-74.212311
454.216003	-69.167976
454.888916	-74.813354
455.561829	-74.590569
456.234741	-73.587265
456.907654	-68.652786
457.580566	-71.462158
458.253479	-71.702660
458.926392	-69.952736
459.599304	-75.810631
460.272217	-71.077263
460.945129	-69.516769
461.618042	-69.297386
462.290955	-68.431641
462.963867	-68.901329
463.636780	-72.906334
464.309692	-71.886543
