Frequency (Hz)	Level (dB)
0.672913	-89.560196
1.345825	-89.626213
2.018738	-89.533981
2.691650	-89.627419
3.364563	-89.538963
4.037476	-89.124969
4.710388	-90.032379
5.383301	-89.295120
6.056213	-89.626671
6.729126	-88.982948
7.402039	-89.108536
8.074951	-88.269707
8.747864	-88.047112
9.420776	-87.478554
10.093689	-89.074699
10.766602	-90.217003
11.439514	-89.046616
12.112427	-87.961632
12.785339	-84.009674
13.458252	-87.266464
14.131165	-86.220581
14.804077	-85.696251
15.476990	-86.428963
16.149902	-86.971275
16.822815	-84.868484
17.495728	-85.498352
18.168640	-83.426025
18.841553	-83.401443
19.514465	-82.450340
20.187378	-80.018967
20.860291	-82.931213
21.533203	-83.963531
22.206116	-77.910583
22.879028	-79.756287
23.551941	-75.113655
24.224854	-77.253983
24.897766	-79.523094
25.570679	-79.107193
26.243591	-76.806709
26.916504	-77.198273
27.589417	-73.368767
28.262329	-73.731255
28.935242	-75.397423
29.608154	-78.720001
30.281067	-76.853455
30.953979	-76.969032
31.626892	-78.595375
32.299805	-76.346390
32.972717	-77.820686
33.645630	-73.459373
34.318542	-73.339073
34.991455	-73.668556
35.664368	-74.966942
36.337280	-74.842781
37.010193	-76.242661
37.683105	-76.903435
38.356018	-75.940208
39.028931	-74.920654
39.701843	-72.825790
40.374756	-75.388069
41.047668	-78.147957
41.720581	-76.296028
42.393494	-74.453323
43.066406	-76.572418
43.739319	-77.396935
44.412231	-74.239693
45.085144	-75.720833
45.758057	-76.638672
46.430969	-76.700119
47.103882	-76.055466
47.776794	-76.562294
48.449707	-75.962105
49.122620	-77.732002
49.795532	-74.507225
50.468445	-76.247917
51.141357	-72.769943
51.814270	-72.835258
52.487183	-75.153641
53.160095	-75.173645
53.833008	-75.122337
54.505920	-72.558548
55.178833	-74.544128
55.851746	-78.569969
56.524658	-75.678047
57.197571	-67.842743
57.870483	-75.184479
58.543396	-75.589317
59.216309	-74.529251
59.889221	-72.063110
60.562134	-75.683624
61.235046	-74.768471
61.907959	-74.697075
62.580872	-74.014397
63.253784	-73.223587
63.926697	-76.638023
64.599609	-74.375420
65.272522	-75.559486
65.945435	-77.398293
66.618347	-71.848099
67.291260	-74.810669
67.964172	-74.150848
68.637085	-74.215080
69.309998	-73.407478
69.982910	-71.922737
70.655823	-74.530266
71.328735	-73.645370
72.001648	-70.691650
72.674561	-71.112244
73.347473	-70.766846
74.020386	-71.883507
74.693298	-70.154686
75.366211	-70.923637
76.039124	-69.975975
76.712036	-70.076088
77.384949	-67.901672
78.057861	-69.670189
78.730774	-69.597610
79.403687	-67.424965
80.076599	-70.891846
80.749512	-70.785538
81.422424	-69.895950
82.095337	-71.759590
82.768250	-70.625076
83.441162	-69.523804
84.114075	-68.571159
84.786987	-67.451202
85.459900	-68.552895
86.132812	-69.501762
86.805725	-69.040634
87.478638	-69.250885
88.151550	-67.947021
88.824463	-68.446106
89.497375	-68.599060
90.170288	-71.165558
90.843201	-66.594048
91.516113	-66.886658
92.189026	-66.476814
92.861938	-68.673592
93.534851	-67.552177
94.207764	-68.517525
94.880676	-68.244453
95.553589	-66.978333
96.226501	-68.039757
96.899414	-68.761238
97.572327	-66.169975
98.245239	-68.304268
98.918152	-70.832855
99.591064	-67.723572
100.263977	-67.676880
100.936890	-65.778633
101.609802	-66.527924
102.282715	-68.443085
102.955627	-66.538589
103.628540	-64.988625
104.301453	-65.035065
104.974365	-66.152672
105.647278	-66.404045
106.320190	-65.461777
106.993103	-64.546799
107.666016	-67.326317
108.338928	-66.148422
109.011841	-64.550598
109.684753	-65.541992
110.357666	-66.856194
111.030579	-65.342545
111.703491	-64.876740
112.376404	-67.334602
113.049316	-63.021782
113.722229	-64.602722
114.395142	-62.952507
115.068054	-61.205639
115.740967	-64.618034
116.413879	-63.814503
117.086792	-62.275356
117.759705	-60.906296
118.432617	-64.393837
119.105530	-61.164646
119.778442	-62.312515
120.451355	-62.722015
121.124268	-61.677231
121.797180	-63.946651
122.470093	-64.656868
123.143005	-61.999603
123.815918	-62.562759
124.488831	-61.646366
125.161743	-62.080013
125.834656	-61.605793
126.507568	-61.982082
127.180481	-59.903515
127.853394	-58.887009
128.526306	-59.829891
129.199219	-61.182926
129.872131	-58.714817
130.545044	-57.716911
131.217957	-58.644974
131.890869	-59.071438
132.563782	-56.958458
133.236694	-56.327744
133.909607	-56.034393
134.582520	-56.374100
135.255432	-61.770634
135.928345	-56.114460
136.601257	-60.486729
137.274170	-54.992424
137.947083	-57.122707
138.619995	-61.141109
139.292908	-58.929771
139.965820	-55.910770
140.638733	-56.867344
141.311646	-59.720173
141.984558	-57.984917
142.657471	-59.519848
143.330383	-58.183144
144.003296	-59.676796
144.676208	-60.134674
145.349121	-59.962109
146.022034	-56.901497
146.694946	-61.023060
147.367859	-58.974880
148.040771	-60.892349
148.713684	-60.569401
149.386597	-59.236324
150.059509	-59.636654
150.732422	-59.144192
151.405334	-61.820221
152.078247	-61.006599
152.751160	-60.401394
153.424072	-60.879730
154.096985	-59.213058
154.769897	-58.499508
155.442810	-60.293415
156.115723	-60.637516
156.788635	-60.854584
157.461548	-61.194641
158.134460	-59.873215
158.807373	-57.870823
159.480286	-60.387573
160.153198	-61.258572
160.826111	-59.981094
161.499023	-60.258720
162.171936	-60.824623
162.844849	-61.543385
163.517761	-65.560226
164.190674	-61.315514
164.863586	-63.202927
165.536499	-62.019684
166.209412	-62.615471
166.882324	-64.081451
167.555237	-62.731632
168.228149	-64.112404
168.901062	-64.973984
169.573975	-62.526688
170.246887	-61.758007
170.919800	-63.235268
171.592712	-61.557076
172.265625	-61.728859
172.938538	-63.860519
173.611450	-62.612690
174.284363	-61.289169
174.957275	-64.453430
175.630188	-64.844566
176.303101	-64.678528
176.976013	-62.215759
177.648926	-64.552147
178.321838	-65.231361
178.994751	-64.520615
179.667664	-63.082836
180.340576	-63.461552
181.013489	-62.369888
181.686401	-61.820477
182.359314	-64.412544
183.032227	-66.364891
183.705139	-64.036461
184.378052	-65.914932
185.050964	-65.558739
185.723877	-63.771927
186.396790	-64.342979
187.069702	-66.096855
187.742615	-66.282135
188.415527	-69.234169
189.088440	-67.052406
189.761353	-64.206650
190.434265	-67.374573
191.107178	-64.433311
191.780090	-68.386497
192.453003	-65.971367
193.125916	-66.512421
193.798828	-67.021484
194.471741	-65.736855
195.144653	-64.799103
195.817566	-66.924187
196.490479	-70.645645
197.163391	-64.803223
197.836304	-67.162193
198.509216	-68.100433
199.182129	-67.916954
199.855042	-67.784737
200.527954	-67.251640
201.200867	-69.496834
201.873779	-70.155258
202.546692	-67.566177
203.219604	-69.054214
203.892517	-68.461594
204.565430	-69.518593
205.238342	-67.374619
205.911255	-69.146301
206.584167	-70.539528
207.257080	-68.506699
207.929993	-68.275757
208.602905	-68.001297
209.275818	-67.274384
209.948730	-68.529732
210.621643	-66.834358
211.294556	-69.218719
211.967468	-67.645462
212.640381	-68.318512
213.313293	-69.033524
213.986206	-69.527077
214.659119	-68.574303
215.332031	-69.279861
216.004944	-70.221695
216.677856	-68.955063
217.350769	-67.816246
218.023682	-70.148964
218.696594	-68.522301
219.369507	-70.948914
220.042419	-66.707611
220.715332	-69.069275
221.388245	-65.754562
222.061157	-68.565887
222.734070	-67.349663
223.406982	-68.864601
224.079895	-68.799835
224.752808	-69.264717
225.425720	-67.095543
226.098633	-67.102150
226.771545	-69.238045
227.444458	-67.250755
228.117371	-66.673294
228.790283	-69.365891
229.463196	-66.408493
230.136108	-65.206200
230.809021	-64.180931
231.481934	-65.023849
232.154846	-67.092590
232.827759	-64.506447
233.500671	-64.290260
234.173584	-65.739113
234.846497	-64.265640
235.519409	-66.339325
236.192322	-61.538349
236.865234	-61.698345
237.538147	-61.843502
238.211060	-65.343681
238.883972	-65.885445
239.556885	-63.785507
240.229797	-64.426224
240.902710	-63.228577
241.575623	-66.819611
242.248535	-63.690338
242.921448	-59.140789
243.594360	-60.935749
244.267273	-63.076588
244.940186	-60.319839
245.613098	-59.724335
246.286011	-61.387711
246.958923	-64.194122
247.631836	-59.458641
248.304749	-60.860332
248.977661	-61.786045
249.650574	-57.376923
250.323486	-57.981518
250.996399	-59.695026
251.669312	-58.073807
252.342224	-58.480663
253.015137	-55.925400
253.688049	-57.018616
254.360962	-57.063789
255.033875	-57.281319
255.706787	-57.462284
256.379700	-59.648491
257.052612	-59.530128
257.725525	-56.456806
258.398438	-54.790615
259.071350	-56.992737
259.744263	-53.660160
260.417175	-54.382801
261.090088	-53.903999
261.763000	-53.664825
262.435913	-54.485817
263.108826	-54.481586
263.781738	-52.500439
264.454651	-55.803989
265.127563	-54.892212
265.800476	-54.762291
266.473389	-52.624496
267.146301	-54.834095
267.819214	-53.668655
268.492126	-51.563065
269.165039	-52.019337
269.837952	-52.106564
270.510864	-54.067421
271.183777	-53.410923
271.856689	-52.345997
272.529602	-54.950027
273.202515	-56.427914
273.875427	-51.592236
274.548340	-54.434326
275.221252	-54.598949
275.894165	-53.277607
276.567078	-54.746815
277.239990	-52.371960
277.912903	-56.601315
278.585815	-58.325581
279.258728	-54.962357
279.931641	-55.349186
280.604553	-55.065319
281.277466	-61.582577
281.950378	-56.345577
282.623291	-57.295864
283.296204	-61.203976
283.969116	-60.394329
284.642029	-60.503162
285.314941	-61.794464
285.987854	-59.626522
286.660767	-60.513443
287.333679	-59.148785
288.006592	-60.987598
288.679504	-65.316185
289.352417	-60.367989
290.025330	-61.354500
290.698242	-63.307152
291.371155	-63.368168
292.044067	-66.711319
292.716980	-64.713844
293.389893	-64.261360
294.062805	-64.525566
294.735718	-63.705750
295.408630	-64.867996
296.081543	-65.946877
296.754456	-65.143257
297.427368	-65.585320
298.100281	-64.495613
298.773193	-63.947388
299.446106	-65.815216
300.119019	-65.076653
300.791931	-64.343132
301.464844	-67.862312
302.137756	-67.479263
302.810669	-66.905899
303.483582	-66.874115
304.156494	-66.256805
304.829407	-67.796501
305.502319	-69.653824
306.175232	-67.457253
306.848145	-68.799477
307.521057	-68.692650
308.193970	-67.258209
308.866882	-68.330551
309.539795	-69.964088
310.212708	-68.443726
310.885620	-69.865807
311.558533	-67.096916
312.231445	-66.729286
312.904358	-67.849312
313.577271	-65.292282
314.250183	-68.616867
314.923096	-69.402069
315.596008	-67.296364
316.268921	-67.487915
316.941833	-65.809639
317.614746	-69.887688
318.287659	-66.782448
318.960571	-67.995216
319.633484	-67.468819
320.306396	-65.809906
320.979309	-66.918068
321.652222	-68.011948
322.325134	-66.916901
322.998047	-66.975174
323.670959	-69.070526
324.343872	-69.024734
325.016785	-67.270134
325.689697	-68.823174
326.362610	-66.275177
327.035522	-64.766205
327.708435	-66.173141
328.381348	-66.916977
329.054260	-70.736259
329.727173	-67.032661
330.400085	-66.813515
331.072998	-66.565102
331.745911	-65.718918
332.418823	-68.256592
333.091736	-66.013885
333.764648	-66.046028
334.437561	-66.853485
335.110474	-64.732986
335.783386	-65.456543
336.456299	-65.453545
337.129211	-65.207306
337.802124	-66.774269
338.475037	-69.186317
339.147949	-67.812180
339.820862	-65.584930
