Frequency (Hz)	Level (dB)
0.672913	-46.113426
1.345825	-47.844818
2.018738	-50.131180
2.691650	-50.820972
3.364563	-47.111523
4.037476	-48.532192
4.710388	-48.755062
5.383301	-48.511356
6.056213	-46.111473
6.729126	-45.759155
7.402039	-48.216724
8.074951	-46.790356
8.747864	-48.140106
9.420776	-48.642796
10.093689	-46.845985
10.766602	-47.656712
11.439514	-49.128357
12.112427	-50.203739
12.785339	-47.297047
13.458252	-46.142307
14.131165	-47.200188
14.804077	-45.491673
15.476990	-47.626663
16.149902	-48.332531
16.822815	-45.754856
17.495728	-47.872189
18.168640	-46.420620
18.841553	-48.754654
19.514465	-51.683666
20.187378	-47.458893
20.860291	-51.640038
21.533203	-49.362717
22.206116	-47.114365
22.879028	-46.664520
23.551941	-48.076962
24.224854	-45.887798
24.897766	-45.011391
25.570679	-47.618855
26.243591	-50.556530
26.916504	-48.506092
27.589417	-47.508072
28.262329	-50.497963
28.935242	-47.035316
29.608154	-46.889488
30.281067	-47.615917
30.953979	-47.935440
31.626892	-45.012512
32.299805	-47.454258
32.972717	-45.919762
33.645630	-47.384781
34.318542	-49.022907
34.991455	-50.316910
35.664368	-46.868370
36.337280	-48.310844
37.010193	-47.282734
37.683105	-45.648483
38.356018	-47.616104
39.028931	-46.409801
39.701843	-46.650860
40.374756	-46.064911
41.047668	-49.244427
41.720581	-46.557373
42.393494	-45.333252
43.066406	-50.872532
43.739319	-49.325600
44.412231	-49.478760
45.085144	-46.426067
45.758057	-47.472866
46.430969	-48.435028
47.103882	-47.332401
47.776794	-45.862347
48.449707	-44.746487
49.122620	-48.175549
49.795532	-47.580177
50.468445	-46.881927
51.141357	-49.073647
51.814270	-47.890820
52.487183	-47.822643
53.160095	-45.177540
53.833008	-44.618382
54.505920	-45.686249
55.178833	-44.607162
55.851746	-47.957581
56.524658	-48.170570
57.197571	-47.086346
57.870483	-49.080791
58.543396	-47.604031
59.216309	-45.437771
59.889221	-47.035374
60.562134	-46.980045
61.235046	-46.725483
61.907959	-45.293961
62.580872	-46.830177
63.253784	-46.702320
63.926697	-47.295990
64.599609	-46.456512
65.272522	-46.338318
65.945435	-45.863922
66.618347	-44.172333
67.291260	-46.354488
67.964172	-45.312820
68.637085	-45.098919
69.309998	-48.136223
69.982910	-47.819603
70.655823	-46.540119
71.328735	-48.972839
72.001648	-45.027355
72.674561	-45.496513
73.347473	-47.858612
74.020386	-46.447861
74.693298	-47.813370
75.366211	-47.220306
76.039124	-46.967110
76.712036	-46.248825
77.384949	-47.350357
78.057861	-49.746861
78.730774	-46.952747
79.403687	-47.369377
80.076599	-46.616096
80.749512	-48.302475
81.422424	-48.232338
82.095337	-46.620659
82.768250	-46.827248
83.441162	-46.578896
84.114075	-45.293133
84.786987	-46.494415
85.459900	-48.461121
86.132812	-43.868298
86.805725	-46.241535
87.478638	-44.900761
88.151550	-47.138779
88.824463	-47.889362
89.497375	-47.017673
90.170288	-47.216118
90.843201	-47.324680
91.516113	-44.478981
92.189026	-49.436493
92.861938	-52.819515
93.534851	-48.031540
94.207764	-50.148643
94.880676	-48.399837
95.553589	-47.582500
96.226501	-45.832031
96.899414	-45.184822
97.572327	-46.034931
98.245239	-49.784512
98.918152	-45.981670
99.591064	-47.224083
100.263977	-46.515068
100.936890	-48.254417
101.609802	-45.380642
102.282715	-46.303608
102.955627	-45.520313
103.628540	-48.879986
104.301453	-48.499702
104.974365	-49.980099
105.647278	-45.346287
106.320190	-45.814034
106.993103	-45.742062
107.666016	-47.771980
108.338928	-45.099102
109.011841	-47.268345
109.684753	-47.599136
110.357666	-47.998379
111.030579	-48.936176
111.703491	-48.782173
112.376404	-47.700264
113.049316	-48.935505
113.722229	-46.215416
114.395142	-46.201038
115.068054	-47.887005
115.740967	-44.450573
116.413879	-44.206070
117.086792	-47.990608
117.759705	-46.994377
118.432617	-46.243938
119.105530	-45.353848
119.778442	-45.647999
120.451355	-49.811253
121.124268	-46.420624
121.797180	-47.628010
122.470093	-46.796131
123.143005	-45.709995
123.815918	-51.516621
124.488831	-46.687027
125.161743	-46.341301
125.834656	-47.961243
126.507568	-49.250198
127.180481	-46.466763
127.853394	-47.885754
128.526306	-44.596222
129.199219	-48.235706
129.872131	-49.102100
130.545044	-46.124748
131.217957	-48.320293
131.890869	-48.050766
132.563782	-45.707138
133.236694	-45.574020
133.909607	-46.327293
134.582520	-48.313148
