Frequency (Hz)	Level (dB)
0.336456	-99.432281
0.672913	-99.434174
1.009369	-99.405754
1.345825	-99.426285
1.682281	-99.422760
2.018738	-99.391479
2.355194	-99.472618
2.691650	-99.397575
3.028107	-99.873573
3.364563	-99.324539
3.701019	-99.024765
4.037476	-99.222809
4.373932	-98.741447
4.710388	-98.891663
5.046844	-98.764091
5.383301	-98.841484
5.719757	-98.375206
6.056213	-97.964668
6.392670	-97.087593
6.729126	-96.955940
7.065582	-97.556427
7.402039	-98.132149
7.738495	-96.508408
8.074951	-95.383125
8.411407	-96.644234
8.747864	-95.634270
9.084320	-94.424019
9.420776	-96.519302
9.757233	-95.504662
10.093689	-93.973015
10.430145	-93.699921
10.766602	-93.932686
11.103058	-91.852425
11.439514	-92.263268
11.775970	-91.148109
12.112427	-89.383095
12.448883	-90.851692
12.785339	-90.368240
13.121796	-90.181747
13.458252	-89.699837
13.794708	-89.552017
14.131165	-89.495956
14.467621	-87.939888
14.804077	-88.607224
15.140533	-88.894157
15.476990	-87.077400
15.813446	-87.841881
16.149902	-87.781410
16.486359	-86.960594
16.822815	-86.432419
17.159271	-86.099480
17.495728	-86.243629
17.832184	-85.312584
18.168640	-85.481926
18.505096	-86.055771
18.841553	-84.407570
19.178009	-84.080154
19.514465	-85.706230
19.850922	-84.411263
20.187378	-84.042366
20.523834	-84.411133
20.860291	-83.060402
21.196747	-82.559845
21.533203	-83.686104
21.869659	-81.540764
22.206116	-80.586029
22.542572	-81.660973
22.879028	-83.724197
23.215485	-82.358780
23.551941	-81.620743
23.888397	-78.522606
24.224854	-78.481903
24.561310	-80.902222
24.897766	-80.490288
25.234222	-82.580971
25.570679	-79.389091
25.907135	-77.568352
26.243591	-79.454720
26.580048	-77.148888
26.916504	-77.018097
27.252960	-76.398537
27.589417	-77.654953
27.925873	-77.503220
28.262329	-76.255882
28.598785	-76.517944
28.935242	-77.946182
29.271698	-79.862701
29.608154	-79.436600
29.944611	-81.416687
30.281067	-79.667992
30.617523	-79.848053
30.953979	-79.719925
31.290436	-78.998436
31.626892	-78.511978
31.963348	-77.690254
32.299805	-79.218941
32.636261	-78.047501
32.972717	-76.096397
33.309174	-78.235870
33.645630	-80.222290
33.982086	-77.920204
34.318542	-78.353767
34.654999	-79.259071
34.991455	-78.945404
35.327911	-77.233147
35.664368	-77.784889
36.000824	-75.547424
36.337280	-76.392883
36.673737	-77.512619
37.010193	-77.340248
37.346649	-76.198067
37.683105	-79.001579
38.019562	-78.407562
38.356018	-77.119270
38.692474	-77.158188
39.028931	-78.763397
39.365387	-76.397972
39.701843	-78.165077
40.038300	-77.561272
40.374756	-78.144150
40.711212	-79.114624
41.047668	-76.619125
41.384125	-75.738640
41.720581	-75.259132
42.057037	-75.216942
42.393494	-75.688721
42.729950	-76.414284
43.066406	-77.547104
43.402863	-72.897491
43.739319	-73.678864
44.075775	-73.413628
44.412231	-77.321640
44.748688	-74.877068
45.085144	-74.901688
45.421600	-75.072128
45.758057	-76.247856
46.094513	-74.696846
46.430969	-77.209602
46.767426	-76.188950
47.103882	-78.053658
47.440338	-77.470383
47.776794	-76.355217
48.113251	-77.529587
48.449707	-77.539665
48.786163	-76.434532
49.122620	-75.385124
49.459076	-75.038818
49.795532	-75.434341
50.131989	-77.707932
50.468445	-79.259232
50.804901	-75.889145
51.141357	-75.144684
51.477814	-76.591003
51.814270	-75.778023
52.150726	-74.875168
52.487183	-76.737816
52.823639	-76.921051
53.160095	-74.587891
53.496552	-72.329147
53.833008	-74.909760
54.169464	-76.243828
54.505920	-75.444275
54.842377	-74.052315
55.178833	-75.457619
55.515289	-74.642143
55.851746	-75.371101
56.188202	-75.828369
56.524658	-74.819260
56.861115	-75.628502
57.197571	-67.787956
57.534027	-73.852142
57.870483	-73.432793
58.206940	-74.942581
58.543396	-75.904167
58.879852	-76.403091
59.216309	-74.537491
59.552765	-74.842781
59.889221	-74.355431
60.225677	-74.526558
60.562134	-75.240158
60.898590	-76.042168
61.235046	-77.155334
61.571503	-74.259506
61.907959	-76.416130
62.244415	-75.739861
62.580872	-75.434296
62.917328	-76.787140
63.253784	-75.258865
63.590240	-76.173958
63.926697	-77.604263
64.263153	-76.526573
64.599609	-75.896217
64.936066	-76.542053
65.272522	-76.396446
65.608978	-75.607552
65.945435	-75.339340
66.281891	-76.377609
66.618347	-74.952477
66.954803	-78.889145
67.291260	-75.057503
67.627716	-79.399811
67.964172	-76.238007
68.300629	-73.537277
68.637085	-77.175003
68.973541	-74.247253
69.309998	-75.376602
69.646454	-75.917717
69.982910	-75.953369
70.319366	-72.253021
70.655823	-74.827629
70.992279	-75.034569
71.328735	-76.446281
71.665192	-77.884995
72.001648	-75.033974
72.338104	-75.205414
72.674561	-74.999634
73.011017	-75.248840
73.347473	-73.617729
73.683929	-74.735382
74.020386	-71.663437
74.356842	-72.950851
74.693298	-72.608009
75.029755	-71.791611
75.366211	-74.807060
75.702667	-69.729286
76.039124	-72.460449
76.375580	-71.714851
76.712036	-72.677940
77.048492	-68.993774
77.384949	-72.698357
77.721405	-71.429375
78.057861	-73.589882
78.394318	-75.091461
78.730774	-72.725197
79.067230	-74.059685
79.403687	-74.399452
79.740143	-74.113800
80.076599	-74.138641
80.413055	-74.631218
80.749512	-75.135696
81.085968	-75.848129
81.422424	-77.491920
81.758881	-77.941956
82.095337	-77.341637
82.431793	-77.374847
82.768250	-74.813919
83.104706	-76.293839
83.441162	-75.815643
83.777618	-77.211586
84.114075	-75.408035
84.450531	-78.490761
84.786987	-76.533524
85.123444	-74.081718
85.459900	-75.434959
85.796356	-76.106720
86.132812	-76.401947
86.469269	-76.942093
86.805725	-75.664787
87.142181	-75.048294
87.478638	-74.339226
87.815094	-77.616287
88.151550	-76.096809
88.488007	-74.872765
88.824463	-77.004631
89.160919	-75.927048
89.497375	-75.099922
89.833832	-77.593491
90.170288	-77.884644
90.506744	-76.354500
90.843201	-76.961197
91.179657	-77.543884
91.516113	-75.197044
91.852570	-68.790642
92.189026	-74.604622
92.525482	-75.451370
92.861938	-76.511971
