Frequency (Hz)	Level (dB)
0.336456	-109.430260
0.672913	-109.566101
1.009369	-109.326141
1.345825	-109.314224
1.682281	-109.211761
2.018738	-109.028603
2.355194	-108.322418
2.691650	-108.986984
3.028107	-108.581268
3.364563	-108.578705
3.701019	-107.057396
4.037476	-106.463379
4.373932	-105.917427
4.710388	-107.144081
5.046844	-105.576744
5.383301	-105.900826
5.719757	-106.504967
6.056213	-103.750381
6.392670	-104.252701
6.729126	-103.960220
7.065582	-104.788696
7.402039	-102.403870
7.738495	-101.080063
8.074951	-100.947807
8.411407	-101.490616
8.747864	-103.551224
9.084320	-104.644646
9.420776	-103.505096
9.757233	-101.206993
10.093689	-102.567642
10.430145	-101.884216
10.766602	-101.315071
11.103058	-99.266830
11.439514	-99.099579
11.775970	-98.675117
12.112427	-98.079933
12.448883	-96.124809
12.785339	-98.140205
13.121796	-95.646400
13.458252	-93.732719
13.794708	-97.091011
14.131165	-96.693977
14.467621	-98.224831
14.804077	-95.708824
15.140533	-98.370239
15.476990	-94.693176
15.813446	-95.509140
16.149902	-95.073486
16.486359	-96.203720
16.822815	-92.103157
17.159271	-93.698944
17.495728	-92.040756
17.832184	-91.283669
18.168640	-88.707802
18.505096	-90.527435
18.841553	-91.389763
19.178009	-88.899010
19.514465	-89.854530
19.850922	-90.992599
20.187378	-92.122116
20.523834	-91.629936
20.860291	-92.484009
21.196747	-91.781891
21.533203	-93.619545
21.869659	-88.283096
22.206116	-88.289452
22.542572	-89.837891
22.879028	-88.534744
23.215485	-87.419754
23.551941	-86.986206
23.888397	-85.859200
24.224854	-86.132233
24.561310	-89.399666
24.897766	-88.066879
25.234222	-87.403198
25.570679	-87.239029
25.907135	-84.495438
26.243591	-83.820068
26.580048	-84.681175
26.916504	-85.580437
27.252960	-86.745445
27.589417	-87.987907
27.925873	-86.186783
28.262329	-85.277908
28.598785	-86.219704
28.935242	-90.058258
29.271698	-87.565079
29.608154	-88.065620
29.944611	-88.940765
30.281067	-90.805878
30.617523	-91.421265
30.953979	-91.820335
31.290436	-92.445877
31.626892	-93.386269
31.963348	-91.106728
32.299805	-91.026245
32.636261	-92.305885
32.972717	-91.459656
33.309174	-92.502800
33.645630	-91.826118
33.982086	-93.126572
34.318542	-90.366669
34.654999	-89.908508
34.991455	-91.698753
35.327911	-91.846008
35.664368	-90.822723
36.000824	-92.575714
36.337280	-91.931671
36.673737	-92.317352
37.010193	-92.427330
37.346649	-92.263931
37.683105	-91.481667
38.019562	-91.091263
38.356018	-93.148201
38.692474	-92.237480
39.028931	-92.529724
39.365387	-92.120102
39.701843	-88.015289
40.038300	-89.564201
40.374756	-90.201439
40.711212	-88.047699
41.047668	-88.413689
41.384125	-86.951332
41.720581	-84.780830
42.057037	-82.644775
42.393494	-85.709038
42.729950	-82.681290
43.066406	-83.335686
43.402863	-81.839378
43.739319	-80.086426
44.075775	-81.330711
44.412231	-79.958336
44.748688	-82.189484
45.085144	-80.546379
45.421600	-80.764282
45.758057	-82.031296
46.094513	-84.931335
46.430969	-85.652138
46.767426	-90.434685
47.103882	-85.607727
47.440338	-86.593971
47.776794	-85.530151
48.113251	-84.852982
48.449707	-84.487144
48.786163	-85.096809
49.122620	-84.069679
49.459076	-81.815742
49.795532	-84.253349
50.131989	-82.179413
50.468445	-82.411026
50.804901	-80.040619
51.141357	-79.961563
51.477814	-79.985092
51.814270	-80.964249
52.150726	-77.390457
52.487183	-77.463882
52.823639	-76.645752
53.160095	-73.983131
53.496552	-73.492516
53.833008	-73.165398
54.169464	-75.115440
54.505920	-74.862434
54.842377	-75.839005
55.178833	-77.265266
55.515289	-76.210854
55.851746	-78.483627
56.188202	-76.433144
56.524658	-78.566933
56.861115	-76.214935
57.197571	-65.938911
57.534027	-75.815224
57.870483	-76.526390
58.206940	-74.233154
58.543396	-75.069214
58.879852	-78.146248
59.216309	-76.447044
59.552765	-75.976463
59.889221	-74.257156
60.225677	-74.788383
60.562134	-79.215553
60.898590	-79.996513
61.235046	-79.722427
61.571503	-79.572197
61.907959	-81.281738
62.244415	-78.785789
62.580872	-79.846268
62.917328	-82.684837
63.253784	-83.397522
63.590240	-82.384277
63.926697	-81.316818
64.263153	-84.254311
64.599609	-81.303085
64.936066	-83.230782
65.272522	-85.220505
65.608978	-82.949860
65.945435	-82.983856
66.281891	-82.411926
66.618347	-82.883110
66.954803	-82.069962
67.291260	-81.935089
67.627716	-82.036842
67.964172	-79.583214
68.300629	-76.313507
68.637085	-77.407379
68.973541	-79.346390
69.309998	-79.129112
69.646454	-78.841072
69.982910	-77.807915
70.319366	-78.168121
70.655823	-77.184807
70.992279	-77.142296
71.328735	-78.967033
71.665192	-79.210014
72.001648	-75.689873
72.338104	-76.258690
72.674561	-74.871880
73.011017	-71.981422
73.347473	-72.913345
73.683929	-72.193108
74.020386	-73.214005
74.356842	-71.094933
74.693298	-70.928551
75.029755	-72.138794
75.366211	-72.644676
75.702667	-70.645714
76.039124	-71.928818
76.375580	-69.410660
76.712036	-70.500435
77.048492	-71.898811
77.384949	-71.571228
77.721405	-70.741898
78.057861	-69.926186
78.394318	-69.898514
78.730774	-72.213036
79.067230	-73.144646
79.403687	-72.687447
79.740143	-72.510170
80.076599	-73.498932
80.413055	-75.361755
80.749512	-74.315208
81.085968	-77.018539
81.422424	-77.374817
81.758881	-79.313797
82.095337	-80.881348
82.431793	-80.905220
82.768250	-82.317726
83.104706	-80.589828
83.441162	-82.041100
83.777618	-81.998550
84.114075	-79.577179
84.450531	-81.007599
84.786987	-78.716774
85.123444	-78.472023
85.459900	-79.184052
85.796356	-78.553467
86.132812	-79.395882
86.469269	-80.090912
86.805725	-80.470268
87.142181	-78.466583
87.478638	-79.832870
87.815094	-77.945198
88.151550	-75.756248
88.488007	-78.377785
88.824463	-78.550545
89.160919	-79.976288
89.497375	-79.487106
89.833832	-78.062569
90.170288	-78.907410
90.506744	-81.559792
90.843201	-79.092735
91.179657	-78.484474
91.516113	-73.487350
91.852570	-70.173416
92.189026	-78.067787
92.525482	-77.674255
92.861938	-81.248711
93.198395	-79.362633
93.534851	-79.095680
93.871307	-79.898170
94.207764	-78.499550
94.544220	-81.458099
94.880676	-82.955818
95.217133	-80.199768
95.553589	-80.664490
95.890045	-81.609497
96.226501	-80.637581
96.562958	-80.481041
96.899414	-83.078384
97.235870	-82.245155
97.572327	-82.617439
97.908783	-83.237633
98.245239	-82.508148
98.581696	-83.728996
