Frequency (Hz)	Level (dB)
0.336456	-109.687775
0.672913	-109.739510
1.009369	-109.660873
1.345825	-110.241760
1.682281	-109.374321
2.018738	-109.308487
2.355194	-109.406685
2.691650	-108.600456
3.028107	-108.970558
3.364563	-108.325096
3.701019	-107.921440
4.037476	-107.227066
4.373932	-107.201546
4.710388	-108.338097
5.046844	-107.295326
5.383301	-105.492462
5.719757	-105.615120
6.056213	-105.193161
6.392670	-104.515892
6.729126	-105.225296
7.065582	-103.302437
7.402039	-102.697884
7.738495	-101.943314
8.074951	-101.893425
8.411407	-101.123909
8.747864	-101.223557
9.084320	-103.318321
9.420776	-101.117836
9.757233	-101.179848
10.093689	-103.396332
10.430145	-101.267822
10.766602	-98.642632
11.103058	-98.511078
11.439514	-99.254967
11.775970	-99.148552
12.112427	-96.495575
12.448883	-96.967522
12.785339	-97.284233
13.121796	-96.334656
13.458252	-92.603653
13.794708	-96.856857
14.131165	-98.535576
14.467621	-98.249207
14.804077	-101.575600
15.140533	-95.064545
15.476990	-95.748482
15.813446	-97.734573
16.149902	-98.208252
16.486359	-97.172218
16.822815	-96.610947
17.159271	-94.072472
17.495728	-92.781143
17.832184	-92.779221
18.168640	-91.294243
18.505096	-94.494781
18.841553	-92.253647
19.178009	-92.355049
19.514465	-93.292816
19.850922	-93.146530
20.187378	-93.297859
20.523834	-93.427063
20.860291	-93.347038
21.196747	-90.727615
21.533203	-90.679214
21.869659	-91.881241
22.206116	-88.252060
22.542572	-88.232178
22.879028	-90.568573
23.215485	-87.090942
23.551941	-89.673790
23.888397	-90.389107
24.224854	-88.196228
24.561310	-87.992149
24.897766	-89.456703
25.234222	-88.998131
25.570679	-88.692093
25.907135	-85.993729
26.243591	-85.889954
26.580048	-87.045753
26.916504	-87.833366
27.252960	-87.467659
27.589417	-88.059151
27.925873	-88.798653
28.262329	-86.949097
28.598785	-87.057281
28.935242	-89.889175
29.271698	-91.305466
29.608154	-91.615929
29.944611	-91.469536
30.281067	-93.010078
30.617523	-91.715332
30.953979	-93.388512
31.290436	-92.984596
31.626892	-92.529068
31.963348	-92.673477
32.299805	-91.492119
32.636261	-94.769020
32.972717	-92.904251
33.309174	-91.529144
33.645630	-91.640968
33.982086	-91.641609
34.318542	-91.372826
34.654999	-88.857414
34.991455	-90.774101
35.327911	-92.721054
35.664368	-89.835312
36.000824	-90.250130
36.337280	-91.767921
