Frequency (Hz)	Level (dB)
0.336456	-108.419777
0.672913	-108.342445
1.009369	-108.340355
1.345825	-108.422333
1.682281	-108.118324
2.018738	-108.306175
2.355194	-108.037659
2.691650	-106.786949
3.028107	-107.775421
3.364563	-105.238106
3.701019	-106.035782
4.037476	-105.411911
4.373932	-105.241608
4.710388	-103.874237
5.046844	-106.267738
5.383301	-103.807304
5.719757	-103.578056
6.056213	-102.803352
6.392670	-102.240044
6.729126	-100.524048
7.065582	-101.332375
7.402039	-101.679771
7.738495	-97.230019
8.074951	-98.937424
8.411407	-98.723160
8.747864	-96.125862
9.084320	-96.196457
9.420776	-96.644875
9.757233	-94.697990
10.093689	-95.008110
10.430145	-95.197311
10.766602	-94.957748
11.103058	-95.985321
11.439514	-92.215111
11.775970	-93.556175
12.112427	-93.245079
12.448883	-92.410294
12.785339	-93.222572
13.121796	-91.106941
13.458252	-88.796127
13.794708	-90.258476
14.131165	-90.815338
14.467621	-87.686394
14.804077	-87.496460
15.140533	-87.292511
15.476990	-89.750877
15.813446	-85.723724
16.149902	-86.221008
16.486359	-85.938019
16.822815	-86.449951
17.159271	-85.146988
17.495728	-88.301003
17.832184	-85.832466
18.168640	-81.668472
18.505096	-83.048264
18.841553	-86.396301
19.178009	-83.488380
19.514465	-81.663315
19.850922	-82.869934
20.187378	-82.976944
20.523834	-84.380859
20.860291	-82.698769
21.196747	-83.283890
21.533203	-85.300926
21.869659	-81.560585
22.206116	-81.611679
22.542572	-84.115005
22.879028	-80.138321
23.215485	-81.188690
23.551941	-81.924919
23.888397	-80.498657
24.224854	-79.573280
24.561310	-82.205254
24.897766	-79.793465
25.234222	-78.420944
25.570679	-78.156776
25.907135	-78.963196
26.243591	-80.044205
26.580048	-77.307465
26.916504	-77.495132
27.252960	-75.301010
27.589417	-78.338959
27.925873	-77.115341
28.262329	-77.442223
28.598785	-76.606590
28.935242	-76.972214
29.271698	-80.255829
29.608154	-79.271751
29.944611	-79.020302
30.281067	-81.837387
30.617523	-80.398323
30.953979	-76.904991
31.290436	-79.161880
31.626892	-77.373932
31.963348	-78.266098
32.299805	-78.159790
32.636261	-75.320473
32.972717	-77.221718
33.309174	-81.980240
33.645630	-81.696442
33.982086	-80.762756
34.318542	-79.409966
34.654999	-78.539597
34.991455	-76.574959
35.327911	-77.849312
35.664368	-77.667465
36.000824	-76.023376
36.337280	-75.403259
36.673737	-79.922897
37.010193	-76.452293
37.346649	-74.685143
37.683105	-77.263596
38.019562	-77.485146
38.356018	-75.648819
38.692474	-73.554375
39.028931	-77.280289
39.365387	-75.760231
39.701843	-76.790520
40.038300	-76.052238
40.374756	-75.316750
40.711212	-76.172333
41.047668	-75.844193
41.384125	-77.165672
41.720581	-75.545036
42.057037	-74.802666
42.393494	-75.078178
42.729950	-75.956955
43.066406	-75.356163
43.402863	-76.724609
43.739319	-76.472839
44.075775	-77.284546
44.412231	-75.275803
44.748688	-74.901321
45.085144	-75.077736
45.421600	-76.307861
45.758057	-77.390877
46.094513	-77.056404
46.430969	-80.594444
46.767426	-79.332390
47.103882	-76.797279
47.440338	-76.698051
47.776794	-77.218338
48.113251	-77.534370
48.449707	-79.209686
48.786163	-76.318016
49.122620	-79.274849
49.459076	-78.896889
49.795532	-77.010216
50.131989	-77.658188
50.468445	-78.622673
50.804901	-74.543190
51.141357	-78.174820
51.477814	-77.786919
51.814270	-74.487015
52.150726	-76.930710
52.487183	-75.758919
52.823639	-76.879410
53.160095	-76.761536
53.496552	-74.815773
53.833008	-75.267197
54.169464	-75.471413
54.505920	-76.655197
54.842377	-80.603294
55.178833	-74.544533
55.515289	-74.592346
55.851746	-75.445129
56.188202	-74.939697
56.524658	-76.718925
56.861115	-76.395805
57.197571	-65.184166
57.534027	-76.247955
57.870483	-75.279869
58.206940	-74.038841
58.543396	-75.050117
58.879852	-76.730171
59.216309	-79.211113
59.552765	-78.556152
59.889221	-75.403778
60.225677	-76.717010
60.562134	-74.786507
60.898590	-78.881859
61.235046	-74.561913
61.571503	-77.007278
61.907959	-76.573944
62.244415	-75.925125
62.580872	-75.686554
62.917328	-76.928329
63.253784	-80.777069
63.590240	-77.739426
63.926697	-74.548843
64.263153	-78.849678
64.599609	-79.467987
64.936066	-79.282188
65.272522	-77.397278
65.608978	-76.596855
65.945435	-76.859764
66.281891	-76.847656
66.618347	-77.296188
66.954803	-77.618881
67.291260	-77.984131
67.627716	-78.295738
67.964172	-77.653122
68.300629	-77.423973
68.637085	-78.631081
68.973541	-80.331703
69.309998	-76.581146
69.646454	-78.629204
69.982910	-79.741562
70.319366	-77.518852
70.655823	-77.528069
70.992279	-76.899223
71.328735	-77.126282
71.665192	-77.289230
72.001648	-75.702034
72.338104	-74.412231
72.674561	-74.535072
73.011017	-75.830162
73.347473	-78.257019
