Frequency (Hz)	Level (dB)
0.336456	-110.472450
0.672913	-110.447403
1.009369	-110.021561
1.345825	-110.011971
1.682281	-109.499832
2.018738	-109.813362
2.355194	-110.232056
2.691650	-107.422844
3.028107	-107.414833
3.364563	-107.158455
3.701019	-107.186943
4.037476	-107.285057
4.373932	-108.807816
4.710388	-105.985245
5.046844	-103.899849
5.383301	-104.241623
5.719757	-102.913483
6.056213	-101.828262
6.392670	-100.797310
6.729126	-99.630295
7.065582	-99.507118
7.402039	-98.254089
7.738495	-96.399559
8.074951	-96.999344
8.411407	-99.848770
8.747864	-98.208412
9.084320	-96.882462
9.420776	-97.667534
9.757233	-100.583672
10.093689	-100.911476
10.430145	-98.715790
10.766602	-96.216599
11.103058	-93.574387
11.439514	-93.364578
11.775970	-93.463257
12.112427	-95.278404
12.448883	-96.121040
12.785339	-94.355293
13.121796	-93.518288
13.458252	-91.856163
13.794708	-94.435600
14.131165	-94.689728
14.467621	-96.357361
14.804077	-94.355103
15.140533	-92.424294
15.476990	-92.580765
15.813446	-91.546875
16.149902	-91.439423
16.486359	-93.961044
16.822815	-94.460068
17.159271	-92.594086
17.495728	-90.635353
17.832184	-89.118530
18.168640	-87.434189
18.505096	-90.216316
18.841553	-91.729195
19.178009	-88.885529
19.514465	-94.494370
19.850922	-92.791740
20.187378	-95.207466
20.523834	-94.868156
20.860291	-91.057358
21.196747	-91.609795
21.533203	-91.509773
21.869659	-91.889343
22.206116	-92.446892
22.542572	-91.271164
22.879028	-90.914299
23.215485	-91.986008
23.551941	-88.492882
23.888397	-86.964256
24.224854	-87.876251
24.561310	-89.238831
24.897766	-87.377831
25.234222	-85.352654
25.570679	-85.320183
25.907135	-82.705528
26.243591	-80.357948
26.580048	-80.793312
26.916504	-80.851723
27.252960	-79.219528
27.589417	-77.422813
27.925873	-78.263275
28.262329	-78.109703
28.598785	-80.214188
28.935242	-81.966751
29.271698	-80.339973
29.608154	-80.230751
29.944611	-83.368752
30.281067	-81.984154
30.617523	-82.357559
30.953979	-85.556305
31.290436	-83.328552
31.626892	-83.975792
31.963348	-79.993767
32.299805	-79.486320
32.636261	-79.749634
32.972717	-81.413406
33.309174	-79.450485
33.645630	-81.647072
33.982086	-82.066093
34.318542	-79.165154
34.654999	-79.690590
34.991455	-78.972878
35.327911	-78.898575
35.664368	-78.127357
36.000824	-77.128616
36.337280	-79.798538
36.673737	-78.853012
37.010193	-77.918671
37.346649	-75.914330
37.683105	-77.540588
38.019562	-77.950607
38.356018	-77.836563
38.692474	-79.666740
39.028931	-79.114700
39.365387	-76.239792
39.701843	-77.962769
40.038300	-76.943245
40.374756	-76.719757
40.711212	-77.628197
41.047668	-77.431953
41.384125	-77.069244
41.720581	-77.708397
42.057037	-78.013863
42.393494	-77.347237
42.729950	-78.269508
43.066406	-79.348755
43.402863	-76.398499
43.739319	-77.052933
44.075775	-77.389030
44.412231	-77.412834
44.748688	-79.363960
45.085144	-78.736374
45.421600	-81.980927
45.758057	-79.509125
46.094513	-81.956642
46.430969	-84.617577
46.767426	-84.508026
47.103882	-85.631165
47.440338	-84.767548
47.776794	-84.348976
48.113251	-83.874901
48.449707	-83.508896
48.786163	-80.779114
49.122620	-81.617455
49.459076	-83.349373
49.795532	-84.379494
50.131989	-84.463516
50.468445	-83.105217
50.804901	-82.809731
51.141357	-81.460915
51.477814	-82.544365
51.814270	-80.658035
52.150726	-78.514549
52.487183	-78.504990
52.823639	-81.838882
53.160095	-77.968979
53.496552	-77.936623
53.833008	-76.716957
54.169464	-78.124718
54.505920	-79.425156
54.842377	-80.417969
55.178833	-79.975151
55.515289	-78.575310
55.851746	-80.877228
56.188202	-82.271034
56.524658	-81.746460
56.861115	-83.627594
57.197571	-67.346886
57.534027	-78.594376
57.870483	-78.318199
58.206940	-78.311462
58.543396	-79.392738
58.879852	-80.540283
59.216309	-78.509499
59.552765	-78.564865
59.889221	-79.242157
60.225677	-79.994621
60.562134	-81.103851
60.898590	-83.785378
61.235046	-82.346260
61.571503	-82.355652
61.907959	-82.746346
62.244415	-84.814369
62.580872	-84.847984
62.917328	-84.131805
63.253784	-84.312439
63.590240	-86.437386
63.926697	-83.481613
64.263153	-87.937401
64.599609	-88.103302
64.936066	-86.256523
65.272522	-86.561012
65.608978	-83.553246
65.945435	-85.821930
66.281891	-85.509422
66.618347	-83.882622
66.954803	-83.932739
67.291260	-85.525375
67.627716	-84.532097
67.964172	-82.228050
68.300629	-81.379379
68.637085	-81.849548
68.973541	-82.240837
69.309998	-83.529465
69.646454	-82.910210
69.982910	-83.369072
70.319366	-82.809982
70.655823	-82.976463
70.992279	-85.218147
71.328735	-84.030464
71.665192	-81.703575
72.001648	-82.981598
72.338104	-80.583611
72.674561	-80.037231
73.011017	-77.534225
73.347473	-76.562302
73.683929	-74.483131
74.020386	-75.141861
74.356842	-74.255577
74.693298	-74.659744
75.029755	-74.041023
75.366211	-75.136482
75.702667	-74.867340
76.039124	-72.435593
76.375580	-74.203705
76.712036	-75.789207
77.048492	-72.793716
77.384949	-74.879578
77.721405	-76.696350
78.057861	-75.248589
78.394318	-74.435074
78.730774	-76.294014
79.067230	-76.873947
79.403687	-77.924965
79.740143	-75.856003
80.076599	-77.922249
80.413055	-77.946152
80.749512	-79.663437
81.085968	-81.082588
81.422424	-79.731361
81.758881	-80.946434
82.095337	-82.017754
82.431793	-83.006104
82.768250	-81.476646
83.104706	-81.509201
83.441162	-80.761757
83.777618	-82.067963
84.114075	-81.536652
84.450531	-83.615150
84.786987	-82.297447
85.123444	-80.238586
85.459900	-78.833763
85.796356	-83.090294
86.132812	-80.671707
86.469269	-79.935234
86.805725	-81.595367
87.142181	-80.394402
87.478638	-79.304375
87.815094	-78.919655
88.151550	-80.001976
88.488007	-80.698311
88.824463	-80.624817
89.160919	-80.102028
89.497375	-81.151161
89.833832	-80.922935
90.170288	-79.984711
90.506744	-79.499496
90.843201	-77.684135
91.179657	-78.069916
91.516113	-71.465088
91.852570	-71.454094
92.189026	-76.874481
92.525482	-80.042747
92.861938	-79.623764
93.198395	-80.484116
93.534851	-80.605759
93.871307	-81.004860
94.207764	-80.578880
94.544220	-81.280182
94.880676	-83.041908
95.217133	-82.340027
95.553589	-80.769508
95.890045	-81.843575
96.226501	-82.625252
96.562958	-80.695541
96.899414	-82.250107
97.235870	-82.332230
97.572327	-84.513763
97.908783	-84.080284
98.245239	-82.528442
98.581696	-82.157181
98.918152	-82.176987
99.254608	-83.522697
99.591064	-83.666862
99.927521	-84.216957
100.263977	-81.912094
100.600433	-80.951599
100.936890	-80.482353
101.273346	-83.347359
101.609802	-81.822098
101.946259	-82.490341
102.282715	-81.483185
102.619171	-80.633560
102.955627	-81.211884
103.292084	-81.517990
103.628540	-81.187500
103.964996	-81.726021
104.301453	-79.826118
104.637909	-80.171257
104.974365	-79.805038
105.310822	-80.377365
105.647278	-79.323433
105.983734	-78.515671
106.320190	-78.834442
106.656647	-80.243477
106.993103	-78.093102
107.329559	-76.718086
107.666016	-76.590675
108.002472	-78.471832
108.338928	-79.731537
108.675385	-78.273178
109.011841	-78.886833
109.348297	-78.723816
109.684753	-78.164589
110.021210	-79.064217
110.357666	-79.893150
110.694122	-76.705994
111.030579	-76.655899
111.367035	-76.552399
111.703491	-76.203110
112.039948	-75.927269
112.376404	-74.323517
112.712860	-74.518089
113.049316	-72.916222
113.385773	-75.476562
113.722229	-73.507713
114.058685	-75.229126
114.395142	-72.043808
114.731598	-69.999825
115.068054	-72.424492
115.404510	-70.365356
115.740967	-72.342941
116.077423	-73.615509
116.413879	-74.242088
116.750336	-72.246422
117.086792	-72.901871
117.423248	-75.804596
117.759705	-74.960777
118.096161	-75.694313
118.432617	-78.673492
118.769073	-78.943222
119.105530	-81.175484
119.441986	-81.926193
119.778442	-81.702599
120.114899	-82.111145
120.451355	-84.037819
120.787811	-82.324623
121.124268	-83.227180
121.460724	-83.002045
121.797180	-84.746407
122.133636	-85.949402
122.470093	-86.464241
122.806549	-83.839142
123.143005	-83.606239
123.479462	-85.152565
123.815918	-81.716019
124.152374	-84.810738
124.488831	-83.635567
124.825287	-82.611351
125.161743	-83.609909
125.498199	-85.073425
125.834656	-83.140617
126.171112	-82.772995
126.507568	-82.361786
126.844025	-83.628296
127.180481	-84.381981
127.516937	-84.592728
127.853394	-85.948853
128.189850	-84.917252
128.526306	-83.791725
128.862762	-83.181877
129.199219	-83.739197
129.535675	-84.357689
129.872131	-86.131699
130.208588	-84.596169
130.545044	-84.672874
130.881500	-85.025414
131.217957	-83.651962
131.554413	-83.219391
131.890869	-83.758575
132.227325	-83.529495
132.563782	-86.752731
132.900238	-83.457497
133.236694	-86.433449
133.573151	-88.714661
133.909607	-86.537041
134.246063	-88.170067
134.582520	-84.207253
134.918976	-85.822136
135.255432	-87.878975
135.591888	-85.753525
135.928345	-84.954338
136.264801	-85.327797
136.601257	-84.520012
136.937714	-85.420380
137.274170	-84.165527
137.610626	-83.289925
137.947083	-84.267082
138.283539	-86.275024
138.619995	-85.233871
138.956451	-85.933006
139.292908	-86.786766
139.629364	-86.804764
139.965820	-86.756470
140.302277	-88.384323
140.638733	-85.197777
140.975189	-87.618050
141.311646	-83.403076
141.648102	-85.571281
141.984558	-85.772835
142.321014	-86.573792
142.657471	-84.213547
142.993927	-84.600067
143.330383	-84.466705
143.666840	-83.477272
144.003296	-82.365410
144.339752	-82.846230
144.676208	-84.251740
145.012665	-83.025917
145.349121	-82.929710
145.685577	-80.902420
146.022034	-82.257645
146.358490	-82.055420
146.694946	-84.633942
147.031403	-83.320343
147.367859	-83.165573
147.704315	-83.359818
148.040771	-82.527466
148.377228	-85.225845
148.713684	-82.767326
149.050140	-82.852905
149.386597	-83.412323
149.723053	-82.131508
150.059509	-82.806801
150.395966	-83.498741
150.732422	-82.720871
151.068878	-86.780670
151.405334	-83.544365
151.741791	-84.149467
152.078247	-86.379028
152.414703	-84.769867
152.751160	-84.730606
153.087616	-82.692703
153.424072	-85.429581
153.760529	-84.099510
154.096985	-84.955704
154.433441	-84.972824
154.769897	-85.482155
155.106354	-82.888802
155.442810	-82.127419
155.779266	-82.412109
156.115723	-81.982079
156.452179	-79.352211
156.788635	-80.522881
157.125092	-82.644859
157.461548	-80.476631
157.798004	-83.275597
158.134460	-81.457573
158.470917	-84.557487
158.807373	-83.854317
159.143829	-84.489799
159.480286	-85.620186
159.816742	-83.254295
160.153198	-85.459732
160.489655	-85.843079
160.826111	-87.401810
161.162567	-83.387619
161.499023	-86.268433
161.835480	-85.875168
162.171936	-86.669685
162.508392	-86.691689
162.844849	-87.315536
163.181305	-87.290108
163.517761	-82.973740
163.854218	-85.067734
164.190674	-84.048508
164.527130	-86.312935
164.863586	-85.728104
165.200043	-86.461967
165.536499	-84.237877
165.872955	-82.829758
166.209412	-84.059822
166.545868	-83.472237
166.882324	-84.271141
167.218781	-83.128510
167.555237	-85.720268
167.891693	-85.771744
168.228149	-80.566536
168.564606	-82.599762
168.901062	-83.782738
169.237518	-82.490120
169.573975	-83.770485
169.910431	-80.567604
170.246887	-80.602318
170.583344	-82.757034
