Frequency (Hz)	Level (dB)
0.488281	-87.408058
0.976562	-88.209518
1.464844	-87.283470
1.953125	-87.080872
2.441406	-87.166771
2.929688	-86.562210
3.417969	-87.092865
3.906250	-86.870834
4.394531	-85.997345
4.882812	-86.693855
5.371094	-87.170586
5.859375	-87.391411
6.347656	-87.807137
6.835938	-88.005997
7.324219	-88.292427
7.812500	-87.138374
8.300781	-86.132591
8.789062	-85.283646
9.277344	-85.115868
9.765625	-84.813454
10.253906	-83.538681
10.742188	-83.058487
11.230469	-83.818283
11.718750	-83.718620
12.207031	-83.433525
12.695312	-80.623146
13.183594	-82.412010
13.671875	-82.339745
14.160156	-81.734306
14.648438	-80.454819
15.136719	-80.764877
15.625000	-78.891479
16.113281	-77.329216
16.601562	-68.786232
17.089844	-72.932442
17.578125	-54.592556
18.066406	-68.248222
18.554688	-73.184326
19.042969	-74.048172
19.531250	-73.073929
20.019531	-72.728600
20.507812	-72.749252
20.996094	-72.693230
21.484375	-71.971771
21.972656	-72.921257
22.460938	-74.025902
22.949219	-73.382355
23.437500	-73.252335
23.925781	-76.193779
24.414062	-75.478195
24.902344	-76.012001
25.390625	-77.653397
25.878906	-75.474274
26.367188	-74.774612
26.855469	-76.987328
27.343750	-75.596275
27.832031	-76.505898
28.320312	-76.274918
28.808594	-77.405777
29.296875	-75.445053
29.785156	-72.988655
30.273438	-74.507950
30.761719	-72.220276
31.250000	-75.506584
31.738281	-71.956703
32.226562	-72.743401
32.714844	-72.155602
33.203125	-69.485146
33.691406	-71.294006
34.179688	-73.163315
34.667969	-70.320801
35.156250	-59.565418
35.644531	-65.424355
36.132812	-71.310974
36.621094	-72.130501
37.109375	-71.318367
37.597656	-71.333023
38.085938	-71.495789
38.574219	-72.723602
39.062500	-71.139351
39.550781	-72.176117
40.039062	-72.483681
40.527344	-72.665016
41.015625	-70.888672
41.503906	-70.777687
41.992188	-72.631676
42.480469	-71.171265
42.968750	-70.643784
43.457031	-71.709641
43.945312	-70.231644
44.433594	-70.379227
44.921875	-72.057396
45.410156	-71.371063
45.898438	-71.450943
46.386719	-67.628082
46.875000	-69.317772
47.363281	-69.770790
47.851562	-70.302895
48.339844	-70.486954
48.828125	-72.361252
49.316406	-70.856499
49.804688	-70.879761
50.292969	-71.078476
50.781250	-71.797043
51.269531	-69.385460
51.757812	-70.993965
52.246094	-70.547363
52.734375	-70.529884
53.222656	-71.463127
53.710938	-70.845406
54.199219	-69.763420
54.687500	-69.049393
55.175781	-70.812836
55.664062	-71.777145
56.152344	-68.655418
56.640625	-68.840424
57.128906	-72.491844
57.617188	-69.865570
58.105469	-70.577698
58.593750	-68.062187
59.082031	-68.877396
59.570312	-66.392654
60.058594	-53.014839
60.546875	-66.508629
61.035156	-66.894791
61.523438	-70.242348
62.011719	-70.314438
62.500000	-69.627319
62.988281	-68.936165
63.476562	-70.201569
63.964844	-69.414345
64.453125	-69.343094
64.941406	-69.988686
65.429688	-69.218819
65.917969	-67.897804
66.406250	-67.943230
66.894531	-67.163857
67.382812	-70.356209
67.871094	-69.076752
68.359375	-68.879951
68.847656	-70.734482
69.335938	-69.368568
69.824219	-67.513237
70.312500	-67.220726
70.800781	-70.491959
71.289062	-69.019707
71.777344	-68.713356
72.265625	-68.315872
72.753906	-68.364792
73.242188	-67.892197
73.730469	-68.064888
74.218750	-69.017136
74.707031	-70.187309
75.195312	-67.107742
75.683594	-67.927063
76.171875	-66.941978
76.660156	-67.939636
77.148438	-67.654358
77.636719	-66.292671
78.125000	-66.291473
78.613281	-68.840309
79.101562	-68.363739
79.589844	-68.225883
80.078125	-68.107643
80.566406	-67.402802
81.054688	-67.259209
81.542969	-68.850471
82.031250	-66.974602
82.519531	-66.443863
83.007812	-66.928841
83.496094	-66.209999
83.984375	-66.895866
84.472656	-67.480537
84.960938	-66.504791
85.449219	-69.083099
85.937500	-67.387352
86.425781	-66.497101
86.914062	-65.658638
87.402344	-66.279724
87.890625	-65.605667
88.378906	-67.493675
88.867188	-66.758499
89.355469	-65.875740
89.843750	-67.675240
90.332031	-66.209709
90.820312	-68.445587
91.308594	-65.554939
91.796875	-65.046677
92.285156	-64.245186
92.773438	-64.925652
93.261719	-66.215210
93.750000	-65.471992
94.238281	-66.893478
94.726562	-67.556068
95.214844	-66.243103
95.703125	-64.294609
96.191406	-65.694412
96.679688	-66.047874
97.167969	-66.663101
97.656250	-67.831589
98.144531	-67.411819
98.632812	-64.977890
99.121094	-64.630386
99.609375	-64.967911
100.097656	-65.710983
100.585938	-66.153389
101.074219	-64.802559
101.562500	-63.930393
102.050781	-64.445374
102.539062	-64.863144
103.027344	-64.483307
103.515625	-64.109543
104.003906	-66.071793
104.492188	-65.478882
104.980469	-63.916466
105.468750	-65.008202
105.957031	-64.411560
106.445312	-64.478134
106.933594	-66.020744
107.421875	-65.497337
107.910156	-66.082474
108.398438	-65.464165
108.886719	-66.552467
109.375000	-65.485657
109.863281	-65.482300
110.351562	-63.611610
110.839844	-64.764648
111.328125	-66.314026
111.816406	-64.571098
112.304688	-64.850006
112.792969	-63.462765
113.281250	-64.275543
113.769531	-65.407883
114.257812	-66.645844
114.746094	-64.962753
115.234375	-64.926674
115.722656	-65.678421
116.210938	-64.683464
116.699219	-64.752853
117.187500	-65.654320
117.675781	-64.733658
118.164062	-64.236008
118.652344	-64.804901
119.140625	-63.744862
119.628906	-64.832474
120.117188	-65.787704
120.605469	-63.618771
121.093750	-66.629936
121.582031	-64.365028
122.070312	-64.906754
122.558594	-65.075592
123.046875	-63.919518
123.535156	-63.767620
124.023438	-63.039589
124.511719	-64.760612
125.000000	-63.361683
125.488281	-62.997162
125.976562	-63.565697
126.464844	-65.314072
126.953125	-64.809662
127.441406	-64.722908
127.929688	-63.727589
128.417969	-62.040157
128.906250	-62.570404
129.394531	-65.375816
129.882812	-63.628952
130.371094	-64.001564
130.859375	-62.223656
131.347656	-62.461632
131.835938	-62.592506
132.324219	-64.488686
132.812500	-61.743565
133.300781	-62.522530
133.789062	-62.953907
134.277344	-62.095177
134.765625	-62.986652
135.253906	-63.252987
135.742188	-61.482868
136.230469	-63.469170
136.718750	-62.341927
137.207031	-62.274540
137.695312	-63.566788
138.183594	-61.916088
138.671875	-63.571842
139.160156	-63.208847
139.648438	-61.716690
140.136719	-61.886646
140.625000	-62.480862
141.113281	-63.119293
141.601562	-62.613525
142.089844	-61.918793
142.578125	-63.248493
143.066406	-64.831764
143.554688	-60.069805
144.042969	-60.083298
144.531250	-62.753891
145.019531	-63.240040
145.507812	-62.654255
145.996094	-63.158646
146.484375	-63.067734
146.972656	-62.115501
147.460938	-61.375595
147.949219	-59.837036
148.437500	-60.944904
148.925781	-60.517059
149.414062	-60.861393
149.902344	-59.901569
150.390625	-60.559837
150.878906	-62.512260
151.367188	-60.883614
151.855469	-60.738148
152.343750	-61.727306
152.832031	-60.694721
153.320312	-60.812107
153.808594	-62.503563
154.296875	-60.587189
154.785156	-62.095650
155.273438	-61.280533
155.761719	-60.148201
156.250000	-61.308746
156.738281	-60.156635
157.226562	-60.205250
157.714844	-63.962383
158.203125	-60.649128
158.691406	-59.567398
159.179688	-59.999069
159.667969	-61.136723
160.156250	-59.169125
160.644531	-61.394821
161.132812	-60.980576
161.621094	-60.466839
162.109375	-60.270504
162.597656	-60.576904
163.085938	-60.203621
163.574219	-59.571407
164.062500	-62.191910
164.550781	-59.587627
165.039062	-58.537273
165.527344	-58.896904
166.015625	-62.125656
166.503906	-60.845364
166.992188	-59.024998
167.480469	-59.127605
167.968750	-60.759293
168.457031	-60.181805
168.945312	-59.051792
169.433594	-58.387897
169.921875	-58.607143
170.410156	-60.557125
170.898438	-58.580730
171.386719	-58.917377
171.875000	-58.768234
172.363281	-58.818638
172.851562	-57.528046
173.339844	-58.217686
173.828125	-58.080612
174.316406	-59.038868
174.804688	-60.029732
175.292969	-58.937931
175.781250	-57.531342
176.269531	-58.581417
176.757812	-59.337387
177.246094	-55.566242
177.734375	-57.626022
178.222656	-59.164616
178.710938	-59.855457
179.199219	-56.773983
179.687500	-58.013569
180.175781	-57.195103
180.664062	-57.748295
181.152344	-58.024288
181.640625	-57.348553
182.128906	-57.142311
182.617188	-57.254524
183.105469	-55.543186
183.593750	-57.428123
184.082031	-59.112026
184.570312	-58.554333
185.058594	-59.019253
185.546875	-56.904526
186.035156	-57.451916
186.523438	-56.387760
187.011719	-56.365971
187.500000	-56.294483
187.988281	-58.623619
188.476562	-56.744949
188.964844	-56.671799
189.453125	-55.998985
189.941406	-57.556198
190.429688	-56.006695
190.917969	-54.532829
191.406250	-55.959599
191.894531	-57.319103
192.382812	-56.564884
192.871094	-57.379971
193.359375	-55.728458
193.847656	-56.838177
194.335938	-54.403011
194.824219	-53.268524
195.312500	-54.970390
195.800781	-55.923138
196.289062	-53.338020
196.777344	-53.464973
197.265625	-55.061718
197.753906	-54.251732
198.242188	-55.744419
198.730469	-52.606186
199.218750	-53.967594
199.707031	-53.404118
200.195312	-54.035744
200.683594	-54.040203
201.171875	-53.575363
201.660156	-51.832268
202.148438	-53.462513
202.636719	-54.811825
203.125000	-52.832962
203.613281	-51.550129
204.101562	-52.786373
204.589844	-53.425655
205.078125	-52.137196
205.566406	-52.018539
206.054688	-52.029846
206.542969	-51.973381
207.031250	-51.033081
207.519531	-50.872993
208.007812	-51.272533
208.496094	-50.804367
208.984375	-50.396305
209.472656	-53.092194
209.960938	-50.992931
210.449219	-51.723335
210.937500	-50.602158
211.425781	-50.152096
211.914062	-50.522224
212.402344	-48.867188
212.890625	-49.767025
213.378906	-50.179317
213.867188	-49.416149
214.355469	-49.523075
214.843750	-49.081081
215.332031	-48.893116
215.820312	-48.073883
216.308594	-47.251698
216.796875	-48.018097
217.285156	-47.276520
217.773438	-46.937645
218.261719	-47.572620
218.750000	-46.192810
219.238281	-47.493298
219.726562	-47.791367
220.214844	-46.185719
220.703125	-47.539558
221.191406	-47.177311
221.679688	-47.616776
222.167969	-47.574661
222.656250	-47.005692
223.144531	-47.732979
223.632812	-46.635338
224.121094	-47.196201
224.609375	-47.135445
225.097656	-47.947849
225.585938	-46.912815
226.074219	-46.458263
226.562500	-48.455620
227.050781	-45.836281
227.539062	-48.740131
228.027344	-47.816669
228.515625	-48.657619
229.003906	-49.659916
229.492188	-49.651836
229.980469	-50.444683
230.468750	-46.720108
230.957031	-49.310707
231.445312	-49.911133
231.933594	-48.359787
232.421875	-49.452164
232.910156	-49.944641
233.398438	-46.912872
233.886719	-49.161232
234.375000	-50.069721
234.863281	-49.740307
235.351562	-50.390709
235.839844	-49.438797
236.328125	-49.122265
236.816406	-50.858696
237.304688	-52.274582
237.792969	-52.159817
238.281250	-51.061401
238.769531	-52.588043
239.257812	-50.798679
239.746094	-52.327137
240.234375	-51.305595
240.722656	-54.211521
241.210938	-54.619240
241.699219	-52.995636
242.187500	-54.047344
242.675781	-53.592991
243.164062	-53.878651
243.652344	-53.897167
244.140625	-55.483433
244.628906	-54.636906
245.117188	-54.502048
245.605469	-54.616997
246.093750	-54.448990
246.582031	-55.240730
247.070312	-54.918636
247.558594	-53.089928
248.046875	-53.630264
248.535156	-54.239132
249.023438	-55.528694
249.511719	-54.053852
250.000000	-55.477016
250.488281	-55.973366
250.976562	-58.079662
251.464844	-56.240482
251.953125	-56.695827
252.441406	-58.322727
252.929688	-56.320499
253.417969	-56.683872
253.906250	-55.380955
254.394531	-56.553093
254.882812	-57.173431
255.371094	-57.111046
255.859375	-57.850708
256.347656	-56.882980
256.835938	-56.298569
257.324219	-56.928101
257.812500	-57.520714
258.300781	-57.965729
258.789062	-57.882793
259.277344	-56.110512
259.765625	-55.695766
260.253906	-58.149975
260.742188	-59.192955
261.230469	-59.085041
261.718750	-58.733410
262.207031	-57.847916
262.695312	-58.797043
263.183594	-56.870316
263.671875	-59.636719
264.160156	-58.952721
264.648438	-57.872261
265.136719	-59.004013
265.625000	-58.110451
266.113281	-60.096954
266.601562	-58.545219
267.089844	-58.032036
267.578125	-58.025951
268.066406	-60.953373
268.554688	-58.400249
269.042969	-56.669640
269.531250	-60.268856
270.019531	-59.972816
270.507812	-58.453873
270.996094	-59.030602
271.484375	-60.169472
271.972656	-58.798859
272.460938	-58.182003
272.949219	-61.096069
273.437500	-61.178799
273.925781	-57.916718
274.414062	-58.644478
274.902344	-58.833000
275.390625	-58.768208
275.878906	-59.268147
276.367188	-59.245197
276.855469	-59.572327
277.343750	-60.212162
277.832031	-60.363293
278.320312	-61.683163
278.808594	-60.087852
279.296875	-59.876087
279.785156	-60.453331
280.273438	-61.684479
280.761719	-61.547844
281.250000	-60.660347
281.738281	-61.442520
282.226562	-60.367382
282.714844	-60.014160
283.203125	-60.710480
283.691406	-61.425678
284.179688	-61.037140
284.667969	-60.901787
285.156250	-59.914402
285.644531	-59.119553
286.132812	-60.838356
286.621094	-61.457363
287.109375	-59.634125
287.597656	-60.233219
288.085938	-61.270008
288.574219	-62.398277
289.062500	-64.188034
289.550781	-61.705425
290.039062	-61.450123
290.527344	-61.038383
291.015625	-60.833817
291.503906	-61.389244
291.992188	-61.112034
292.480469	-63.314495
292.968750	-62.734985
293.457031	-59.451626
293.945312	-62.399529
294.433594	-62.922710
294.921875	-61.799061
295.410156	-61.050327
295.898438	-61.521168
296.386719	-59.735752
296.875000	-62.714508
297.363281	-61.835815
297.851562	-62.606239
298.339844	-62.787739
298.828125	-61.659359
299.316406	-61.693516
299.804688	-62.059643
300.292969	-62.836224
300.781250	-61.789097
301.269531	-61.922413
301.757812	-61.523609
302.246094	-63.964813
302.734375	-61.614456
303.222656	-63.442444
303.710938	-60.592709
304.199219	-63.150333
304.687500	-63.219467
305.175781	-62.819118
305.664062	-64.899139
306.152344	-64.765396
306.640625	-62.821274
307.128906	-62.695499
307.617188	-62.832512
308.105469	-63.736618
308.593750	-63.521477
309.082031	-63.021606
309.570312	-63.110516
310.058594	-63.515247
310.546875	-62.976330
311.035156	-63.080051
311.523438	-63.294868
312.011719	-61.977211
312.500000	-64.381226
312.988281	-64.773277
313.476562	-62.969551
313.964844	-61.409264
314.453125	-63.099545
314.941406	-62.582859
315.429688	-64.095551
315.917969	-64.736122
316.406250	-65.160431
316.894531	-65.105591
317.382812	-63.101971
317.871094	-62.408691
318.359375	-61.626350
318.847656	-63.758453
319.335938	-64.914787
319.824219	-63.558517
320.312500	-63.100639
320.800781	-63.925980
321.289062	-63.473366
321.777344	-64.046501
322.265625	-62.455853
322.753906	-61.202534
323.242188	-63.861713
323.730469	-63.047035
324.218750	-63.298836
324.707031	-62.937382
325.195312	-62.971855
325.683594	-64.529350
326.171875	-62.991947
326.660156	-61.974823
327.148438	-65.024170
327.636719	-62.487324
328.125000	-64.032906
328.613281	-63.151691
329.101562	-63.427666
329.589844	-63.362572
330.078125	-63.341080
330.566406	-64.307968
331.054688	-64.660080
331.542969	-63.968090
332.031250	-62.951694
332.519531	-63.696358
333.007812	-64.280067
333.496094	-64.001236
333.984375	-64.266052
334.472656	-62.038067
334.960938	-63.415070
335.449219	-63.414639
335.937500	-64.857239
336.425781	-62.779892
336.914062	-63.930153
337.402344	-63.893593
337.890625	-63.170712
338.378906	-63.814419
338.867188	-64.404442
339.355469	-64.573341
339.843750	-64.954643
340.332031	-64.852684
340.820312	-63.310226
341.308594	-64.343147
341.796875	-64.385040
342.285156	-64.932938
342.773438	-65.799217
343.261719	-62.900742
343.750000	-64.130753
344.238281	-64.625122
344.726562	-64.242653
345.214844	-62.890358
345.703125	-63.812748
346.191406	-64.620575
346.679688	-64.819992
347.167969	-64.706284
347.656250	-65.739182
348.144531	-64.881401
348.632812	-65.310806
349.121094	-63.492306
349.609375	-64.457458
350.097656	-64.469307
350.585938	-63.003006
351.074219	-64.289993
351.562500	-63.099720
352.050781	-62.973236
352.539062	-63.730141
353.027344	-63.579411
353.515625	-65.558807
354.003906	-64.512863
354.492188	-64.801018
354.980469	-63.736340
355.468750	-63.562107
355.957031	-64.281342
356.445312	-63.399975
356.933594	-62.043297
357.421875	-63.617828
357.910156	-66.329086
358.398438	-61.869884
358.886719	-63.374657
359.375000	-64.059135
359.863281	-62.797909
360.351562	-62.987125
360.839844	-62.203220
361.328125	-63.230042
361.816406	-63.263802
