Frequency (Hz)	Level (dB)
0.488281	-95.131676
0.976562	-95.487099
1.464844	-95.388527
1.953125	-96.371468
2.441406	-95.556267
2.929688	-94.870445
3.417969	-94.980293
3.906250	-95.312111
4.394531	-95.043861
4.882812	-94.414925
5.371094	-94.900909
5.859375	-94.595428
6.347656	-94.095291
6.835938	-91.872345
7.324219	-93.175735
7.812500	-91.825874
8.300781	-90.209961
8.789062	-89.411850
9.277344	-88.580818
9.765625	-87.937668
10.253906	-84.708069
10.742188	-85.918762
11.230469	-89.107399
11.718750	-87.801567
12.207031	-88.529449
12.695312	-87.852341
13.183594	-86.500397
13.671875	-87.669617
14.160156	-86.727463
14.648438	-84.547836
15.136719	-85.405960
15.625000	-83.109894
16.113281	-80.588249
16.601562	-73.126427
17.089844	-74.550735
17.578125	-54.538052
18.066406	-72.860519
18.554688	-76.012459
19.042969	-76.464066
19.531250	-75.282562
20.019531	-73.894119
20.507812	-74.649086
20.996094	-74.192566
21.484375	-74.270164
21.972656	-75.676163
22.460938	-76.594383
22.949219	-74.419945
23.437500	-74.816460
23.925781	-76.757599
24.414062	-77.427620
24.902344	-77.973221
25.390625	-80.291748
25.878906	-78.327339
26.367188	-76.550583
26.855469	-81.066360
27.343750	-78.460938
27.832031	-79.282501
28.320312	-78.597862
28.808594	-81.600433
29.296875	-79.757660
29.785156	-78.350632
30.273438	-75.797173
30.761719	-76.322159
31.250000	-75.927063
31.738281	-78.477097
32.226562	-76.052010
32.714844	-75.205841
33.203125	-71.513268
33.691406	-70.657516
34.179688	-74.574844
34.667969	-73.239410
35.156250	-59.772907
35.644531	-71.473839
36.132812	-73.999603
36.621094	-75.454895
37.109375	-73.519341
37.597656	-74.977295
38.085938	-76.059242
38.574219	-77.073517
39.062500	-74.864212
39.550781	-76.283379
40.039062	-76.348145
40.527344	-77.980652
41.015625	-76.714027
41.503906	-77.742783
41.992188	-75.562531
42.480469	-75.767227
42.968750	-76.973946
43.457031	-77.140945
43.945312	-74.938171
44.433594	-73.951332
44.921875	-71.759102
45.410156	-71.306602
45.898438	-71.738365
46.386719	-72.590302
46.875000	-73.123917
47.363281	-73.225296
47.851562	-75.692505
48.339844	-76.220024
48.828125	-76.329651
49.316406	-77.666527
49.804688	-76.805740
50.292969	-77.351471
50.781250	-79.933762
51.269531	-78.174088
51.757812	-80.047050
52.246094	-80.323479
52.734375	-77.664246
53.222656	-78.784485
53.710938	-77.268379
54.199219	-77.378723
54.687500	-77.615356
55.175781	-76.839241
55.664062	-78.639130
56.152344	-78.561852
56.640625	-77.469322
57.128906	-75.693977
57.617188	-76.339981
58.105469	-74.670387
58.593750	-73.989319
59.082031	-71.198723
59.570312	-65.520447
60.058594	-53.068893
60.546875	-68.442741
61.035156	-73.322937
61.523438	-74.517578
62.011719	-76.104446
62.500000	-76.732414
62.988281	-74.562607
63.476562	-76.931702
63.964844	-75.836678
64.453125	-75.487465
64.941406	-75.841728
65.429688	-76.999771
65.917969	-75.388809
66.406250	-78.033585
66.894531	-77.118942
67.382812	-77.240715
67.871094	-77.320679
68.359375	-79.393318
68.847656	-76.003296
69.335938	-77.675980
69.824219	-79.245102
70.312500	-77.840233
70.800781	-78.010490
71.289062	-77.974648
71.777344	-77.636307
72.265625	-77.802513
72.753906	-78.061638
73.242188	-78.405441
73.730469	-77.890923
74.218750	-77.369362
74.707031	-78.961220
75.195312	-76.700134
75.683594	-77.674339
76.171875	-76.567955
76.660156	-76.480774
77.148438	-77.630257
77.636719	-77.243126
78.125000	-77.984711
78.613281	-78.825905
79.101562	-78.840057
79.589844	-78.643127
80.078125	-78.269516
80.566406	-77.823471
81.054688	-78.808815
81.542969	-78.893776
82.031250	-77.815041
82.519531	-78.641891
83.007812	-78.818268
83.496094	-77.808578
83.984375	-78.049484
84.472656	-77.612907
84.960938	-77.968544
85.449219	-77.711914
85.937500	-77.787933
86.425781	-76.263008
86.914062	-79.155876
87.402344	-74.659500
87.890625	-76.690559
88.378906	-76.869019
88.867188	-76.064323
89.355469	-77.514404
89.843750	-77.590729
90.332031	-77.732506
90.820312	-76.812881
91.308594	-79.536812
91.796875	-78.411217
92.285156	-77.980011
92.773438	-76.866371
93.261719	-77.958412
93.750000	-78.271706
94.238281	-77.753853
94.726562	-76.994072
95.214844	-77.810867
95.703125	-78.608536
96.191406	-77.606567
96.679688	-76.099564
97.167969	-77.114456
97.656250	-77.580956
98.144531	-75.775726
98.632812	-78.253891
99.121094	-75.723839
99.609375	-76.014984
100.097656	-78.600754
100.585938	-75.557434
101.074219	-77.223991
101.562500	-76.097672
102.050781	-78.941559
102.539062	-78.678345
103.027344	-76.457825
103.515625	-76.599327
104.003906	-77.610535
104.492188	-78.735725
104.980469	-76.425690
105.468750	-78.332382
105.957031	-78.703484
106.445312	-77.338737
106.933594	-76.770737
107.421875	-77.805939
107.910156	-77.856094
108.398438	-76.951508
108.886719	-76.862160
109.375000	-78.130020
109.863281	-76.066780
110.351562	-77.913002
110.839844	-78.891960
111.328125	-77.891479
111.816406	-77.883278
112.304688	-75.735321
112.792969	-77.844551
113.281250	-76.296577
113.769531	-76.923676
114.257812	-78.556282
114.746094	-76.583885
115.234375	-76.566711
115.722656	-75.491402
116.210938	-75.971420
116.699219	-74.774353
117.187500	-75.910271
117.675781	-75.941780
118.164062	-76.866142
118.652344	-76.292412
119.140625	-76.479523
119.628906	-74.441772
120.117188	-73.305084
120.605469	-76.693092
121.093750	-76.768387
121.582031	-76.028900
122.070312	-75.324051
122.558594	-75.393974
123.046875	-76.616158
123.535156	-75.022789
124.023438	-75.798927
124.511719	-76.554062
125.000000	-75.261337
125.488281	-75.592476
125.976562	-77.840393
126.464844	-74.740753
126.953125	-74.964302
127.441406	-75.527077
127.929688	-74.625305
128.417969	-74.449364
128.906250	-76.098137
129.394531	-77.611061
129.882812	-77.131477
130.371094	-76.306694
130.859375	-75.573105
131.347656	-74.594063
131.835938	-75.738533
132.324219	-76.021561
132.812500	-74.701294
133.300781	-74.369263
133.789062	-73.708572
134.277344	-74.176735
134.765625	-73.718590
135.253906	-75.994003
135.742188	-74.012062
136.230469	-73.666992
136.718750	-73.983788
137.207031	-75.277374
137.695312	-75.560005
138.183594	-76.421715
138.671875	-75.308807
139.160156	-74.702408
139.648438	-74.154053
140.136719	-73.429001
140.625000	-75.349541
141.113281	-74.337723
141.601562	-74.272163
142.089844	-73.400871
142.578125	-76.753029
143.066406	-77.709419
143.554688	-75.050240
144.042969	-73.879662
144.531250	-73.657333
145.019531	-73.364525
145.507812	-73.362350
145.996094	-74.846222
146.484375	-71.547966
146.972656	-71.094543
147.460938	-73.006500
147.949219	-72.364693
148.437500	-71.804298
148.925781	-72.418709
149.414062	-75.261848
149.902344	-72.077148
150.390625	-72.037376
150.878906	-73.488525
151.367188	-74.859093
151.855469	-73.942505
152.343750	-72.276886
152.832031	-74.617706
153.320312	-74.304405
153.808594	-73.720474
154.296875	-75.495743
154.785156	-72.984863
155.273438	-75.185432
155.761719	-74.584290
156.250000	-73.155586
156.738281	-73.705238
157.226562	-74.284592
157.714844	-74.773911
158.203125	-74.229599
158.691406	-73.798172
159.179688	-74.888840
159.667969	-73.879974
160.156250	-74.226547
160.644531	-72.961380
161.132812	-75.087730
161.621094	-74.830757
162.109375	-74.618843
162.597656	-74.828476
163.085938	-74.166969
163.574219	-74.355988
164.062500	-73.979576
164.550781	-73.878624
165.039062	-73.107422
165.527344	-73.225906
166.015625	-74.342934
166.503906	-74.367523
166.992188	-74.658791
167.480469	-73.989182
167.968750	-74.857239
168.457031	-76.315384
168.945312	-73.966705
169.433594	-73.763687
169.921875	-74.610886
170.410156	-73.832436
170.898438	-74.797279
171.386719	-74.403755
171.875000	-73.166077
172.363281	-76.588318
172.851562	-72.860565
173.339844	-74.181152
173.828125	-74.191650
174.316406	-75.134850
174.804688	-72.996262
175.292969	-73.843414
175.781250	-71.882019
176.269531	-73.765549
176.757812	-76.277435
177.246094	-73.662460
177.734375	-74.138268
178.222656	-73.940948
178.710938	-73.510658
179.199219	-74.348610
179.687500	-73.528168
180.175781	-72.796059
180.664062	-72.705635
181.152344	-73.079376
181.640625	-72.110970
182.128906	-73.481117
182.617188	-72.732101
183.105469	-72.872437
183.593750	-74.797173
184.082031	-73.919731
184.570312	-72.765945
185.058594	-73.094017
185.546875	-73.194107
186.035156	-72.155205
186.523438	-73.618515
187.011719	-74.417023
187.500000	-73.241737
187.988281	-73.402473
188.476562	-72.103462
188.964844	-72.787651
189.453125	-71.797821
189.941406	-74.548889
190.429688	-70.596817
190.917969	-71.692780
191.406250	-73.429001
191.894531	-75.132446
192.382812	-74.020592
192.871094	-73.170174
193.359375	-73.019241
193.847656	-72.471954
194.335938	-72.003288
194.824219	-71.942085
195.312500	-72.185478
195.800781	-72.020805
196.289062	-74.953468
196.777344	-73.032417
197.265625	-72.407043
