Frequency (Hz)	Level (dB)
0.488281	-93.040611
0.976562	-91.769974
1.464844	-92.859009
1.953125	-92.362343
2.441406	-92.884483
2.929688	-91.572502
3.417969	-91.598801
3.906250	-91.952499
4.394531	-92.010414
4.882812	-92.208443
5.371094	-92.851746
5.859375	-92.453743
6.347656	-91.991669
6.835938	-91.183601
7.324219	-91.192650
7.812500	-89.930450
8.300781	-89.812653
8.789062	-89.741783
9.277344	-88.526123
9.765625	-86.297943
10.253906	-83.717415
10.742188	-84.263718
11.230469	-86.255913
11.718750	-85.698494
12.207031	-88.747971
12.695312	-84.549805
13.183594	-86.500534
13.671875	-85.338531
14.160156	-85.552383
14.648438	-84.248856
15.136719	-82.954773
15.625000	-80.491714
16.113281	-80.623192
16.601562	-73.679604
17.089844	-70.201416
17.578125	-54.060154
18.066406	-68.618011
18.554688	-73.748779
19.042969	-75.081940
19.531250	-72.379005
20.019531	-72.760452
20.507812	-75.196358
20.996094	-73.094788
21.484375	-73.553375
21.972656	-73.992149
22.460938	-73.722992
22.949219	-74.984375
23.437500	-74.977180
23.925781	-77.437988
24.414062	-77.807869
24.902344	-79.507912
25.390625	-78.244003
25.878906	-78.250885
26.367188	-76.610779
26.855469	-76.363350
27.343750	-79.898987
27.832031	-79.691536
28.320312	-79.591156
28.808594	-79.062576
29.296875	-78.331276
29.785156	-76.494957
30.273438	-74.122704
30.761719	-76.425087
31.250000	-76.446167
31.738281	-77.653076
32.226562	-76.435814
32.714844	-73.404152
33.203125	-69.664886
33.691406	-73.316368
34.179688	-73.502258
34.667969	-72.403236
35.156250	-59.630764
35.644531	-65.504311
36.132812	-69.938660
36.621094	-73.280739
37.109375	-75.390373
37.597656	-73.643883
38.085938	-72.673065
38.574219	-74.837708
39.062500	-73.266281
39.550781	-73.382149
40.039062	-75.109276
40.527344	-75.732666
41.015625	-76.113113
41.503906	-76.677505
41.992188	-76.053734
42.480469	-76.155716
42.968750	-75.091141
43.457031	-75.381187
43.945312	-74.651451
44.433594	-73.480331
44.921875	-69.989922
45.410156	-70.967346
45.898438	-72.186417
46.386719	-71.115738
46.875000	-71.449127
47.363281	-71.702103
47.851562	-72.205940
48.339844	-75.062531
48.828125	-75.540703
49.316406	-77.350006
49.804688	-76.369820
50.292969	-77.339767
50.781250	-77.015404
51.269531	-77.487358
51.757812	-76.157318
52.246094	-78.813049
52.734375	-77.052032
53.222656	-77.824776
53.710938	-77.320580
54.199219	-77.231850
54.687500	-76.475723
55.175781	-77.450226
55.664062	-79.590042
56.152344	-77.730186
56.640625	-74.619179
57.128906	-77.569687
57.617188	-76.941948
58.105469	-77.085243
58.593750	-75.200058
59.082031	-74.553452
59.570312	-68.555153
60.058594	-52.835857
60.546875	-70.308411
61.035156	-73.391777
61.523438	-75.264565
62.011719	-76.601990
62.500000	-74.632133
62.988281	-72.751511
63.476562	-73.475662
63.964844	-76.424400
64.453125	-75.464531
64.941406	-75.592133
65.429688	-74.303169
65.917969	-76.369995
66.406250	-75.219917
66.894531	-75.271690
67.382812	-78.895218
67.871094	-78.310638
68.359375	-76.722366
68.847656	-78.550812
69.335938	-78.373291
69.824219	-76.905563
70.312500	-76.163719
70.800781	-75.601913
71.289062	-78.530273
71.777344	-76.708290
72.265625	-76.455482
72.753906	-77.623070
73.242188	-76.875839
73.730469	-77.031120
74.218750	-75.827271
74.707031	-75.237526
75.195312	-78.401436
75.683594	-76.219658
76.171875	-76.041008
76.660156	-76.052139
77.148438	-77.048424
77.636719	-76.150513
78.125000	-77.447670
78.613281	-75.981323
79.101562	-75.252251
79.589844	-77.433876
80.078125	-76.783302
80.566406	-76.856117
81.054688	-76.022812
81.542969	-77.955559
82.031250	-76.772461
82.519531	-75.400970
83.007812	-76.534111
83.496094	-77.028015
83.984375	-77.305725
84.472656	-76.030823
84.960938	-76.710350
85.449219	-76.546310
85.937500	-76.638245
86.425781	-76.960739
86.914062	-75.865303
87.402344	-76.418091
87.890625	-73.569237
88.378906	-74.358360
88.867188	-74.969009
89.355469	-75.463699
89.843750	-76.366196
90.332031	-76.305618
90.820312	-76.362816
91.308594	-76.566765
91.796875	-76.237549
92.285156	-75.992302
92.773438	-75.199806
93.261719	-76.870377
93.750000	-76.663040
94.238281	-75.824806
94.726562	-77.370071
95.214844	-77.487175
95.703125	-77.216919
96.191406	-77.593201
96.679688	-76.257133
97.167969	-74.022575
97.656250	-74.904510
98.144531	-77.807877
98.632812	-75.478409
99.121094	-75.904152
99.609375	-74.209373
100.097656	-74.950790
100.585938	-75.079887
101.074219	-74.073318
101.562500	-74.723244
102.050781	-77.258385
102.539062	-75.237717
103.027344	-75.064400
103.515625	-75.677063
104.003906	-75.122551
104.492188	-76.959984
104.980469	-75.960785
105.468750	-76.194000
105.957031	-75.388351
106.445312	-74.524384
106.933594	-75.486542
107.421875	-76.994736
107.910156	-77.098167
108.398438	-75.629662
108.886719	-75.712204
109.375000	-77.226517
109.863281	-75.573540
110.351562	-75.733032
110.839844	-77.451813
111.328125	-78.391281
111.816406	-74.943619
112.304688	-76.882187
112.792969	-76.626938
113.281250	-75.444115
113.769531	-74.416985
114.257812	-76.366257
114.746094	-76.380173
115.234375	-77.215919
115.722656	-76.812347
116.210938	-75.271049
116.699219	-75.140160
117.187500	-74.414070
117.675781	-75.542809
118.164062	-76.583176
118.652344	-77.303612
119.140625	-77.689415
119.628906	-74.468750
120.117188	-74.033607
120.605469	-75.592880
121.093750	-75.623573
121.582031	-74.314148
122.070312	-75.430557
122.558594	-76.197159
123.046875	-75.010941
123.535156	-75.483002
124.023438	-76.391022
124.511719	-75.567108
125.000000	-73.429588
125.488281	-76.836983
125.976562	-76.722153
126.464844	-75.234978
126.953125	-75.683601
127.441406	-74.250671
127.929688	-72.651863
128.417969	-74.091026
128.906250	-75.458878
129.394531	-75.096413
129.882812	-73.800323
130.371094	-74.380760
130.859375	-73.781631
131.347656	-73.867065
131.835938	-74.103867
132.324219	-73.773788
132.812500	-74.060875
133.300781	-73.697174
133.789062	-72.807152
134.277344	-73.084892
134.765625	-75.889824
135.253906	-73.375557
135.742188	-74.059219
136.230469	-73.752701
136.718750	-75.326195
137.207031	-73.472397
137.695312	-75.302345
138.183594	-73.199829
138.671875	-73.736275
139.160156	-74.036148
139.648438	-74.222588
140.136719	-75.466560
140.625000	-75.168205
141.113281	-72.776657
141.601562	-73.910583
142.089844	-74.203148
142.578125	-74.830025
143.066406	-76.207489
143.554688	-76.070969
144.042969	-72.932808
144.531250	-72.819641
145.019531	-73.189163
145.507812	-74.504227
145.996094	-72.432144
146.484375	-71.794182
146.972656	-71.551666
147.460938	-70.512810
147.949219	-70.652626
148.437500	-71.766151
148.925781	-72.466606
149.414062	-74.992889
149.902344	-74.847130
150.390625	-70.136452
150.878906	-75.631493
151.367188	-71.714096
151.855469	-73.363609
152.343750	-71.829208
152.832031	-73.367935
153.320312	-73.492920
153.808594	-72.811516
154.296875	-73.640060
154.785156	-73.618782
155.273438	-74.996574
155.761719	-73.493904
156.250000	-74.205841
156.738281	-74.015984
157.226562	-73.388779
157.714844	-74.379242
158.203125	-74.376854
158.691406	-73.667496
159.179688	-71.377991
159.667969	-75.844933
160.156250	-74.034180
160.644531	-75.345428
161.132812	-73.278648
161.621094	-74.169586
162.109375	-73.051559
162.597656	-76.226166
163.085938	-73.602844
163.574219	-74.190239
164.062500	-73.188339
164.550781	-73.691986
165.039062	-72.877983
165.527344	-74.565361
166.015625	-74.292168
166.503906	-72.562897
166.992188	-72.804276
167.480469	-73.463844
167.968750	-73.851562
168.457031	-73.667786
168.945312	-73.700150
169.433594	-73.178619
