Frequency (Hz)	Level (dB)
0.488281	-89.516556
0.976562	-88.884338
1.464844	-89.559357
1.953125	-88.910477
2.441406	-89.514168
2.929688	-88.635780
3.417969	-88.644966
3.906250	-88.194191
4.394531	-88.174309
4.882812	-88.736679
5.371094	-88.613243
5.859375	-88.696953
6.347656	-87.702255
6.835938	-86.267960
7.324219	-88.445625
7.812500	-86.267479
8.300781	-83.947372
8.789062	-85.410133
9.277344	-85.390739
9.765625	-84.746964
10.253906	-82.414909
10.742188	-83.494179
11.230469	-83.740211
11.718750	-83.325943
12.207031	-83.073181
12.695312	-82.720749
13.183594	-81.520798
13.671875	-81.851982
14.160156	-82.794174
14.648438	-80.469170
15.136719	-78.533157
15.625000	-79.614761
16.113281	-78.272095
16.601562	-71.891624
17.089844	-70.439850
17.578125	-54.658688
18.066406	-67.770012
18.554688	-71.911240
19.042969	-73.922829
19.531250	-70.937935
20.019531	-72.321587
20.507812	-73.222229
20.996094	-72.764267
21.484375	-72.380249
21.972656	-72.791702
22.460938	-72.223602
22.949219	-73.316620
23.437500	-74.624687
23.925781	-74.551460
24.414062	-74.859627
24.902344	-74.315453
25.390625	-76.844154
25.878906	-74.606415
26.367188	-74.225906
26.855469	-73.605064
27.343750	-75.173409
27.832031	-73.864716
28.320312	-74.563225
28.808594	-74.706131
29.296875	-75.425613
29.785156	-72.230209
30.273438	-72.688377
30.761719	-72.477150
31.250000	-74.497314
31.738281	-72.425301
32.226562	-71.892540
32.714844	-71.429497
33.203125	-69.217323
33.691406	-69.320953
34.179688	-69.739700
34.667969	-69.892334
35.156250	-60.407948
35.644531	-64.458603
36.132812	-69.406456
36.621094	-71.003098
37.109375	-71.183922
37.597656	-71.848206
38.085938	-71.091888
38.574219	-70.500984
39.062500	-69.387756
39.550781	-71.013969
40.039062	-70.471390
40.527344	-71.602547
41.015625	-70.057663
41.503906	-70.883080
41.992188	-70.931755
42.480469	-68.705116
42.968750	-70.014786
43.457031	-70.447586
43.945312	-69.464340
44.433594	-70.516556
44.921875	-68.752586
45.410156	-67.806992
45.898438	-68.065247
46.386719	-67.716995
46.875000	-67.084663
47.363281	-69.922432
47.851562	-69.208183
48.339844	-69.170380
48.828125	-68.664352
49.316406	-68.558289
49.804688	-70.122925
50.292969	-68.433517
50.781250	-67.998207
51.269531	-69.036507
51.757812	-70.762360
52.246094	-69.939262
52.734375	-69.760529
53.222656	-71.048584
53.710938	-70.308807
54.199219	-67.629333
54.687500	-66.931297
55.175781	-68.348259
55.664062	-68.808083
56.152344	-67.457664
56.640625	-68.720207
57.128906	-67.717018
57.617188	-70.075081
58.105469	-69.546043
58.593750	-68.422569
59.082031	-66.875389
59.570312	-66.302643
60.058594	-52.430542
60.546875	-66.799889
61.035156	-66.892456
61.523438	-67.810394
62.011719	-69.638573
62.500000	-68.451508
62.988281	-68.642464
63.476562	-70.290131
63.964844	-69.176170
64.453125	-66.966728
64.941406	-66.208977
65.429688	-68.457573
65.917969	-69.948128
