Frequency (Hz)	Level (dB)
0.488281	-81.237358
0.976562	-81.764572
1.464844	-81.052429
1.953125	-81.820847
2.441406	-81.347610
2.929688	-80.747841
3.417969	-81.935776
3.906250	-81.144981
4.394531	-80.862633
4.882812	-80.439590
5.371094	-81.418808
5.859375	-79.846489
6.347656	-80.253990
6.835938	-80.608887
7.324219	-79.802376
7.812500	-79.465645
8.300781	-78.063156
8.789062	-77.113686
9.277344	-78.263863
9.765625	-78.639763
10.253906	-78.176620
10.742188	-77.602951
11.230469	-78.079781
11.718750	-77.895752
12.207031	-77.265892
12.695312	-76.934959
13.183594	-76.548363
13.671875	-76.860840
14.160156	-76.738380
14.648438	-76.518700
15.136719	-75.555824
15.625000	-75.487694
16.113281	-74.719048
16.601562	-69.775566
17.089844	-68.993088
17.578125	-53.416000
18.066406	-66.328125
18.554688	-70.444138
19.042969	-72.191566
19.531250	-70.046219
20.019531	-69.720039
20.507812	-69.155403
20.996094	-70.215851
21.484375	-72.465385
21.972656	-69.696579
22.460938	-68.843803
22.949219	-69.730927
23.437500	-70.654060
23.925781	-71.682976
24.414062	-72.159760
24.902344	-70.492821
25.390625	-68.517647
25.878906	-67.687767
26.367188	-67.535507
26.855469	-66.987328
27.343750	-66.568283
27.832031	-69.330704
28.320312	-65.009323
28.808594	-65.827377
29.296875	-64.404381
29.785156	-65.050072
30.273438	-65.509285
30.761719	-65.520332
31.250000	-64.616150
31.738281	-62.906208
32.226562	-64.601601
32.714844	-65.587807
33.203125	-60.452248
33.691406	-65.828438
34.179688	-64.564095
34.667969	-61.943111
35.156250	-58.073952
35.644531	-60.117767
36.132812	-60.203091
36.621094	-63.526249
37.109375	-61.587627
37.597656	-59.355247
38.085938	-62.813122
38.574219	-62.468185
39.062500	-62.720772
39.550781	-61.460712
40.039062	-63.532593
40.527344	-62.607483
41.015625	-62.360352
41.503906	-60.482738
41.992188	-59.478386
42.480469	-62.270447
42.968750	-61.019016
43.457031	-62.368351
43.945312	-61.317837
44.433594	-61.812458
44.921875	-59.518818
45.410156	-61.215137
45.898438	-59.556404
46.386719	-60.828770
46.875000	-60.875664
47.363281	-63.428108
47.851562	-61.584522
48.339844	-59.540382
48.828125	-61.797176
49.316406	-59.862499
49.804688	-61.663368
50.292969	-61.855919
50.781250	-60.728878
51.269531	-59.773701
51.757812	-60.402081
52.246094	-62.484230
52.734375	-61.925068
53.222656	-61.530857
53.710938	-60.424583
54.199219	-61.111343
54.687500	-61.894253
55.175781	-61.003014
55.664062	-61.598919
56.152344	-59.451351
56.640625	-59.505558
57.128906	-59.865665
57.617188	-60.900330
58.105469	-57.988644
58.593750	-60.415813
59.082031	-62.507870
59.570312	-61.539207
60.058594	-51.951389
60.546875	-61.654541
61.035156	-62.841984
61.523438	-61.932030
62.011719	-62.777531
62.500000	-60.968815
62.988281	-60.139290
63.476562	-60.081081
63.964844	-59.458973
64.453125	-60.346603
64.941406	-61.892460
65.429688	-60.732971
65.917969	-60.866604
66.406250	-61.363079
66.894531	-61.126331
67.382812	-59.997742
67.871094	-60.451366
68.359375	-63.095818
68.847656	-60.400753
69.335938	-59.767872
69.824219	-61.380787
70.312500	-60.172504
70.800781	-59.743488
71.289062	-60.369995
71.777344	-62.283600
72.265625	-60.048996
72.753906	-61.506073
73.242188	-58.995289
73.730469	-59.892113
74.218750	-59.463318
74.707031	-61.986073
75.195312	-59.919014
75.683594	-60.265289
76.171875	-60.346638
76.660156	-60.580875
77.148438	-60.640980
77.636719	-59.878616
78.125000	-59.011421
78.613281	-59.392120
79.101562	-58.709103
79.589844	-60.041187
80.078125	-59.572186
80.566406	-61.432262
81.054688	-60.031616
81.542969	-61.012745
82.031250	-59.416237
82.519531	-60.566429
83.007812	-60.991283
83.496094	-60.966648
83.984375	-59.919796
84.472656	-58.832832
84.960938	-61.540253
85.449219	-59.869911
85.937500	-57.278599
86.425781	-57.017754
86.914062	-59.639599
