Frequency (Hz)	Level (dB)
0.488281	-99.049576
0.976562	-98.874519
1.464844	-98.610634
1.953125	-98.683411
2.441406	-99.135300
2.929688	-98.531578
3.417969	-98.643959
3.906250	-98.573708
4.394531	-98.076630
4.882812	-98.009209
5.371094	-97.688637
5.859375	-98.268951
6.347656	-97.154411
6.835938	-95.041176
7.324219	-96.666580
7.812500	-96.559425
8.300781	-93.201340
8.789062	-92.541626
9.277344	-91.313629
9.765625	-93.464424
10.253906	-90.266289
10.742188	-86.954742
11.230469	-91.392662
11.718750	-94.269264
12.207031	-89.698967
12.695312	-85.157227
13.183594	-87.148949
13.671875	-87.957535
14.160156	-88.980545
14.648438	-87.829376
15.136719	-85.197708
15.625000	-85.554596
16.113281	-81.557564
16.601562	-73.124649
17.089844	-74.350006
17.578125	-55.798580
18.066406	-73.385994
18.554688	-79.905342
19.042969	-78.791092
19.531250	-73.499046
20.019531	-75.999863
20.507812	-74.022202
20.996094	-75.144493
21.484375	-76.983070
21.972656	-77.311523
22.460938	-79.432999
22.949219	-75.159119
23.437500	-79.810287
23.925781	-81.339821
24.414062	-84.873909
24.902344	-80.818649
25.390625	-81.169815
25.878906	-83.554588
26.367188	-86.122086
26.855469	-83.226097
27.343750	-84.433891
27.832031	-84.246056
28.320312	-83.136421
28.808594	-85.114052
29.296875	-85.370903
29.785156	-79.080009
30.273438	-78.076546
30.761719	-79.960945
31.250000	-80.623581
31.738281	-79.074081
32.226562	-84.289154
32.714844	-77.341713
33.203125	-74.804703
33.691406	-75.588455
34.179688	-79.415863
34.667969	-76.509216
35.156250	-63.975220
35.644531	-73.996109
36.132812	-76.666550
36.621094	-81.559067
37.109375	-80.476448
37.597656	-80.749863
38.085938	-85.388206
38.574219	-80.955887
39.062500	-82.045494
39.550781	-84.813400
40.039062	-83.784874
40.527344	-85.756943
41.015625	-82.152039
41.503906	-84.983772
41.992188	-87.599960
42.480469	-86.168198
42.968750	-85.119865
43.457031	-84.993172
43.945312	-84.336044
44.433594	-82.740616
44.921875	-80.951920
45.410156	-79.080032
45.898438	-86.182762
46.386719	-82.924202
46.875000	-87.006149
47.363281	-89.515350
47.851562	-86.136337
48.339844	-87.820259
48.828125	-85.355339
49.316406	-86.596558
49.804688	-84.077599
50.292969	-92.132576
50.781250	-87.232452
51.269531	-85.680458
51.757812	-86.595009
52.246094	-92.539352
52.734375	-82.314995
53.222656	-86.613525
53.710938	-85.500702
54.199219	-90.191872
54.687500	-86.434486
55.175781	-85.669022
55.664062	-85.436905
56.152344	-81.525703
56.640625	-81.683037
57.128906	-81.578239
57.617188	-81.257538
58.105469	-80.397552
58.593750	-76.745087
59.082031	-73.541466
59.570312	-67.847618
60.058594	-52.226868
60.546875	-69.839851
61.035156	-75.416946
61.523438	-77.258934
62.011719	-79.019402
62.500000	-78.615944
62.988281	-75.217987
63.476562	-76.072441
63.964844	-78.369881
64.453125	-78.147156
64.941406	-81.278503
65.429688	-76.310181
65.917969	-79.095238
66.406250	-79.639549
66.894531	-78.578537
67.382812	-79.241356
67.871094	-80.188370
68.359375	-79.570435
68.847656	-76.940704
69.335938	-80.018707
69.824219	-82.481331
70.312500	-79.266418
70.800781	-78.653862
71.289062	-81.181107
71.777344	-82.488960
72.265625	-79.983276
72.753906	-80.010017
73.242188	-80.279305
73.730469	-78.300034
74.218750	-82.087593
74.707031	-80.441887
75.195312	-82.974876
75.683594	-78.993423
76.171875	-77.847015
76.660156	-80.777077
77.148438	-80.011917
77.636719	-77.324402
78.125000	-79.046387
78.613281	-85.736725
79.101562	-80.016098
79.589844	-79.472786
80.078125	-79.944717
80.566406	-82.757790
81.054688	-81.863617
81.542969	-84.674049
82.031250	-83.194710
82.519531	-81.726463
83.007812	-84.068024
83.496094	-81.824165
83.984375	-83.104103
84.472656	-84.901718
84.960938	-83.895920
85.449219	-82.735596
85.937500	-81.111191
86.425781	-81.033791
86.914062	-78.368851
87.402344	-78.333862
87.890625	-79.703438
88.378906	-78.003647
88.867188	-84.242943
89.355469	-83.867325
89.843750	-82.172905
90.332031	-82.223190
90.820312	-80.412331
91.308594	-77.852966
91.796875	-79.809532
92.285156	-81.472549
92.773438	-79.315422
93.261719	-80.351501
93.750000	-81.928635
94.238281	-82.002373
94.726562	-84.053680
95.214844	-80.668045
95.703125	-78.110779
96.191406	-78.453049
96.679688	-80.488884
97.167969	-79.592018
97.656250	-79.733490
98.144531	-83.087280
98.632812	-80.244987
99.121094	-81.748360
99.609375	-82.577278
100.097656	-79.392815
100.585938	-79.584770
101.074219	-83.626419
101.562500	-83.804306
102.050781	-82.360077
102.539062	-78.267296
103.027344	-82.656342
103.515625	-84.733971
104.003906	-81.869408
104.492188	-80.189781
104.980469	-82.984993
105.468750	-79.164146
105.957031	-82.013290
106.445312	-83.367485
106.933594	-82.375000
107.421875	-82.343811
107.910156	-82.970596
108.398438	-82.492073
108.886719	-81.205803
109.375000	-81.511742
109.863281	-80.858002
110.351562	-82.264374
110.839844	-78.765236
111.328125	-83.502213
111.816406	-79.732498
112.304688	-79.537994
112.792969	-82.458679
113.281250	-80.199059
113.769531	-81.698311
114.257812	-81.021141
114.746094	-82.385124
115.234375	-81.590286
115.722656	-76.775673
116.210938	-78.992516
116.699219	-84.142845
117.187500	-82.293106
117.675781	-79.578941
118.164062	-79.727539
118.652344	-79.753929
119.140625	-79.751663
119.628906	-79.086189
120.117188	-73.234528
120.605469	-77.643250
121.093750	-74.173462
121.582031	-75.772789
122.070312	-78.376259
122.558594	-78.349548
123.046875	-81.116325
123.535156	-82.121925
124.023438	-82.002876
124.511719	-81.747597
125.000000	-79.834862
125.488281	-81.799637
125.976562	-78.049812
126.464844	-82.331055
126.953125	-83.184784
127.441406	-81.655014
127.929688	-74.513504
128.417969	-78.374664
128.906250	-79.139885
129.394531	-79.958084
129.882812	-78.296310
130.371094	-77.106110
130.859375	-76.564384
131.347656	-77.135544
131.835938	-79.534882
132.324219	-79.385284
132.812500	-75.272415
133.300781	-76.992126
133.789062	-77.066887
134.277344	-78.055992
134.765625	-78.982658
135.253906	-79.164177
135.742188	-81.990784
136.230469	-76.863174
136.718750	-75.470802
137.207031	-77.254036
137.695312	-78.385117
138.183594	-75.401657
138.671875	-77.939171
139.160156	-76.674500
139.648438	-79.085480
140.136719	-75.176888
140.625000	-79.573303
141.113281	-79.206047
141.601562	-81.386879
142.089844	-80.236908
142.578125	-78.975075
143.066406	-75.773293
143.554688	-78.336380
144.042969	-79.258095
144.531250	-74.496902
145.019531	-78.717590
145.507812	-73.422356
145.996094	-74.034561
146.484375	-71.350525
146.972656	-71.710136
147.460938	-69.140892
147.949219	-70.062447
148.437500	-74.628380
148.925781	-75.408081
149.414062	-75.315376
149.902344	-75.297127
150.390625	-73.921379
150.878906	-73.490334
151.367188	-79.073929
151.855469	-75.193253
152.343750	-74.454773
152.832031	-78.963165
153.320312	-76.273651
153.808594	-73.395363
154.296875	-76.943474
154.785156	-74.485664
155.273438	-78.023254
155.761719	-76.846069
156.250000	-79.382935
156.738281	-76.793831
157.226562	-74.416580
157.714844	-80.898903
158.203125	-77.929451
158.691406	-77.373085
159.179688	-78.819176
159.667969	-78.340225
160.156250	-75.852013
160.644531	-76.473801
161.132812	-79.121742
161.621094	-79.198090
162.109375	-82.490341
162.597656	-75.650330
163.085938	-72.526817
163.574219	-73.602806
164.062500	-74.696342
164.550781	-72.931931
165.039062	-73.781105
165.527344	-72.932190
166.015625	-71.488342
166.503906	-79.695808
166.992188	-73.982887
167.480469	-74.716362
167.968750	-77.897858
168.457031	-77.895210
168.945312	-77.829979
169.433594	-81.331001
169.921875	-77.146675
170.410156	-78.949402
170.898438	-81.348236
171.386719	-77.826057
171.875000	-75.988480
172.363281	-79.740051
172.851562	-80.518570
173.339844	-80.317467
173.828125	-78.987747
174.316406	-82.697266
174.804688	-79.598167
175.292969	-79.217239
175.781250	-80.377739
176.269531	-79.856125
176.757812	-78.902985
177.246094	-77.685570
177.734375	-80.692719
178.222656	-78.854111
178.710938	-82.080811
179.199219	-80.761841
179.687500	-79.850403
180.175781	-81.115524
180.664062	-81.450180
181.152344	-81.687592
181.640625	-74.423851
182.128906	-74.973022
182.617188	-74.065071
183.105469	-78.231918
183.593750	-77.509026
184.082031	-77.095963
184.570312	-77.883408
185.058594	-75.208405
185.546875	-79.227531
186.035156	-78.942795
186.523438	-78.610199
187.011719	-82.801514
187.500000	-82.795303
187.988281	-77.688400
188.476562	-80.700783
188.964844	-79.869606
189.453125	-78.139336
189.941406	-79.870918
190.429688	-76.669861
190.917969	-78.701088
191.406250	-76.647980
191.894531	-73.973656
192.382812	-76.006401
192.871094	-81.034775
193.359375	-76.179871
193.847656	-78.239326
194.335938	-79.488052
194.824219	-77.003357
195.312500	-73.839195
195.800781	-76.337700
196.289062	-76.271339
196.777344	-78.443245
197.265625	-82.937103
197.753906	-79.683815
198.242188	-80.742310
198.730469	-78.129753
199.218750	-75.329018
199.707031	-74.340179
200.195312	-76.276352
200.683594	-80.419014
201.171875	-74.816063
201.660156	-76.103920
202.148438	-75.446815
202.636719	-76.511345
203.125000	-77.309456
203.613281	-70.407280
204.101562	-74.772911
204.589844	-78.311356
205.078125	-78.678032
205.566406	-77.814674
206.054688	-73.891014
206.542969	-72.793594
207.031250	-70.119362
207.519531	-74.515198
208.007812	-76.726501
208.496094	-73.162926
208.984375	-72.569473
209.472656	-63.240215
209.960938	-73.043243
210.449219	-79.760689
210.937500	-78.998871
211.425781	-80.007072
211.914062	-80.225441
212.402344	-82.431190
212.890625	-82.090027
213.378906	-82.725677
213.867188	-83.166183
214.355469	-81.146187
214.843750	-83.538712
215.332031	-83.770081
215.820312	-83.591354
216.308594	-82.651909
216.796875	-83.740044
217.285156	-90.046417
217.773438	-84.232216
