Frequency (Hz)	Level (dB)
0.488281	-82.577240
0.976562	-82.104401
1.464844	-82.226639
1.953125	-83.013557
2.441406	-81.728004
2.929688	-82.857872
3.417969	-82.794258
3.906250	-82.383087
4.394531	-81.755264
4.882812	-81.773819
5.371094	-81.565506
5.859375	-81.808304
6.347656	-80.821037
6.835938	-80.823204
7.324219	-80.218369
7.812500	-80.143265
8.300781	-79.020447
8.789062	-79.472115
9.277344	-77.536682
9.765625	-75.417000
10.253906	-77.570007
10.742188	-75.803864
11.230469	-76.438133
11.718750	-78.722099
12.207031	-76.527290
12.695312	-76.989029
13.183594	-78.569939
13.671875	-77.234070
14.160156	-76.078087
14.648438	-76.647835
15.136719	-75.171471
15.625000	-76.411186
16.113281	-75.101631
16.601562	-70.927071
17.089844	-71.497627
17.578125	-53.079536
18.066406	-72.329918
18.554688	-72.472603
19.042969	-74.289658
19.531250	-72.147964
20.019531	-71.300064
20.507812	-70.252975
20.996094	-69.285316
21.484375	-68.235863
21.972656	-71.195366
22.460938	-74.714287
22.949219	-69.644226
23.437500	-70.543350
23.925781	-69.505951
24.414062	-68.328400
24.902344	-69.867027
25.390625	-68.870682
25.878906	-68.270569
26.367188	-68.102821
26.855469	-66.872650
27.343750	-65.405304
27.832031	-66.916603
28.320312	-67.865829
28.808594	-64.304222
29.296875	-65.029373
29.785156	-66.225655
30.273438	-65.139374
30.761719	-66.079536
31.250000	-65.308594
31.738281	-63.720825
32.226562	-65.230049
32.714844	-63.745411
33.203125	-63.733879
33.691406	-61.525547
34.179688	-62.957008
34.667969	-62.934086
35.156250	-58.121593
35.644531	-60.682373
36.132812	-61.042145
36.621094	-61.256306
37.109375	-61.121998
37.597656	-60.476837
38.085938	-60.252213
38.574219	-61.037045
39.062500	-61.612759
39.550781	-60.888187
40.039062	-60.091396
40.527344	-61.930443
41.015625	-59.034637
41.503906	-59.125641
41.992188	-58.829567
42.480469	-59.399857
42.968750	-59.583477
43.457031	-62.017029
43.945312	-60.221119
44.433594	-58.875153
44.921875	-59.294533
45.410156	-59.650826
45.898438	-58.990215
46.386719	-59.349247
46.875000	-59.910088
47.363281	-59.603512
47.851562	-59.034466
48.339844	-58.190994
48.828125	-58.978569
49.316406	-58.031754
49.804688	-57.760174
50.292969	-60.451118
50.781250	-59.604816
51.269531	-58.540485
51.757812	-60.061096
52.246094	-58.311348
52.734375	-58.659721
53.222656	-62.080334
53.710938	-58.306129
54.199219	-58.785088
54.687500	-59.415604
55.175781	-61.795444
55.664062	-59.931683
56.152344	-56.924232
56.640625	-59.273560
57.128906	-60.285397
57.617188	-59.611485
58.105469	-59.163269
58.593750	-61.853928
59.082031	-59.456219
59.570312	-59.480759
60.058594	-51.167992
60.546875	-60.524757
61.035156	-59.422619
61.523438	-61.591015
62.011719	-61.129673
62.500000	-60.018757
62.988281	-61.915150
63.476562	-60.463352
63.964844	-59.541813
64.453125	-60.114578
64.941406	-61.227093
65.429688	-59.849075
65.917969	-59.275764
66.406250	-60.910782
66.894531	-61.413998
67.382812	-58.865448
67.871094	-58.228516
68.359375	-58.635597
68.847656	-58.673378
69.335938	-59.046989
69.824219	-58.364025
70.312500	-58.628559
70.800781	-59.335159
71.289062	-59.872120
71.777344	-59.424854
72.265625	-59.367550
72.753906	-58.347271
73.242188	-58.294079
73.730469	-56.842083
74.218750	-56.731529
74.707031	-59.408043
75.195312	-59.170113
75.683594	-59.790661
76.171875	-59.560131
76.660156	-59.472759
77.148438	-58.925335
77.636719	-60.069397
78.125000	-58.209557
78.613281	-59.253460
79.101562	-59.206020
79.589844	-57.710693
80.078125	-60.465153
80.566406	-60.128368
81.054688	-58.444782
81.542969	-59.050968
82.031250	-60.694962
82.519531	-59.585041
83.007812	-59.569813
83.496094	-59.623047
83.984375	-59.146427
84.472656	-57.546619
84.960938	-59.200813
85.449219	-57.788876
85.937500	-57.263145
86.425781	-59.409798
86.914062	-56.492287
87.402344	-57.726986
87.890625	-59.652599
88.378906	-57.998703
88.867188	-56.989136
89.355469	-58.166206
89.843750	-56.656536
90.332031	-57.280853
90.820312	-54.660675
91.308594	-55.636375
91.796875	-59.061863
92.285156	-56.251274
92.773438	-57.743553
93.261719	-56.225254
93.750000	-56.801170
94.238281	-59.496567
94.726562	-57.426254
95.214844	-54.235813
95.703125	-57.366020
