Frequency (Hz)	Level (dB)
0.488281	-101.636917
0.976562	-101.604576
1.464844	-101.141457
1.953125	-101.636299
2.441406	-101.308640
2.929688	-100.889145
3.417969	-100.286880
3.906250	-101.355095
4.394531	-102.726532
4.882812	-101.663040
5.371094	-99.523949
5.859375	-100.145027
6.347656	-101.186760
6.835938	-94.638756
7.324219	-97.539291
7.812500	-96.423500
8.300781	-96.115265
8.789062	-94.679520
9.277344	-93.944016
9.765625	-91.203827
10.253906	-84.124100
10.742188	-89.787308
11.230469	-91.349403
11.718750	-94.461052
12.207031	-93.771820
12.695312	-89.054092
13.183594	-95.607262
13.671875	-92.604042
14.160156	-94.038155
14.648438	-89.394455
15.136719	-92.616440
15.625000	-91.931114
16.113281	-87.534340
16.601562	-72.384361
17.089844	-83.738686
17.578125	-57.166470
18.066406	-78.450325
18.554688	-82.868652
19.042969	-79.906357
19.531250	-76.485535
20.019531	-76.820580
20.507812	-78.166573
20.996094	-76.323608
21.484375	-81.428246
21.972656	-80.223846
22.460938	-77.320595
22.949219	-79.308693
23.437500	-81.306007
23.925781	-80.053696
24.414062	-81.182808
24.902344	-79.368202
25.390625	-85.127068
25.878906	-80.802200
26.367188	-78.384712
26.855469	-86.612099
27.343750	-83.754028
27.832031	-81.567513
28.320312	-80.882027
28.808594	-85.574921
29.296875	-82.833405
29.785156	-78.598251
30.273438	-77.665489
30.761719	-79.105591
31.250000	-77.181381
31.738281	-77.921097
32.226562	-76.988358
32.714844	-76.500587
33.203125	-70.592300
33.691406	-75.396141
34.179688	-76.603905
34.667969	-76.193214
35.156250	-60.814438
35.644531	-79.973106
36.132812	-77.268806
36.621094	-75.196007
37.109375	-78.202690
37.597656	-80.260201
38.085938	-78.112572
38.574219	-78.868584
39.062500	-78.535362
39.550781	-78.231796
40.039062	-84.676590
40.527344	-82.249344
41.015625	-81.174858
41.503906	-81.734116
41.992188	-80.911484
42.480469	-80.566788
42.968750	-83.045753
43.457031	-79.529297
43.945312	-81.366364
44.433594	-76.376724
44.921875	-75.138191
45.410156	-75.065323
45.898438	-73.829201
46.386719	-78.902679
46.875000	-78.340019
47.363281	-79.149498
47.851562	-77.546722
48.339844	-77.228401
48.828125	-79.409279
49.316406	-81.368134
49.804688	-82.061455
50.292969	-83.768532
50.781250	-88.811516
51.269531	-89.143028
51.757812	-84.587837
52.246094	-80.834007
52.734375	-78.073830
53.222656	-81.328926
53.710938	-82.570442
54.199219	-81.129707
54.687500	-82.081963
55.175781	-81.720612
55.664062	-82.214005
56.152344	-81.054825
56.640625	-80.336075
57.128906	-80.009743
57.617188	-79.237335
58.105469	-80.999176
58.593750	-76.860306
59.082031	-73.133911
59.570312	-66.910271
60.058594	-52.784725
60.546875	-69.901703
61.035156	-73.219444
61.523438	-74.785805
62.011719	-78.384811
62.500000	-79.738701
62.988281	-81.537704
63.476562	-77.034248
63.964844	-81.633141
64.453125	-84.124138
64.941406	-77.986549
65.429688	-76.086029
65.917969	-77.258453
66.406250	-78.712044
66.894531	-80.721397
67.382812	-80.210884
67.871094	-80.906982
68.359375	-82.694565
68.847656	-80.030807
69.335938	-83.319794
69.824219	-84.572891
70.312500	-78.301254
70.800781	-84.924507
71.289062	-82.490128
71.777344	-85.078262
72.265625	-84.567528
72.753906	-88.669640
73.242188	-82.059311
73.730469	-85.130196
74.218750	-85.683403
74.707031	-85.078186
75.195312	-84.325943
75.683594	-81.912369
76.171875	-85.327866
76.660156	-80.041855
77.148438	-81.891998
77.636719	-84.905342
78.125000	-79.896942
78.613281	-80.576752
79.101562	-83.029633
79.589844	-83.595665
80.078125	-88.303154
80.566406	-84.000046
81.054688	-81.160400
81.542969	-85.228683
82.031250	-85.446114
82.519531	-87.372894
83.007812	-86.738045
83.496094	-87.161797
83.984375	-81.614342
84.472656	-83.686844
84.960938	-84.421738
85.449219	-84.493660
85.937500	-84.370903
86.425781	-82.775986
86.914062	-77.425537
87.402344	-74.786804
87.890625	-79.297127
88.378906	-81.745224
88.867188	-82.119392
89.355469	-80.332520
89.843750	-83.571945
90.332031	-84.162277
90.820312	-86.345779
91.308594	-82.394539
91.796875	-83.851448
92.285156	-83.353661
92.773438	-83.890488
93.261719	-83.228111
93.750000	-84.406624
94.238281	-84.982132
94.726562	-85.102798
95.214844	-85.188599
95.703125	-83.496895
96.191406	-80.753754
96.679688	-84.117630
97.167969	-83.035461
97.656250	-82.760109
98.144531	-83.832710
98.632812	-84.583549
99.121094	-84.508415
99.609375	-86.267357
100.097656	-88.032677
100.585938	-83.087540
101.074219	-84.105148
101.562500	-82.397354
102.050781	-86.755814
102.539062	-84.934990
103.027344	-82.770538
103.515625	-84.543777
104.003906	-84.265846
104.492188	-80.314735
104.980469	-85.262161
105.468750	-82.282745
105.957031	-82.161034
106.445312	-84.872803
106.933594	-88.167671
107.421875	-86.815643
107.910156	-84.449608
108.398438	-85.914139
108.886719	-81.906075
109.375000	-88.323921
109.863281	-88.404816
110.351562	-85.496330
110.839844	-89.111458
111.328125	-82.043259
111.816406	-83.367653
112.304688	-85.681587
112.792969	-88.127342
113.281250	-85.484901
113.769531	-83.544159
114.257812	-82.286385
114.746094	-81.179947
115.234375	-82.182167
115.722656	-79.652603
116.210938	-80.877769
116.699219	-82.609322
117.187500	-80.576233
117.675781	-84.282974
118.164062	-82.167473
118.652344	-85.007896
119.140625	-80.269623
119.628906	-78.623672
120.117188	-75.248550
120.605469	-82.225685
121.093750	-81.367348
121.582031	-78.164070
122.070312	-81.665466
122.558594	-81.069954
123.046875	-79.733017
123.535156	-78.809525
124.023438	-83.609550
124.511719	-79.903168
125.000000	-81.642487
125.488281	-88.222221
125.976562	-79.660545
126.464844	-81.341621
126.953125	-83.211647
127.441406	-83.522995
127.929688	-78.593330
128.417969	-83.162437
128.906250	-81.712914
129.394531	-76.848030
129.882812	-80.827126
130.371094	-80.114532
130.859375	-81.903198
131.347656	-80.433128
131.835938	-79.816193
132.324219	-82.488831
132.812500	-79.449944
133.300781	-80.713264
133.789062	-81.942947
134.277344	-78.989067
134.765625	-81.838043
135.253906	-85.962379
135.742188	-84.509262
136.230469	-82.583878
136.718750	-82.049370
137.207031	-81.715233
137.695312	-82.401413
138.183594	-80.536888
138.671875	-82.381554
139.160156	-81.841194
139.648438	-80.095436
140.136719	-77.361649
140.625000	-77.883705
141.113281	-82.768486
141.601562	-82.138374
142.089844	-84.928085
142.578125	-82.465080
143.066406	-78.196838
143.554688	-81.380608
144.042969	-79.793152
144.531250	-77.883041
145.019531	-81.558113
145.507812	-78.343925
145.996094	-74.509773
146.484375	-73.641785
146.972656	-72.569954
147.460938	-72.252174
147.949219	-74.997536
148.437500	-74.591606
148.925781	-74.746994
149.414062	-77.507965
149.902344	-77.564697
150.390625	-79.987480
150.878906	-81.439217
151.367188	-80.103462
151.855469	-76.533264
152.343750	-73.935959
152.832031	-79.310135
153.320312	-77.313393
153.808594	-77.014702
154.296875	-77.525467
154.785156	-79.272408
155.273438	-80.729881
155.761719	-79.865738
156.250000	-79.325752
156.738281	-79.673431
157.226562	-80.271553
157.714844	-80.331665
158.203125	-80.883995
158.691406	-81.610161
159.179688	-81.695740
159.667969	-83.549744
160.156250	-78.482773
160.644531	-83.019852
161.132812	-82.306435
161.621094	-80.491562
162.109375	-79.472313
162.597656	-78.888832
163.085938	-81.944183
163.574219	-79.898529
164.062500	-77.700531
164.550781	-83.725922
165.039062	-80.340988
165.527344	-79.968529
166.015625	-78.438133
166.503906	-85.056107
166.992188	-84.435707
167.480469	-82.141380
167.968750	-79.415100
168.457031	-81.603333
168.945312	-84.122406
169.433594	-81.851753
169.921875	-82.397408
170.410156	-83.990219
170.898438	-86.103722
171.386719	-83.225952
171.875000	-87.106392
172.363281	-83.381828
172.851562	-83.329071
173.339844	-86.942802
173.828125	-85.508354
174.316406	-83.724640
174.804688	-86.184814
175.292969	-81.941582
175.781250	-84.889183
176.269531	-89.102890
176.757812	-87.294022
177.246094	-89.312843
177.734375	-82.732002
178.222656	-83.186066
178.710938	-85.544838
179.199219	-85.993355
179.687500	-83.999580
180.175781	-81.511864
180.664062	-85.700531
181.152344	-83.758484
181.640625	-82.194778
182.128906	-81.599007
182.617188	-84.555168
183.105469	-83.154846
183.593750	-83.167030
184.082031	-82.052902
184.570312	-84.403496
185.058594	-83.052147
185.546875	-85.447136
186.035156	-84.073647
186.523438	-86.038139
187.011719	-85.075386
187.500000	-86.390823
187.988281	-83.792610
188.476562	-84.152847
188.964844	-82.052284
189.453125	-87.219437
189.941406	-88.710411
190.429688	-86.304367
190.917969	-86.718155
191.406250	-87.250694
191.894531	-85.352661
192.382812	-80.463623
192.871094	-84.594063
193.359375	-83.529625
193.847656	-82.320763
194.335938	-84.256668
194.824219	-80.906876
195.312500	-86.115257
195.800781	-90.387436
196.289062	-82.694405
196.777344	-83.177849
197.265625	-86.510445
197.753906	-81.102448
198.242188	-85.375908
198.730469	-84.179398
199.218750	-84.560745
199.707031	-80.920815
200.195312	-82.664131
200.683594	-83.256248
201.171875	-80.916092
201.660156	-79.308754
202.148438	-80.281174
202.636719	-78.425865
203.125000	-79.321899
203.613281	-77.227112
204.101562	-77.535141
204.589844	-78.674240
205.078125	-75.973549
205.566406	-74.725586
206.054688	-72.392181
206.542969	-74.092278
207.031250	-76.578522
207.519531	-75.827744
208.007812	-76.531593
208.496094	-79.011383
208.984375	-74.078171
209.472656	-65.774681
209.960938	-67.972008
210.449219	-75.784180
210.937500	-82.171982
211.425781	-79.486740
211.914062	-80.193604
212.402344	-78.847939
212.890625	-79.986671
213.378906	-81.808807
213.867188	-81.506493
214.355469	-80.627037
214.843750	-78.947906
215.332031	-80.578636
215.820312	-80.155182
216.308594	-78.250175
216.796875	-82.500122
217.285156	-76.805725
217.773438	-87.257690
218.261719	-81.585449
218.750000	-80.882820
