Frequency (Hz)	Level (dB)
0.488281	-92.613220
0.976562	-92.696533
1.464844	-94.272568
1.953125	-92.583397
2.441406	-93.005089
2.929688	-91.991402
3.417969	-91.367661
3.906250	-92.686623
4.394531	-92.305649
4.882812	-93.501961
5.371094	-92.072609
5.859375	-92.015335
6.347656	-91.212082
6.835938	-91.764587
7.324219	-91.607460
7.812500	-90.972198
8.300781	-90.453293
8.789062	-88.734085
9.277344	-88.302719
9.765625	-85.785126
10.253906	-87.073151
10.742188	-87.070320
11.230469	-86.946236
11.718750	-87.675064
12.207031	-86.306839
12.695312	-86.879776
13.183594	-86.374840
13.671875	-87.013069
14.160156	-85.709007
14.648438	-84.690872
15.136719	-83.431084
15.625000	-83.354195
16.113281	-79.684792
16.601562	-70.995514
17.089844	-73.886658
17.578125	-54.681858
18.066406	-71.738762
18.554688	-75.537628
19.042969	-76.295250
19.531250	-73.203476
20.019531	-73.854149
20.507812	-74.899277
20.996094	-76.257378
21.484375	-74.572357
21.972656	-73.023193
22.460938	-75.617035
22.949219	-73.688828
23.437500	-75.930313
23.925781	-77.215462
24.414062	-76.509666
24.902344	-78.841354
25.390625	-80.405411
25.878906	-80.213043
26.367188	-76.524147
26.855469	-76.583908
27.343750	-80.311813
27.832031	-79.585876
28.320312	-80.744537
28.808594	-79.798141
29.296875	-76.143921
29.785156	-75.726196
30.273438	-77.106491
30.761719	-76.536324
31.250000	-77.229126
31.738281	-75.286682
32.226562	-76.113449
32.714844	-76.469810
33.203125	-69.960342
33.691406	-72.969154
34.179688	-73.861069
34.667969	-71.849411
35.156250	-59.104000
35.644531	-68.646858
36.132812	-74.082497
36.621094	-73.869041
37.109375	-74.384064
37.597656	-74.563118
38.085938	-75.315559
38.574219	-75.593857
39.062500	-78.162750
39.550781	-77.684380
40.039062	-77.939880
40.527344	-76.036621
41.015625	-78.704247
41.503906	-78.007858
41.992188	-76.709633
42.480469	-76.689240
42.968750	-76.184715
43.457031	-77.545662
43.945312	-75.360115
44.433594	-73.262856
44.921875	-74.138840
45.410156	-70.755959
45.898438	-71.580856
46.386719	-72.621910
46.875000	-72.520622
47.363281	-71.722298
47.851562	-74.622787
48.339844	-77.232780
48.828125	-77.681252
49.316406	-75.831970
49.804688	-77.189636
50.292969	-79.782234
50.781250	-78.251801
51.269531	-78.336586
51.757812	-78.996307
52.246094	-77.899574
52.734375	-76.425842
53.222656	-76.392761
53.710938	-79.237175
54.199219	-79.438492
54.687500	-77.202400
55.175781	-75.807213
55.664062	-77.612534
56.152344	-79.795723
56.640625	-78.855461
57.128906	-77.035408
57.617188	-77.362984
58.105469	-77.013519
58.593750	-76.511963
59.082031	-72.772812
59.570312	-68.230263
60.058594	-53.068775
60.546875	-70.429680
61.035156	-74.515778
61.523438	-75.164925
62.011719	-74.694817
62.500000	-73.349487
62.988281	-75.467369
63.476562	-75.092667
63.964844	-76.410248
64.453125	-75.211624
64.941406	-74.148834
65.429688	-77.153938
65.917969	-76.227554
66.406250	-76.796318
66.894531	-77.886429
67.382812	-75.797607
67.871094	-75.200546
68.359375	-77.024513
68.847656	-78.149742
69.335938	-79.463593
69.824219	-76.760376
70.312500	-76.886650
70.800781	-77.433380
71.289062	-77.960922
71.777344	-79.380913
72.265625	-79.214333
72.753906	-77.934891
73.242188	-78.713913
73.730469	-77.734009
74.218750	-78.291748
74.707031	-77.857925
75.195312	-76.493835
75.683594	-77.265541
76.171875	-76.821823
76.660156	-77.873978
77.148438	-75.755173
77.636719	-77.598007
78.125000	-77.597565
78.613281	-77.096649
79.101562	-77.629860
79.589844	-78.515556
80.078125	-77.187111
80.566406	-79.127518
81.054688	-76.179855
81.542969	-78.304451
82.031250	-76.769325
82.519531	-76.275299
83.007812	-78.132942
83.496094	-77.150513
83.984375	-76.789635
84.472656	-77.519768
84.960938	-77.540169
85.449219	-78.420235
85.937500	-78.321999
86.425781	-77.109436
86.914062	-77.329079
87.402344	-74.679420
87.890625	-74.154190
88.378906	-75.046646
88.867188	-75.088997
89.355469	-76.751694
89.843750	-76.419334
90.332031	-75.826141
90.820312	-77.932953
91.308594	-79.125359
91.796875	-77.067696
92.285156	-76.645638
92.773438	-77.309677
93.261719	-79.136620
93.750000	-78.154419
94.238281	-76.018997
94.726562	-77.343773
95.214844	-77.751526
95.703125	-77.268753
96.191406	-77.164200
96.679688	-77.317558
97.167969	-76.222076
97.656250	-75.233856
98.144531	-77.254593
98.632812	-76.102371
99.121094	-76.632172
99.609375	-76.581741
100.097656	-76.046234
100.585938	-75.180969
101.074219	-77.510208
101.562500	-77.457054
102.050781	-76.252907
102.539062	-76.968590
103.027344	-77.284454
103.515625	-75.751205
104.003906	-77.002533
104.492188	-77.210808
104.980469	-77.510429
105.468750	-75.820709
105.957031	-75.107986
106.445312	-76.868492
106.933594	-76.392494
107.421875	-77.867760
107.910156	-77.740761
108.398438	-76.057014
108.886719	-75.938843
109.375000	-78.000481
109.863281	-76.612839
110.351562	-76.685982
110.839844	-76.176804
111.328125	-77.662010
111.816406	-76.400368
112.304688	-76.654594
112.792969	-76.793785
113.281250	-76.069405
113.769531	-76.616020
114.257812	-77.291946
114.746094	-77.082047
115.234375	-76.833679
115.722656	-77.004585
116.210938	-76.231934
116.699219	-75.750153
117.187500	-75.054985
117.675781	-77.921288
118.164062	-76.562523
118.652344	-77.696274
119.140625	-77.323166
119.628906	-75.369873
120.117188	-72.958900
120.605469	-76.995407
121.093750	-73.432823
121.582031	-74.992386
122.070312	-77.122742
122.558594	-76.170868
123.046875	-74.667053
123.535156	-75.385742
124.023438	-77.202049
124.511719	-74.431725
125.000000	-75.685883
125.488281	-76.533318
125.976562	-79.344063
126.464844	-77.064735
126.953125	-77.469048
127.441406	-75.392532
127.929688	-72.890755
128.417969	-74.211563
128.906250	-74.874916
129.394531	-76.666939
129.882812	-75.545097
130.371094	-76.344109
130.859375	-74.917206
131.347656	-74.783737
131.835938	-73.972466
132.324219	-74.601669
132.812500	-74.642906
133.300781	-75.272316
133.789062	-76.025131
134.277344	-72.799774
134.765625	-75.247299
135.253906	-75.057335
135.742188	-76.981354
136.230469	-77.241524
136.718750	-74.851295
137.207031	-75.160789
137.695312	-74.744797
138.183594	-78.052727
138.671875	-75.881241
139.160156	-74.377701
139.648438	-74.843048
140.136719	-77.646187
140.625000	-75.095627
141.113281	-74.950363
141.601562	-76.561745
142.089844	-75.203697
142.578125	-74.257996
143.066406	-75.447975
143.554688	-75.289543
144.042969	-74.150063
144.531250	-74.437996
145.019531	-74.116943
145.507812	-72.917564
145.996094	-71.914452
146.484375	-72.803505
146.972656	-71.058769
147.460938	-69.953735
147.949219	-70.237411
148.437500	-72.079948
148.925781	-73.663368
