Frequency (Hz)	Level (dB)
0.488281	-97.874443
0.976562	-97.646042
1.464844	-97.305435
1.953125	-98.084030
2.441406	-97.765694
2.929688	-97.089653
3.417969	-97.789864
3.906250	-97.658882
4.394531	-98.281303
4.882812	-97.971222
5.371094	-97.176979
5.859375	-97.418373
6.347656	-97.059120
6.835938	-96.010605
7.324219	-95.916611
7.812500	-95.180412
8.300781	-93.142883
8.789062	-90.709694
9.277344	-90.620193
9.765625	-89.266983
10.253906	-87.086823
10.742188	-87.896744
11.230469	-90.196762
11.718750	-90.500908
12.207031	-91.221191
12.695312	-88.284088
13.183594	-88.208412
13.671875	-91.069710
14.160156	-91.774277
14.648438	-88.715958
15.136719	-87.777168
15.625000	-85.889870
16.113281	-84.182137
16.601562	-72.390617
17.089844	-81.531555
17.578125	-55.796150
18.066406	-78.581184
18.554688	-77.445602
19.042969	-76.288338
19.531250	-75.058617
20.019531	-76.034416
20.507812	-75.756889
20.996094	-75.589264
21.484375	-74.942184
21.972656	-75.752907
22.460938	-75.058922
22.949219	-74.134529
23.437500	-78.571617
23.925781	-81.407944
24.414062	-78.676086
24.902344	-78.630844
25.390625	-80.829453
25.878906	-79.742256
26.367188	-77.209259
26.855469	-79.746407
27.343750	-81.366875
27.832031	-81.694252
28.320312	-81.275703
28.808594	-81.706444
29.296875	-79.613098
29.785156	-77.245895
30.273438	-78.623596
30.761719	-77.340263
31.250000	-78.805504
31.738281	-76.122917
32.226562	-76.757492
32.714844	-76.930382
33.203125	-70.683006
33.691406	-74.564140
34.179688	-75.770004
34.667969	-77.404991
35.156250	-60.247208
35.644531	-76.026093
36.132812	-75.324249
36.621094	-74.932816
37.109375	-76.341507
37.597656	-77.026283
38.085938	-77.501625
38.574219	-76.291573
39.062500	-75.931961
39.550781	-76.735855
40.039062	-78.082809
40.527344	-79.929420
41.015625	-79.198647
41.503906	-80.756332
41.992188	-80.253044
42.480469	-77.375458
42.968750	-76.552055
43.457031	-78.735283
43.945312	-75.699890
44.433594	-73.745880
44.921875	-72.910118
45.410156	-73.041748
45.898438	-73.215683
46.386719	-73.026985
46.875000	-72.382996
47.363281	-74.854172
47.851562	-77.184853
48.339844	-77.227257
48.828125	-77.714134
49.316406	-76.982613
49.804688	-78.822662
50.292969	-79.832619
50.781250	-82.223030
51.269531	-80.421463
51.757812	-81.276024
52.246094	-80.388603
52.734375	-77.943634
53.222656	-79.901360
53.710938	-79.955978
54.199219	-81.453468
54.687500	-80.353111
55.175781	-82.276009
55.664062	-80.326790
56.152344	-78.492340
56.640625	-78.171440
57.128906	-79.500397
57.617188	-78.955299
58.105469	-77.777298
58.593750	-75.480377
59.082031	-73.243324
59.570312	-66.807388
60.058594	-52.983639
60.546875	-69.498703
61.035156	-74.030968
61.523438	-75.663811
62.011719	-76.049881
62.500000	-74.806541
62.988281	-75.762939
63.476562	-77.106865
63.964844	-78.296783
64.453125	-76.738831
64.941406	-75.398018
65.429688	-75.673187
65.917969	-77.411148
66.406250	-76.663353
66.894531	-78.541397
67.382812	-77.870026
67.871094	-78.672203
68.359375	-78.639816
68.847656	-77.138527
69.335938	-80.437263
69.824219	-79.579391
70.312500	-76.182236
70.800781	-81.340240
71.289062	-80.724380
71.777344	-79.832016
72.265625	-80.131592
72.753906	-79.869621
73.242188	-78.756149
73.730469	-79.737404
74.218750	-80.250587
74.707031	-78.495033
75.195312	-78.182945
75.683594	-79.994514
76.171875	-79.390251
76.660156	-77.813599
77.148438	-78.037575
77.636719	-78.077576
78.125000	-80.129593
