Frequency (Hz)	Level (dB)
0.488281	-83.069969
0.976562	-81.349785
1.464844	-81.281380
1.953125	-81.789894
2.441406	-79.347328
2.929688	-79.882088
3.417969	-79.784271
3.906250	-80.317894
4.394531	-80.199287
4.882812	-82.945709
5.371094	-78.873421
5.859375	-80.220749
6.347656	-80.535934
6.835938	-80.016159
7.324219	-79.323875
7.812500	-80.019379
8.300781	-79.445518
8.789062	-78.827301
9.277344	-78.963272
9.765625	-80.072182
10.253906	-79.608078
10.742188	-77.934196
11.230469	-78.815338
11.718750	-78.276886
12.207031	-79.794830
12.695312	-78.943993
13.183594	-79.538376
13.671875	-77.793579
14.160156	-78.897293
14.648438	-77.399971
15.136719	-76.872704
15.625000	-77.295303
16.113281	-75.882500
16.601562	-68.847214
17.089844	-71.841881
17.578125	-54.022530
18.066406	-68.097565
18.554688	-70.836319
19.042969	-72.659058
19.531250	-72.125717
20.019531	-71.867897
20.507812	-72.550507
20.996094	-70.732979
21.484375	-72.801491
21.972656	-72.839516
22.460938	-72.730431
22.949219	-71.191208
23.437500	-71.993729
23.925781	-73.476616
24.414062	-73.505539
24.902344	-73.753227
25.390625	-74.666855
25.878906	-74.070862
26.367188	-75.168396
26.855469	-74.310463
27.343750	-75.518219
27.832031	-76.505508
28.320312	-74.786163
28.808594	-76.631706
29.296875	-75.485939
29.785156	-73.800026
30.273438	-73.805023
30.761719	-71.796440
31.250000	-72.795311
31.738281	-73.096397
32.226562	-72.728523
32.714844	-72.281166
33.203125	-69.339767
33.691406	-70.316994
34.179688	-71.729530
34.667969	-70.548950
35.156250	-59.601700
35.644531	-66.644325
36.132812	-70.696632
36.621094	-71.517311
37.109375	-72.070068
37.597656	-74.664589
38.085938	-73.291153
38.574219	-73.416321
39.062500	-73.605019
39.550781	-70.955475
40.039062	-73.039764
40.527344	-73.711151
41.015625	-73.730469
41.503906	-74.375931
41.992188	-72.750252
42.480469	-73.177437
42.968750	-71.864868
43.457031	-72.597397
43.945312	-71.167046
44.433594	-72.138969
44.921875	-73.428856
45.410156	-71.780182
45.898438	-71.282692
46.386719	-70.075218
46.875000	-73.250923
47.363281	-70.976089
47.851562	-71.793846
48.339844	-71.549614
48.828125	-72.565132
49.316406	-73.101822
49.804688	-74.543785
50.292969	-74.731995
50.781250	-72.006126
51.269531	-74.447861
51.757812	-74.125656
52.246094	-74.905884
52.734375	-74.757507
53.222656	-73.427879
53.710938	-73.764435
54.199219	-72.135788
54.687500	-73.058426
55.175781	-74.212341
55.664062	-73.089073
56.152344	-72.680084
56.640625	-72.944450
57.128906	-72.595108
57.617188	-73.076416
58.105469	-71.999504
58.593750	-73.519653
59.082031	-71.387054
59.570312	-69.088928
60.058594	-52.921669
60.546875	-70.523987
61.035156	-70.907745
61.523438	-72.740166
62.011719	-71.023232
62.500000	-70.937431
62.988281	-71.053879
63.476562	-72.051781
63.964844	-72.387413
64.453125	-71.863739
64.941406	-71.447243
65.429688	-70.896812
65.917969	-69.874779
66.406250	-71.291077
