Frequency (Hz)	Level (dB)
0.488281	-88.139610
0.976562	-87.941444
1.464844	-88.447823
1.953125	-88.025276
2.441406	-88.089394
2.929688	-88.027557
3.417969	-88.554520
3.906250	-88.123329
4.394531	-88.944702
4.882812	-87.858109
5.371094	-88.562057
5.859375	-86.832870
6.347656	-88.003738
6.835938	-88.156456
7.324219	-87.475716
7.812500	-86.885887
8.300781	-86.852577
8.789062	-86.705574
9.277344	-85.480850
9.765625	-85.457970
10.253906	-81.033958
10.742188	-84.957085
11.230469	-85.126122
11.718750	-85.442978
12.207031	-85.147156
12.695312	-81.877213
13.183594	-85.846085
13.671875	-84.044449
14.160156	-84.322487
14.648438	-84.367249
15.136719	-82.442146
15.625000	-80.211395
16.113281	-79.161392
16.601562	-69.599228
17.089844	-72.321358
17.578125	-53.869453
18.066406	-70.086067
18.554688	-76.880608
19.042969	-75.426170
19.531250	-74.712685
20.019531	-75.062073
20.507812	-75.232635
20.996094	-74.265862
21.484375	-74.399651
21.972656	-73.350624
22.460938	-74.371147
22.949219	-71.170540
23.437500	-74.971252
23.925781	-76.206261
24.414062	-74.205376
24.902344	-76.880363
25.390625	-77.835609
25.878906	-77.634056
26.367188	-76.389587
26.855469	-78.064621
27.343750	-78.287697
27.832031	-78.507683
28.320312	-77.625786
28.808594	-78.414032
29.296875	-75.992188
29.785156	-74.949226
30.273438	-77.263451
30.761719	-74.458298
31.250000	-74.633400
31.738281	-75.418579
32.226562	-74.276764
32.714844	-74.643555
33.203125	-69.021133
33.691406	-73.054955
34.179688	-75.209541
34.667969	-71.401680
35.156250	-58.938507
35.644531	-67.232368
36.132812	-71.782341
36.621094	-75.613396
37.109375	-74.177551
37.597656	-74.785110
38.085938	-75.050514
38.574219	-74.657211
39.062500	-74.520058
39.550781	-73.892281
40.039062	-75.988205
40.527344	-78.906212
41.015625	-75.530273
41.503906	-76.848396
41.992188	-74.223778
42.480469	-76.716316
42.968750	-76.611702
43.457031	-76.144608
43.945312	-74.950058
44.433594	-74.366890
44.921875	-74.082230
45.410156	-70.093292
45.898438	-72.141411
46.386719	-73.547852
46.875000	-72.685287
47.363281	-74.321617
47.851562	-74.266342
48.339844	-75.143982
48.828125	-75.133430
49.316406	-76.612083
49.804688	-75.250946
50.292969	-78.568741
50.781250	-75.975655
51.269531	-77.831429
51.757812	-75.802147
52.246094	-78.643127
52.734375	-76.587120
53.222656	-77.653107
53.710938	-76.810387
54.199219	-77.671707
54.687500	-77.132889
55.175781	-77.565292
55.664062	-76.057228
56.152344	-77.263527
56.640625	-77.218613
57.128906	-76.375359
57.617188	-76.161568
58.105469	-76.915764
58.593750	-76.439201
59.082031	-74.957214
59.570312	-69.851906
60.058594	-52.666912
60.546875	-71.457504
61.035156	-73.663223
61.523438	-75.064735
62.011719	-74.784912
62.500000	-74.021202
62.988281	-73.133545
63.476562	-74.902176
63.964844	-75.916641
64.453125	-74.444954
64.941406	-75.467865
65.429688	-75.038727
65.917969	-73.484512
66.406250	-73.683296
66.894531	-72.639717
67.382812	-73.673019
67.871094	-75.415390
68.359375	-75.103790
68.847656	-74.313316
69.335938	-75.136864
69.824219	-76.636086
70.312500	-74.057312
70.800781	-73.372459
71.289062	-74.660210
71.777344	-75.761574
72.265625	-75.338066
72.753906	-74.399879
73.242188	-72.552330
73.730469	-73.355095
74.218750	-73.628281
74.707031	-72.828941
75.195312	-74.370842
75.683594	-74.282501
76.171875	-73.223701
76.660156	-72.914902
77.148438	-73.342628
77.636719	-73.268959
78.125000	-75.104713
78.613281	-73.555786
79.101562	-73.379654
79.589844	-75.170372
80.078125	-73.316704
80.566406	-73.444214
81.054688	-73.683640
81.542969	-74.398338
82.031250	-72.485588
82.519531	-72.531700
83.007812	-74.962624
83.496094	-72.011215
83.984375	-71.676842
84.472656	-73.413902
84.960938	-71.569237
85.449219	-73.264244
85.937500	-72.400978
86.425781	-72.360374
86.914062	-69.685974
87.402344	-70.019081
87.890625	-71.126892
88.378906	-71.070282
88.867188	-72.226509
89.355469	-72.756927
89.843750	-71.111649
90.332031	-73.403610
90.820312	-71.312088
91.308594	-69.741158
91.796875	-71.092125
92.285156	-71.777664
92.773438	-71.392700
93.261719	-70.131264
93.750000	-70.056923
94.238281	-70.120926
94.726562	-69.057091
95.214844	-71.350128
95.703125	-71.055214
96.191406	-70.895859
96.679688	-70.559502
97.167969	-70.790649
97.656250	-70.556145
98.144531	-70.063698
98.632812	-70.014465
99.121094	-69.602051
99.609375	-67.797844
100.097656	-68.561798
100.585938	-68.867737
101.074219	-67.587761
101.562500	-67.433029
102.050781	-68.800941
102.539062	-68.283653
103.027344	-67.265686
103.515625	-65.679665
104.003906	-67.165169
104.492188	-67.534119
104.980469	-67.777122
105.468750	-66.397926
105.957031	-66.875420
106.445312	-67.015625
106.933594	-67.256912
107.421875	-67.843956
107.910156	-66.973228
108.398438	-66.960449
108.886719	-65.112556
109.375000	-65.143669
109.863281	-65.478554
110.351562	-65.175461
110.839844	-65.216248
111.328125	-64.949326
111.816406	-64.533592
112.304688	-66.810135
112.792969	-66.557716
113.281250	-64.584412
113.769531	-64.805618
114.257812	-65.605003
114.746094	-63.236412
115.234375	-64.323036
115.722656	-64.835159
116.210938	-64.593452
116.699219	-64.785103
117.187500	-64.474182
117.675781	-64.532608
118.164062	-65.189445
118.652344	-64.144608
119.140625	-61.991428
119.628906	-62.186665
120.117188	-62.204353
120.605469	-61.789978
121.093750	-60.482159
121.582031	-60.272221
122.070312	-58.899063
122.558594	-58.487984
123.046875	-60.419559
123.535156	-60.449821
124.023438	-60.469788
124.511719	-58.216156
125.000000	-59.064980
125.488281	-60.187527
125.976562	-59.086872
126.464844	-59.810398
126.953125	-59.217045
127.441406	-57.141369
127.929688	-56.867180
128.417969	-55.461292
128.906250	-57.321156
129.394531	-58.071548
129.882812	-56.959438
130.371094	-58.509190
130.859375	-56.422829
131.347656	-56.384178
131.835938	-55.152096
132.324219	-54.852421
132.812500	-56.161999
133.300781	-55.531116
133.789062	-55.398891
134.277344	-55.846996
134.765625	-53.997120
135.253906	-53.824249
135.742188	-54.878143
136.230469	-55.472836
136.718750	-56.260155
137.207031	-56.283173
137.695312	-54.902279
138.183594	-56.709553
138.671875	-56.414005
139.160156	-55.782951
139.648438	-57.206184
140.136719	-56.665558
140.625000	-59.963745
141.113281	-57.923351
141.601562	-56.178242
142.089844	-56.335537
142.578125	-59.075371
143.066406	-57.727959
143.554688	-57.726658
144.042969	-58.155575
144.531250	-58.439716
145.019531	-59.045532
145.507812	-60.029099
145.996094	-61.864441
146.484375	-59.959923
146.972656	-61.704079
147.460938	-59.200436
147.949219	-59.642872
148.437500	-59.534782
148.925781	-60.628922
149.414062	-60.367718
149.902344	-61.434868
150.390625	-61.201988
150.878906	-62.156479
151.367188	-62.409409
151.855469	-61.097244
152.343750	-61.657639
152.832031	-64.139091
153.320312	-63.411999
153.808594	-63.721260
154.296875	-64.297485
154.785156	-62.066540
155.273438	-64.495872
155.761719	-65.883957
156.250000	-62.727131
156.738281	-64.986122
157.226562	-62.358707
157.714844	-62.615906
158.203125	-64.070580
158.691406	-63.860126
159.179688	-64.062294
159.667969	-65.749969
160.156250	-63.441372
160.644531	-65.882652
161.132812	-64.195839
161.621094	-64.573730
162.109375	-66.834724
162.597656	-64.523750
163.085938	-63.729015
163.574219	-63.835197
164.062500	-64.649536
164.550781	-65.050728
165.039062	-66.099281
165.527344	-65.176743
166.015625	-65.629440
166.503906	-64.147102
166.992188	-65.271988
167.480469	-66.029831
167.968750	-65.206215
168.457031	-67.077843
168.945312	-66.625496
169.433594	-66.103149
169.921875	-67.689369
170.410156	-65.967659
170.898438	-66.646889
171.386719	-67.911232
171.875000	-68.213295
172.363281	-66.796692
172.851562	-67.837730
173.339844	-66.896118
173.828125	-66.769905
174.316406	-66.064117
174.804688	-66.440544
175.292969	-67.105072
175.781250	-66.350693
176.269531	-67.462158
176.757812	-66.575188
177.246094	-66.907463
177.734375	-69.359207
178.222656	-65.621841
178.710938	-68.372864
179.199219	-67.271324
179.687500	-68.101891
180.175781	-68.246696
180.664062	-66.463860
181.152344	-67.436150
181.640625	-67.395943
182.128906	-67.181396
182.617188	-68.935905
183.105469	-70.199409
183.593750	-67.838081
184.082031	-68.072739
184.570312	-67.525963
185.058594	-66.131073
185.546875	-67.323753
186.035156	-66.966431
186.523438	-68.591347
187.011719	-68.786552
187.500000	-67.479683
187.988281	-67.581894
188.476562	-69.160835
188.964844	-68.889565
189.453125	-67.311852
189.941406	-66.827171
190.429688	-69.249527
190.917969	-68.920227
191.406250	-68.259506
191.894531	-68.923645
192.382812	-68.346077
192.871094	-69.733116
193.359375	-68.077271
193.847656	-69.253227
194.335938	-70.920792
194.824219	-68.043343
195.312500	-67.938255
195.800781	-68.259285
196.289062	-70.598778
196.777344	-68.896362
197.265625	-70.925507
197.753906	-69.194115
198.242188	-69.573105
198.730469	-69.535820
199.218750	-68.539215
199.707031	-68.348419
200.195312	-69.725822
200.683594	-69.604637
201.171875	-68.145752
201.660156	-67.692589
202.148438	-69.075432
202.636719	-69.490921
203.125000	-66.887764
203.613281	-68.519974
204.101562	-67.918243
204.589844	-69.811287
205.078125	-68.589211
205.566406	-67.253304
206.054688	-67.605293
206.542969	-66.751747
207.031250	-67.355972
207.519531	-68.373970
208.007812	-68.364517
208.496094	-67.189850
208.984375	-66.780220
209.472656	-63.222198
209.960938	-66.060936
210.449219	-67.555122
210.937500	-69.573524
211.425781	-66.910187
211.914062	-69.076569
212.402344	-68.234550
212.890625	-67.005226
213.378906	-70.087257
213.867188	-66.985985
214.355469	-69.349777
214.843750	-67.615326
215.332031	-68.051338
215.820312	-66.375847
216.308594	-68.525078
216.796875	-67.699165
217.285156	-68.845879
217.773438	-69.691772
218.261719	-68.859619
218.750000	-67.667511
219.238281	-66.742302
219.726562	-67.423065
220.214844	-69.405266
220.703125	-67.889221
221.191406	-69.755684
221.679688	-67.111916
222.167969	-65.141235
222.656250	-67.704399
223.144531	-68.770142
223.632812	-67.580650
224.121094	-66.442642
224.609375	-68.242882
225.097656	-67.853165
225.585938	-65.122276
226.074219	-64.287994
226.562500	-67.909927
227.050781	-68.448532
227.539062	-67.267189
228.027344	-68.049919
228.515625	-66.371078
229.003906	-67.916809
229.492188	-67.803993
229.980469	-66.463478
230.468750	-65.500092
230.957031	-64.281563
231.445312	-67.445671
231.933594	-66.447563
232.421875	-65.748260
232.910156	-66.239853
233.398438	-66.454300
233.886719	-66.613693
234.375000	-66.569489
234.863281	-66.092880
