Frequency (Hz)	Level (dB)
0.488281	-47.786362
0.976562	-44.886482
1.464844	-45.435543
1.953125	-46.655140
2.441406	-47.300964
2.929688	-47.596687
3.417969	-45.925377
3.906250	-47.711308
4.394531	-47.497810
4.882812	-48.911110
5.371094	-48.219593
5.859375	-46.975380
6.347656	-47.088108
6.835938	-47.193287
7.324219	-48.109547
7.812500	-48.168133
8.300781	-44.529236
8.789062	-46.115788
9.277344	-46.869450
9.765625	-46.027988
10.253906	-46.405003
10.742188	-46.291565
11.230469	-44.951591
11.718750	-46.975170
12.207031	-45.708382
12.695312	-46.122776
13.183594	-46.356792
13.671875	-46.935059
14.160156	-48.302105
14.648438	-47.719162
15.136719	-46.636627
15.625000	-48.262318
16.113281	-47.936993
16.601562	-46.453438
17.089844	-47.592037
17.578125	-47.692364
18.066406	-46.180496
18.554688	-47.331398
19.042969	-49.043522
19.531250	-47.980991
20.019531	-48.815517
20.507812	-47.684235
20.996094	-46.337173
21.484375	-47.222221
21.972656	-48.404781
22.460938	-45.289032
22.949219	-46.675396
23.437500	-45.696884
23.925781	-47.313358
24.414062	-48.484947
24.902344	-47.836884
25.390625	-45.861225
25.878906	-49.023262
26.367188	-48.999577
26.855469	-48.134186
27.343750	-46.576557
27.832031	-47.703976
28.320312	-46.138451
28.808594	-45.731228
29.296875	-47.922054
29.785156	-47.469604
30.273438	-48.190250
30.761719	-48.374935
31.250000	-48.899128
31.738281	-48.659981
32.226562	-48.662998
32.714844	-46.725998
33.203125	-48.379562
33.691406	-48.352844
34.179688	-48.447456
34.667969	-45.746998
35.156250	-48.380959
35.644531	-48.804184
36.132812	-48.477253
36.621094	-46.889927
37.109375	-46.273304
37.597656	-46.741177
38.085938	-47.391151
38.574219	-47.183598
39.062500	-46.850929
39.550781	-50.635685
40.039062	-47.941582
40.527344	-48.459621
41.015625	-49.415051
41.503906	-46.211292
41.992188	-46.193680
42.480469	-46.219837
42.968750	-46.882565
43.457031	-45.290527
43.945312	-46.498734
44.433594	-48.304359
