Frequency (Hz)	Level (dB)
0.672913	-94.004875
1.345825	-93.963699
2.018738	-93.854622
2.691650	-93.727150
3.364563	-93.810555
4.037476	-93.522636
4.710388	-93.301262
5.383301	-93.517418
6.056213	-93.261978
6.729126	-92.775520
7.402039	-92.148125
8.074951	-90.436005
8.747864	-89.619850
9.420776	-89.256004
10.093689	-86.129738
10.766602	-86.113815
11.439514	-88.414139
12.112427	-88.156769
12.785339	-85.996544
13.458252	-85.733673
14.131165	-84.860977
14.804077	-83.904419
15.476990	-82.191879
16.149902	-81.365250
16.822815	-73.416229
17.495728	-69.120163
18.168640	-71.720917
18.841553	-75.358856
19.514465	-73.975937
20.187378	-74.127831
20.860291	-74.273010
21.533203	-75.745895
22.206116	-77.212280
22.879028	-73.514778
23.551941	-75.306458
24.224854	-76.447495
24.897766	-76.396210
25.570679	-77.364639
26.243591	-76.152702
26.916504	-76.728645
27.589417	-77.702751
28.262329	-77.097824
28.935242	-77.004967
29.608154	-75.915276
30.281067	-75.294472
30.953979	-74.872681
31.626892	-73.935905
32.299805	-72.525063
32.972717	-71.506226
33.645630	-70.336899
34.318542	-74.141861
34.991455	-72.902679
35.664368	-67.144379
36.337280	-73.732216
37.010193	-72.531822
37.683105	-72.433960
38.356018	-72.790916
39.028931	-70.564354
39.701843	-72.142715
40.374756	-74.130966
41.047668	-76.646133
41.720581	-75.378662
42.393494	-75.042999
43.066406	-74.911011
43.739319	-72.940552
44.412231	-72.382713
45.085144	-71.326614
45.758057	-70.129341
46.430969	-72.066429
47.103882	-71.401428
47.776794	-73.438278
48.449707	-74.300163
49.122620	-74.563789
49.795532	-75.795204
50.468445	-78.999939
51.141357	-77.614029
51.814270	-77.774666
52.487183	-77.751129
53.160095	-77.581520
53.833008	-78.300941
54.505920	-75.943008
55.178833	-76.892601
55.851746	-76.299889
56.524658	-77.080803
57.197571	-77.897049
57.870483	-77.230072
58.543396	-77.677414
59.216309	-76.799583
59.889221	-68.027176
60.562134	-77.330650
61.235046	-76.692619
61.907959	-76.256760
62.580872	-74.546417
63.253784	-74.112068
63.926697	-74.414528
64.599609	-75.614944
65.272522	-73.910065
65.945435	-75.210503
66.618347	-74.016838
67.291260	-74.807838
67.964172	-76.580894
68.637085	-77.487427
69.309998	-77.384239
69.982910	-77.527855
70.655823	-78.080978
71.328735	-76.487320
72.001648	-76.730728
72.674561	-77.564331
73.347473	-76.604378
74.020386	-78.610115
74.693298	-78.483963
75.366211	-76.987343
76.039124	-78.329193
76.712036	-77.444565
77.384949	-77.020622
78.057861	-76.286346
78.730774	-78.069481
79.403687	-77.596085
80.076599	-77.390442
80.749512	-78.178001
81.422424	-80.103416
82.095337	-78.168373
82.768250	-77.755280
83.441162	-77.681877
84.114075	-77.636253
84.786987	-75.948746
85.459900	-76.217102
86.132812	-76.426186
86.805725	-75.854568
87.478638	-75.798775
88.151550	-75.687218
88.824463	-74.999222
89.497375	-77.708633
90.170288	-76.394150
90.843201	-77.476288
91.516113	-78.002945
92.189026	-76.682907
92.861938	-75.766403
93.534851	-76.469833
94.207764	-79.154381
94.880676	-78.042213
95.553589	-76.502541
96.226501	-76.708656
96.899414	-77.770027
97.572327	-77.500648
98.245239	-75.564545
98.918152	-77.907013
99.591064	-77.637550
100.263977	-76.928154
100.936890	-76.868462
101.609802	-78.367905
102.282715	-78.307945
102.955627	-77.083534
103.628540	-77.304047
104.301453	-79.183807
104.974365	-76.806229
105.647278	-79.265732
106.320190	-78.229973
106.993103	-77.464920
107.666016	-78.979172
108.338928	-76.454247
109.011841	-77.558456
109.684753	-79.097466
110.357666	-77.272278
111.030579	-77.696068
111.703491	-77.018440
112.376404	-77.640999
113.049316	-76.083427
113.722229	-75.599754
114.395142	-74.927048
115.068054	-74.253876
115.740967	-75.998322
116.413879	-76.253967
117.086792	-77.075630
117.759705	-78.133469
118.432617	-77.085854
119.105530	-76.771103
119.778442	-74.139999
120.451355	-76.270126
121.124268	-74.436172
121.797180	-76.010391
122.470093	-76.729156
123.143005	-75.865387
123.815918	-75.531921
124.488831	-76.236259
125.161743	-77.886276
125.834656	-78.063255
126.507568	-76.991493
127.180481	-77.335663
127.853394	-78.185715
128.526306	-78.297859
129.199219	-77.158669
129.872131	-78.439781
130.545044	-77.432434
131.217957	-75.205978
131.890869	-76.224998
132.563782	-74.833374
133.236694	-76.051453
133.909607	-75.053337
134.582520	-75.741432
135.255432	-77.917900
135.928345	-78.143913
136.601257	-77.907433
137.274170	-75.656693
137.947083	-76.366486
138.619995	-75.571335
139.292908	-75.377441
139.965820	-75.335312
140.638733	-76.696404
141.311646	-75.400581
141.984558	-75.769432
142.657471	-74.789520
143.330383	-74.290810
144.003296	-74.506470
144.676208	-75.442238
145.349121	-73.376701
146.022034	-72.429688
146.694946	-71.218643
147.367859	-71.363678
148.040771	-73.159172
148.713684	-73.791748
149.386597	-73.644821
150.059509	-74.896736
150.732422	-73.555496
151.405334	-74.574738
152.078247	-76.623978
152.751160	-75.423141
153.424072	-75.593178
154.096985	-75.405441
154.769897	-75.495445
155.442810	-75.987335
156.115723	-76.348763
156.788635	-74.640007
157.461548	-76.194801
158.134460	-75.502472
158.807373	-76.680405
159.480286	-74.180206
160.153198	-75.816353
160.826111	-76.726326
161.499023	-76.692703
162.171936	-76.059814
162.844849	-76.338402
163.517761	-73.943085
164.190674	-76.134918
164.863586	-74.701782
165.536499	-76.541336
166.209412	-75.922546
166.882324	-76.781479
167.555237	-77.664009
168.228149	-77.332573
168.901062	-76.886124
169.573975	-78.038528
170.246887	-76.156654
170.919800	-78.565125
171.592712	-76.294624
172.265625	-77.663055
172.938538	-79.217941
173.611450	-78.970085
174.284363	-76.381798
174.957275	-77.605492
175.630188	-76.409828
176.303101	-75.878212
176.976013	-76.898682
177.648926	-78.603355
178.321838	-78.035622
178.994751	-76.416679
179.667664	-75.661652
180.340576	-77.166725
181.013489	-75.569473
181.686401	-75.414520
182.359314	-76.994736
183.032227	-77.217705
183.705139	-77.339661
184.378052	-76.865837
185.050964	-75.290222
185.723877	-77.477112
186.396790	-75.966072
187.069702	-77.612976
187.742615	-76.133835
188.415527	-77.188904
189.088440	-76.197563
189.761353	-76.447990
190.434265	-75.641853
191.107178	-75.461212
191.780090	-76.961662
192.453003	-77.273575
193.125916	-76.161850
193.798828	-75.841087
194.471741	-76.386452
195.144653	-76.011909
195.817566	-76.153755
196.490479	-75.441208
197.163391	-75.707428
197.836304	-75.420166
198.509216	-76.544502
199.182129	-75.998451
199.855042	-73.875015
200.527954	-76.420128
201.200867	-75.021248
201.873779	-75.154190
202.546692	-74.491737
203.219604	-75.821732
203.892517	-73.272339
204.565430	-72.182739
205.238342	-72.303314
205.911255	-70.191437
206.584167	-71.430443
207.257080	-72.474281
207.929993	-72.442802
208.602905	-71.428009
209.275818	-72.395020
209.948730	-66.215187
210.621643	-74.051392
211.294556	-72.592804
211.967468	-73.164238
212.640381	-72.945305
213.313293	-72.710938
213.986206	-73.658463
214.659119	-73.013420
215.332031	-73.694077
216.004944	-73.189377
216.677856	-73.626488
217.350769	-73.024300
218.023682	-73.448372
218.696594	-74.387573
219.369507	-73.155373
220.042419	-73.710648
220.715332	-75.325195
221.388245	-75.147560
222.061157	-72.363594
222.734070	-73.122154
223.406982	-73.028732
224.079895	-72.921974
224.752808	-72.550232
225.425720	-73.821533
226.098633	-73.482033
226.771545	-71.935181
227.444458	-73.067322
228.117371	-72.802742
228.790283	-72.648827
229.463196	-72.706795
230.136108	-71.317322
230.809021	-71.386696
231.481934	-72.427650
232.154846	-72.994530
232.827759	-72.673119
233.500671	-71.994591
234.173584	-72.406151
234.846497	-71.113686
235.519409	-71.557121
236.192322	-71.290146
236.865234	-70.706886
237.538147	-71.854172
238.211060	-70.298325
238.883972	-70.640121
239.556885	-70.252907
240.229797	-70.406784
240.902710	-70.189880
241.575623	-70.357155
242.248535	-67.417587
242.921448	-68.353790
243.594360	-68.493759
244.267273	-67.587608
244.940186	-68.333069
245.613098	-68.463440
246.286011	-67.903587
246.958923	-70.276100
247.631836	-67.606384
248.304749	-66.825188
248.977661	-67.848457
249.650574	-66.454048
250.323486	-66.834145
250.996399	-67.963470
251.669312	-66.205788
252.342224	-68.401596
253.015137	-66.425209
253.688049	-66.499916
254.360962	-65.695007
255.033875	-66.047112
255.706787	-64.407242
256.379700	-65.344193
257.052612	-63.305443
257.725525	-64.744469
258.398438	-64.935379
259.071350	-64.552979
259.744263	-64.861412
260.417175	-65.864494
261.090088	-65.352211
261.763000	-62.811592
262.435913	-64.236313
263.108826	-64.685081
263.781738	-64.263763
264.454651	-64.517014
265.127563	-63.743725
265.800476	-64.316833
266.473389	-63.434734
267.146301	-65.734871
267.819214	-64.762260
268.492126	-64.450218
269.165039	-63.298439
269.837952	-64.407005
270.510864	-66.221008
271.183777	-65.828133
271.856689	-66.272736
272.529602	-65.744835
273.202515	-66.487762
273.875427	-67.291519
274.548340	-66.781799
275.221252	-65.583145
275.894165	-67.696907
276.567078	-67.645119
277.239990	-67.201431
277.912903	-67.403046
278.585815	-67.269974
279.258728	-69.602448
279.931641	-68.735504
280.604553	-67.493202
281.277466	-69.333603
281.950378	-68.693687
282.623291	-69.206223
283.296204	-69.016174
283.969116	-69.654488
284.642029	-67.339920
285.314941	-69.460236
285.987854	-70.183151
286.660767	-68.538643
287.333679	-67.784370
288.006592	-70.391670
288.679504	-69.059013
289.352417	-69.927200
