Frequency (Hz)	Level (dB)
0.672913	-92.681770
1.345825	-92.670303
2.018738	-92.718071
2.691650	-92.517883
3.364563	-92.445938
4.037476	-92.411064
4.710388	-92.295639
5.383301	-92.034012
6.056213	-92.116325
6.729126	-91.622375
7.402039	-91.398003
8.074951	-89.936096
8.747864	-89.485855
9.420776	-87.759041
10.093689	-85.610634
10.766602	-87.617928
11.439514	-88.613838
12.112427	-88.828606
12.785339	-86.710335
13.458252	-86.902023
14.131165	-86.585640
14.804077	-84.225037
15.476990	-84.046494
16.149902	-82.142387
16.822815	-73.915985
17.495728	-71.044708
18.168640	-75.406860
18.841553	-78.811836
19.514465	-76.733131
20.187378	-78.129478
20.860291	-77.782356
21.533203	-76.638206
22.206116	-76.646080
22.879028	-77.485443
23.551941	-76.243561
24.224854	-77.553001
24.897766	-79.669731
25.570679	-81.287483
26.243591	-80.590286
26.916504	-80.254463
27.589417	-81.621033
28.262329	-80.862335
28.935242	-81.491089
29.608154	-76.952072
30.281067	-76.370483
30.953979	-77.737717
31.626892	-76.046631
32.299805	-74.113487
32.972717	-74.250610
33.645630	-70.511093
34.318542	-75.215134
34.991455	-71.171539
35.664368	-68.287216
36.337280	-74.617821
37.010193	-75.141525
37.683105	-74.578323
38.356018	-74.623047
39.028931	-72.709267
39.701843	-75.887054
40.374756	-76.944099
41.047668	-77.839478
41.720581	-78.314880
42.393494	-77.093742
43.066406	-74.608704
43.739319	-75.259239
44.412231	-74.339256
45.085144	-74.348923
45.758057	-73.714828
46.430969	-73.264610
47.103882	-73.769554
47.776794	-74.756813
48.449707	-75.430443
49.122620	-79.406731
49.795532	-77.130859
50.468445	-78.446739
51.141357	-78.208832
51.814270	-80.793716
52.487183	-80.170685
53.160095	-80.012154
53.833008	-81.012444
54.505920	-81.783264
55.178833	-79.497307
55.851746	-77.882057
56.524658	-78.676804
57.197571	-78.360001
57.870483	-77.587914
58.543396	-79.039627
59.216309	-78.588303
59.889221	-67.670029
60.562134	-78.948036
61.235046	-79.078613
61.907959	-78.260452
62.580872	-75.710693
63.253784	-76.871193
63.926697	-76.671158
64.599609	-77.146706
65.272522	-75.270874
65.945435	-75.152641
66.618347	-74.263603
67.291260	-75.865761
67.964172	-75.888664
68.637085	-76.780533
69.309998	-79.573502
69.982910	-80.002907
70.655823	-79.045609
71.328735	-78.508751
72.001648	-78.345016
72.674561	-79.489861
73.347473	-77.752045
74.020386	-78.878700
74.693298	-78.326088
75.366211	-77.261963
76.039124	-77.900581
76.712036	-78.216812
77.384949	-78.387871
78.057861	-77.960800
78.730774	-77.287262
79.403687	-78.499619
80.076599	-78.657669
80.749512	-78.904449
81.422424	-78.807983
82.095337	-79.299080
82.768250	-78.310287
83.441162	-77.953949
84.114075	-79.379715
84.786987	-79.393707
85.459900	-78.140755
86.132812	-75.788803
86.805725	-75.631989
87.478638	-75.402908
88.151550	-74.422035
88.824463	-75.002151
89.497375	-76.459389
90.170288	-75.944008
90.843201	-78.487442
91.516113	-78.372055
92.189026	-77.755959
92.861938	-75.747688
93.534851	-77.770020
94.207764	-78.782364
94.880676	-77.995087
95.553589	-77.098297
96.226501	-76.768661
96.899414	-77.262894
97.572327	-76.904701
