Frequency (Hz)	Level (dB)
0.672913	-89.679298
1.345825	-89.648758
2.018738	-89.698280
2.691650	-89.643585
3.364563	-89.445602
4.037476	-89.541840
4.710388	-89.376366
5.383301	-89.605171
6.056213	-89.059639
6.729126	-88.469299
7.402039	-88.244682
8.074951	-86.014801
8.747864	-86.761520
9.420776	-85.637398
10.093689	-84.324493
10.766602	-84.729286
11.439514	-85.634323
12.112427	-84.338707
12.785339	-84.820328
13.458252	-85.289291
14.131165	-83.389259
14.804077	-82.631271
15.476990	-82.287895
16.149902	-80.359886
16.822815	-71.348969
17.495728	-68.220551
18.168640	-71.399475
18.841553	-73.632874
19.514465	-72.980125
20.187378	-73.586632
20.860291	-74.866280
21.533203	-74.842377
22.206116	-74.469307
22.879028	-72.076279
23.551941	-73.295441
24.224854	-74.853569
24.897766	-75.576668
25.570679	-76.451736
26.243591	-75.020775
26.916504	-77.454735
27.589417	-78.068939
28.262329	-77.658569
28.935242	-76.477432
29.608154	-75.263664
30.281067	-73.986458
30.953979	-73.497292
31.626892	-72.944183
32.299805	-73.470070
32.972717	-73.259018
33.645630	-68.473846
34.318542	-73.180382
34.991455	-72.030251
35.664368	-66.963249
36.337280	-70.820877
37.010193	-73.374260
37.683105	-72.690437
38.356018	-73.717339
39.028931	-70.869003
39.701843	-73.063164
40.374756	-75.483101
41.047668	-74.649025
41.720581	-76.072342
42.393494	-76.126442
43.066406	-71.775215
43.739319	-73.657310
44.412231	-71.835922
45.085144	-70.349724
45.758057	-70.722595
46.430969	-70.267044
47.103882	-72.449059
47.776794	-73.416946
48.449707	-74.572563
49.122620	-73.421364
49.795532	-74.127502
50.468445	-74.834465
51.141357	-77.344704
51.814270	-76.444138
52.487183	-77.382568
53.160095	-75.478027
53.833008	-76.477531
54.505920	-76.411919
55.178833	-74.318520
55.851746	-74.830208
56.524658	-74.856079
57.197571	-76.596802
57.870483	-75.009270
58.543396	-75.985664
59.216309	-76.121887
59.889221	-68.503716
60.562134	-76.434624
61.235046	-74.900162
61.907959	-73.232056
62.580872	-73.034302
63.253784	-73.997894
63.926697	-73.553932
64.599609	-73.803429
65.272522	-72.087616
65.945435	-72.542038
66.618347	-70.630974
67.291260	-72.919800
67.964172	-72.280891
68.637085	-73.429123
69.309998	-74.407372
69.982910	-74.274750
70.655823	-73.736862
71.328735	-72.996658
72.001648	-72.195938
72.674561	-72.308640
73.347473	-73.570976
74.020386	-73.607346
74.693298	-71.756714
75.366211	-72.213509
76.039124	-71.682053
76.712036	-71.766853
77.384949	-72.466934
78.057861	-72.907234
78.730774	-72.024086
79.403687	-71.851120
80.076599	-70.600029
80.749512	-71.045860
81.422424	-71.482048
82.095337	-70.912239
82.768250	-71.489426
83.441162	-71.341675
84.114075	-71.184647
84.786987	-70.182434
85.459900	-69.600800
86.132812	-68.932945
86.805725	-69.854088
87.478638	-69.448128
88.151550	-69.990166
88.824463	-69.929329
89.497375	-67.692596
90.170288	-68.062576
90.843201	-68.797112
91.516113	-67.923927
92.189026	-66.946129
92.861938	-69.899239
93.534851	-69.003662
94.207764	-68.635117
94.880676	-68.928711
95.553589	-67.953842
96.226501	-67.964218
96.899414	-66.568230
97.572327	-67.020630
98.245239	-68.216820
98.918152	-68.429398
99.591064	-69.511230
100.263977	-67.884148
100.936890	-68.118111
101.609802	-66.062302
102.282715	-67.160934
102.955627	-67.047531
103.628540	-66.908653
104.301453	-66.542114
104.974365	-64.977173
105.647278	-65.950600
106.320190	-66.907349
106.993103	-68.765167
107.666016	-65.783997
108.338928	-67.262917
109.011841	-65.768639
109.684753	-65.673943
110.357666	-64.610939
111.030579	-65.914185
111.703491	-64.236115
112.376404	-64.683372
113.049316	-63.556370
113.722229	-63.775238
114.395142	-64.862579
115.068054	-65.911392
115.740967	-65.034317
116.413879	-64.735527
117.086792	-64.187653
117.759705	-61.743328
118.432617	-62.697506
119.105530	-62.586170
119.778442	-62.077427
120.451355	-60.785133
121.124268	-61.659061
121.797180	-63.816479
122.470093	-60.764130
123.143005	-60.718697
123.815918	-61.255585
124.488831	-60.147533
125.161743	-60.170101
125.834656	-59.115417
126.507568	-60.468689
127.180481	-58.134323
127.853394	-58.667858
128.526306	-59.795551
129.199219	-59.148735
129.872131	-58.742733
130.545044	-57.779182
131.217957	-58.993351
131.890869	-56.134701
132.563782	-57.876614
133.236694	-56.523670
133.909607	-56.369267
134.582520	-55.451298
135.255432	-57.631607
135.928345	-55.754177
136.601257	-57.112213
137.274170	-57.454678
137.947083	-57.223530
138.619995	-57.606003
139.292908	-56.336670
139.965820	-57.871807
140.638733	-57.847977
141.311646	-58.250111
141.984558	-58.113605
142.657471	-58.571110
143.330383	-59.904621
144.003296	-59.129383
144.676208	-59.188240
