Frequency (Hz)	Level (dB)
0.672913	-46.982712
1.345825	-45.083290
2.018738	-45.245636
2.691650	-46.780621
3.364563	-47.622322
4.037476	-47.585827
4.710388	-46.070221
5.383301	-46.058842
6.056213	-47.324314
6.729126	-48.095062
7.402039	-48.870895
8.074951	-47.684185
8.747864	-47.076336
9.420776	-47.120892
10.093689	-47.983349
10.766602	-47.714462
11.439514	-44.681747
12.112427	-45.698845
12.785339	-46.275742
13.458252	-46.385895
14.131165	-46.917530
14.804077	-46.915928
15.476990	-45.472233
16.149902	-46.750439
16.822815	-45.326534
17.495728	-46.349430
18.168640	-46.732613
18.841553	-46.897186
19.514465	-48.459480
20.187378	-47.794109
20.860291	-46.598221
21.533203	-45.699184
22.206116	-47.764946
22.879028	-46.072495
23.551941	-47.370819
24.224854	-47.297340
24.897766	-47.082836
25.570679	-47.843639
26.243591	-48.003029
26.916504	-47.175220
27.589417	-48.472244
28.262329	-48.089256
28.935242	-46.516773
29.608154	-46.480457
30.281067	-48.974686
30.953979	-45.635918
31.626892	-46.222878
32.299805	-46.850758
32.972717	-47.291836
33.645630	-46.825756
34.318542	-47.768925
34.991455	-46.363102
35.664368	-47.928230
36.337280	-48.576790
37.010193	-47.230312
37.683105	-46.775810
38.356018	-47.969318
39.028931	-46.019806
39.701843	-46.133835
40.374756	-46.948475
41.047668	-46.291611
41.720581	-47.285648
42.393494	-47.893780
43.066406	-48.110767
43.739319	-47.687092
44.412231	-47.272697
45.085144	-47.474163
45.758057	-47.649883
46.430969	-49.164402
47.103882	-48.519127
47.776794	-46.276981
48.449707	-48.061779
49.122620	-48.503754
49.795532	-47.932167
50.468445	-47.728573
51.141357	-46.774738
51.814270	-46.589462
52.487183	-47.471138
53.160095	-47.222595
53.833008	-46.258659
54.505920	-48.188137
55.178833	-47.703537
55.851746	-48.518963
56.524658	-48.832165
57.197571	-46.632320
57.870483	-45.866241
58.543396	-46.769016
59.216309	-46.666985
59.889221	-45.309387
60.562134	-46.721458
61.235046	-47.978138
61.907959	-47.737640
62.580872	-46.855309
63.253784	-48.886932
63.926697	-48.168613
64.599609	-47.708767
65.272522	-48.313038
65.945435	-47.234840
66.618347	-45.829391
67.291260	-47.812698
67.964172	-46.645390
68.637085	-46.828014
69.309998	-46.244701
69.982910	-46.034691
70.655823	-46.318813
71.328735	-46.250290
72.001648	-46.301247
72.674561	-47.151669
73.347473	-47.378422
74.020386	-48.055973
74.693298	-47.197231
75.366211	-46.053066
76.039124	-46.274307
76.712036	-47.619450
77.384949	-47.725513
78.057861	-48.155468
78.730774	-46.242165
79.403687	-47.712383
80.076599	-47.352169
80.749512	-46.349239
81.422424	-45.785778
82.095337	-47.012253
82.768250	-47.769733
83.441162	-47.629974
84.114075	-46.689804
84.786987	-47.526669
85.459900	-47.389999
86.132812	-46.267326
86.805725	-47.531723
87.478638	-47.288586
88.151550	-46.945816
88.824463	-46.043140
89.497375	-46.954887
90.170288	-46.774933
90.843201	-47.192196
91.516113	-46.906765
92.189026	-46.867649
92.861938	-48.005405
93.534851	-46.354515
94.207764	-48.531132
94.880676	-47.280972
95.553589	-46.636112
96.226501	-46.204861
96.899414	-45.968727
97.572327	-47.949272
98.245239	-47.018658
98.918152	-47.646183
99.591064	-45.989468
100.263977	-46.569351
100.936890	-47.552734
101.609802	-47.742878
102.282715	-47.054428
102.955627	-46.010094
103.628540	-46.450413
104.301453	-48.914028
104.974365	-46.463017
105.647278	-47.524830
106.320190	-47.756626
106.993103	-45.669392
107.666016	-46.766685
108.338928	-47.879036
109.011841	-47.187538
109.684753	-50.331596
110.357666	-46.414509
111.030579	-48.959084
111.703491	-45.749615
112.376404	-47.773602
113.049316	-47.573025
113.722229	-46.188248
114.395142	-45.506676
115.068054	-46.084591
115.740967	-46.546410
116.413879	-47.616707
117.086792	-47.511707
117.759705	-46.668339
118.432617	-48.526974
119.105530	-47.313583
119.778442	-48.401817
120.451355	-47.267632
121.124268	-47.017372
121.797180	-47.717178
122.470093	-47.119556
123.143005	-47.032795
123.815918	-45.613987
124.488831	-47.574554
125.161743	-48.799873
125.834656	-48.001724
126.507568	-48.327374
127.180481	-45.747894
127.853394	-46.697426
128.526306	-48.607735
129.199219	-48.656754
129.872131	-47.145859
130.545044	-47.359100
131.217957	-47.058472
131.890869	-48.194199
132.563782	-46.114288
133.236694	-46.875378
133.909607	-46.351353
134.582520	-45.375111
135.255432	-47.532642
135.928345	-47.964893
136.601257	-48.041527
137.274170	-46.730076
137.947083	-46.464859
138.619995	-46.825855
139.292908	-46.033951
139.965820	-46.763062
140.638733	-47.259605
141.311646	-46.263916
141.984558	-46.130325
142.657471	-46.646042
143.330383	-47.584538
144.003296	-48.481205
144.676208	-47.318310
145.349121	-47.100075
146.022034	-46.659103
146.694946	-46.002338
147.367859	-44.291859
148.040771	-45.495815
148.713684	-46.438709
149.386597	-45.152966
150.059509	-45.969650
150.732422	-48.649956
151.405334	-47.128181
152.078247	-46.092278
152.751160	-47.993801
153.424072	-49.421478
154.096985	-46.747128
154.769897	-47.416595
155.442810	-47.947239
156.115723	-47.705505
156.788635	-47.021065
157.461548	-48.221687
158.134460	-47.655064
158.807373	-48.311394
159.480286	-47.805931
160.153198	-47.149273
160.826111	-45.966087
161.499023	-46.256920
162.171936	-48.047688
162.844849	-47.194645
163.517761	-48.802822
164.190674	-50.663311
164.863586	-46.867870
165.536499	-47.402508
166.209412	-48.800499
166.882324	-47.574154
167.555237	-47.915714
168.228149	-47.219940
168.901062	-46.288483
169.573975	-47.558666
170.246887	-47.105431
170.919800	-48.120750
171.592712	-47.208591
172.265625	-46.292446
172.938538	-47.399040
173.611450	-47.437321
174.284363	-46.490108
174.957275	-46.507629
175.630188	-46.233570
176.303101	-45.149769
176.976013	-46.790131
177.648926	-46.800533
178.321838	-48.691540
178.994751	-47.698769
179.667664	-46.613777
180.340576	-47.802265
181.013489	-46.897865
181.686401	-47.311241
182.359314	-47.221119
183.032227	-46.308163
183.705139	-47.124565
184.378052	-45.371761
185.050964	-44.214016
185.723877	-48.848877
186.396790	-46.474453
187.069702	-47.566681
187.742615	-46.967609
188.415527	-47.346695
189.088440	-46.820911
189.761353	-46.719788
190.434265	-46.514149
191.107178	-46.711899
191.780090	-47.363510
192.453003	-47.055603
193.125916	-48.325413
193.798828	-46.806446
194.471741	-45.976471
195.144653	-45.911030
195.817566	-46.680996
196.490479	-46.333008
197.163391	-46.860996
197.836304	-46.892723
198.509216	-46.390469
199.182129	-45.879318
199.855042	-45.876881
200.527954	-47.440948
201.200867	-46.830288
201.873779	-45.450142
202.546692	-46.460773
203.219604	-47.211479
203.892517	-46.394569
204.565430	-46.986126
205.238342	-49.070362
205.911255	-47.995922
206.584167	-48.090664
207.257080	-47.301167
207.929993	-46.749218
208.602905	-46.332169
209.275818	-47.743961
209.948730	-47.477108
210.621643	-46.983547
211.294556	-46.106224
211.967468	-46.782207
212.640381	-47.797668
213.313293	-44.755505
213.986206	-47.345768
214.659119	-48.217304
215.332031	-46.323509
216.004944	-46.854202
216.677856	-46.000572
217.350769	-46.049900
218.023682	-47.266926
218.696594	-46.386539
219.369507	-46.327023
220.042419	-47.004536
220.715332	-47.450039
221.388245	-48.157169
222.061157	-47.055382
222.734070	-47.781094
223.406982	-46.927776
224.079895	-47.721790
224.752808	-47.058960
225.425720	-47.512730
226.098633	-48.475704
226.771545	-45.791462
227.444458	-46.333664
228.117371	-46.580494
228.790283	-46.436039
229.463196	-46.205250
230.136108	-46.216152
230.809021	-47.099510
231.481934	-47.188274
232.154846	-47.925652
232.827759	-46.917316
233.500671	-47.047375
234.173584	-48.298172
234.846497	-46.682262
235.519409	-47.794746
236.192322	-47.012775
236.865234	-46.530048
237.538147	-47.936337
238.211060	-46.545372
238.883972	-46.551537
239.556885	-47.241539
240.229797	-47.770226
240.902710	-47.859550
241.575623	-47.335468
242.248535	-44.552662
242.921448	-46.413090
243.594360	-46.512470
244.267273	-45.752335
244.940186	-46.192818
245.613098	-46.614666
246.286011	-46.169933
246.958923	-49.343189
247.631836	-46.505508
248.304749	-46.297928
248.977661	-47.461143
249.650574	-46.178154
250.323486	-46.912323
250.996399	-46.890049
251.669312	-46.839035
252.342224	-48.195499
253.015137	-46.295704
253.688049	-48.007050
254.360962	-46.213566
255.033875	-47.456703
255.706787	-47.449020
256.379700	-47.340961
257.052612	-45.183262
257.725525	-46.136898
258.398438	-46.846298
259.071350	-46.692657
259.744263	-47.231937
260.417175	-48.195927
261.090088	-47.542664
261.763000	-46.266212
262.435913	-47.063965
263.108826	-47.959995
263.781738	-47.102345
264.454651	-46.995831
265.127563	-45.753960
265.800476	-47.663628
266.473389	-46.749229
267.146301	-47.163052
267.819214	-47.370422
268.492126	-46.661415
269.165039	-45.396591
269.837952	-47.088757
270.510864	-48.856812
271.183777	-47.863342
271.856689	-48.375629
272.529602	-47.481487
273.202515	-47.739029
273.875427	-47.960217
274.548340	-47.179695
275.221252	-45.869286
275.894165	-48.015598
276.567078	-47.624512
277.239990	-47.786739
277.912903	-47.134369
278.585815	-46.963005
279.258728	-49.031483
279.931641	-46.940205
280.604553	-46.441105
281.277466	-46.876499
281.950378	-46.710663
282.623291	-48.771961
283.296204	-47.068119
283.969116	-46.079052
284.642029	-45.258137
285.314941	-47.524647
285.987854	-47.683289
286.660767	-46.926407
287.333679	-46.720417
288.006592	-48.192150
288.679504	-47.357437
289.352417	-47.443741
290.025330	-46.090015
290.698242	-47.357166
291.371155	-46.067684
292.044067	-47.149044
292.716980	-46.435734
293.389893	-47.523804
294.062805	-46.712990
294.735718	-47.467720
295.408630	-47.312313
296.081543	-46.195164
296.754456	-46.862835
297.427368	-45.876968
298.100281	-47.108559
298.773193	-47.469086
299.446106	-48.400745
300.119019	-46.529644
300.791931	-47.842770
301.464844	-45.011711
