Frequency (Hz)	Level (dB)
0.672913	-88.694778
1.345825	-88.434639
2.018738	-87.524773
2.691650	-87.167046
3.364563	-86.160400
4.037476	-86.061874
4.710388	-85.266151
5.383301	-85.204712
6.056213	-84.099220
6.729126	-84.720863
7.402039	-83.264168
8.074951	-83.835510
8.747864	-82.945045
9.420776	-82.819000
10.093689	-81.831810
10.766602	-82.273453
11.439514	-82.913811
12.112427	-81.349228
12.785339	-81.957001
13.458252	-82.396217
14.131165	-81.693787
14.804077	-79.661514
15.476990	-79.082993
16.149902	-72.833183
16.822815	-71.257317
17.495728	-67.831627
18.168640	-76.012497
18.841553	-74.330345
19.514465	-73.022293
20.187378	-75.165016
20.860291	-75.783760
21.533203	-77.410980
22.206116	-73.459351
22.879028	-73.763367
23.551941	-74.512672
24.224854	-74.792816
24.897766	-76.218018
25.570679	-76.274780
26.243591	-75.024605
26.916504	-76.899117
27.589417	-77.381767
28.262329	-76.422295
28.935242	-76.146568
29.608154	-74.380295
30.281067	-74.397667
30.953979	-74.620537
31.626892	-76.203445
32.299805	-75.181496
32.972717	-73.504875
33.645630	-72.451744
34.318542	-73.878700
34.991455	-69.044884
35.664368	-73.170685
36.337280	-72.721214
37.010193	-74.396942
37.683105	-73.581261
38.356018	-73.359375
39.028931	-72.675110
39.701843	-73.895859
40.374756	-76.091362
41.047668	-74.471222
41.720581	-75.651146
42.393494	-77.650215
43.066406	-73.780251
43.739319	-73.155396
44.412231	-74.117310
45.085144	-74.286133
45.758057	-71.854378
46.430969	-73.216393
47.103882	-73.592880
47.776794	-74.014748
48.449707	-72.718483
49.122620	-71.157166
49.795532	-71.903931
50.468445	-72.283234
51.141357	-72.627594
51.814270	-72.395515
52.487183	-72.997391
53.160095	-75.410316
53.833008	-74.359833
54.505920	-74.651176
55.178833	-74.456749
55.851746	-75.088951
56.524658	-75.597176
57.197571	-74.131340
57.870483	-75.116417
58.543396	-75.783813
59.216309	-74.656250
59.889221	-66.908531
60.562134	-75.266586
61.235046	-74.637695
61.907959	-74.357353
62.580872	-74.450027
63.253784	-74.472435
63.926697	-75.532822
64.599609	-75.795982
65.272522	-74.873055
65.945435	-75.606621
66.618347	-74.557472
67.291260	-75.790382
67.964172	-75.710670
68.637085	-75.178131
69.309998	-75.372108
69.982910	-75.888069
70.655823	-75.103561
71.328735	-76.058769
72.001648	-77.658150
72.674561	-75.117989
73.347473	-75.846802
74.020386	-75.868660
74.693298	-76.155640
75.366211	-76.324219
76.039124	-76.741280
76.712036	-75.964790
77.384949	-74.652550
78.057861	-76.675507
78.730774	-76.625435
79.403687	-75.297150
80.076599	-75.663780
80.749512	-75.766174
81.422424	-75.834038
82.095337	-76.524933
82.768250	-75.687218
83.441162	-76.623413
84.114075	-75.420410
84.786987	-75.462204
85.459900	-76.813271
86.132812	-74.028168
86.805725	-74.847359
87.478638	-74.905403
88.151550	-74.452621
88.824463	-74.010330
89.497375	-74.656258
90.170288	-74.286896
90.843201	-74.363724
91.516113	-75.179680
92.189026	-75.779388
92.861938	-76.424309
93.534851	-74.700401
94.207764	-76.265404
94.880676	-75.396988
95.553589	-75.315414
96.226501	-75.905441
96.899414	-75.281967
97.572327	-74.796791
98.245239	-74.677208
98.918152	-75.693642
99.591064	-75.582924
100.263977	-75.341232
100.936890	-74.671371
101.609802	-73.960175
102.282715	-75.364815
102.955627	-75.044434
103.628540	-76.570091
104.301453	-76.784401
104.974365	-75.749428
105.647278	-73.881096
106.320190	-74.846786
106.993103	-74.231094
107.666016	-75.530777
108.338928	-75.076828
109.011841	-76.046608
109.684753	-75.799370
110.357666	-75.656151
111.030579	-76.519623
111.703491	-75.717209
112.376404	-74.754761
113.049316	-74.519035
113.722229	-73.979256
114.395142	-74.147957
115.068054	-73.925232
115.740967	-73.833443
116.413879	-73.940796
117.086792	-75.162209
117.759705	-76.829216
118.432617	-76.660454
119.105530	-74.533455
119.778442	-71.821854
120.451355	-73.717476
121.124268	-75.008461
121.797180	-73.254250
122.470093	-74.123192
123.143005	-74.691284
123.815918	-74.037704
124.488831	-74.235413
125.161743	-74.168785
125.834656	-75.401207
126.507568	-75.637650
127.180481	-74.550941
127.853394	-74.764687
128.526306	-76.009811
129.199219	-75.446220
129.872131	-74.782784
130.545044	-76.259552
131.217957	-76.029808
131.890869	-74.904541
132.563782	-73.319458
133.236694	-72.989624
133.909607	-72.928062
134.582520	-71.923630
135.255432	-74.119034
135.928345	-74.380173
136.601257	-75.915199
137.274170	-74.012627
137.947083	-74.528748
138.619995	-74.509888
139.292908	-74.646126
139.965820	-74.806007
140.638733	-73.719048
141.311646	-74.456589
141.984558	-75.674156
142.657471	-73.996445
143.330383	-73.513000
144.003296	-73.826050
144.676208	-71.784714
145.349121	-71.898895
146.022034	-70.542870
146.694946	-70.704651
147.367859	-69.651855
148.040771	-69.767700
148.713684	-70.214493
149.386597	-71.290550
150.059509	-72.581932
150.732422	-74.399139
151.405334	-74.375755
152.078247	-72.523109
152.751160	-74.539398
153.424072	-75.197289
154.096985	-74.524101
154.769897	-73.793167
155.442810	-74.936989
156.115723	-75.013786
156.788635	-75.190483
157.461548	-74.630211
158.134460	-74.034470
158.807373	-74.254562
159.480286	-75.766327
160.153198	-73.675613
160.826111	-73.947182
161.499023	-74.715263
162.171936	-74.396088
162.844849	-72.814766
163.517761	-72.214005
164.190674	-73.885506
164.863586	-74.056290
165.536499	-73.198547
166.209412	-73.145844
166.882324	-73.808640
167.555237	-73.518944
168.228149	-73.201927
168.901062	-75.053352
169.573975	-74.498451
170.246887	-73.671967
170.919800	-74.063705
171.592712	-73.761978
172.265625	-73.080925
172.938538	-74.399635
