Frequency (Hz)	Level (dB)
0.672913	-93.742157
1.345825	-90.877281
2.018738	-90.365166
2.691650	-88.207100
3.364563	-86.674873
4.037476	-86.828278
4.710388	-85.095436
5.383301	-85.072495
6.056213	-84.448425
6.729126	-84.381355
7.402039	-84.542229
8.074951	-84.420135
8.747864	-83.182327
9.420776	-83.333122
10.093689	-82.799561
10.766602	-82.324524
11.439514	-84.855331
12.112427	-83.020599
12.785339	-82.576973
13.458252	-83.453957
14.131165	-82.594948
14.804077	-82.092743
15.476990	-80.264130
16.149902	-73.094307
16.822815	-72.070679
17.495728	-67.411537
18.168640	-74.997513
18.841553	-75.037849
19.514465	-74.075623
20.187378	-77.215805
20.860291	-76.325577
21.533203	-77.125381
22.206116	-75.581100
22.879028	-74.791023
23.551941	-73.695526
24.224854	-73.852188
24.897766	-76.367928
25.570679	-77.752251
26.243591	-75.268547
26.916504	-77.923630
27.589417	-77.807922
28.262329	-77.018875
28.935242	-77.335785
29.608154	-75.683914
30.281067	-74.732651
30.953979	-76.577911
31.626892	-74.116516
32.299805	-74.964043
32.972717	-72.802582
33.645630	-73.389091
34.318542	-74.039322
34.991455	-70.239746
35.664368	-75.785286
36.337280	-74.076668
37.010193	-74.949661
37.683105	-74.303543
38.356018	-73.531364
39.028931	-72.338463
39.701843	-73.460129
40.374756	-74.828636
41.047668	-73.803459
41.720581	-72.324615
42.393494	-73.633034
43.066406	-72.151901
43.739319	-75.291283
44.412231	-71.778854
45.085144	-72.258324
45.758057	-70.380081
46.430969	-72.560905
47.103882	-74.526039
47.776794	-72.295822
48.449707	-70.888824
49.122620	-69.677498
49.795532	-68.660713
50.468445	-71.257156
51.141357	-70.930496
51.814270	-72.955505
52.487183	-72.657669
53.160095	-71.769348
53.833008	-72.831429
54.505920	-73.613838
55.178833	-73.975853
55.851746	-75.207619
56.524658	-74.751366
57.197571	-73.799873
57.870483	-75.592911
58.543396	-76.791260
59.216309	-76.171074
59.889221	-66.521049
60.562134	-73.199226
61.235046	-73.310410
61.907959	-73.775970
62.580872	-74.987106
63.253784	-73.272392
63.926697	-74.864525
64.599609	-74.649376
65.272522	-73.864693
65.945435	-73.689873
66.618347	-73.168350
67.291260	-72.807602
67.964172	-74.700111
68.637085	-73.334084
69.309998	-74.097389
69.982910	-74.271095
70.655823	-73.830498
71.328735	-75.187889
72.001648	-73.062027
72.674561	-75.005646
73.347473	-74.934151
74.020386	-74.157936
74.693298	-74.136871
75.366211	-74.051102
76.039124	-75.762115
76.712036	-74.963158
77.384949	-74.828247
78.057861	-75.073120
78.730774	-74.126938
79.403687	-75.529930
80.076599	-74.788048
80.749512	-72.947540
81.422424	-74.567429
82.095337	-74.753242
82.768250	-75.694687
83.441162	-73.298584
84.114075	-73.777802
84.786987	-74.526482
85.459900	-73.545631
86.132812	-72.664993
86.805725	-72.738800
87.478638	-73.563004
88.151550	-71.664375
88.824463	-72.234467
89.497375	-73.382767
