Frequency (Hz)	Level (dB)
0.672913	-98.630180
1.345825	-98.565773
2.018738	-98.687172
2.691650	-98.293747
3.364563	-97.821381
4.037476	-96.276421
4.710388	-96.622589
5.383301	-96.214180
6.056213	-95.773132
6.729126	-94.260437
7.402039	-95.629318
8.074951	-94.788330
8.747864	-94.504417
9.420776	-93.193108
10.093689	-92.211739
10.766602	-91.186684
11.439514	-90.450821
12.112427	-91.485947
12.785339	-90.798126
13.458252	-90.774010
14.131165	-90.358841
14.804077	-91.066948
15.476990	-90.077942
16.149902	-90.180962
16.822815	-89.713814
17.495728	-89.335114
18.168640	-88.749847
18.841553	-88.416801
19.514465	-88.092842
20.187378	-86.959579
20.860291	-85.809166
21.533203	-85.858330
22.206116	-85.601250
22.879028	-86.251801
23.551941	-84.090919
24.224854	-84.282852
24.897766	-83.805901
25.570679	-82.565025
26.243591	-83.994141
26.916504	-83.548904
27.589417	-82.257843
28.262329	-83.253899
28.935242	-82.297607
29.608154	-81.016685
30.281067	-81.216888
30.953979	-80.295998
31.626892	-79.956673
32.299805	-80.397873
32.972717	-79.894249
33.645630	-79.060753
34.318542	-79.949249
34.991455	-78.373337
35.664368	-78.736389
36.337280	-77.171761
37.010193	-78.261864
37.683105	-77.428688
38.356018	-76.958351
39.028931	-77.593880
39.701843	-77.533661
40.374756	-76.539169
41.047668	-76.603729
41.720581	-76.631821
42.393494	-77.838219
43.066406	-76.769249
43.739319	-75.893623
44.412231	-75.659279
45.085144	-75.320633
45.758057	-75.062553
46.430969	-75.024658
47.103882	-76.107430
47.776794	-75.179626
48.449707	-74.465813
49.122620	-74.287132
49.795532	-74.672417
50.468445	-74.413254
51.141357	-74.550720
51.814270	-74.780304
52.487183	-75.282677
53.160095	-74.330566
53.833008	-74.036789
54.505920	-73.674118
55.178833	-73.847557
55.851746	-73.995865
56.524658	-74.782326
57.197571	-74.763458
57.870483	-73.428040
58.543396	-73.330399
59.216309	-73.645996
59.889221	-74.113731
60.562134	-74.256264
61.235046	-73.085022
61.907959	-72.302582
62.580872	-73.723488
63.253784	-73.251816
63.926697	-73.632690
64.599609	-73.257042
65.272522	-73.730972
65.945435	-73.077255
66.618347	-72.350266
67.291260	-72.361084
67.964172	-72.601448
68.637085	-72.195915
69.309998	-72.132782
69.982910	-72.084541
70.655823	-71.566452
71.328735	-74.056770
72.001648	-72.980095
72.674561	-72.903091
73.347473	-72.147293
74.020386	-72.512428
74.693298	-72.338760
75.366211	-72.914406
76.039124	-72.024879
76.712036	-72.470039
77.384949	-72.621872
78.057861	-73.915329
78.730774	-72.869659
79.403687	-73.609230
80.076599	-72.655449
80.749512	-72.334267
81.422424	-72.802940
82.095337	-72.443848
82.768250	-74.573830
83.441162	-73.910820
84.114075	-73.447487
84.786987	-72.052567
85.459900	-72.999359
86.132812	-74.044785
86.805725	-73.615891
87.478638	-72.791763
88.151550	-73.580627
88.824463	-72.507828
89.497375	-73.094734
90.170288	-73.138657
90.843201	-73.463448
91.516113	-72.659286
92.189026	-71.888496
92.861938	-72.301750
93.534851	-72.661674
94.207764	-72.005310
94.880676	-72.621391
95.553589	-73.708855
96.226501	-73.880836
96.899414	-74.806259
97.572327	-72.916031
98.245239	-72.381828
98.918152	-73.325661
99.591064	-73.128418
100.263977	-72.028954
100.936890	-72.415909
101.609802	-72.152527
102.282715	-72.888870
102.955627	-74.388527
103.628540	-74.835876
104.301453	-72.335304
104.974365	-72.648964
105.647278	-73.065750
106.320190	-74.175308
106.993103	-74.460411
107.666016	-74.117699
108.338928	-73.864929
109.011841	-73.905960
109.684753	-74.023674
110.357666	-72.700485
111.030579	-75.451736
111.703491	-74.097969
112.376404	-74.067741
113.049316	-72.919624
113.722229	-73.661110
