Frequency (Hz)	Level (dB)
0.672913	-95.173546
1.345825	-95.266037
2.018738	-95.094093
2.691650	-94.903137
3.364563	-95.092323
4.037476	-93.503632
4.710388	-94.423309
5.383301	-94.080963
6.056213	-93.725891
6.729126	-93.306374
7.402039	-94.362350
8.074951	-94.410507
8.747864	-93.779129
9.420776	-93.868080
10.093689	-92.478523
10.766602	-92.323669
11.439514	-91.218338
12.112427	-91.632492
12.785339	-91.474182
13.458252	-91.546532
14.131165	-90.819809
14.804077	-92.375519
15.476990	-92.372673
16.149902	-91.200172
16.822815	-92.008270
17.495728	-93.129860
18.168640	-91.812637
18.841553	-89.893387
19.514465	-89.272209
20.187378	-90.835869
20.860291	-90.982819
21.533203	-90.870354
22.206116	-89.134514
22.879028	-89.150139
23.551941	-88.892113
24.224854	-88.455154
24.897766	-89.617111
25.570679	-88.398140
26.243591	-89.643921
26.916504	-88.732605
27.589417	-88.156403
28.262329	-87.264969
28.935242	-87.481750
29.608154	-86.387978
30.281067	-89.498802
30.953979	-87.858513
31.626892	-87.474327
32.299805	-86.591782
32.972717	-87.810760
33.645630	-87.672974
34.318542	-86.114403
34.991455	-85.259781
35.664368	-85.272980
36.337280	-86.740646
37.010193	-86.506798
37.683105	-85.353516
38.356018	-85.219849
39.028931	-86.157616
39.701843	-85.129089
40.374756	-83.696960
41.047668	-83.439247
41.720581	-84.569847
42.393494	-84.225220
43.066406	-83.839653
43.739319	-84.411217
44.412231	-83.673370
45.085144	-82.128975
45.758057	-82.969887
46.430969	-82.704071
47.103882	-81.875687
47.776794	-81.946365
48.449707	-82.393753
49.122620	-81.760292
49.795532	-81.526482
50.468445	-82.253754
51.141357	-81.348511
51.814270	-80.985062
52.487183	-81.132027
53.160095	-80.372559
53.833008	-80.211464
54.505920	-81.297569
55.178833	-79.907349
55.851746	-80.715279
56.524658	-79.888527
57.197571	-79.708855
57.870483	-80.065323
58.543396	-78.403236
59.216309	-78.885681
59.889221	-79.140388
60.562134	-78.206642
61.235046	-78.563789
61.907959	-78.205452
62.580872	-78.714256
63.253784	-78.829681
63.926697	-78.540787
64.599609	-79.035706
65.272522	-78.496788
65.945435	-79.016487
66.618347	-78.389313
67.291260	-78.697861
67.964172	-78.398148
68.637085	-77.908333
69.309998	-77.837868
69.982910	-75.226608
70.655823	-77.123558
71.328735	-76.196579
72.001648	-76.325523
72.674561	-76.666130
73.347473	-76.828377
74.020386	-75.897278
74.693298	-76.357231
75.366211	-75.926849
76.039124	-75.663765
76.712036	-75.669312
77.384949	-76.282051
78.057861	-74.988976
78.730774	-74.616676
79.403687	-73.377884
80.076599	-74.163193
80.749512	-73.994476
81.422424	-73.688248
82.095337	-72.928009
82.768250	-73.099823
83.441162	-73.671669
84.114075	-72.820816
84.786987	-73.201981
85.459900	-73.098572
86.132812	-73.383316
86.805725	-73.200043
87.478638	-73.596703
88.151550	-74.180084
88.824463	-73.381538
89.497375	-73.509445
90.170288	-72.702072
90.843201	-72.756752
91.516113	-72.819519
92.189026	-72.174721
92.861938	-72.876167
93.534851	-73.128433
94.207764	-73.088638
94.880676	-73.253845
95.553589	-72.588432
96.226501	-72.418915
96.899414	-72.404312
97.572327	-72.175018
98.245239	-72.758415
98.918152	-73.214493
99.591064	-72.447029
100.263977	-72.176086
100.936890	-72.284683
101.609802	-72.125755
102.282715	-72.601959
102.955627	-72.946053
103.628540	-72.216995
104.301453	-71.852707
104.974365	-72.263504
105.647278	-72.258522
106.320190	-72.279236
106.993103	-72.261459
107.666016	-71.832840
108.338928	-71.766861
109.011841	-72.205917
109.684753	-72.485527
110.357666	-71.838943
111.030579	-71.211502
111.703491	-72.276924
112.376404	-72.433945
113.049316	-71.625755
113.722229	-71.464745
114.395142	-71.924767
115.068054	-72.339722
115.740967	-71.507462
116.413879	-71.238121
117.086792	-71.724297
117.759705	-71.861649
118.432617	-71.208679
119.105530	-71.488243
119.778442	-69.123909
120.451355	-67.111282
121.124268	-68.505554
121.797180	-71.193550
122.470093	-71.574577
123.143005	-71.222130
123.815918	-71.576889
124.488831	-71.342926
125.161743	-71.508316
125.834656	-71.753708
126.507568	-71.081558
127.180481	-71.032745
127.853394	-70.900360
128.526306	-70.900406
129.199219	-71.409943
129.872131	-71.594994
130.545044	-71.247887
131.217957	-71.472740
131.890869	-70.783531
132.563782	-70.595032
133.236694	-70.889488
133.909607	-70.403793
134.582520	-71.138329
135.255432	-71.123489
135.928345	-71.238228
136.601257	-71.589569
137.274170	-70.732162
137.947083	-71.235962
138.619995	-70.201942
139.292908	-70.243942
139.965820	-69.992455
140.638733	-69.844086
141.311646	-69.954216
141.984558	-69.755974
142.657471	-70.337685
143.330383	-69.958794
144.003296	-70.691750
144.676208	-70.501205
145.349121	-70.971161
146.022034	-70.974045
146.694946	-71.314812
147.367859	-71.287506
148.040771	-71.459190
148.713684	-71.399597
149.386597	-71.496025
150.059509	-71.421410
150.732422	-71.262909
151.405334	-71.092514
152.078247	-70.970917
152.751160	-70.530136
153.424072	-70.540817
154.096985	-69.938248
154.769897	-70.078255
155.442810	-69.393661
156.115723	-69.478203
156.788635	-68.886230
157.461548	-69.176361
158.134460	-68.881195
158.807373	-69.046722
159.480286	-69.223961
160.153198	-69.293030
160.826111	-69.909485
161.499023	-69.590637
162.171936	-70.170502
162.844849	-69.882706
163.517761	-69.641006
164.190674	-69.589149
164.863586	-68.815575
165.536499	-69.098709
166.209412	-68.654037
166.882324	-68.917923
167.555237	-69.579079
168.228149	-69.078598
168.901062	-69.464813
169.573975	-69.096565
170.246887	-68.464600
170.919800	-68.673943
171.592712	-68.493019
172.265625	-68.586746
172.938538	-69.338890
173.611450	-68.847977
174.284363	-68.349258
174.957275	-68.556572
175.630188	-68.157501
176.303101	-68.211426
176.976013	-68.896156
177.648926	-68.479607
178.321838	-67.883987
178.994751	-68.092369
179.667664	-68.352158
180.340576	-68.122429
181.013489	-68.159645
181.686401	-68.145859
182.359314	-67.586563
183.032227	-67.713654
183.705139	-68.269325
184.378052	-67.924644
185.050964	-67.289413
185.723877	-67.490829
186.396790	-68.083931
187.069702	-67.624443
187.742615	-66.904060
188.415527	-67.174889
189.088440	-67.837608
189.761353	-67.392570
190.434265	-66.863014
191.107178	-66.979088
191.780090	-67.218346
192.453003	-67.188637
193.125916	-67.021637
193.798828	-66.679909
194.471741	-66.330650
195.144653	-66.631454
195.817566	-67.244453
196.490479	-66.695473
197.163391	-66.101974
197.836304	-66.110970
198.509216	-66.234612
199.182129	-66.340088
199.855042	-66.823593
200.527954	-66.305870
201.200867	-65.663116
201.873779	-65.627029
202.546692	-65.440300
203.219604	-65.728775
203.892517	-66.236847
204.565430	-65.953461
205.238342	-65.792099
205.911255	-65.287285
206.584167	-64.654709
207.257080	-64.772591
207.929993	-64.558525
208.602905	-64.861824
209.275818	-65.316933
209.948730	-65.163925
210.621643	-65.506279
211.294556	-64.953041
211.967468	-64.687271
212.640381	-64.248047
213.313293	-63.670101
213.986206	-63.632751
214.659119	-63.099560
215.332031	-63.263824
216.004944	-62.999660
216.677856	-63.227341
217.350769	-63.201996
218.023682	-63.342571
218.696594	-63.547176
219.369507	-63.558609
220.042419	-63.893902
220.715332	-63.766624
221.388245	-64.118660
222.061157	-63.914825
222.734070	-64.158371
223.406982	-63.826096
224.079895	-63.990887
224.752808	-63.474552
225.425720	-63.582989
226.098633	-63.008335
226.771545	-62.924759
227.444458	-62.473598
228.117371	-62.290764
228.790283	-61.829525
229.463196	-61.428795
230.136108	-61.140137
230.809021	-60.682468
231.481934	-60.646076
232.154846	-60.233803
232.827759	-60.358147
233.500671	-60.084427
234.173584	-60.241764
234.846497	-60.187885
235.519409	-60.256096
236.192322	-60.466633
236.865234	-60.061657
237.538147	-60.088100
238.211060	-59.614716
238.883972	-59.394539
239.556885	-59.051617
240.229797	-58.610352
240.902710	-58.693886
241.575623	-58.426445
242.248535	-58.490170
242.921448	-58.591290
243.594360	-58.153519
244.267273	-57.949955
244.940186	-57.685329
245.613098	-57.243694
246.286011	-57.253712
246.958923	-57.152378
247.631836	-56.897583
248.304749	-56.816727
248.977661	-56.423523
249.650574	-56.012039
250.323486	-56.004711
250.996399	-55.886410
251.669312	-55.558060
252.342224	-55.310246
253.015137	-55.090271
253.688049	-54.720535
254.360962	-54.580742
255.033875	-54.540161
255.706787	-54.141972
256.379700	-53.712368
257.052612	-53.663441
257.725525	-53.574635
258.398438	-53.145924
259.071350	-52.787991
259.744263	-52.685802
260.417175	-52.628414
261.090088	-52.259594
261.763000	-51.946217
262.435913	-51.842880
263.108826	-51.787491
263.781738	-51.514526
264.454651	-51.205700
265.127563	-51.190773
265.800476	-51.194786
266.473389	-51.029549
267.146301	-50.856857
267.819214	-50.783680
268.492126	-50.770401
269.165039	-50.810364
269.837952	-50.925449
270.510864	-50.851379
271.183777	-50.782753
271.856689	-50.913612
272.529602	-51.097683
273.202515	-51.273975
273.875427	-51.462044
