Frequency (Hz)	Level (dB)
0.672913	-51.885368
1.345825	-51.749664
2.018738	-52.075802
2.691650	-51.787746
3.364563	-51.641266
4.037476	-51.042358
4.710388	-51.106518
5.383301	-51.059418
6.056213	-51.114441
6.729126	-50.114479
7.402039	-50.713371
8.074951	-49.637661
8.747864	-48.207375
9.420776	-49.564400
10.093689	-48.387810
10.766602	-48.114571
11.439514	-47.600452
12.112427	-46.627167
12.785339	-45.372086
13.458252	-44.559456
14.131165	-42.359959
14.804077	-38.786926
15.476990	-29.612354
16.149902	-29.996122
16.822815	-38.163605
17.495728	-39.036880
18.168640	-37.603962
18.841553	-34.318943
19.514465	-27.011555
20.187378	-10.177727
20.860291	-26.643772
21.533203	-33.772194
22.206116	-36.950016
22.879028	-37.968891
23.551941	-37.345600
24.224854	-30.215021
24.897766	-28.676380
25.570679	-38.622082
26.243591	-41.947968
26.916504	-42.956894
27.589417	-43.439533
28.262329	-43.942558
28.935242	-43.808640
29.608154	-44.929165
30.281067	-45.410271
30.953979	-44.548328
31.626892	-41.508404
32.299805	-43.680889
32.972717	-44.175636
33.645630	-43.437267
34.318542	-42.531471
34.991455	-39.059544
35.664368	-30.570723
36.337280	-30.142534
37.010193	-38.627396
37.683105	-41.070724
38.356018	-41.312576
39.028931	-39.498833
39.701843	-32.708561
40.374756	-21.698713
41.047668	-32.047085
41.720581	-38.233551
42.393494	-40.441082
43.066406	-41.536877
43.739319	-39.906040
44.412231	-34.493492
45.085144	-32.813305
45.758057	-40.015984
46.430969	-42.503731
47.103882	-42.743027
47.776794	-41.914719
48.449707	-42.221783
49.122620	-41.264629
49.795532	-41.347523
50.468445	-42.318203
51.141357	-42.472023
51.814270	-41.452023
52.487183	-42.655987
53.160095	-41.863419
53.833008	-42.346230
54.505920	-41.029591
55.178833	-37.326630
55.851746	-29.855148
56.524658	-29.771011
57.197571	-37.561489
57.870483	-40.633015
58.543396	-40.066730
59.216309	-39.261890
59.889221	-32.467999
60.562134	-25.948868
61.235046	-32.346645
61.907959	-38.415905
62.580872	-39.806412
63.253784	-40.246330
63.926697	-38.744400
64.599609	-35.109264
65.272522	-33.879372
65.945435	-39.411915
66.618347	-40.908215
67.291260	-41.042088
67.964172	-39.951008
68.637085	-41.053066
69.309998	-41.832829
69.982910	-41.497345
70.655823	-40.905029
71.328735	-37.433819
72.001648	-35.647919
72.674561	-38.450191
73.347473	-40.150978
74.020386	-40.783237
74.693298	-39.270042
75.366211	-35.501221
76.039124	-29.813152
76.712036	-29.953983
77.384949	-36.161446
78.057861	-38.108803
78.730774	-38.720310
79.403687	-39.827194
80.076599	-34.467442
80.749512	-30.695986
81.422424	-35.174156
82.095337	-38.706680
82.768250	-39.189228
83.441162	-38.384075
84.114075	-37.737720
84.786987	-35.346390
85.459900	-35.463455
86.132812	-39.226803
86.805725	-40.332912
87.478638	-40.395657
88.151550	-39.951607
88.824463	-40.111591
89.497375	-40.607830
90.170288	-40.454975
90.843201	-41.094421
91.516113	-38.399883
92.189026	-36.992733
92.861938	-40.049091
93.534851	-40.456532
94.207764	-41.116631
94.880676	-39.656429
95.553589	-36.781212
96.226501	-34.830341
96.899414	-34.579605
97.572327	-38.852985
98.245239	-40.827160
98.918152	-41.023445
99.591064	-40.251434
100.263977	-39.148571
100.936890	-38.153980
101.609802	-39.587639
102.282715	-41.653698
102.955627	-40.437943
103.628540	-41.041603
104.301453	-40.248913
104.974365	-38.853676
105.647278	-38.700172
106.320190	-39.640923
106.993103	-39.089050
107.666016	-41.495918
108.338928	-41.930435
109.011841	-40.662739
109.684753	-40.805103
110.357666	-40.387829
111.030579	-40.388962
111.703491	-38.430328
112.376404	-37.622353
113.049316	-39.352093
113.722229	-39.306393
114.395142	-39.501915
115.068054	-39.889225
115.740967	-39.050076
116.413879	-37.238304
117.086792	-38.049465
117.759705	-39.083389
118.432617	-40.397259
119.105530	-40.499214
119.778442	-40.572456
120.451355	-39.226742
121.124268	-40.235703
121.797180	-39.508568
122.470093	-40.378235
123.143005	-40.106071
123.815918	-39.427742
124.488831	-39.771236
125.161743	-39.133728
125.834656	-39.327042
126.507568	-38.383961
127.180481	-39.208645
127.853394	-40.870548
128.526306	-40.883636
129.199219	-40.295540
129.872131	-40.231907
130.545044	-40.216110
131.217957	-40.804604
131.890869	-39.626736
132.563782	-39.873173
133.236694	-39.016548
133.909607	-39.206913
134.582520	-40.478138
135.255432	-39.730896
135.928345	-39.793209
136.601257	-40.185547
137.274170	-39.806244
137.947083	-40.932587
138.619995	-40.002892
139.292908	-39.109959
139.965820	-38.951660
140.638733	-40.800655
141.311646	-39.968571
141.984558	-40.235748
142.657471	-39.847363
143.330383	-40.300552
144.003296	-39.758621
144.676208	-40.325264
145.349121	-39.772873
146.022034	-39.840694
146.694946	-39.019669
147.367859	-39.230152
148.040771	-39.782265
148.713684	-40.860989
149.386597	-39.670113
150.059509	-40.058792
150.732422	-39.256351
151.405334	-38.907104
152.078247	-38.404243
152.751160	-39.388538
153.424072	-40.740974
154.096985	-40.077236
154.769897	-39.621658
155.442810	-40.610867
156.115723	-39.009941
156.788635	-38.068581
157.461548	-39.523643
158.134460	-40.730640
158.807373	-40.457558
159.480286	-39.696117
160.153198	-39.255852
160.826111	-39.610046
161.499023	-40.512363
162.171936	-39.805771
162.844849	-39.723949
163.517761	-39.972954
164.190674	-40.609447
164.863586	-40.530407
165.536499	-40.207489
166.209412	-39.577911
166.882324	-39.069984
167.555237	-40.027012
168.228149	-40.304817
168.901062	-39.926178
169.573975	-40.607494
170.246887	-39.956421
170.919800	-39.171913
171.592712	-39.907490
172.265625	-40.889076
172.938538	-40.550732
173.611450	-39.735741
174.284363	-39.615913
174.957275	-39.578182
175.630188	-39.808399
176.303101	-39.668262
176.976013	-38.439625
177.648926	-39.349037
178.321838	-40.670006
178.994751	-39.860737
179.667664	-39.272518
180.340576	-38.813759
181.013489	-39.955105
181.686401	-41.075912
182.359314	-40.363724
183.032227	-38.280930
183.705139	-39.261211
184.378052	-38.917671
185.050964	-40.898693
185.723877	-40.761345
186.396790	-39.614002
187.069702	-38.332829
187.742615	-39.455956
188.415527	-40.210686
189.088440	-39.490894
189.761353	-39.411633
190.434265	-39.890133
191.107178	-40.502708
191.780090	-41.151474
192.453003	-39.122868
193.125916	-38.860973
193.798828	-40.001362
194.471741	-39.117180
195.144653	-39.351509
195.817566	-40.878284
196.490479	-39.805374
197.163391	-39.079742
197.836304	-39.732990
198.509216	-39.713860
199.182129	-40.403641
199.855042	-39.264099
200.527954	-38.152763
201.200867	-40.146141
201.873779	-39.050594
202.546692	-39.291454
203.219604	-39.245350
203.892517	-38.988949
204.565430	-40.239780
205.238342	-41.940929
205.911255	-40.698719
206.584167	-40.066376
207.257080	-39.858490
207.929993	-39.731087
208.602905	-40.591526
209.275818	-39.224037
209.948730	-38.335743
210.621643	-39.353722
211.294556	-40.420799
211.967468	-39.881111
212.640381	-38.675835
213.313293	-40.949207
213.986206	-39.858089
214.659119	-40.028343
215.332031	-38.944061
216.004944	-39.514439
216.677856	-39.244247
217.350769	-39.203083
218.023682	-38.602730
218.696594	-39.524601
219.369507	-38.420113
220.042419	-38.828358
220.715332	-39.666611
221.388245	-39.184761
222.061157	-39.448494
222.734070	-39.455841
223.406982	-38.921257
224.079895	-39.364246
224.752808	-39.278633
225.425720	-39.353584
226.098633	-39.351048
226.771545	-40.333889
227.444458	-39.925095
228.117371	-41.047752
228.790283	-39.751530
229.463196	-38.440365
230.136108	-39.386257
230.809021	-37.906528
231.481934	-39.579582
232.154846	-38.219769
232.827759	-38.336002
233.500671	-38.338482
234.173584	-38.977005
234.846497	-38.758305
235.519409	-38.648403
236.192322	-37.976540
236.865234	-39.179886
237.538147	-38.303368
238.211060	-37.750172
238.883972	-39.348801
239.556885	-38.799580
240.229797	-37.248302
240.902710	-37.866474
241.575623	-39.719833
242.248535	-38.596672
242.921448	-38.598976
243.594360	-37.898903
244.267273	-38.355297
244.940186	-38.635349
245.613098	-38.887390
246.286011	-38.807716
246.958923	-39.698566
247.631836	-37.585712
248.304749	-38.553761
248.977661	-38.226074
249.650574	-38.296371
250.323486	-38.761784
250.996399	-39.715588
251.669312	-38.889782
252.342224	-38.941441
253.015137	-37.080452
253.688049	-37.984108
254.360962	-36.570858
255.033875	-37.142166
255.706787	-38.580814
256.379700	-38.924648
257.052612	-37.612606
257.725525	-36.979916
258.398438	-35.962631
259.071350	-37.941803
259.744263	-36.629333
260.417175	-35.633648
261.090088	-37.299332
261.763000	-37.418571
262.435913	-36.910442
263.108826	-36.335560
263.781738	-36.536999
264.454651	-35.568882
265.127563	-36.259449
265.800476	-36.918713
266.473389	-36.771931
267.146301	-35.282021
267.819214	-36.594322
268.492126	-37.591824
269.165039	-35.436584
269.837952	-37.861767
270.510864	-37.091778
271.183777	-37.365883
271.856689	-35.323975
272.529602	-36.013542
273.202515	-35.463882
273.875427	-33.880219
274.548340	-34.917698
275.221252	-35.875973
275.894165	-34.375732
276.567078	-35.105957
277.239990	-35.149208
277.912903	-34.241333
278.585815	-34.666306
279.258728	-34.371899
279.931641	-35.783390
280.604553	-35.035198
281.277466	-34.736053
281.950378	-35.302544
282.623291	-37.748795
283.296204	-36.554695
283.969116	-35.977692
284.642029	-36.535278
285.314941	-36.236523
285.987854	-36.699131
286.660767	-36.201538
287.333679	-36.506409
288.006592	-36.689327
288.679504	-37.246777
289.352417	-37.468029
290.025330	-37.642128
290.698242	-38.069790
291.371155	-37.827541
292.044067	-37.360794
292.716980	-38.273880
293.389893	-37.934288
294.062805	-38.162693
294.735718	-39.072052
295.408630	-37.052689
296.081543	-38.525574
296.754456	-39.055351
297.427368	-38.495358
298.100281	-40.371017
298.773193	-37.789383
299.446106	-38.389408
300.119019	-38.280273
300.791931	-39.888119
301.464844	-38.757088
302.137756	-38.246140
302.810669	-38.549194
303.483582	-39.680302
304.156494	-39.281281
304.829407	-39.007252
305.502319	-38.449474
306.175232	-39.822308
306.848145	-39.519691
307.521057	-39.532890
308.193970	-39.439022
308.866882	-39.247192
309.539795	-39.517891
310.212708	-41.767162
310.885620	-40.552330
311.558533	-39.963867
312.231445	-40.126839
312.904358	-39.668381
313.577271	-39.650391
314.250183	-38.082291
314.923096	-38.668861
315.596008	-39.646122
316.268921	-40.248623
316.941833	-40.005173
317.614746	-40.450077
318.287659	-39.297054
318.960571	-39.486328
319.633484	-39.793159
320.306396	-39.830612
320.979309	-39.621868
321.652222	-39.616043
322.325134	-38.787315
322.998047	-39.498177
323.670959	-39.723831
324.343872	-39.982113
325.016785	-40.136383
325.689697	-39.984818
326.362610	-41.137135
327.035522	-40.344944
327.708435	-40.436977
328.381348	-40.698879
329.054260	-40.319122
329.727173	-40.867252
330.400085	-40.751049
331.072998	-39.832943
331.745911	-41.179512
332.418823	-40.218639
333.091736	-40.735771
333.764648	-40.608437
334.437561	-41.019417
335.110474	-41.324619
335.783386	-40.158718
336.456299	-41.316605
337.129211	-41.878242
337.802124	-41.540417
