Frequency (Hz)	Level (dB)
0.672913	-93.505341
1.345825	-93.417595
2.018738	-93.420784
2.691650	-93.416206
3.364563	-93.069496
4.037476	-92.769165
4.710388	-93.287483
5.383301	-93.225670
6.056213	-93.089790
6.729126	-91.939781
7.402039	-93.176590
8.074951	-93.086906
8.747864	-92.978195
9.420776	-92.046387
10.093689	-92.050537
10.766602	-90.849312
11.439514	-90.373978
12.112427	-90.537308
12.785339	-91.326622
13.458252	-90.613281
14.131165	-91.199402
14.804077	-90.152206
15.476990	-89.921906
16.149902	-89.352539
16.822815	-89.402992
17.495728	-90.550858
18.168640	-89.743279
18.841553	-89.871628
19.514465	-88.692711
20.187378	-90.616982
20.860291	-90.714851
21.533203	-89.906357
22.206116	-88.886597
22.879028	-87.152374
23.551941	-88.420006
24.224854	-89.583252
24.897766	-88.697701
25.570679	-89.660950
26.243591	-88.491058
26.916504	-88.806137
27.589417	-88.628769
28.262329	-87.209953
28.935242	-88.754372
29.608154	-86.186607
30.281067	-87.331894
30.953979	-89.305145
31.626892	-88.327263
32.299805	-88.616135
32.972717	-87.050125
33.645630	-88.309303
34.318542	-88.348068
34.991455	-86.632965
35.664368	-87.041878
36.337280	-87.602356
37.010193	-87.462639
37.683105	-87.122025
38.356018	-87.853516
39.028931	-86.600143
39.701843	-86.796959
40.374756	-85.522369
41.047668	-85.347939
41.720581	-86.383720
42.393494	-86.019112
43.066406	-86.801071
43.739319	-84.961449
44.412231	-86.480591
45.085144	-84.832069
45.758057	-84.655464
46.430969	-84.751656
47.103882	-84.851402
47.776794	-84.544960
48.449707	-84.473129
49.122620	-85.005112
49.795532	-84.659210
50.468445	-83.973671
51.141357	-82.215950
51.814270	-84.156113
52.487183	-84.346291
53.160095	-84.681992
53.833008	-81.770576
54.505920	-82.683395
55.178833	-82.391510
55.851746	-83.128624
56.524658	-81.687073
57.197571	-81.880524
57.870483	-80.940529
58.543396	-82.274086
59.216309	-80.057320
59.889221	-81.063751
60.562134	-80.145920
61.235046	-82.366249
61.907959	-82.069374
62.580872	-80.848701
63.253784	-81.718155
63.926697	-82.097237
64.599609	-82.702820
65.272522	-82.916603
65.945435	-82.583130
66.618347	-79.948624
67.291260	-82.236061
67.964172	-81.029930
68.637085	-79.264481
69.309998	-78.755196
69.982910	-76.330635
70.655823	-78.688065
71.328735	-78.713112
72.001648	-78.495705
72.674561	-78.811935
73.347473	-78.465096
74.020386	-78.039825
74.693298	-77.727745
75.366211	-77.546257
76.039124	-78.576241
76.712036	-77.800041
77.384949	-77.571144
78.057861	-77.328377
78.730774	-77.531342
79.403687	-76.371185
80.076599	-77.607140
80.749512	-79.499680
81.422424	-78.252937
82.095337	-79.133865
82.768250	-80.155464
83.441162	-80.771912
84.114075	-79.614243
84.786987	-79.876526
85.459900	-79.725121
86.132812	-79.040367
86.805725	-81.098122
87.478638	-79.482674
88.151550	-80.405441
88.824463	-78.467697
89.497375	-79.007561
90.170288	-79.819473
90.843201	-79.747742
91.516113	-79.240150
92.189026	-77.938370
92.861938	-78.950615
93.534851	-77.387024
94.207764	-78.357224
94.880676	-79.492554
95.553589	-79.355453
96.226501	-79.214500
96.899414	-78.545975
97.572327	-78.750458
98.245239	-78.901077
98.918152	-79.425140
99.591064	-79.147461
100.263977	-78.877647
100.936890	-78.682243
101.609802	-80.204102
102.282715	-78.528175
102.955627	-77.414490
103.628540	-79.155067
104.301453	-80.745804
104.974365	-79.177559
105.647278	-79.849426
106.320190	-78.799248
106.993103	-77.820839
107.666016	-78.068878
108.338928	-80.167206
109.011841	-79.405594
109.684753	-79.453918
110.357666	-78.210716
111.030579	-79.860580
111.703491	-77.472084
112.376404	-78.884888
113.049316	-78.131889
113.722229	-77.645218
114.395142	-77.584404
115.068054	-76.066994
115.740967	-77.744133
116.413879	-79.697533
117.086792	-77.843536
117.759705	-78.235352
118.432617	-76.710884
119.105530	-76.374657
119.778442	-73.483803
120.451355	-66.054214
121.124268	-70.327278
121.797180	-75.439262
122.470093	-76.897980
123.143005	-78.066170
123.815918	-77.277924
124.488831	-77.103722
125.161743	-78.946060
125.834656	-77.810143
126.507568	-77.833054
127.180481	-77.200401
127.853394	-77.706459
128.526306	-78.214279
129.199219	-79.604118
129.872131	-77.854805
130.545044	-77.957504
131.217957	-77.346512
131.890869	-78.483444
132.563782	-76.617912
133.236694	-78.499313
133.909607	-76.420692
134.582520	-76.349602
135.255432	-78.369591
135.928345	-78.110031
136.601257	-77.960960
137.274170	-77.698532
137.947083	-77.042969
138.619995	-77.116501
139.292908	-76.688263
139.965820	-77.263092
140.638733	-76.914108
141.311646	-77.565857
141.984558	-77.077187
142.657471	-76.822845
143.330383	-77.253403
144.003296	-77.066032
144.676208	-76.740768
145.349121	-76.929695
146.022034	-76.114197
146.694946	-76.280510
147.367859	-75.451607
148.040771	-76.957756
148.713684	-76.311790
149.386597	-75.920372
150.059509	-76.387024
150.732422	-77.808090
151.405334	-76.848763
152.078247	-76.625015
152.751160	-76.975380
153.424072	-77.446152
154.096985	-76.097839
154.769897	-76.480209
155.442810	-76.869370
156.115723	-77.585854
156.788635	-76.936722
157.461548	-77.594269
158.134460	-76.213852
158.807373	-76.423668
159.480286	-76.626457
160.153198	-76.200729
160.826111	-75.323715
161.499023	-75.452751
162.171936	-77.036461
162.844849	-77.138947
163.517761	-76.881409
164.190674	-77.594612
164.863586	-76.588310
165.536499	-76.510933
166.209412	-75.906578
166.882324	-75.539833
167.555237	-76.553230
168.228149	-75.448349
168.901062	-75.509247
169.573975	-75.635384
170.246887	-75.863869
170.919800	-76.207390
171.592712	-75.633537
172.265625	-74.851166
172.938538	-76.309235
173.611450	-75.302696
174.284363	-74.628029
174.957275	-74.481560
175.630188	-73.597183
176.303101	-73.673058
176.976013	-75.650345
177.648926	-73.831543
178.321838	-74.793350
178.994751	-75.919174
179.667664	-75.623840
180.340576	-74.380936
181.013489	-74.379150
181.686401	-74.741837
182.359314	-74.754890
183.032227	-73.858757
183.705139	-74.608902
184.378052	-73.376114
185.050964	-72.990959
185.723877	-74.623405
186.396790	-73.576218
187.069702	-74.835403
187.742615	-73.832413
188.415527	-74.622948
189.088440	-74.109573
189.761353	-73.174782
190.434265	-72.817459
191.107178	-72.421127
191.780090	-74.257774
192.453003	-74.800552
193.125916	-74.188927
193.798828	-73.620270
194.471741	-73.063583
195.144653	-72.924728
195.817566	-74.038208
196.490479	-72.385033
197.163391	-72.025917
197.836304	-73.079208
198.509216	-71.361282
199.182129	-72.223137
199.855042	-72.524750
200.527954	-72.125221
201.200867	-71.839027
201.873779	-71.823555
202.546692	-71.586433
203.219604	-72.371735
203.892517	-73.031151
204.565430	-72.382553
205.238342	-73.152977
205.911255	-72.307556
206.584167	-71.827316
207.257080	-72.712074
207.929993	-71.706177
208.602905	-70.817497
209.275818	-71.859352
209.948730	-71.978783
210.621643	-71.092476
211.294556	-70.264145
211.967468	-71.262871
212.640381	-71.334953
213.313293	-69.582176
213.986206	-71.121017
214.659119	-71.565147
215.332031	-70.016212
216.004944	-70.369781
216.677856	-69.517105
217.350769	-69.776810
218.023682	-69.881889
218.696594	-69.376320
219.369507	-69.191040
220.042419	-70.688133
220.715332	-70.278519
221.388245	-70.254913
222.061157	-69.671608
222.734070	-69.394211
223.406982	-68.764885
224.079895	-69.829491
224.752808	-69.607597
225.425720	-68.671165
226.098633	-69.794800
226.771545	-67.143082
227.444458	-67.747543
228.117371	-67.274643
228.790283	-67.805565
229.463196	-67.875229
230.136108	-67.536125
230.809021	-67.309540
231.481934	-67.716972
232.154846	-67.465538
232.827759	-66.855392
233.500671	-67.281136
234.173584	-67.701302
