Frequency (Hz)	Level (dB)
0.672913	-45.989304
1.345825	-45.963680
2.018738	-45.919224
2.691650	-45.850128
3.364563	-45.761723
4.037476	-45.625065
4.710388	-45.478451
5.383301	-45.339413
6.056213	-45.138309
6.729126	-44.945030
7.402039	-44.721790
8.074951	-44.457920
8.747864	-44.204132
9.420776	-43.925022
10.093689	-43.529537
10.766602	-43.125397
11.439514	-42.786812
12.112427	-42.374798
12.785339	-41.891468
13.458252	-41.394455
14.131165	-40.894215
14.804077	-40.325451
15.476990	-39.665482
16.149902	-38.989941
16.822815	-38.219112
17.495728	-37.420296
18.168640	-36.425938
18.841553	-35.471821
19.514465	-34.191376
20.187378	-32.797585
20.860291	-31.052660
21.533203	-28.956511
22.206116	-26.077448
22.879028	-21.407780
23.551941	-13.300806
24.224854	-9.861904
24.897766	-20.483940
25.570679	-25.300196
26.243591	-28.399408
26.916504	-30.635279
27.589417	-32.405636
28.262329	-33.879436
28.935242	-35.086926
29.608154	-36.255249
30.281067	-37.137024
30.953979	-38.059940
31.626892	-38.781372
32.299805	-39.609917
32.972717	-40.210976
33.645630	-40.696171
34.318542	-41.307827
34.991455	-41.817596
35.664368	-42.381741
36.337280	-42.743073
37.010193	-43.290085
37.683105	-43.422905
38.356018	-43.781364
39.028931	-44.183716
39.701843	-44.481251
40.374756	-44.964832
41.047668	-45.263779
41.720581	-45.204845
42.393494	-45.258839
43.066406	-45.836929
43.739319	-45.814598
44.412231	-45.451077
45.085144	-45.095627
45.758057	-44.660858
46.430969	-42.419674
47.103882	-38.020374
47.776794	-24.826555
48.449707	-34.909008
49.122620	-38.447327
49.795532	-44.203571
50.468445	-45.768368
51.141357	-47.086960
51.814270	-47.420082
52.487183	-47.915501
53.160095	-48.184624
53.833008	-48.246830
54.505920	-49.069431
55.178833	-48.807655
55.851746	-49.258327
56.524658	-49.538818
57.197571	-49.395836
57.870483	-49.021965
58.543396	-49.119247
59.216309	-49.993763
59.889221	-49.606941
60.562134	-49.605129
61.235046	-49.614964
61.907959	-50.033207
62.580872	-49.653603
63.253784	-48.826153
63.926697	-48.987175
64.599609	-48.896755
65.272522	-48.717949
65.945435	-47.916767
66.618347	-48.253578
67.291260	-46.704941
67.964172	-46.316555
68.637085	-44.052990
69.309998	-41.743046
69.982910	-37.743488
70.655823	-31.561535
71.328735	-27.818493
72.001648	-19.973574
72.674561	-32.592480
73.347473	-37.929062
74.020386	-41.661106
74.693298	-43.660225
75.366211	-45.378372
76.039124	-46.213642
76.712036	-46.556110
77.384949	-48.286709
78.057861	-47.731941
78.730774	-49.141251
79.403687	-49.609856
80.076599	-49.112511
80.749512	-49.764645
81.422424	-49.746059
82.095337	-50.418831
82.768250	-49.618694
83.441162	-51.194065
84.114075	-50.863808
84.786987	-50.757912
85.459900	-50.449368
86.132812	-50.570568
86.805725	-49.848415
87.478638	-49.416862
88.151550	-50.900082
88.824463	-49.677479
89.497375	-49.945541
90.170288	-49.107784
90.843201	-48.960258
91.516113	-47.771961
92.189026	-47.063274
92.861938	-45.564346
93.534851	-42.998108
94.207764	-39.240326
94.880676	-33.035015
95.553589	-26.215204
96.226501	-29.536245
96.899414	-34.649826
97.572327	-41.013794
98.245239	-44.142464
98.918152	-45.656731
99.591064	-46.716942
100.263977	-49.005611
100.936890	-49.552834
101.609802	-50.043964
102.282715	-50.815441
102.955627	-50.642380
103.628540	-50.863415
104.301453	-51.381989
104.974365	-51.574764
105.647278	-52.106289
106.320190	-51.896080
106.993103	-52.120758
107.666016	-52.662769
108.338928	-52.127846
109.011841	-53.078785
109.684753	-53.307819
110.357666	-52.600525
111.030579	-52.498787
111.703491	-53.292652
112.376404	-52.187721
113.049316	-53.780766
113.722229	-52.585155
