Frequency (Hz)	Level (dB)
0.672913	-94.564323
1.345825	-94.494873
2.018738	-94.569603
2.691650	-94.281593
3.364563	-93.946999
4.037476	-94.642181
4.710388	-93.510216
5.383301	-94.083359
6.056213	-94.767532
6.729126	-92.638870
7.402039	-93.837021
8.074951	-93.175598
8.747864	-93.161858
9.420776	-93.249947
10.093689	-92.425262
10.766602	-90.517059
11.439514	-91.125221
12.112427	-89.678009
12.785339	-91.498802
13.458252	-89.210434
14.131165	-91.828194
14.804077	-91.068375
15.476990	-93.297768
16.149902	-90.940659
16.822815	-89.937080
17.495728	-90.020035
18.168640	-89.596245
18.841553	-89.087517
19.514465	-90.528015
20.187378	-89.654869
20.860291	-87.428192
21.533203	-89.339577
22.206116	-88.867538
22.879028	-88.729584
23.551941	-86.793205
24.224854	-89.682198
24.897766	-88.348183
25.570679	-90.529648
26.243591	-88.654137
26.916504	-88.191170
27.589417	-89.528603
28.262329	-87.789055
28.935242	-90.671791
29.608154	-86.020203
30.281067	-86.182777
30.953979	-85.600838
31.626892	-86.995430
32.299805	-85.369774
32.972717	-87.139923
33.645630	-86.942383
34.318542	-85.003395
34.991455	-84.943535
35.664368	-88.866943
36.337280	-87.556023
37.010193	-87.757553
37.683105	-84.849594
38.356018	-84.896111
39.028931	-83.219162
39.701843	-82.382187
40.374756	-88.678444
41.047668	-86.118057
41.720581	-84.710312
42.393494	-83.983467
43.066406	-88.011734
43.739319	-85.729126
44.412231	-83.692917
45.085144	-83.627174
45.758057	-82.851959
46.430969	-82.080330
47.103882	-83.737556
47.776794	-81.761612
48.449707	-82.752853
49.122620	-83.460419
49.795532	-83.742226
50.468445	-80.382278
51.141357	-81.657333
51.814270	-79.945374
52.487183	-80.656807
53.160095	-80.533524
53.833008	-78.370155
54.505920	-82.478905
55.178833	-82.038818
55.851746	-81.634575
56.524658	-80.883553
57.197571	-80.185013
57.870483	-79.330254
58.543396	-79.638924
59.216309	-76.575203
59.889221	-79.182877
60.562134	-77.230942
61.235046	-77.466057
61.907959	-82.380592
62.580872	-78.068382
63.253784	-80.177330
63.926697	-80.703880
64.599609	-78.936638
65.272522	-81.989372
65.945435	-79.816322
66.618347	-80.572243
67.291260	-78.341652
67.964172	-78.013359
68.637085	-78.604080
69.309998	-75.833511
69.982910	-74.507881
70.655823	-75.190361
71.328735	-76.163353
72.001648	-76.982994
72.674561	-75.756187
73.347473	-77.551651
74.020386	-77.624855
74.693298	-77.811516
75.366211	-75.494011
76.039124	-75.351425
76.712036	-78.828362
77.384949	-75.372040
78.057861	-78.339409
78.730774	-78.720276
79.403687	-77.066895
80.076599	-73.948578
80.749512	-78.337440
81.422424	-77.025841
82.095337	-76.303009
82.768250	-76.383018
83.441162	-78.457359
84.114075	-76.300949
84.786987	-77.726349
85.459900	-76.263885
86.132812	-76.302010
86.805725	-77.439201
87.478638	-78.994766
88.151550	-78.580055
88.824463	-74.984772
89.497375	-75.958199
90.170288	-75.684914
90.843201	-75.553352
91.516113	-77.113197
92.189026	-75.613808
92.861938	-78.691917
93.534851	-74.678032
94.207764	-77.747108
94.880676	-76.977211
95.553589	-75.723335
96.226501	-75.858276
96.899414	-75.215538
97.572327	-75.336189
98.245239	-75.240097
98.918152	-74.399940
99.591064	-75.381233
100.263977	-75.823593
100.936890	-75.457581
101.609802	-77.706223
102.282715	-75.678581
102.955627	-76.288033
103.628540	-77.154144
104.301453	-79.832138
104.974365	-77.308090
105.647278	-77.409698
106.320190	-79.012939
106.993103	-76.678429
107.666016	-73.429985
108.338928	-77.586739
109.011841	-76.389664
109.684753	-76.103638
110.357666	-75.525070
111.030579	-78.601433
111.703491	-75.116051
112.376404	-76.772614
113.049316	-76.079338
113.722229	-74.250931
114.395142	-74.552444
115.068054	-73.419853
115.740967	-75.204346
116.413879	-75.635635
117.086792	-75.215195
117.759705	-74.224434
118.432617	-74.184128
119.105530	-74.387482
119.778442	-70.149902
120.451355	-64.219055
121.124268	-67.054131
121.797180	-73.485229
122.470093	-73.250740
123.143005	-76.207466
123.815918	-75.480156
124.488831	-74.318092
125.161743	-76.072617
125.834656	-76.987839
126.507568	-80.150818
127.180481	-78.476761
127.853394	-73.523155
128.526306	-75.160751
129.199219	-74.966293
129.872131	-74.554222
130.545044	-76.979401
131.217957	-80.419937
131.890869	-74.938713
132.563782	-75.189896
133.236694	-78.673645
133.909607	-73.216293
134.582520	-71.634476
135.255432	-78.882576
135.928345	-75.616043
136.601257	-77.396217
137.274170	-74.857155
137.947083	-75.181137
138.619995	-73.834709
139.292908	-75.982971
139.965820	-75.668732
140.638733	-76.057297
141.311646	-74.317360
141.984558	-72.646706
142.657471	-72.280800
143.330383	-74.804985
144.003296	-72.598373
144.676208	-75.541290
145.349121	-76.569931
146.022034	-72.637291
146.694946	-74.616760
147.367859	-72.604752
148.040771	-76.114120
148.713684	-73.870407
149.386597	-72.500702
150.059509	-71.293755
