Frequency (Hz)	Level (dB)
0.672913	-90.620560
1.345825	-90.785896
2.018738	-90.606567
2.691650	-90.538078
3.364563	-90.583702
4.037476	-90.203514
4.710388	-90.251991
5.383301	-90.262115
6.056213	-89.745155
6.729126	-89.915588
7.402039	-89.391312
8.074951	-90.134171
8.747864	-90.157730
9.420776	-89.438980
10.093689	-88.716072
10.766602	-88.347282
11.439514	-87.628181
12.112427	-87.709023
12.785339	-88.542160
13.458252	-87.327576
14.131165	-88.798141
14.804077	-87.828545
15.476990	-88.046669
16.149902	-87.793167
16.822815	-88.396957
17.495728	-88.805359
18.168640	-88.232704
18.841553	-86.179863
19.514465	-87.116028
20.187378	-87.320877
20.860291	-85.756157
21.533203	-87.176819
22.206116	-87.897705
22.879028	-85.191154
23.551941	-85.765251
24.224854	-86.271011
24.897766	-86.620438
25.570679	-85.771187
26.243591	-86.875031
26.916504	-85.516907
27.589417	-85.256493
28.262329	-85.805832
28.935242	-85.673233
29.608154	-83.791092
30.281067	-86.482864
30.953979	-85.063133
31.626892	-83.165871
32.299805	-84.742943
32.972717	-83.520569
33.645630	-84.769699
34.318542	-85.525055
34.991455	-83.381645
35.664368	-83.667374
36.337280	-84.284508
37.010193	-83.599228
37.683105	-83.795746
38.356018	-84.467461
39.028931	-83.169128
39.701843	-83.893921
40.374756	-83.053520
41.047668	-81.237343
41.720581	-83.322548
42.393494	-82.767906
43.066406	-82.431885
43.739319	-82.250839
44.412231	-83.096138
45.085144	-80.945663
45.758057	-80.784142
46.430969	-80.898415
47.103882	-82.042885
47.776794	-81.020645
48.449707	-81.113106
49.122620	-80.738785
49.795532	-81.065865
50.468445	-79.910538
51.141357	-79.931236
51.814270	-80.032623
52.487183	-80.438049
53.160095	-80.070961
53.833008	-78.143883
54.505920	-79.926765
55.178833	-79.889877
55.851746	-79.399063
56.524658	-78.883049
57.197571	-78.778000
57.870483	-77.598900
58.543396	-77.774673
59.216309	-75.256706
59.889221	-77.208397
60.562134	-76.526344
61.235046	-77.310974
61.907959	-77.759140
62.580872	-77.930710
63.253784	-77.820869
63.926697	-77.818047
64.599609	-77.975067
65.272522	-78.467453
65.945435	-78.365982
66.618347	-76.591400
67.291260	-77.768074
67.964172	-76.969536
68.637085	-76.547058
69.309998	-75.232231
69.982910	-72.473724
70.655823	-75.586975
71.328735	-75.234451
72.001648	-75.229324
72.674561	-75.397789
73.347473	-74.879723
74.020386	-75.467346
74.693298	-74.864922
75.366211	-73.832230
76.039124	-74.006187
76.712036	-74.278763
77.384949	-74.996361
78.057861	-74.978775
78.730774	-74.915276
79.403687	-74.940186
80.076599	-75.263466
80.749512	-74.879883
81.422424	-75.097527
82.095337	-75.506233
82.768250	-75.303490
83.441162	-75.403008
84.114075	-75.071983
84.786987	-75.507996
85.459900	-75.906631
86.132812	-75.447975
86.805725	-75.968956
87.478638	-76.087288
88.151550	-76.513786
88.824463	-74.933876
89.497375	-74.669510
90.170288	-75.582199
90.843201	-75.625641
91.516113	-75.173027
92.189026	-74.654503
92.861938	-75.732254
93.534851	-73.801308
94.207764	-74.681213
94.880676	-75.441849
95.553589	-75.675179
96.226501	-75.256393
96.899414	-74.180946
97.572327	-74.813423
98.245239	-75.373772
98.918152	-75.078514
99.591064	-74.956009
100.263977	-74.862633
100.936890	-74.895187
101.609802	-76.162582
102.282715	-74.856323
102.955627	-73.955368
103.628540	-75.014961
104.301453	-76.998993
104.974365	-74.649895
105.647278	-75.832047
106.320190	-75.091919
106.993103	-74.013351
107.666016	-73.732834
108.338928	-76.060333
109.011841	-74.733871
109.684753	-75.023849
110.357666	-74.600266
111.030579	-75.925682
111.703491	-73.671349
112.376404	-74.957870
113.049316	-74.328926
113.722229	-73.895119
114.395142	-74.080391
115.068054	-72.441650
115.740967	-73.664711
116.413879	-75.707542
117.086792	-73.231544
117.759705	-73.597061
118.432617	-71.410416
119.105530	-72.002762
119.778442	-69.035812
120.451355	-66.315552
121.124268	-64.970070
121.797180	-71.216949
122.470093	-73.549889
123.143005	-73.676353
123.815918	-72.665611
124.488831	-73.220482
125.161743	-74.861092
125.834656	-73.952736
126.507568	-74.866455
127.180481	-73.143806
127.853394	-73.637589
128.526306	-74.463692
129.199219	-74.939163
129.872131	-74.252937
130.545044	-74.161560
131.217957	-73.272682
131.890869	-74.319061
132.563782	-72.450829
133.236694	-74.098076
133.909607	-71.750610
134.582520	-72.190468
135.255432	-74.891350
135.928345	-74.115524
136.601257	-73.863319
137.274170	-73.567879
137.947083	-73.156715
138.619995	-72.434219
139.292908	-71.940407
139.965820	-73.168442
140.638733	-72.773743
141.311646	-73.374008
141.984558	-72.742203
142.657471	-72.532913
143.330383	-73.260056
144.003296	-73.035400
144.676208	-72.531288
145.349121	-72.710938
146.022034	-71.816513
146.694946	-72.254547
147.367859	-71.258766
148.040771	-72.503510
148.713684	-72.044891
149.386597	-71.721344
150.059509	-72.128952
150.732422	-73.136208
151.405334	-72.352440
152.078247	-72.139534
152.751160	-72.768555
153.424072	-73.062683
154.096985	-71.935097
154.769897	-72.117836
155.442810	-72.390709
156.115723	-72.981979
156.788635	-72.446541
157.461548	-73.375168
158.134460	-71.787788
158.807373	-72.122849
159.480286	-71.877243
160.153198	-71.731735
160.826111	-70.898781
161.499023	-70.984016
162.171936	-72.452332
162.844849	-72.279007
163.517761	-71.838257
164.190674	-73.174873
164.863586	-72.033424
165.536499	-71.852531
166.209412	-71.181412
166.882324	-71.112442
167.555237	-71.789909
168.228149	-70.791634
168.901062	-70.940002
169.573975	-70.880112
170.246887	-71.012405
170.919800	-71.181679
171.592712	-70.750824
172.265625	-69.989662
172.938538	-71.440147
173.611450	-70.235558
174.284363	-69.719948
174.957275	-69.465126
175.630188	-68.662834
176.303101	-68.765564
176.976013	-70.532593
177.648926	-69.247055
178.321838	-69.822968
178.994751	-70.699928
179.667664	-70.569046
180.340576	-69.476860
181.013489	-69.468819
181.686401	-69.631599
182.359314	-69.684990
183.032227	-68.648674
183.705139	-69.532326
184.378052	-68.474419
185.050964	-67.910355
185.723877	-69.135300
186.396790	-68.167633
187.069702	-69.348289
187.742615	-68.443634
188.415527	-69.271164
189.088440	-68.829338
189.761353	-67.931885
190.434265	-67.333504
191.107178	-67.054604
191.780090	-68.765785
192.453003	-69.358116
193.125916	-68.428368
193.798828	-68.101707
194.471741	-67.457336
195.144653	-67.235268
195.817566	-68.306046
196.490479	-66.843857
197.163391	-66.622932
197.836304	-67.235161
198.509216	-65.506020
199.182129	-66.494324
199.855042	-66.553543
200.527954	-66.439369
201.200867	-66.016258
201.873779	-65.950439
202.546692	-65.357994
203.219604	-66.266487
203.892517	-66.785530
204.565430	-66.232422
205.238342	-66.828362
205.911255	-66.032433
206.584167	-65.474350
207.257080	-66.281349
207.929993	-65.565315
208.602905	-64.334290
209.275818	-65.202812
209.948730	-65.612045
210.621643	-64.717590
211.294556	-63.497337
211.967468	-64.607361
212.640381	-64.622215
213.313293	-62.851959
213.986206	-64.385590
214.659119	-64.510948
215.332031	-63.064888
216.004944	-63.459694
216.677856	-62.165310
217.350769	-62.484241
218.023682	-62.760155
218.696594	-62.150932
219.369507	-61.799896
220.042419	-63.207172
220.715332	-62.701382
221.388245	-62.708035
222.061157	-62.094940
222.734070	-61.375710
223.406982	-60.817966
224.079895	-61.977940
224.752808	-61.730370
225.425720	-60.612419
226.098633	-61.562824
226.771545	-59.003170
227.444458	-59.573265
228.117371	-59.118805
228.790283	-59.251854
229.463196	-59.278450
230.136108	-58.876862
230.809021	-58.679005
231.481934	-59.041035
232.154846	-58.688511
232.827759	-58.051487
233.500671	-58.387104
234.173584	-58.557850
234.846497	-57.548992
235.519409	-58.201271
236.192322	-56.999859
236.865234	-55.623421
237.538147	-56.493454
238.211060	-56.545967
238.883972	-56.166027
239.556885	-56.169834
240.229797	-55.735748
240.902710	-56.213936
241.575623	-56.699924
242.248535	-53.806770
242.921448	-54.387226
243.594360	-53.881794
244.267273	-53.646423
244.940186	-53.802940
245.613098	-54.561699
246.286011	-54.940311
246.958923	-56.624962
247.631836	-54.204063
248.304749	-54.689205
248.977661	-55.433266
249.650574	-55.009304
250.323486	-54.245113
250.996399	-54.363605
251.669312	-55.495056
252.342224	-56.667599
253.015137	-55.306831
253.688049	-56.335587
254.360962	-54.724922
255.033875	-55.590908
255.706787	-55.909954
256.379700	-56.414593
257.052612	-55.620293
257.725525	-56.208382
258.398438	-56.263264
259.071350	-56.819336
259.744263	-57.405903
260.417175	-57.568829
261.090088	-57.036652
261.763000	-57.423168
262.435913	-58.151588
263.108826	-58.178642
263.781738	-57.782906
264.454651	-58.764713
265.127563	-58.504742
265.800476	-59.469307
266.473389	-59.207630
267.146301	-60.188065
267.819214	-60.043560
268.492126	-58.746292
269.165039	-59.026230
269.837952	-61.375099
270.510864	-61.663528
271.183777	-59.916584
271.856689	-61.602581
272.529602	-60.995258
273.202515	-60.472561
273.875427	-61.938061
274.548340	-61.632015
275.221252	-61.156715
275.894165	-62.239708
276.567078	-61.916237
277.239990	-62.265289
277.912903	-60.818012
278.585815	-60.891190
279.258728	-63.960922
279.931641	-63.528465
280.604553	-62.803253
281.277466	-63.173248
281.950378	-63.388958
