Frequency (Hz)	Level (dB)
0.672913	-89.142540
1.345825	-89.030518
2.018738	-89.091469
2.691650	-89.177536
3.364563	-88.839493
4.037476	-88.869110
4.710388	-89.341263
5.383301	-89.252663
6.056213	-88.737556
6.729126	-88.457344
7.402039	-88.242363
8.074951	-88.784546
8.747864	-88.429535
9.420776	-88.632736
10.093689	-87.359314
10.766602	-87.341331
11.439514	-87.726509
12.112427	-86.925583
12.785339	-86.604904
13.458252	-87.082077
14.131165	-86.742477
14.804077	-88.610359
15.476990	-88.019920
16.149902	-86.475746
16.822815	-86.884308
17.495728	-87.778824
18.168640	-86.896919
18.841553	-85.745445
19.514465	-85.896248
20.187378	-86.093765
20.860291	-86.644585
21.533203	-87.040619
22.206116	-85.610329
22.879028	-84.579918
23.551941	-85.639191
24.224854	-85.195404
24.897766	-85.820961
25.570679	-85.577202
26.243591	-85.363243
26.916504	-85.224274
27.589417	-85.359291
28.262329	-85.310028
28.935242	-84.844452
29.608154	-83.331802
30.281067	-85.460991
30.953979	-85.485924
31.626892	-84.116570
32.299805	-84.655548
32.972717	-85.483910
33.645630	-84.896042
34.318542	-85.635033
34.991455	-84.846573
35.664368	-85.207207
36.337280	-84.455727
37.010193	-83.939590
37.683105	-84.640648
38.356018	-85.500145
39.028931	-84.613098
39.701843	-84.150291
40.374756	-84.708267
41.047668	-83.470787
41.720581	-83.780319
42.393494	-83.598267
43.066406	-84.897850
43.739319	-84.543137
44.412231	-83.898521
45.085144	-83.159134
45.758057	-84.161278
46.430969	-82.108765
47.103882	-83.420143
47.776794	-83.468605
48.449707	-82.840164
49.122620	-82.797577
49.795532	-82.420143
50.468445	-83.616074
51.141357	-81.955658
51.814270	-82.289406
52.487183	-82.013977
53.160095	-80.343452
53.833008	-80.064766
54.505920	-82.910553
55.178833	-82.209213
55.851746	-81.033836
56.524658	-82.424339
57.197571	-79.907677
57.870483	-78.365059
58.543396	-80.058975
59.216309	-73.462128
59.889221	-77.433357
60.562134	-78.768440
61.235046	-79.664543
61.907959	-77.701881
62.580872	-79.053070
63.253784	-81.417526
63.926697	-79.338348
64.599609	-80.025955
65.272522	-79.995071
65.945435	-80.416687
66.618347	-78.800606
67.291260	-80.204620
67.964172	-78.635292
68.637085	-78.016121
69.309998	-77.231544
69.982910	-74.736145
70.655823	-76.846367
71.328735	-76.552765
72.001648	-75.431381
72.674561	-74.356804
73.347473	-74.414696
74.020386	-72.264221
74.693298	-70.811485
75.366211	-71.115700
76.039124	-74.122307
76.712036	-76.186447
77.384949	-77.995743
78.057861	-78.041534
78.730774	-76.971771
79.403687	-73.786697
80.076599	-75.169876
80.749512	-75.481415
81.422424	-75.357880
82.095337	-76.624870
82.768250	-77.153374
83.441162	-77.520317
84.114075	-77.428955
84.786987	-78.743904
85.459900	-78.453255
86.132812	-76.732964
86.805725	-77.629036
87.478638	-78.108704
88.151550	-79.830185
88.824463	-76.848724
89.497375	-77.462898
90.170288	-78.792763
90.843201	-75.318886
91.516113	-78.119331
92.189026	-75.053177
92.861938	-76.478249
93.534851	-73.533829
94.207764	-76.308586
94.880676	-77.284576
95.553589	-78.483612
96.226501	-77.489288
96.899414	-77.458832
97.572327	-77.749695
98.245239	-78.407166
98.918152	-77.501411
99.591064	-76.667320
100.263977	-78.621727
100.936890	-78.211754
101.609802	-78.460274
102.282715	-77.748474
102.955627	-77.382004
103.628540	-77.785477
104.301453	-78.984344
104.974365	-77.927437
105.647278	-77.608040
106.320190	-77.673798
106.993103	-75.645882
107.666016	-76.027573
108.338928	-78.297531
109.011841	-77.842407
109.684753	-79.314018
110.357666	-77.304314
111.030579	-78.801537
111.703491	-75.889687
112.376404	-75.781174
113.049316	-74.194984
113.722229	-73.554970
114.395142	-74.150276
115.068054	-72.525330
115.740967	-74.794518
116.413879	-76.894547
117.086792	-75.183380
117.759705	-75.704079
118.432617	-71.147942
119.105530	-70.548149
119.778442	-67.369232
120.451355	-65.929909
121.124268	-57.445610
121.797180	-69.991547
122.470093	-74.056084
123.143005	-73.906738
123.815918	-74.397392
124.488831	-74.939224
125.161743	-76.185570
125.834656	-76.024971
126.507568	-75.926346
127.180481	-75.857056
127.853394	-74.970535
128.526306	-76.330872
129.199219	-74.804695
129.872131	-75.485390
130.545044	-76.453232
131.217957	-76.200272
131.890869	-74.250252
132.563782	-74.347481
133.236694	-76.338356
133.909607	-74.524651
134.582520	-73.441429
135.255432	-76.606842
135.928345	-75.424210
136.601257	-75.239410
137.274170	-74.483650
137.947083	-74.942276
138.619995	-73.264297
139.292908	-73.148911
139.965820	-74.498703
140.638733	-74.666840
141.311646	-73.735374
141.984558	-73.446930
142.657471	-73.376152
143.330383	-74.715538
144.003296	-74.266289
144.676208	-73.896988
145.349121	-74.238266
146.022034	-73.259750
146.694946	-72.845062
147.367859	-71.305779
148.040771	-73.051491
148.713684	-72.695374
149.386597	-71.446732
150.059509	-72.268326
150.732422	-74.187714
151.405334	-73.592270
152.078247	-72.014084
152.751160	-74.145599
153.424072	-73.977615
154.096985	-73.169914
154.769897	-73.026375
155.442810	-72.672600
156.115723	-73.282646
156.788635	-72.762474
157.461548	-73.242683
158.134460	-72.445480
158.807373	-72.696312
159.480286	-72.010384
160.153198	-71.927658
160.826111	-71.329552
161.499023	-70.847244
162.171936	-73.209694
162.844849	-72.610039
163.517761	-73.015083
164.190674	-73.145004
164.863586	-70.850716
165.536499	-71.667213
166.209412	-71.574013
166.882324	-70.843643
167.555237	-71.134758
168.228149	-70.160370
168.901062	-69.437584
169.573975	-69.611839
170.246887	-71.019112
170.919800	-72.201683
171.592712	-69.130745
172.265625	-68.596893
172.938538	-69.371735
173.611450	-69.290253
174.284363	-68.686241
174.957275	-67.186279
175.630188	-65.918945
176.303101	-66.980995
176.976013	-68.685265
177.648926	-67.472717
178.321838	-68.822044
178.994751	-68.558853
179.667664	-67.885117
180.340576	-67.754311
181.013489	-66.452362
181.686401	-67.047989
182.359314	-66.750214
183.032227	-65.131523
183.705139	-66.145775
184.378052	-65.403999
185.050964	-63.567165
185.723877	-66.128075
186.396790	-64.355316
187.069702	-66.831757
187.742615	-64.355621
188.415527	-65.001671
189.088440	-65.013832
189.761353	-64.024872
190.434265	-63.808052
191.107178	-63.299568
191.780090	-63.855743
192.453003	-63.617970
193.125916	-63.870796
193.798828	-62.549381
194.471741	-61.006111
195.144653	-60.190231
195.817566	-62.464523
196.490479	-60.338814
197.163391	-60.460903
197.836304	-60.159542
198.509216	-58.388844
199.182129	-58.527088
199.855042	-59.793411
200.527954	-59.599854
201.200867	-58.254814
201.873779	-57.363266
202.546692	-57.202206
203.219604	-58.348526
203.892517	-57.437569
204.565430	-56.923546
205.238342	-59.143951
205.911255	-57.345955
206.584167	-57.699551
207.257080	-57.492981
207.929993	-56.830105
208.602905	-55.018917
209.275818	-55.787121
209.948730	-55.749725
210.621643	-55.863705
211.294556	-55.506630
211.967468	-55.824913
212.640381	-56.486237
213.313293	-55.065369
213.986206	-57.006935
214.659119	-57.288147
215.332031	-56.080612
216.004944	-56.801178
216.677856	-56.213409
217.350769	-56.855556
218.023682	-59.887245
218.696594	-57.733475
219.369507	-57.212742
220.042419	-60.674385
220.715332	-60.787884
221.388245	-61.212479
222.061157	-60.008862
222.734070	-61.577091
223.406982	-60.552555
224.079895	-61.574230
224.752808	-61.826542
225.425720	-61.340378
226.098633	-62.367729
226.771545	-60.894245
227.444458	-61.636978
228.117371	-62.569942
228.790283	-62.758286
229.463196	-62.612968
230.136108	-62.281239
230.809021	-63.558899
231.481934	-64.213257
232.154846	-64.193336
232.827759	-64.846565
233.500671	-64.585487
234.173584	-65.885262
234.846497	-64.122108
235.519409	-65.470535
236.192322	-64.418282
236.865234	-64.081459
237.538147	-66.662247
238.211060	-65.748085
238.883972	-65.307014
239.556885	-66.649399
240.229797	-66.083771
240.902710	-66.538040
241.575623	-68.170937
242.248535	-64.255653
242.921448	-65.786835
243.594360	-65.952499
244.267273	-65.106735
244.940186	-65.660133
245.613098	-66.653122
246.286011	-66.520264
246.958923	-68.568398
247.631836	-66.869606
248.304749	-67.653259
248.977661	-68.828529
249.650574	-67.293625
250.323486	-68.502747
250.996399	-68.634285
251.669312	-68.760597
252.342224	-70.302170
253.015137	-68.316475
253.688049	-68.870010
254.360962	-67.602119
255.033875	-68.824051
255.706787	-69.403145
256.379700	-69.651497
257.052612	-68.035286
257.725525	-68.325661
258.398438	-68.863762
259.071350	-69.593597
259.744263	-69.587593
260.417175	-70.688843
261.090088	-69.875908
261.763000	-68.707581
262.435913	-70.182663
263.108826	-70.260628
263.781738	-69.415222
264.454651	-69.828911
265.127563	-69.356445
265.800476	-69.938705
266.473389	-70.387253
267.146301	-71.467911
267.819214	-69.599625
268.492126	-69.944458
269.165039	-68.845558
269.837952	-70.964294
270.510864	-72.059135
271.183777	-70.799065
271.856689	-71.923904
272.529602	-71.812592
273.202515	-72.302292
273.875427	-72.302124
274.548340	-71.719528
275.221252	-69.472366
275.894165	-71.886566
276.567078	-71.816673
277.239990	-72.361992
277.912903	-70.824203
278.585815	-69.993027
279.258728	-72.490471
279.931641	-71.869904
280.604553	-71.173904
281.277466	-72.063454
281.950378	-71.326721
282.623291	-72.091682
283.296204	-71.897308
283.969116	-71.163925
284.642029	-70.038330
285.314941	-71.499023
285.987854	-72.445862
286.660767	-71.366653
287.333679	-71.420105
288.006592	-72.950768
288.679504	-72.158524
289.352417	-72.479126
290.025330	-70.487305
290.698242	-72.255562
291.371155	-71.556648
292.044067	-72.114548
292.716980	-70.786629
293.389893	-72.157784
294.062805	-71.926445
294.735718	-72.651405
295.408630	-72.927055
296.081543	-73.020462
296.754456	-71.900879
297.427368	-70.454605
298.100281	-72.238945
298.773193	-72.583069
299.446106	-73.538658
300.119019	-71.711449
300.791931	-73.137947
301.464844	-69.750893
302.137756	-72.135834
302.810669	-71.547699
303.483582	-73.806953
304.156494	-72.808342
304.829407	-73.312935
305.502319	-73.028740
306.175232	-72.483337
306.848145	-73.581345
307.521057	-73.323067
308.193970	-71.562935
308.866882	-72.203667
309.539795	-71.743599
310.212708	-72.470955
310.885620	-70.884796
311.558533	-73.064743
312.231445	-73.127403
312.904358	-71.494316
313.577271	-71.111732
314.250183	-72.114952
314.923096	-72.048546
315.596008	-72.364525
316.268921	-72.175781
316.941833	-73.313210
317.614746	-69.601570
318.287659	-71.006004
318.960571	-72.522102
319.633484	-72.924637
320.306396	-73.052948
320.979309	-71.773544
321.652222	-71.389030
322.325134	-72.341125
322.998047	-71.980278
323.670959	-71.686127
324.343872	-70.956100
325.016785	-72.646843
325.689697	-71.277191
326.362610	-71.449890
327.035522	-72.395340
327.708435	-72.474731
328.381348	-72.909393
329.054260	-73.268982
329.727173	-72.034126
330.400085	-72.429993
331.072998	-71.883865
331.745911	-71.360718
332.418823	-73.309364
333.091736	-70.984436
333.764648	-71.432190
334.437561	-71.674347
335.110474	-71.515358
335.783386	-72.389015
336.456299	-72.228806
337.129211	-70.587410
337.802124	-71.054443
338.475037	-71.000877
339.147949	-73.057274
339.820862	-70.643768
340.493774	-71.203201
341.166687	-71.072861
341.839600	-71.035301
342.512512	-72.687790
343.185425	-72.419838
343.858337	-73.342102
344.531250	-73.158272
345.204163	-70.369766
345.877075	-70.470367
346.549988	-71.933258
347.222900	-71.563194
347.895813	-72.015961
348.568726	-70.136040
349.241638	-71.636353
349.914551	-70.892715
350.587463	-71.605934
351.260376	-71.588646
351.933289	-70.584579
352.606201	-70.203720
353.279114	-69.434525
353.952026	-71.726280
354.624939	-70.543808
355.297852	-70.539886
355.970764	-71.387390
356.643677	-71.247047
357.316589	-70.146133
357.989502	-70.918121
358.662415	-70.560219
359.335327	-70.383568
360.008240	-70.110336
360.681152	-70.615746
361.354065	-72.714119
362.026978	-71.933228
362.699890	-69.962975
363.372803	-70.133705
364.045715	-70.487946
364.718628	-69.919296
365.391541	-72.135895
366.064453	-69.243835
366.737366	-70.118660
367.410278	-69.650833
368.083191	-70.630157
368.756104	-69.438644
369.429016	-68.482430
370.101929	-69.891808
370.774841	-71.064590
371.447754	-68.978653
372.120667	-70.054276
372.793579	-68.494179
373.466492	-68.812187
374.139404	-68.973480
374.812317	-68.293266
375.485229	-69.460777
376.158142	-68.768013
376.831055	-68.381699
377.503967	-66.816055
378.176880	-68.238686
378.849792	-68.935577
379.522705	-69.252884
380.195618	-69.300209
380.868530	-67.604317
381.541443	-67.370438
382.214355	-67.411530
382.887268	-67.583702
383.560181	-66.938354
384.233093	-67.073372
384.906006	-66.885834
385.578918	-69.073090
386.251831	-69.435127
386.924744	-68.666809
387.597656	-68.057755
388.270569	-65.700806
388.943481	-65.687500
389.616394	-67.835068
390.289307	-68.056030
390.962219	-66.115265
391.635132	-68.082771
392.308044	-67.287598
392.980957	-65.319550
393.653870	-67.505806
394.326782	-66.041016
394.999695	-66.469147
395.672607	-67.681335
396.345520	-66.764305
397.018433	-66.546989
397.691345	-65.199142
398.364258	-66.728302
399.037170	-66.401360
399.710083	-66.161186
400.382996	-65.536179
401.055908	-64.066406
401.728821	-64.797760
402.401733	-64.633957
403.074646	-65.767181
403.747559	-65.137939
404.420471	-62.925625
405.093384	-63.593529
405.766296	-63.215248
406.439209	-63.676765
407.112122	-62.104794
407.785034	-63.655033
408.457947	-63.105541
409.130859	-63.852505
409.803772	-63.733437
410.476685	-62.532536
411.149597	-62.330196
411.822510	-61.617207
412.495422	-62.651028
413.168335	-61.633797
413.841248	-64.210587
414.514160	-61.862736
415.187073	-63.683815
415.859985	-61.849117
416.532898	-62.488522
417.205811	-60.725227
417.878723	-61.677929
418.551636	-60.070938
419.224548	-62.560467
419.897461	-61.092403
420.570374	-60.184940
