Frequency (Hz)	Level (dB)
0.672913	-89.062180
1.345825	-89.014168
2.018738	-89.121552
2.691650	-89.037224
3.364563	-88.702980
4.037476	-88.797325
4.710388	-88.885330
5.383301	-88.777931
6.056213	-88.627052
6.729126	-87.762413
7.402039	-88.544495
8.074951	-88.368683
8.747864	-88.192917
9.420776	-88.280388
10.093689	-87.731949
10.766602	-87.382309
11.439514	-86.975311
12.112427	-86.575752
12.785339	-86.389168
13.458252	-86.458954
14.131165	-86.682594
14.804077	-87.857086
15.476990	-87.699776
16.149902	-86.285828
16.822815	-87.144867
17.495728	-87.947060
18.168640	-86.281738
18.841553	-86.080124
19.514465	-85.968323
20.187378	-86.157936
20.860291	-86.839966
21.533203	-85.768761
22.206116	-86.417961
22.879028	-84.422775
23.551941	-85.029213
24.224854	-85.238129
24.897766	-86.708641
25.570679	-85.083473
26.243591	-85.659523
26.916504	-84.777504
27.589417	-85.384552
28.262329	-85.185463
28.935242	-85.487244
29.608154	-83.538666
30.281067	-85.512344
30.953979	-85.748062
31.626892	-84.463158
32.299805	-84.523857
32.972717	-85.838097
33.645630	-84.777420
34.318542	-85.027832
34.991455	-85.261665
35.664368	-84.491714
36.337280	-84.730965
37.010193	-83.468323
37.683105	-84.148911
38.356018	-84.960464
39.028931	-84.905396
39.701843	-84.598427
40.374756	-83.908340
41.047668	-83.707886
41.720581	-84.022041
42.393494	-84.027603
43.066406	-84.966026
43.739319	-84.311447
44.412231	-83.824669
45.085144	-83.792274
45.758057	-83.587669
46.430969	-82.220543
47.103882	-83.720551
47.776794	-82.783012
48.449707	-83.269676
49.122620	-82.491257
49.795532	-82.110222
50.468445	-82.613556
51.141357	-81.990639
51.814270	-82.008026
52.487183	-82.005226
53.160095	-80.196281
53.833008	-80.550964
54.505920	-81.630859
55.178833	-81.257515
55.851746	-81.429054
56.524658	-81.682442
57.197571	-79.682770
57.870483	-79.514015
58.543396	-79.953461
59.216309	-74.388237
59.889221	-77.810570
60.562134	-78.468437
61.235046	-78.381668
61.907959	-77.133286
62.580872	-79.189789
63.253784	-80.558411
63.926697	-79.094337
64.599609	-79.406631
65.272522	-79.760056
65.945435	-80.111908
66.618347	-79.025902
67.291260	-79.961594
67.964172	-78.970093
68.637085	-76.897774
69.309998	-76.549683
69.982910	-74.817688
70.655823	-76.667572
71.328735	-76.181885
72.001648	-75.880531
72.674561	-75.231071
73.347473	-74.366539
74.020386	-71.951874
74.693298	-70.691063
75.366211	-71.504822
76.039124	-74.697350
76.712036	-75.707321
77.384949	-77.694542
78.057861	-76.860817
78.730774	-76.539536
79.403687	-73.848717
80.076599	-74.582207
80.749512	-75.769264
81.422424	-75.308174
82.095337	-76.735008
82.768250	-76.941559
83.441162	-77.556351
84.114075	-78.138649
84.786987	-78.251419
85.459900	-78.232887
86.132812	-77.539917
86.805725	-78.809654
87.478638	-78.061874
88.151550	-78.748886
88.824463	-76.953026
89.497375	-77.335693
90.170288	-78.261589
90.843201	-75.126511
91.516113	-78.272682
92.189026	-74.710472
92.861938	-76.586273
93.534851	-73.120239
94.207764	-75.200478
94.880676	-77.851135
95.553589	-78.486443
96.226501	-77.607635
96.899414	-77.050919
97.572327	-77.555977
98.245239	-78.516495
98.918152	-77.358543
99.591064	-77.405937
100.263977	-78.027023
100.936890	-78.123108
101.609802	-78.878532
102.282715	-77.762085
102.955627	-77.113739
103.628540	-78.191376
104.301453	-79.464279
104.974365	-77.541946
105.647278	-77.787308
106.320190	-77.640457
106.993103	-76.251244
107.666016	-76.798378
108.338928	-78.262512
109.011841	-77.949135
109.684753	-77.937576
110.357666	-77.163132
111.030579	-78.323570
111.703491	-76.245071
112.376404	-76.733963
113.049316	-75.219940
113.722229	-74.834450
114.395142	-74.811058
115.068054	-73.620033
115.740967	-75.104744
116.413879	-76.665535
117.086792	-74.821983
117.759705	-74.996407
118.432617	-70.432129
119.105530	-70.935410
119.778442	-68.623489
120.451355	-66.439911
121.124268	-57.490936
121.797180	-70.069702
122.470093	-73.013802
123.143005	-73.669128
123.815918	-74.811401
124.488831	-74.611191
125.161743	-76.605286
125.834656	-75.401794
126.507568	-75.651794
127.180481	-75.636246
127.853394	-75.145309
128.526306	-76.189476
129.199219	-75.556244
129.872131	-75.463799
130.545044	-75.754387
131.217957	-75.405571
131.890869	-75.179192
132.563782	-74.062706
133.236694	-75.958115
133.909607	-74.211609
134.582520	-73.864349
135.255432	-75.965912
135.928345	-75.922180
136.601257	-75.130951
137.274170	-74.973946
137.947083	-74.813316
138.619995	-73.921989
139.292908	-73.868378
139.965820	-74.767899
140.638733	-74.566650
141.311646	-74.442635
141.984558	-73.938011
142.657471	-73.937729
143.330383	-74.621521
144.003296	-73.978394
144.676208	-73.263092
145.349121	-74.168488
146.022034	-73.575500
146.694946	-73.143654
147.367859	-72.280930
148.040771	-73.692986
148.713684	-73.070984
149.386597	-72.545937
150.059509	-73.019508
150.732422	-74.336357
151.405334	-73.451767
152.078247	-72.575233
152.751160	-73.534599
153.424072	-73.792969
154.096985	-72.439377
154.769897	-72.616821
155.442810	-72.554146
156.115723	-73.361488
156.788635	-72.719917
157.461548	-73.936539
158.134460	-71.970940
158.807373	-72.049057
159.480286	-72.182289
160.153198	-71.846497
160.826111	-71.012154
161.499023	-71.024780
162.171936	-72.501747
162.844849	-72.046036
163.517761	-72.013435
164.190674	-72.904312
164.863586	-71.853539
165.536499	-71.045341
166.209412	-70.641388
166.882324	-70.757950
167.555237	-70.981186
168.228149	-69.681786
168.901062	-69.829018
169.573975	-70.470490
170.246887	-70.092079
170.919800	-70.051491
171.592712	-69.941353
172.265625	-68.765701
172.938538	-69.771767
173.611450	-69.279755
174.284363	-68.549156
174.957275	-67.775185
175.630188	-67.002304
176.303101	-67.129356
176.976013	-68.909912
177.648926	-67.496033
178.321838	-67.991188
178.994751	-69.261818
179.667664	-68.487556
180.340576	-67.272476
181.013489	-66.890976
181.686401	-67.351326
182.359314	-67.507217
183.032227	-65.718933
183.705139	-66.476501
184.378052	-65.376305
185.050964	-64.578613
185.723877	-65.940331
186.396790	-64.790649
187.069702	-65.914169
187.742615	-64.573273
188.415527	-65.441605
189.088440	-64.921867
189.761353	-63.647915
190.434265	-63.060917
191.107178	-62.558060
191.780090	-64.120041
192.453003	-64.330330
193.125916	-63.591610
193.798828	-62.879208
194.471741	-61.870068
195.144653	-61.532612
195.817566	-62.749043
196.490479	-60.613663
197.163391	-60.170376
197.836304	-60.867065
198.509216	-58.726898
199.182129	-59.308613
199.855042	-59.025024
200.527954	-59.000824
201.200867	-58.467628
201.873779	-58.053288
202.546692	-57.116196
203.219604	-57.859001
203.892517	-58.364140
204.565430	-57.233627
205.238342	-57.878284
205.911255	-57.012302
206.584167	-56.521488
207.257080	-57.257488
207.929993	-56.420811
208.602905	-54.958096
209.275818	-55.977444
209.948730	-56.736626
210.621643	-55.906361
211.294556	-54.875576
211.967468	-56.237919
212.640381	-56.599976
213.313293	-55.029919
213.986206	-57.115032
214.659119	-57.558403
215.332031	-56.438408
216.004944	-57.493420
216.677856	-56.637875
217.350769	-57.384914
218.023682	-58.187458
218.696594	-57.864094
219.369507	-58.274380
220.042419	-60.319664
220.715332	-60.123051
221.388245	-60.387688
222.061157	-60.684288
222.734070	-60.544029
223.406982	-60.497818
224.079895	-61.750130
224.752808	-62.389904
225.425720	-61.436352
226.098633	-62.912476
226.771545	-60.706821
227.444458	-61.840252
